GeneID	GSE84076_MTB_control_blood_dn.tsv	GSE148171_MTB_control_blood_PBMC_dn.tsv	GSE198557_MTB_control_blood_PBMC_dn.tsv	GSE132283_MTB_control_2h_blood_macrophage_dn.tsv	GSE132283_MTB_control_48h_blood_macrophage_dn.tsv	GSE143627_MTB_control_PBMC_macrophage_dn.tsv	GSE148731_MTB_4h_blood_CD14plus_monocyte_derived_macrophages_MF1_dn.tsv	GSE148731_MTB_24h_blood_CD14plus_monocyte_derived_macrophages_MF2_dn.tsv	GSE148731_MTB_24h_blood_CD14plus_monocyte_derived_macrophages_MF1_dn.tsv	GSE174566_MTB_control_blood_PBMC_dn.tsv	GSE193777_MTB_control_blood_dn.tsv	GSE256184_MTB_control_0h_HEPG2_HepG2_dn.tsv	GSE256184_MTB_4control_48h_HEPG2_HepG2_dn.tsv	GSE64179_MTB_control_blood_dendritic_cells_dn.tsv	GSE64182_MTB_control_blood_dendritic_cells_dn.tsv	GSE141656_MTB_control_blood_blood_dn.tsv	GSE143731_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	GSE164287_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	GSE165708_MTB_control_BAL_bronchoalveolar_lavage_dn.tsv	GSE183912_MTB_control_blood_marcophages_dn.tsv	GSE211974_MTB_control_blood_THP-1_dn.tsv	GSE236156_MTB_control_blood_monocyte_derived_macrophage_dn.tsv
11011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11014	0	0	0	0	-0.7402615038181452	0	0	-0.4262755193775314	0	0	-0.2967081562509964	-0.1606579112481911	-0.3444451065042784	0	0	0	0	0	0	0	0	0
11031	0	0	0	0	-0.26470785944144964	0	0	0	0	0	0	0	0	-0.9803268743733324	0	-0.494466699786496	0	0	0	0	0	0
11041	0	-1.6299349944709367	0	0	-0.8711926702086876	-0.7589368211973332	0	-0.9549775383271452	0	-0.2259966029346448	0	0	-0.3296337915424089	-2.0745017601634084	-1.3531496361309536	-1.554405574832246	0	0	0	0	0	-1.5724356833244812
11044	0	0	0	0	0	0	0	0	0	0	0	-0.21490135301132557	-0.366728280349892	0	0	0	0	0	0	0	0	0
11065	0	0	0	0	-2.4078641495453352	-2.5697562286595206	0	-3.5764892936172625	0	0	0	0	-0.3486826151920211	0	0	0	0	0	0	0	0	0
11072	0	0	0	0	0	0	0	0	-0.3546372399557736	0	0	0	0	0	0	0	0	0	0	0	0	0
11073	0	0	0	0	0	-0.6413024485825325	0	0	0	0	0	0	-0.2558061412053848	0	0	0	0	0	0	0	0	0
11098	0	0	0	0	0	0	0	0	0	-1.0654273697575003	0	-0.28430766207270886	0	0	0	0	0	-0.8937399951666063	0	0	0	0
1111	0	0	0	0	-0.5039321197005469	-0.976556933247576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11151	0	0	0	0	-1.627065689782227	0	0	-0.4426358600362017	-1.2726524340862688	0	0	-0.975332703702465	-1.0361078546290847	-1.8419612805225771	0	-0.968886945929369	0	0	0	0	-0.3731129858420185	-1.9746191539118605
11157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11168	0	-0.8354246386886762	-0.8456373187432654	0	-0.6884383238726984	-1.08814542938831	0	-0.589816812740376	-0.48368743952379606	0	-0.5622283750009062	0	0	0	0	0	0	0	0	0	-0.6703274279856166	0
11182	0	0	0	0	0	0	0	0	0	0	0	0	-0.5186740620960351	0	0	0	0	0	0	0	0	0
11188	0	0	0	-0.7433367119320264	-0.9439192083636452	0	0	-0.8379160339260286	-0.4145528927467459	-0.37034037067326736	0	-0.1849965198361118	-0.7383042489897897	-0.9778769496006228	0	-1.1674149508070195	0	0	0	0	0	-1.722340171822126
11200	0	0	0	-0.9678470575858036	0	0	0	0	0	0	0	0	0	0	-2.3440440411461507	-1.194618650809131	0	-1.2006022669381224	0	0	0	0
1123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11232	0	0	0	0	0	0	0	-0.5209893687384876	0	0	0	0	0	0	0	-1.0729975753712726	0	0	0	0	0	-0.5612658353562865
11261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11284	0	0	0	0	0	0	0	0	0	0	0	0	-0.4120937846156917	0	0	0	0	0	0	0	0	0
11319	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.4336813818329323	0	0	0	0	0	0	0	0
11325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.635003522042457	0	-0.8126217716952253	0	0	0	0
1153	0	0	0	0	0	0	0	-0.1874739858602165	0	0	0	-0.31224461965972955	-0.5915384919680355	0	0	0	0	0	0	0	0	0
116832	0	-1.2472578733511168	0	0	0	0	0	0	0	0	0	0	0	-1.105198042671586	0	-1.5896466833291285	0	0	0	0	0	0
1212	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.7556506609122975	0	0	0	-0.4411637278647519	0	0	0	0
1213	0	0	0	0	-0.21023977931563248	0	0	0	0	0	0	0	0	0	-0.8250892534796528	0	0	-0.632976396688302	0	0	0	0
124583	0	0	0	0	0	0	0	0	0	0	0	-0.363237936405396	0	0	0	0	0	0	0	0	0	0
1277	0	0	0	0	0	0	0	0	0	0	0	0	-0.7057919659451528	0	0	0	0	0	0	0	0	0
128	0	0	0	0	0	0	0	-0.4156656500562088	-0.1732256630326066	-0.23711541098025565	0	0	0	0	0	-0.8144863202673783	0	-0.5916126705214512	0	0	0	-0.5599004513671139
1282	0	0	-1.890148479653248	0	-0.534301699677327	0	0	0	0	0	-2.5515822534299115	0	0	0	0	0	0	0	0	0	0	0
1385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
142	0	-1.0499091394931488	0	0	0	0	0	-1.142015965100242	0	0	0	0	-0.45665867966970863	0	0	-0.6447442410582133	0	0	0	0	-0.25470711713088784	-0.6506881127829756
1429	0	0	0	0	0	0	0	-0.9198472173896908	0	0	0	0	0	0	-1.1229144366231578	0	0	0	0	0	0	0
1445	0	0	0	0	0	0	0	0	0	0	0	-0.300888350394136	-0.2144840120839646	-0.9357357565167784	0	0	0	0	0	0	-0.27830871967876253	-0.751145105774233
1452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1454	0	0	0	0	-0.5157445990074887	0	0	0	0	0	-0.4013455218534169	0	-0.4133332748760965	0	0	0	0	0	0	0	0	0
1459	0	0	0	0	-0.4968969676995445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1465	0	0	0	0	-0.4700793988874036	0	0	0	-0.4329867492764496	0	0	0	0	0	0	0	0	0	0	0	-0.2119383871797401	-1.5363034897280294
147179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
148022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1509	0	0	0	0	0	0	0	-1.2477722270499796	-0.17039548409203423	-1.3532644072169508	0	0	0	0	0	0	0	-1.3042893983414692	0	0	0	0
