Description	ID	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected	pvalue	p.adjust	qvalue
L-alpha-amino acid transmembrane transport	GO:1902475		32	32	31.396122834105334	0.01905149413023362	0.8949089843363195	0.5432454529078621	1	1
chloride transmembrane transport	GO:1902476		32	29	31.396122834105334	-0.07938857868301895	0.8263655194862988	0.97974023704397	1	1
protein localization to mitotic spindle	GO:1902480		2	2	1.9622576771315834	0.01905149413023362	0.8949089843363195	0.962612739016054	1	1
cytotoxic T cell pyroptotic cell death	GO:1902483		2	2	1.9622576771315834	0.01905149413023362	0.8949089843363195	0.962612739016054	1	1
regulation of sperm capacitation	GO:1902490		1	1	0.9811288385657917	0.01905149413023362	0.8949089843363195	0.9811288385657917	1	1
negative regulation of sperm capacitation	GO:1902491		1	1	0.9811288385657917	0.01905149413023362	0.8949089843363195	0.9811288385657917	1	1
iron-sulfur cluster transmembrane transport	GO:1902497		1	1	0.9811288385657917	0.01905149413023362	0.8949089843363195	0.9811288385657917	1	1
regulation of protein autoubiquitination	GO:1902498		6	6	5.88677303139475	0.01905149413023362	0.8949089843363195	0.8919676026776707	1	1
positive regulation of protein autoubiquitination	GO:1902499		3	3	2.943386515697375	0.01905149413023362	0.8949089843363195	0.9444450407675382	1	1
regulation of apoptotic DNA fragmentation	GO:1902510		4	4	3.9245153542631668	0.01905149413023362	0.8949089843363195	0.926619207808645	1	1
negative regulation of apoptotic DNA fragmentation	GO:1902511		2	2	1.9622576771315834	0.01905149413023362	0.8949089843363195	0.962612739016054	1	1
positive regulation of apoptotic DNA fragmentation	GO:1902512		2	2	1.9622576771315834	0.01905149413023362	0.8949089843363195	0.962612739016054	1	1
regulation of organelle transport along microtubule	GO:1902513		3	3	2.943386515697375	0.01905149413023362	0.8949089843363195	0.9444450407675382	1	1
regulation of calcium ion transmembrane transport via high voltage-gated calcium channel	GO:1902514		6	5	5.88677303139475	-0.16327006266372088	0.7707510692263532	0.9949349448711056	1	1
positive regulation of protein K63-linked ubiquitination	GO:1902523		8	8	7.8490307085263336	0.01905149413023362	0.8949089843363195	0.8586080397682806	1	1
positive regulation of protein K48-linked ubiquitination	GO:1902524		2	2	1.9622576771315834	0.01905149413023362	0.8949089843363195	0.962612739016054	1	1
regulation of protein monoubiquitination	GO:1902525		5	5	4.905644192828959	0.01905149413023362	0.8949089843363195	0.9091288263765767	1	1
