GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected	pseudocount
GO:0000381	regulation of alternative mRNA splicing, via spliceosome	56	0.002901915264074289	56/16034	0.7330200185721565	0.8184842359841568	0.6594453855034563	KHDRBS1/CELF1/PUF60/HNRNPL/PTBP1	5	38	0.29192664832831583	1.1020105403553648
GO:0000387	spliceosomal snRNP assembly	51	0.004062681369704005	51/16034	0.3057761752959535	0.5499851135066668	0.44311805805455545	STRAP/CLNS1A/SMN1/SNRPB/USP4/COIL/GEMIN2	7	32	0.800249141876188	1.5404061121243728
GO:0000388	spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)	1	0	0	1	1	1		0	0	0	0
GO:0000389	mRNA 3'-splice site recognition	6	0	0	1	1	1		0	0	0	0
GO:0000390	spliceosomal complex disassembly	3	0	0	1	1	1		0	0	0	0
GO:0000393	spliceosomal conformational changes to generate catalytic conformation	5	5.803830528148578e-4	5/16034	0.4336200180650972	0.6458684303729512	0.5203703838470107	PRPF18	1	1	2.320074895620601	3.0156274440059243
GO:0000394	RNA splicing, via endonucleolytic cleavage and ligation	14	5.803830528148578e-4	14/16034	0.7965318192598566	0.8505998620046472	0.6853206564624648	ERN1	1	8	0.24063335394076543	1.0612966351211328
GO:0000395	mRNA 5'-splice site recognition	21	0	0	1	1	1		0	0	0	0
GO:0000398	mRNA splicing, via spliceosome	313	0	0	1	1	1		0	0	0	0
GO:0000409	regulation of transcription by galactose	1	0	0	1	1	1		0	0	0	0
GO:0000411	positive regulation of transcription by galactose	1	0	0	1	1	1		0	0	0	0
GO:0000413	protein peptidyl-prolyl isomerization	27	0.0023215322112594312	24/16034	0.2537408528570959	0.4925437361508305	0.3968380570857864	CWC27/FKBP1A/PPIC/PPID	4	3	2.6077569680723824	3.3022593013789043
GO:0000414	regulation of histone H3-K36 methylation	2	0	0	1	1	1		0	0	0	0
GO:0000415	negative regulation of histone H3-K36 methylation	1	0	0	1	1	1		0	0	0	0
GO:0000422	autophagy of mitochondrion	90	0.004062681369704005	90/16034	0.8631265523289453	0.89846285633088	0.7238834403954509	SLC25A5/GSK3A/HIF1A/BNIP3/SQSTM1/ATG12/LRBA	7	31	0.8319978401907684	1.569442893933395
GO:0000423	mitophagy	35	0.0017411491584445734	35/16034	0.7414403077009356	0.8194522515868521	0.6602253069658718	SLC25A5/SQSTM1/LRBA	3	25	0.19981135942051037	1.029457109828711
GO:0000425	pexophagy	6	0.0011607661056297156	6/16034	0.12921153691410903	0.33950447756713364	0.2735357032505409	ATM/SQSTM1	2	6	1.2214626069524916	1.9356606380342032
GO:0000429	carbon catabolite regulation of transcription from RNA polymerase II promoter	4	0	0	1	1	1		0	0	0	0
GO:0000430	regulation of transcription from RNA polymerase II promoter by glucose	3	0	0	1	1	1		0	0	0	0
GO:0000431	regulation of transcription from RNA polymerase II promoter by galactose	1	0	0	1	1	1		0	0	0	0
GO:0000432	positive regulation of transcription from RNA polymerase II promoter by glucose	3	0	0	1	1	1		0	0	0	0
GO:0000435	positive regulation of transcription from RNA polymerase II promoter by galactose	1	0	0	1	1	1		0	0	0	0
GO:0000436	carbon catabolite activation of transcription from RNA polymerase II promoter	4	0	0	1	1	1		0	0	0	0
GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	10	5.803830528148578e-4	10/16034	0.6792739646604455	0.7823025994917189	0.6302941664867427	NOP14	1	0	0	0
GO:0000448	cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	2	0	0	1	1	1		0	0	0	0
GO:0000451	rRNA 2'-O-methylation	3	0	0	1	1	1		0	0	0	0
GO:0000454	snoRNA guided rRNA pseudouridine synthesis	3	0	0	1	1	1		0	0	0	0
GO:0000455	enzyme-directed rRNA pseudouridine synthesis	4	0	0	1	1	1		0	0	0	0
GO:0000459	exonucleolytic trimming involved in rRNA processing	9	0	0	1	1	1		0	0	0	0
GO:0000460	maturation of 5.8S rRNA	36	0.0011607661056297156	36/16034	0.9111832717760471	0.9295923149893806	0.7489641651828814	NSA2/NOP14	2	10	0.7106369831865009	1.4593059675265867
GO:0000461	endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1	0	0	1	1	1		0	0	0	0
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	37	0.002901915264074289	37/16034	0.365954511719683	0.6204643177102209	0.49990251882074815	TBL3/RPS16/RPS19/BYSL/NOP14	5	1	3.9295128080547017	4.622756537142143
GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	15	5.803830528148578e-4	15/16034	0.8184154444418335	0.8651701982766707	0.6970598453159512	RPL7	1	3	1.2214626069524916	1.9356606380342032
GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	25	5.803830528148578e-4	25/16034	0.9418267686822723	0.9535797948197824	0.7682906618807627	NOP14	1	2	1.626927715060656	2.329594209185483
GO:0000467	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	9	0	0	1	1	1		0	0	0	0
GO:0000469	cleavage involved in rRNA processing	29	0.0011607661056297156	29/16034	0.8340630840098996	0.8791080907364596	0.7082894798796512	TBL3/NOP14	2	0	0	0
GO:0000470	maturation of LSU-rRNA	22	0.0011607661056297156	22/16034	0.701001348230057	0.8011919492828808	0.645513145676934	NSA2/RPL7	2	3	1.914609787512437	2.6131448818866283
GO:0000472	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	5	0.0011607661056297156	5/16034	0.09257273041784828	0.2916525682143466	0.2349818503809348	TBL3/NOP14	2	0	0	0
GO:0000478	endonucleolytic cleavage involved in rRNA processing	17	0.0011607661056297156	17/16034	0.5590424624066577	0.7128722593132978	0.574354766029577	TBL3/NOP14	2	0	0	0
GO:0000479	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	17	0.0011607661056297156	17/16034	0.5590424624066577	0.7128722593132978	0.574354766029577	TBL3/NOP14	2	1	3.0132220761805466	3.7069722268188605
GO:0000480	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	8	0.0011607661056297156	8/16034	0.2093272069857223	0.4400441809734791	0.3545396377875086	TBL3/NOP14	2	0	0	0
GO:0000481	maturation of 5S rRNA	1	0	0	1	1	1		0	0	0	0
GO:0000491	small nucleolar ribonucleoprotein complex assembly	12	5.803830528148578e-4	12/16034	0.7445405981830673	0.8194522515868521	0.6602253069658718	RUVBL1	1	6	0.5283154263925464	1.2988275173107113
GO:0000492	box C/D snoRNP assembly	10	5.803830528148578e-4	10/16034	0.6792739646604455	0.7823025994917189	0.6302941664867427	RUVBL1	1	5	0.7106369831865009	1.4593059675265867
GO:0000493	box H/ACA snoRNP assembly	2	0	0	1	1	1		0	0	0	0
GO:0000494	box C/D RNA 3'-end processing	3	0	0	1	1	1		0	0	0	0
GO:0000495	box H/ACA RNA 3'-end processing	2	0	0	1	1	1		0	0	0	0
GO:0000512	lncRNA-mediated post-transcriptional gene silencing	3	0	0	1	1	1		0	0	0	0
GO:0000578	embryonic axis specification	37	0.003482298316889147	35/16034	0.16782660140085348	0.38913292712184694	0.3135208985783349	SMAD2/STIL/TBX6/WNT1/WNT5A/WNT7A	6	9	1.9146097875124368	2.6131448818866283
GO:0000706	meiotic DNA double-strand break processing	1	0	0	1	1	1		0	0	0	0
GO:0000707	meiotic DNA recombinase assembly	1	0	0	1	1	1		0	0	0	0
GO:0000708	meiotic strand invasion	1	0	0	1	1	1		0	0	0	0
GO:0000709	meiotic joint molecule formation	1	0	0	1	1	1		0	0	0	0
GO:0000710	meiotic mismatch repair	1	0	0	1	1	1		0	0	0	0
GO:0000711	meiotic DNA repair synthesis	3	0	0	1	1	1		0	0	0	0
GO:0000712	resolution of meiotic recombination intermediates	17	0.0011607661056297156	16/16034	0.5254475414266129	0.7044665236987694	0.56758234046649	TOP2A/TOP2B	2	3	1.914609787512437	2.6131448818866283
GO:0000715	nucleotide-excision repair, DNA damage recognition	1	0	0	1	1	1		0	0	0	0
GO:0000717	nucleotide-excision repair, DNA duplex unwinding	1	0	0	1	1	1		0	0	0	0
GO:0000718	nucleotide-excision repair, DNA damage removal	1	0	0	1	1	1		0	0	0	0
GO:0000720	pyrimidine dimer repair by nucleotide-excision repair	4	0	0	1	1	1		0	0	0	0
GO:0000722	telomere maintenance via recombination	14	0	0	1	1	1		0	0	0	0
GO:0000723	telomere maintenance	156	0.008705745792222866	155/16034	0.7048460157670837	0.8018145600742266	0.646014777590252	DNA2/FEN1/ATM/NEK2/UPF1/RPA1/RPA2/TCP1/MAPKAPK5/ACTL6A/RUVBL1/TNKS/CCT6A/AURKB/RECQL4	15	65	0.8537378268271741	1.5894112176006945
GO:0000724	double-strand break repair via homologous recombination	170	0.00812536273940801	168/16034	0.8755307545566966	0.9065773341517456	0.7304212021744616	POLQ/BRD8/FEN1/LIG3/MCM6/ATM/REV3L/RPA1/RPA2/TOP3A/YEATS4/ACTL6A/RUVBL1/RECQL4	14	76	0.6283988849495288	1.386109270296513
GO:0000725	recombinational repair	174	0.00812536273940801	172/16034	0.8951236414636466	0.9196265019125448	0.7409347992435273	POLQ/BRD8/FEN1/LIG3/MCM6/ATM/REV3L/RPA1/RPA2/TOP3A/YEATS4/ACTL6A/RUVBL1/RECQL4	14	78	0.6024233985462681	1.3632574926866594
GO:0000727	double-strand break repair via break-induced replication	12	5.803830528148578e-4	12/16034	0.7445405981830673	0.8194522515868521	0.6602253069658718	MCM6	1	0	0	0
GO:0000729	DNA double-strand break processing	19	5.803830528148578e-4	19/16034	0.8848203242355688	0.9100424639211923	0.7332130260559379	DNA2	1	17	-0.5131384484356148	0.5676359719040516
GO:0000730	DNA recombinase assembly	4	0	0	1	1	1		0	0	0	0
GO:0000731	DNA synthesis involved in DNA repair	40	0.003482298316889147	39/16034	0.23728025692361626	0.48129234136107674	0.387772909525969	POLE/REV3L/RFC3/SYCP1/USP10/PCLAF	6	31	0.67784716036351	1.4299718086944044
GO:0000732	strand displacement	1	0	0	1	1	1		0	0	0	0
GO:0000737	DNA catabolic process, endonucleolytic	8	0	0	1	1	1		0	0	0	0
GO:0000738	DNA catabolic process, exonucleolytic	5	0	0	1	1	1		0	0	0	0
GO:0000741	karyogamy	1	0	0	1	1	1		0	0	0	0
GO:0000768	syncytium formation by plasma membrane fusion	60	0.00812536273940801	59/16034	0.0032853933813296004	0.04364575676756383	0.035164993572012235	EHD1/MAPK14/IL4/IL4R/CXCL10/ITGB1/MYH9/PTGFRN/WNT1/CAMK1/CAV3/TNFSF14/CD9/GDF15	14	13	2.3941828677743233	3.0894050924969183
GO:0000819	sister chromatid segregation	246	0	0	1	1	1		0	0	0	0
GO:0000820	regulation of glutamine family amino acid metabolic process	7	0.0011607661056297156	7/16034	0.16845721232279373	0.38913292712184694	0.3135208985783349	SLC7A7/NR1H4	2	2	2.320074895620601	3.0156274440059243
GO:0000821	regulation of arginine metabolic process	3	0	0	1	1	1		0	0	0	0
GO:0000902	cell morphogenesis	916	0	0	1	1	1		0	0	0	0
GO:0000904	cell morphogenesis involved in differentiation	618	0	0	1	1	1		0	0	0	0
GO:0000910	cytokinesis	178	0.012768427161926872	174/16034	0.23999835196020267	0.4862592871786261	0.3917747330864316	PDCD6IP/CETN2/SEPTIN9/STMN1/MYH9/PIK3C3/OPN1LW/RTKN/SPTBN1/AURKA/UVRAG/CALM3/CUL3/PKP4/CDC14B/CDC14A/USP8/AURKB/KIF3B/ROCK2/KIF20B/CDC42	22	69	1.1770108443816578	1.8931008013265673
GO:0000912	assembly of actomyosin apparatus involved in cytokinesis	6	0.0011607661056297156	6/16034	0.12921153691410903	0.33950447756713364	0.2735357032505409	PDCD6IP/RTKN	2	1	3.0132220761805466	3.7069722268188605
GO:0000915	actomyosin contractile ring assembly	6	0.0011607661056297156	6/16034	0.12921153691410903	0.33950447756713364	0.2735357032505409	PDCD6IP/RTKN	2	1	3.0132220761805466	3.7069722268188605
GO:0000916	actomyosin contractile ring contraction	1	0	0	1	1	1		0	0	0	0
GO:0000917	division septum assembly	1	0	0	1	1	1		0	0	0	0
