Pathway	Direction	Technology	SquaredDeviation
CD4-positive, alpha-beta T cell costimulation	Upregulated	RNAseq	0
CD4-positive, alpha-beta T cell cytokine production	Upregulated	Microarray	0
CD4-positive, alpha-beta T cell cytokine production	Upregulated	RNAseq	0
CD4-positive, alpha-beta T cell proliferation	Upregulated	Microarray	0
CD4-positive, alpha-beta T cell proliferation	Upregulated	RNAseq	0
CD8-positive, alpha-beta T cell activation	Upregulated	Microarray	0
CD8-positive, alpha-beta T cell differentiation	Upregulated	Microarray	0
CD8-positive, alpha-beta T cell differentiation	Upregulated	RNAseq	0
CD8-positive, alpha-beta T cell differentiation involved in immune response	Upregulated	Microarray	0
CD8-positive, alpha-beta T cell differentiation involved in immune response	Upregulated	RNAseq	0
CD8-positive, alpha-beta T cell extravasation	Upregulated	Microarray	0
CD8-positive, alpha-beta T cell extravasation	Upregulated	RNAseq	0
CD8-positive, alpha-beta T cell lineage commitment	Upregulated	Microarray	0
CD8-positive, alpha-beta T cell lineage commitment	Upregulated	RNAseq	0
CD8-positive, alpha-beta T cell proliferation	Upregulated	Microarray	0
CD8-positive, alpha-beta T cell proliferation	Upregulated	RNAseq	0
CD8-positive, alpha-beta cytotoxic T cell extravasation	Upregulated	Microarray	0
CD8-positive, alpha-beta cytotoxic T cell extravasation	Upregulated	RNAseq	0
CD8-positive, alpha-beta intraepithelial T cell differentiation	Upregulated	Microarray	0
CD8-positive, alpha-beta intraepithelial T cell differentiation	Upregulated	RNAseq	0
CD8-positive, gamma-delta intraepithelial T cell differentiation	Upregulated	Microarray	0
CD8-positive, gamma-delta intraepithelial T cell differentiation	Upregulated	RNAseq	0
CD80 biosynthetic process	Upregulated	Microarray	0
CD80 biosynthetic process	Upregulated	RNAseq	0
CD86 biosynthetic process	Upregulated	Microarray	0
CD86 biosynthetic process	Upregulated	RNAseq	0
CDP biosynthetic process	Upregulated	Microarray	0
CDP biosynthetic process	Upregulated	RNAseq	0
CDP metabolic process	Upregulated	Microarray	0
CDP metabolic process	Upregulated	RNAseq	0
CDP phosphorylation	Upregulated	Microarray	0
CDP phosphorylation	Upregulated	RNAseq	0
CDP-choline pathway	Upregulated	RNAseq	0
CDP-diacylglycerol biosynthetic process	Upregulated	Microarray	0
CDP-diacylglycerol biosynthetic process	Upregulated	RNAseq	0
CDP-diacylglycerol metabolic process	Upregulated	Microarray	0
CDP-diacylglycerol metabolic process	Upregulated	RNAseq	0
CENP-A containing chromatin assembly	Upregulated	Microarray	0
CENP-A containing chromatin assembly	Upregulated	RNAseq	0
CMP biosynthetic process	Upregulated	Microarray	0
CMP biosynthetic process	Upregulated	RNAseq	0
CMP catabolic process	Upregulated	Microarray	0
CMP catabolic process	Upregulated	RNAseq	0
CMP metabolic process	Upregulated	Microarray	0
CMP metabolic process	Upregulated	RNAseq	0
CMP phosphorylation	Upregulated	Microarray	0
CMP phosphorylation	Upregulated	RNAseq	0
CMP-N-acetylneuraminate biosynthetic process	Upregulated	Microarray	0
CMP-N-acetylneuraminate biosynthetic process	Upregulated	RNAseq	0
CMP-N-acetylneuraminate metabolic process	Upregulated	Microarray	0
CMP-N-acetylneuraminate metabolic process	Upregulated	RNAseq	0
CMP-N-acetylneuraminate transmembrane transport	Upregulated	Microarray	0
CMP-N-acetylneuraminate transmembrane transport	Upregulated	RNAseq	0
COP9 signalosome assembly	Upregulated	Microarray	0
COP9 signalosome assembly	Upregulated	RNAseq	0
COPI coating of Golgi vesicle	Upregulated	RNAseq	0
COPI-coated vesicle budding	Upregulated	RNAseq	0
COPII vesicle coating	Upregulated	RNAseq	0
CTP biosynthetic process	Upregulated	Microarray	0
CTP biosynthetic process	Upregulated	RNAseq	0
CTP catabolic process	Upregulated	Microarray	0
CTP catabolic process	Upregulated	RNAseq	0
CTP metabolic process	Upregulated	Microarray	0
CTP salvage	Upregulated	Microarray	0
CTP salvage	Upregulated	RNAseq	0
CUT catabolic process	Upregulated	Microarray	0
CUT catabolic process	Upregulated	RNAseq	0
CUT metabolic process	Upregulated	Microarray	0
CUT metabolic process	Upregulated	RNAseq	0
CXCL12-activated CXCR4 signaling pathway	Upregulated	Microarray	0
CXCL12-activated CXCR4 signaling pathway	Upregulated	RNAseq	0
Cajal body organization	Upregulated	Microarray	0
Cajal body organization	Upregulated	RNAseq	0
Cajal-Retzius cell differentiation	Upregulated	Microarray	0
Cajal-Retzius cell differentiation	Upregulated	RNAseq	0
Cdc42 protein signal transduction	Upregulated	Microarray	0
Cdc42 protein signal transduction	Upregulated	RNAseq	0
D-alanine catabolic process	Upregulated	Microarray	0
D-alanine catabolic process	Upregulated	RNAseq	0
D-alanine metabolic process	Upregulated	Microarray	0
D-alanine metabolic process	Upregulated	RNAseq	0
D-alanine transport	Upregulated	Microarray	0
