GO_term	median_diff	p_value	statistic	p_adj	auroc	norm_auroc
camera-type eye morphogenesis	NA	NA	NA	NA	NA	NA
carbohydrate derivative catabolic process	0	0.6962703401140229	50	0.8268210288854022	0.2717391304347826	-0.4565217391304348
carbohydrate derivative transport	NA	NA	NA	NA	NA	NA
carbohydrate transport	NA	NA	NA	NA	NA	NA
carboxylic acid transmembrane transport	NA	NA	NA	NA	NA	NA
cardiac chamber development	NA	NA	NA	NA	NA	NA
cardiac chamber morphogenesis	NA	NA	NA	NA	NA	NA
cardiac conduction	NA	NA	NA	NA	NA	NA
cardiac muscle cell action potential	NA	NA	NA	NA	NA	NA
cardiac muscle cell action potential involved in contraction	NA	NA	NA	NA	NA	NA
cardiac muscle cell contraction	NA	NA	NA	NA	NA	NA
cardiac muscle contraction	NA	NA	NA	NA	NA	NA
cardiac muscle hypertrophy	NA	NA	NA	NA	NA	NA
cardiac muscle tissue regeneration	NA	NA	NA	NA	NA	NA
cardiac ventricle development	NA	NA	NA	NA	NA	NA
cardiac ventricle morphogenesis	NA	NA	NA	NA	NA	NA
carnitine metabolic process	NA	NA	NA	NA	NA	NA
cartilage development	NA	NA	NA	NA	NA	NA
catechol-containing compound catabolic process	NA	NA	NA	NA	NA	NA
catechol-containing compound metabolic process	NA	NA	NA	NA	NA	NA
catecholamine catabolic process	NA	NA	NA	NA	NA	NA
catecholamine metabolic process	NA	NA	NA	NA	NA	NA
cell adhesion mediated by integrin	NA	NA	NA	NA	NA	NA
cell adhesion molecule production	NA	NA	NA	NA	NA	NA
cell communication by electrical coupling	NA	NA	NA	NA	NA	NA
cell communication by electrical coupling involved in cardiac conduction	NA	NA	NA	NA	NA	NA
cell communication involved in cardiac conduction	NA	NA	NA	NA	NA	NA
cell cycle DNA replication	NA	NA	NA	NA	NA	NA
cell cycle DNA replication initiation	NA	NA	NA	NA	NA	NA
cell cycle G2/M phase transition	NA	NA	NA	NA	NA	NA
cell cycle checkpoint signaling	NA	NA	NA	NA	NA	NA
cell death in response to oxidative stress	NA	NA	NA	NA	NA	NA
cell differentiation involved in embryonic placenta development	NA	NA	NA	NA	NA	NA
cell differentiation involved in kidney development	NA	NA	NA	NA	NA	NA
cell fate specification	NA	NA	NA	NA	NA	NA
cell junction disassembly	NA	NA	NA	NA	NA	NA
cell killing	NA	NA	NA	NA	NA	NA
cellular carbohydrate biosynthetic process	NA	NA	NA	NA	NA	NA
cellular detoxification	NA	NA	NA	NA	NA	NA
cellular glucan metabolic process	NA	NA	NA	NA	NA	NA
cellular lipid biosynthetic process	NA	NA	NA	NA	NA	NA
cellular polysaccharide biosynthetic process	NA	NA	NA	NA	NA	NA
cellular polysaccharide metabolic process	NA	NA	NA	NA	NA	NA
cellular response to alcohol	NA	NA	NA	NA	NA	NA
cellular response to angiotensin	NA	NA	NA	NA	NA	NA
cellular response to cadmium ion	NA	NA	NA	NA	NA	NA
cellular response to carbohydrate stimulus	NA	NA	NA	NA	NA	NA
cellular response to chemokine	NA	NA	NA	NA	NA	NA
cellular response to epidermal growth factor stimulus	NA	NA	NA	NA	NA	NA
cellular response to glucose stimulus	NA	NA	NA	NA	NA	NA
cellular response to gonadotropin stimulus	NA	NA	NA	NA	NA	NA
cellular response to hexose stimulus	NA	NA	NA	NA	NA	NA
cellular response to histamine	NA	NA	NA	NA	NA	NA
cellular response to hydrogen peroxide	0	0.48159996810177214	59	0.8268210288854022	0.32065217391304346	-0.3586956521739131
cellular response to interleukin-1	NA	NA	NA	NA	NA	NA
cellular response to interleukin-6	NA	NA	NA	NA	NA	NA
cellular response to ionizing radiation	NA	NA	NA	NA	NA	NA
cellular response to light stimulus	NA	NA	NA	NA	NA	NA
cellular response to lipopolysaccharide	NA	NA	NA	NA	NA	NA
cellular response to lipoprotein particle stimulus	NA	NA	NA	NA	NA	NA
cellular response to low-density lipoprotein particle stimulus	NA	NA	NA	NA	NA	NA
cellular response to luteinizing hormone stimulus	NA	NA	NA	NA	NA	NA
cellular response to metal ion	NA	NA	NA	NA	NA	NA
cellular response to monosaccharide stimulus	NA	NA	NA	NA	NA	NA
cellular response to nutrient	NA	NA	NA	NA	NA	NA
cellular response to potassium ion	NA	NA	NA	NA	NA	NA
cellular response to reactive oxygen species	0	0.5261684777561433	47.5	0.8268210288854022	0.25815217391304346	-0.4836956521739131
cellular response to retinoic acid	NA	NA	NA	NA	NA	NA
cellular response to salt	NA	NA	NA	NA	NA	NA
cellular response to thyroid hormone stimulus	NA	NA	NA	NA	NA	NA
cellular response to toxic substance	NA	NA	NA	NA	NA	NA
cellular response to type II interferon	NA	NA	NA	NA	NA	NA
cellular response to xenobiotic stimulus	NA	NA	NA	NA	NA	NA
cellular senescence	NA	NA	NA	NA	NA	NA
centriole assembly	NA	NA	NA	NA	NA	NA
centriole replication	NA	NA	NA	NA	NA	NA
centriole-centriole cohesion	NA	NA	NA	NA	NA	NA
centromere complex assembly	NA	NA	NA	NA	NA	NA
centrosome cycle	NA	NA	NA	NA	NA	NA
centrosome duplication	NA	NA	NA	NA	NA	NA
centrosome localization	NA	NA	NA	NA	NA	NA
centrosome separation	NA	NA	NA	NA	NA	NA
ceramide transport	NA	NA	NA	NA	NA	NA
chemical synaptic transmission, postsynaptic	NA	NA	NA	NA	NA	NA
chemokine-mediated signaling pathway	NA	NA	NA	NA	NA	NA
chloride ion homeostasis	NA	NA	NA	NA	NA	NA
cholesterol metabolic process	NA	NA	NA	NA	NA	NA
cholesterol transport	NA	NA	NA	NA	NA	NA
chondrocyte differentiation	NA	NA	NA	NA	NA	NA
chromatin remodeling at centromere	NA	NA	NA	NA	NA	NA
chromosome condensation	NA	NA	NA	NA	NA	NA
chromosome localization	NA	NA	NA	NA	NA	NA
chromosome organization involved in meiotic cell cycle	NA	NA	NA	NA	NA	NA
chromosome separation	NA	NA	NA	NA	NA	NA
circadian behavior	NA	NA	NA	NA	NA	NA
circadian regulation of gene expression	NA	NA	NA	NA	NA	NA
circadian rhythm	NA	NA	NA	NA	NA	NA
cold-induced thermogenesis	NA	NA	NA	NA	NA	NA
collagen-activated signaling pathway	NA	NA	NA	NA	NA	NA
collagen-activated tyrosine kinase receptor signaling pathway	NA	NA	NA	NA	NA	NA
complement activation	NA	NA	NA	NA	NA	NA
contractile actin filament bundle assembly	NA	NA	NA	NA	NA	NA
copulation	NA	NA	NA	NA	NA	NA
cranial nerve development	NA	NA	NA	NA	NA	NA
cranial nerve morphogenesis	NA	NA	NA	NA	NA	NA
cyclic nucleotide biosynthetic process	NA	NA	NA	NA	NA	NA
cyclic nucleotide catabolic process	NA	NA	NA	NA	NA	NA
cyclic nucleotide metabolic process	NA	NA	NA	NA	NA	NA
cyclic purine nucleotide metabolic process	NA	NA	NA	NA	NA	NA
