Description	dn_aggregated_microarray_0.8	dn_aggregated_microarray_DE	dn_aggregated_microarray	GSE139871_GPL10558_MTB_control_blood_monocyte	GSE16250_GPL570_MTB_control_blood_pmbc	GSE34151_GPL10558_MTB_control_blood_dcs	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode	GSE83456_GPL10558_EPTB_control_blood	GSE83456_GPL10558_PTB_control_blood
adult locomotory behavior	NA	NA	NA	0.008894230769230769	0.009256878374903575	0.008282582216808769	NA	NA	NA
aerobic electron transport chain	NA	NA	NA	0.008173076923076924	0.01131396245821548	NA	0.010481657100074869	0.008583690987124463	0.008583690987124463
aerobic respiration	NA	NA	NA	NA	0.02108511185394703	NA	0.019715497878712254	0.01688125894134478	0.01688125894134478
aflatoxin metabolic process	NA	NA	NA	NA	0.0015428130624839291	NA	NA	NA	NA
aggresome assembly	NA	NA	NA	NA	0.0012856775520699408	NA	NA	NA	NA
alcohol biosynthetic process	0.024489795918367346	NA	NA	0.011778846153846154	0.012085368989457444	0.011936662606577345	0.013725979535812328	NA	NA
alcohol catabolic process	NA	NA	NA	NA	NA	0.00438489646772229	NA	NA	NA
alpha-amino acid catabolic process	NA	NA	NA	0.009134615384615385	NA	NA	0.009233840778637384	0.010300429184549357	0.010300429184549357
alpha-beta T cell activation	0.02312925170068027	NA	NA	NA	NA	0.01559074299634592	0.015472922385824806	0.01630901287553648	0.01630901287553648
alpha-beta T cell differentiation	0.01904761904761905	NA	NA	NA	NA	NA	NA	0.012589413447782546	0.012589413447782546
amide biosynthetic process	NA	NA	NA	0.014182692307692308	NA	NA	NA	NA	NA
amine biosynthetic process	NA	NA	NA	NA	0.004628439187451787	NA	0.005240828550037434	NA	NA
amine metabolic process	NA	NA	NA	0.01201923076923077	0.011571097968629467	0.010475030450669914	0.012228599950087347	0.012589413447782546	0.012589413447782546
amine transport	NA	0.016166281755196306	NA	0.011298076923076923	0.010285420416559526	0.011449451887941534	0.01197903668579985	0.01201716738197425	0.01201716738197425
amino acid catabolic process	NA	NA	NA	0.011298076923076923	0.009514013885317562	NA	0.010481657100074869	0.012303290414878397	0.012303290414878397
amino acid neurotransmitter reuptake	NA	NA	NA	NA	0.0017999485728979173	NA	NA	NA	NA
amino acid transport	NA	NA	NA	NA	0.014656724093597326	NA	0.013476416271524832	NA	NA
aminoglycan catabolic process	NA	NA	NA	0.0038461538461538464	NA	NA	NA	NA	NA
AMP metabolic process	NA	NA	NA	NA	NA	0.003166869671132765	NA	NA	NA
amyloid fibril formation	NA	NA	NA	0.005528846153846154	0.004885574697865775	0.005602923264311815	NA	0.0054363376251788265	0.0054363376251788265
amyloid precursor protein catabolic process	0.010884353741496598	NA	NA	0.0069711538461538465	0.006942658781177681	0.00633373934226553	0.005739955078612428	NA	NA
amyloid precursor protein metabolic process	NA	NA	NA	0.007451923076923077	0.007971200822833634	0.007551766138855055	NA	NA	NA
amyloid-beta clearance	0.00816326530612245	0.006928406466512702	NA	NA	0.00565698122910774	NA	0.004741702021462441	NA	NA
amyloid-beta clearance by transcytosis	NA	NA	NA	NA	NA	NA	NA	0.001430615164520744	0.001430615164520744
amyloid-beta formation	NA	NA	NA	0.0045673076923076926	0.004885574697865775	NA	NA	NA	NA
amyloid-beta metabolic process	0.010884353741496598	NA	NA	0.005288461538461539	0.005914116739521728	NA	0.005240828550037434	NA	NA
anatomical structure regression	NA	NA	NA	NA	0.0020570840833119054	NA	NA	NA	NA
androgen metabolic process	NA	NA	NA	NA	NA	NA	NA	0.004005722460658083	0.004005722460658083
androgen receptor signaling pathway	NA	0.009237875288683603	NA	NA	NA	0.005602923264311815	NA	0.005722460658082976	0.005722460658082976
angiogenesis involved in wound healing	0.006802721088435374	NA	NA	0.0033653846153846156	NA	NA	NA	NA	NA
angiotensin-activated signaling pathway	NA	NA	NA	NA	0.0030856261249678583	NA	NA	NA	NA
animal organ formation	0.012244897959183673	NA	NA	NA	0.007199794291591669	0.007551766138855055	NA	0.008297567954220314	0.008297567954220314
animal organ regeneration	0.014965986394557823	NA	NA	0.006730769230769231	0.006685523270763692	0.00876979293544458	0.0072373346643374095	0.009155937052932762	0.009155937052932762
anoikis	0.012244897959183673	NA	NA	NA	0.004628439187451787	NA	NA	NA	NA
anterior head development	NA	NA	NA	NA	NA	NA	0.0014973795857249812	NA	NA
antibacterial humoral response	NA	NA	NA	0.008413461538461538	0.009256878374903575	0.0097442143727162	0.010232093835787373	0.007439198855507869	0.007439198855507869
antibacterial peptide production	NA	NA	NA	NA	NA	0.001705237515225335	NA	0.0017167381974248926	0.0017167381974248926
antibody-dependent cellular cytotoxicity	NA	NA	NA	NA	NA	0.002192448233861145	NA	NA	NA
antifungal humoral response	NA	NA	NA	NA	NA	NA	0.0017469428500124782	NA	NA
antigen processing and presentation	0.01904761904761905	NA	NA	0.010817307692307692	0.010799691437387503	0.01023142509135201	0.012478163214374845	0.010872675250357653	0.010872675250357653
antigen processing and presentation of endogenous antigen	NA	NA	NA	NA	NA	NA	0.004242575492887447	NA	NA
antigen processing and presentation of endogenous peptide antigen	NA	NA	NA	NA	NA	NA	0.0027451959071624656	NA	NA
antigen processing and presentation of endogenous peptide antigen via MHC class I	NA	NA	NA	NA	NA	NA	0.0024956326428749688	NA	NA
antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway	NA	NA	NA	NA	NA	NA	0.001996506114299975	NA	NA
antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent	NA	NA	NA	NA	NA	NA	0.001996506114299975	NA	NA
antigen processing and presentation of endogenous peptide antigen via MHC class Ib	NA	NA	NA	NA	NA	NA	0.001996506114299975	NA	NA
antigen processing and presentation of exogenous antigen	0.009523809523809525	NA	NA	NA	NA	0.0060901339829476245	0.006987771400049913	NA	NA
antigen processing and presentation of exogenous peptide antigen	0.00816326530612245	NA	NA	NA	NA	0.005602923264311815	0.005240828550037434	NA	NA
antigen processing and presentation of exogenous peptide antigen via MHC class II	NA	NA	NA	NA	NA	0.0048721071863581	0.004242575492887447	NA	NA
antigen processing and presentation of lipid antigen via MHC class Ib	NA	NA	NA	NA	NA	NA	0.0014973795857249812	NA	NA
antigen processing and presentation of peptide antigen	NA	NA	NA	NA	NA	0.007308160779537149	0.007486897928624906	NA	NA
antigen processing and presentation of peptide antigen via MHC class II	NA	NA	NA	NA	NA	0.0048721071863581	0.004242575492887447	NA	NA
antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	NA	NA	NA	NA	NA	0.0048721071863581	0.004492138757174944	NA	NA
antigen processing and presentation via MHC class Ib	NA	NA	NA	NA	NA	NA	0.0034938857000249564	NA	NA
antigen processing and presentation, endogenous lipid antigen via MHC class Ib	NA	NA	NA	NA	NA	NA	0.0012478163214374844	NA	NA
antigen processing and presentation, exogenous lipid antigen via MHC class Ib	NA	NA	NA	NA	NA	NA	0.0014973795857249812	NA	NA
antigen receptor-mediated signaling pathway	0.031292517006802724	NA	NA	0.018028846153846152	0.01799948572897917	0.016565164433617538	0.018467681557274768	0.01859799713876967	0.01859799713876967
antimicrobial humoral immune response mediated by antimicrobial peptide	NA	NA	NA	0.014182692307692308	0.012856775520699408	0.018026796589524968	0.013975542800099825	0.012589413447782546	0.012589413447782546
antimicrobial humoral response	NA	NA	NA	0.01826923076923077	0.01722807919773721	0.022168087697929353	0.01921637135013726	0.015736766809728183	0.015736766809728183
antimicrobial peptide production	NA	NA	NA	NA	NA	0.00194884287454324	NA	0.0020028612303290413	0.0020028612303290413
aorta development	0.010884353741496598	NA	NA	NA	0.007456929802005657	NA	NA	NA	NA
aorta morphogenesis	0.00816326530612245	NA	NA	NA	NA	NA	NA	NA	NA
aortic valve development	0.009523809523809525	NA	NA	NA	0.005142710208279763	NA	NA	NA	NA
aortic valve morphogenesis	0.009523809523809525	NA	NA	NA	0.004885574697865775	NA	NA	NA	NA
apoptotic chromosome condensation	0.004081632653061225	NA	NA	NA	NA	NA	NA	NA	NA
apoptotic mitochondrial changes	0.027210884353741496	NA	0.05154639175257732	0.009615384615384616	0.01131396245821548	NA	NA	0.00944206008583691	0.00944206008583691
apoptotic nuclear changes	0.00816326530612245	NA	NA	NA	NA	NA	NA	NA	NA
apoptotic process involved in development	NA	NA	NA	NA	NA	NA	0.004492138757174944	NA	NA
apoptotic process involved in morphogenesis	NA	NA	NA	NA	NA	0.003166869671132765	0.0032443224357374596	NA	NA
appendage development	NA	NA	NA	NA	NA	0.01510353227771011	0.016221612178687297	0.01659513590844063	0.01659513590844063
appendage morphogenesis	NA	NA	NA	NA	NA	0.012911084043848964	0.013725979535812328	0.015164520743919885	0.015164520743919885
arachidonate metabolic process	NA	NA	NA	NA	0.00565698122910774	NA	NA	NA	NA
arachidonate secretion	NA	NA	NA	NA	NA	NA	NA	0.0034334763948497852	0.0034334763948497852
arachidonate transport	NA	NA	NA	NA	NA	NA	NA	0.0034334763948497852	0.0034334763948497852
arginine catabolic process	NA	NA	NA	NA	NA	NA	NA	0.0020028612303290413	0.0020028612303290413
artery development	0.014965986394557823	0.013279445727482679	NA	NA	0.01131396245821548	0.01023142509135201	0.012228599950087347	0.010014306151645207	0.010014306151645207
artery morphogenesis	0.012244897959183673	0.010392609699769052	NA	NA	0.008228336333247621	NA	0.008984277514349888	0.007439198855507869	0.007439198855507869
artery smooth muscle contraction	NA	0.002886836027713626	NA	NA	0.0015428130624839291	NA	NA	0.0017167381974248926	0.0017167381974248926
associative learning	NA	NA	NA	NA	0.009514013885317562	0.008282582216808769	0.008984277514349888	0.009155937052932762	0.009155937052932762
astral microtubule organization	NA	NA	NA	NA	NA	NA	NA	0.0020028612303290413	0.0020028612303290413
astrocyte activation	NA	NA	NA	0.0028846153846153848	NA	NA	NA	0.0031473533619456365	0.0031473533619456365
astrocyte development	NA	NA	NA	0.004807692307692308	0.004885574697865775	0.0048721071863581	NA	0.005150214592274678	0.005150214592274678
astrocyte differentiation	0.014965986394557823	NA	NA	0.007932692307692307	0.009514013885317562	0.00925700365408039	0.0079860244571999	0.009728183118741058	0.009728183118741058
ATF6-mediated unfolded protein response	0.005442176870748299	NA	NA	NA	NA	NA	NA	NA	NA
ATP biosynthetic process	NA	0.01212471131639723	NA	NA	0.013113911031113397	NA	0.010980783628649862	NA	NA
ATP synthesis coupled electron transport	NA	NA	NA	0.008894230769230769	0.012342504499871433	NA	0.010731220364362366	0.009728183118741058	0.009728183118741058
atrial cardiac muscle cell action potential	NA	NA	NA	0.002403846153846154	NA	NA	NA	0.002575107296137339	0.002575107296137339
atrial cardiac muscle cell membrane repolarization	NA	NA	NA	NA	0.0017999485728979173	NA	NA	NA	NA
atrial cardiac muscle cell to AV node cell communication	NA	NA	NA	0.002403846153846154	NA	NA	NA	0.002575107296137339	0.002575107296137339
atrial cardiac muscle cell to AV node cell signaling	NA	NA	NA	0.002403846153846154	NA	NA	NA	0.002575107296137339	0.002575107296137339
atrial cardiac muscle tissue development	NA	NA	NA	NA	0.00282849061455387	NA	0.0032443224357374596	NA	NA
atrioventricular valve development	NA	NA	NA	NA	0.0035998971457958345	NA	NA	0.0037195994277539344	0.0037195994277539344
atrioventricular valve morphogenesis	NA	NA	NA	NA	0.003342761635381846	NA	NA	0.0034334763948497852	0.0034334763948497852
attachment of mitotic spindle microtubules to kinetochore	0.006802721088435374	NA	NA	NA	NA	NA	NA	NA	NA
attachment of spindle microtubules to kinetochore	0.010884353741496598	NA	NA	NA	NA	NA	NA	NA	NA
autocrine signaling	NA	0.002886836027713626	NA	NA	NA	NA	NA	NA	NA
autonomic nervous system development	NA	NA	NA	NA	0.004885574697865775	NA	0.004741702021462441	NA	NA
autophagy of mitochondrion	0.0163265306122449	NA	NA	NA	NA	NA	NA	NA	NA
AV node cell action potential	NA	NA	NA	0.0016826923076923078	NA	0.001705237515225335	0.0017469428500124782	NA	NA
AV node cell to bundle of His cell communication	NA	NA	NA	NA	0.0017999485728979173	0.00194884287454324	0.0017469428500124782	NA	NA
AV node cell to bundle of His cell signaling	NA	NA	NA	0.0016826923076923078	NA	0.001705237515225335	0.0017469428500124782	NA	NA
axis elongation	NA	NA	NA	NA	NA	NA	0.003743448964312453	0.0037195994277539344	0.0037195994277539344
axon ensheathment	NA	NA	NA	NA	0.015170995114425302	NA	0.014474669328674819	NA	NA
axon extension	NA	0.013856812933025405	NA	NA	0.010542555926973516	NA	NA	NA	NA
axon regeneration	NA	NA	NA	0.00625	NA	NA	NA	NA	NA
axonogenesis involved in innervation	NA	NA	NA	NA	0.0015428130624839291	NA	NA	NA	NA
B cell activation involved in immune response	NA	NA	NA	NA	0.010285420416559526	NA	NA	0.010872675250357653	0.010872675250357653
B cell apoptotic process	0.009523809523809525	NA	NA	NA	NA	NA	NA	NA	NA
B cell differentiation	0.02312925170068027	NA	NA	0.013942307692307693	0.011828233479043456	NA	0.014474669328674819	0.014592274678111588	0.014592274678111588
B cell homeostasis	0.010884353741496598	NA	NA	NA	NA	NA	NA	NA	NA
B cell mediated immunity	NA	0.017321016166281754	NA	0.013701923076923077	0.014399588583183338	0.01510353227771011	0.013725979535812328	0.01888412017167382	0.01888412017167382
B cell proliferation	0.02312925170068027	0.013279445727482679	NA	NA	0.00977114939573155	NA	NA	0.009728183118741058	0.009728183118741058
B cell receptor signaling pathway	0.014965986394557823	NA	NA	NA	NA	NA	NA	0.008297567954220314	0.008297567954220314
base-excision repair	0.013605442176870748	NA	NA	NA	NA	NA	NA	0.005150214592274678	0.005150214592274678
base-excision repair, gap-filling	0.005442176870748299	NA	NA	NA	NA	NA	NA	NA	NA
behavioral defense response	0.00816326530612245	NA	NA	NA	NA	NA	NA	0.005150214592274678	0.005150214592274678
behavioral fear response	0.00816326530612245	NA	NA	NA	NA	NA	NA	0.004864091559370529	0.004864091559370529
behavioral response to ethanol	NA	NA	NA	NA	0.0017999485728979173	NA	NA	NA	NA
behavioral response to nicotine	NA	0.002886836027713626	NA	NA	NA	0.00146163215590743	0.0014973795857249812	NA	NA
behavioral response to pain	NA	NA	NA	NA	0.00282849061455387	0.00292326431181486	NA	NA	NA
Bergmann glial cell differentiation	NA	NA	NA	NA	0.0017999485728979173	NA	NA	NA	NA
bile acid metabolic process	NA	NA	NA	NA	NA	0.005115712545676005	NA	NA	NA
biogenic amine biosynthetic process	NA	NA	NA	NA	0.004371303677037799	NA	0.005240828550037434	NA	NA
biogenic amine metabolic process	NA	NA	NA	0.009375	0.00977114939573155	NA	0.00973296730721238	0.010014306151645207	0.010014306151645207
biological process involved in interaction with host	NA	NA	NA	0.01826923076923077	0.020056569812291078	0.0194884287454324	0.01746942850012478	0.022031473533619457	0.022031473533619457
biological process involved in interaction with symbiont	NA	NA	NA	0.011298076923076923	0.01131396245821548	0.01364190012180268	0.011729473421512353	0.010872675250357653	0.010872675250357653
biomineral tissue development	NA	NA	NA	NA	0.015942401645667268	0.01510353227771011	NA	0.015736766809728183	0.015736766809728183
blood vessel diameter maintenance	0.01904761904761905	0.01905311778290993	NA	0.01706730769230769	0.02082797634353304	0.015347137637028014	0.016471175442974793	0.01659513590844063	0.01659513590844063
blood vessel endothelial cell migration	0.0326530612244898	0.015011547344110854	NA	0.011057692307692308	0.012342504499871433	NA	0.01123034689293736	0.01201716738197425	0.01201716738197425
blood vessel remodeling	NA	NA	NA	0.004807692307692308	0.004885574697865775	0.0048721071863581	0.004741702021462441	0.005722460658082976	0.005722460658082976
BMP signaling pathway	NA	NA	NA	NA	NA	NA	NA	0.012875536480686695	0.012875536480686695
body fluid secretion	NA	0.011547344110854504	NA	0.00985576923076923	0.00977114939573155	0.009987819732034105	0.011479910157224856	0.00944206008583691	0.00944206008583691
bone growth	NA	NA	NA	NA	NA	NA	0.00399301222859995	NA	NA
bone marrow development	0.004081632653061225	NA	NA	NA	NA	NA	NA	NA	NA
bone mineralization	NA	NA	NA	NA	0.011571097968629467	0.011449451887941534	0.01123034689293736	0.0117310443490701	0.0117310443490701
bone morphogenesis	NA	NA	NA	0.009615384615384616	0.009514013885317562	NA	0.010731220364362366	0.010014306151645207	0.010014306151645207
bone remodeling	NA	0.01212471131639723	NA	NA	0.009256878374903575	0.009500609013398295	0.00873471425006239	0.008869814020028613	0.008869814020028613
bone resorption	0.012244897959183673	0.009237875288683603	NA	NA	0.006942658781177681	0.006577344701583435	0.006488644871474919	0.0068669527896995704	0.0068669527896995704
brain morphogenesis	NA	NA	NA	NA	0.004628439187451787	NA	NA	NA	NA
branch elongation of an epithelium	NA	NA	NA	NA	NA	NA	0.0029947591714499623	0.0034334763948497852	0.0034334763948497852
branched-chain amino acid catabolic process	NA	NA	NA	0.0028846153846153848	NA	NA	0.0027451959071624656	0.0034334763948497852	0.0034334763948497852
branched-chain amino acid metabolic process	NA	0.005196304849884526	NA	0.003605769230769231	NA	NA	0.00399301222859995	0.004005722460658083	0.004005722460658083
branching involved in blood vessel morphogenesis	NA	NA	NA	NA	0.0038570326562098224	NA	NA	NA	NA
branching involved in labyrinthine layer morphogenesis	NA	NA	NA	NA	NA	NA	0.001996506114299975	0.0022889842632331904	0.0022889842632331904
branching involved in mammary gland duct morphogenesis	NA	NA	NA	NA	0.003342761635381846	0.003166869671132765	0.0032443224357374596	NA	NA
branching involved in ureteric bud morphogenesis	NA	NA	NA	NA	0.006942658781177681	0.0060901339829476245	0.006738208135762416	0.0068669527896995704	0.0068669527896995704
branching morphogenesis of an epithelial tube	0.02857142857142857	0.01789838337182448	NA	0.013942307692307693	0.017485214708151196	0.01559074299634592	0.01672073870726229	0.017453505007153074	0.017453505007153074
bronchiole development	NA	NA	NA	0.001201923076923077	NA	NA	NA	NA	NA
bronchus development	NA	NA	NA	NA	0.0017999485728979173	NA	NA	NA	NA
brown fat cell differentiation	0.009523809523809525	NA	NA	0.005288461538461539	NA	NA	NA	NA	NA
bud elongation involved in lung branching	NA	NA	NA	NA	NA	NA	NA	0.001430615164520744	0.001430615164520744
C21-steroid hormone biosynthetic process	NA	NA	NA	NA	NA	NA	0.0027451959071624656	NA	NA
C21-steroid hormone metabolic process	NA	NA	NA	0.0045673076923076926	0.004371303677037799	NA	0.004492138757174944	NA	NA
calcineurin-mediated signaling	0.009523809523809525	NA	NA	NA	0.005142710208279763	0.005115712545676005	NA	NA	NA
calcineurin-NFAT signaling cascade	0.009523809523809525	NA	NA	NA	0.004885574697865775	NA	NA	NA	NA
calcium ion import	NA	NA	NA	0.008173076923076924	0.009514013885317562	NA	0.007486897928624906	0.010014306151645207	0.010014306151645207
calcium ion import across plasma membrane	NA	NA	NA	NA	0.0061712522499357166	NA	0.004242575492887447	0.004864091559370529	0.004864091559370529
calcium ion import into cytosol	NA	NA	NA	NA	0.0061712522499357166	NA	0.004242575492887447	0.004864091559370529	0.004864091559370529
calcium ion transmembrane import into cytosol	0.02312925170068027	0.021939953810623556	NA	0.019471153846153846	0.01979943430187709	0.02143727161997564	0.018717244821562267	0.02088698140200286	0.02088698140200286
calcium ion transport into cytosol	NA	0.005196304849884526	NA	0.0038461538461538464	NA	0.004628501827040195	0.004741702021462441	0.004864091559370529	0.004864091559370529
camera-type eye morphogenesis	NA	NA	NA	0.013221153846153846	NA	0.011449451887941534	0.01197903668579985	0.012303290414878397	0.012303290414878397
camera-type eye photoreceptor cell differentiation	NA	NA	NA	NA	NA	NA	NA	0.004005722460658083	0.004005722460658083
cAMP catabolic process	NA	NA	NA	NA	NA	NA	NA	0.0020028612303290413	0.0020028612303290413
cAMP metabolic process	NA	NA	NA	NA	NA	0.00292326431181486	NA	NA	NA
cAMP-mediated signaling	NA	NA	NA	0.006009615384615385	0.006428387760349704	NA	NA	0.0068669527896995704	0.0068669527896995704
cAMP/PKA signal transduction	NA	NA	NA	NA	NA	NA	NA	0.0034334763948497852	0.0034334763948497852
cannabinoid signaling pathway	NA	0.002886836027713626	NA	NA	NA	NA	NA	NA	NA
canonical glycolysis	NA	NA	NA	0.002403846153846154	NA	NA	0.0027451959071624656	0.002575107296137339	0.002575107296137339
carbohydrate biosynthetic process	NA	NA	NA	0.018509615384615385	0.018770892260221137	0.01705237515225335	0.01921637135013726	0.020028612303290415	0.020028612303290415
carbohydrate catabolic process	0.031292517006802724	NA	NA	0.01658653846153846	NA	0.015834348355663823	0.0159720489143998	NA	NA
carbohydrate derivative catabolic process	NA	0.018475750577367205	NA	NA	NA	NA	NA	NA	NA
carbohydrate transmembrane transport	NA	NA	NA	NA	0.010799691437387503	NA	NA	0.011158798283261802	0.011158798283261802
carbohydrate transport	0.021768707482993196	NA	NA	NA	NA	NA	NA	NA	NA
carbon dioxide transport	NA	NA	NA	0.002403846153846154	NA	NA	0.002246069378587472	NA	NA
cardiac cell development	NA	NA	NA	NA	0.010285420416559526	NA	NA	0.008583690987124463	0.008583690987124463
cardiac chamber development	0.024489795918367346	0.018475750577367205	NA	0.016346153846153847	0.01671380817690923	0.014859926918392205	0.015472922385824806	0.01659513590844063	0.01659513590844063
cardiac chamber morphogenesis	0.02040816326530612	0.014434180138568129	NA	0.012740384615384615	0.011571097968629467	0.01120584652862363	0.011479910157224856	0.013161659513590844	0.013161659513590844
cardiac conduction	NA	NA	NA	0.008653846153846154	0.012085368989457444	0.010475030450669914	0.009483404042924881	0.0117310443490701	0.0117310443490701
cardiac conduction system development	NA	NA	NA	0.004086538461538462	0.004628439187451787	NA	0.004741702021462441	NA	NA
cardiac epithelial to mesenchymal transition	NA	NA	NA	NA	0.0038570326562098224	NA	NA	0.004291845493562232	0.004291845493562232
cardiac left ventricle morphogenesis	NA	NA	NA	NA	NA	NA	0.002246069378587472	0.002861230329041488	0.002861230329041488
cardiac muscle adaptation	NA	0.004618937644341801	NA	NA	NA	NA	NA	0.004005722460658083	0.004005722460658083
cardiac muscle cell action potential	NA	NA	NA	0.007451923076923077	0.009256878374903575	0.01071863580998782	0.007736461192912403	0.010014306151645207	0.010014306151645207
cardiac muscle cell action potential involved in contraction	NA	NA	NA	NA	0.006942658781177681	0.008282582216808769	0.005739955078612428	0.007439198855507869	0.007439198855507869
cardiac muscle cell apoptotic process	NA	NA	NA	0.004807692307692308	NA	NA	NA	NA	NA
cardiac muscle cell contraction	NA	NA	NA	NA	0.010028284906145539	0.01120584652862363	0.008235587721487397	0.010586552217453506	0.010586552217453506
cardiac muscle cell development	NA	NA	NA	NA	0.00977114939573155	NA	NA	NA	NA
cardiac muscle cell differentiation	NA	NA	NA	NA	0.012856775520699408	NA	NA	0.010872675250357653	0.010872675250357653
cardiac muscle cell membrane repolarization	NA	NA	NA	NA	0.005142710208279763	NA	NA	0.004577968526466381	0.004577968526466381
cardiac muscle cell proliferation	0.009523809523809525	NA	NA	NA	0.005914116739521728	0.00535931790499391	NA	NA	NA
cardiac muscle contraction	NA	0.015011547344110854	NA	0.012740384615384615	0.016970943687323218	0.018026796589524968	0.014474669328674819	0.017167381974248927	0.017167381974248927
cardiac muscle hypertrophy	0.0163265306122449	NA	NA	0.007692307692307693	0.00977114939573155	0.00779537149817296	NA	0.00944206008583691	0.00944206008583691
