study_id	platform_id	tb_status	time_point	tissue_cell_type	sample_origin	tissue_category	series_id	SIGNATURE_NAME	EXPRMAT_PATH	signature	up_genes_num	dn_genes_num	technology	number	ID
GSE148731	NA	MTB	NA	blood_monocytes	primary	circulating	GSE148731	GSE148731_MTB_control_blood_monocytes	data/RNAseq_data_forDE/expression_matrices/GSE148731.tsv	1	206	89	RNAseq	21	signature_21
GSE148171	NA	MTB	NA	blood_PBMC	primary	circulating	GSE148171	GSE148171_MTB_control_blood_PBMC	data/RNAseq_data_forDE/expression_matrices/GSE148171.tsv	1	211	28	RNAseq	22	signature_22
GSE174566	NA	MTB	NA	blood_PBMC	primary	circulating	GSE174566	GSE174566_MTB_control_blood_PBMC	data/RNAseq_data_forDE/expression_matrices/GSE174566.tsv	1	225	79	RNAseq	23	signature_23
GSE198557	NA	MTB	NA	blood_PBMC	primary	circulating	GSE198557	GSE198557_MTB_control_blood_PBMC	data/RNAseq_data_forDE/expression_matrices/GSE198557.tsv	1	252	28	RNAseq	24	signature_24
GSE193777	NA	MTB	NA	blood_whole_blood	primary	circulating	GSE193777	GSE193777_MTB_control_blood	data/RNAseq_data_forDE/expression_matrices/GSE193777.tsv	1	226	101	RNAseq	25	signature_25
GSE84076	NA	MTB	NA	blood_whole_blood	primary	circulating	GSE84076	GSE84076_MTB_control_blood	data/RNAseq_data_forDE/expression_matrices/GSE84076.tsv	1	17	6	RNAseq	26	signature_26
GSE143627	NA	MTB	NA	PBMC_macrophage	primary	circulating	GSE143627	GSE143627_MTB_control_PBMC_macrophage	data/RNAseq_data_forDE/expression_matrices/GSE143627.tsv	1	97	81	RNAseq	27	signature_27
GSE165708	NA	MTB	NA	BAL_bronchoalveolar_lavage	primary	lung	GSE165708	GSE165708_MTB_control_BAL_bronchoalveolar_lavage	data/RNAseq_data_forDE/expression_matrices/GSE165708.tsv	1	23	1	RNAseq	28	signature_28
GSE236156	NA	MTB	NA	BALF_alveolar_macrophage	primary	lung	GSE236156	GSE236156_MTB_control_BALF_alveolar_macrophage	data/RNAseq_data_forDE/expression_matrices/GSE236156.tsv	1	98	83	RNAseq	29	signature_29
GSE112482	NA	MTB	NA	lung_ILC1	primary	lung	GSE112482	GSE112482_MTB_control_lung_ILC1	data/RNAseq_data_forDE/expression_matrices/GSE112482.tsv	1	1	2	RNAseq	30	signature_30
GSE112482	NA	MTB	NA	lung_ILC2	primary	lung	GSE112482	GSE112482_MTB_control_lung_ILC2	data/RNAseq_data_forDE/expression_matrices/GSE112482.tsv	1	1	2	RNAseq	31	signature_31
GSE112482	NA	MTB	NA	lung_ILC3neg	primary	lung	GSE112482	GSE112482_MTB_control_lung_ILC3neg	data/RNAseq_data_forDE/expression_matrices/GSE112482.tsv	1	1	2	RNAseq	32	signature_32
GSE112482	NA	MTB	NA	lung_ILC3pos	primary	lung	GSE112482	GSE112482_MTB_control_lung_ILC3pos	data/RNAseq_data_forDE/expression_matrices/GSE112482.tsv	1	1	2	RNAseq	33	signature_33
GSE112482	NA	MTB	NA	lung_NK	primary	lung	GSE112482	GSE112482_MTB_control_lung_NK	data/RNAseq_data_forDE/expression_matrices/GSE112482.tsv	1	1	2	RNAseq	34	signature_34
GSE112482	NA	MTB	NA	lung_susp	primary	lung	GSE112482	GSE112482_MTB_control_lung_susp	data/RNAseq_data_forDE/expression_matrices/GSE112482.tsv	1	1	2	RNAseq	35	signature_35
NA	NA	NA	NA	NA	NA	NA	NA	aggregated_microarray	NA	1	98	98	microarray	36	aggregated_microarray
NA	NA	NA	NA	NA	NA	NA	NA	aggregated_RNAseq	NA	1	98	98	RNAseq	37	aggregated_RNAseq
