GSM484450,GSM484453,GSM484454,GSM484457,GSM484462,GSM484477,GSM484479,GSM409137,GSM409138,GSM409139,GSM4147990,GSM4147991,GSM4147992,GSM4147993,GSM4147994,GSM4147995,GSM4147996,GSM4147997,GSM4147998,GSM4147999,GSM4148000,GSM4148001,GSM4148002,GSM4148003,GSM1327541,GSM1327542,GSM1327544,GSM1327546,GSM1327549,GSM1327550,GSM435905,GSM435906,GSM435907,GSM435908,GSM484603,GSM484604,GSM484612,GSM484613,GSM484622,GSM484634,GSM484644,GSM484647,GSM484369,GSM484370,GSM484371,GSM484372,GSM484373,GSM484374,GSM484375,GSM484377,GSM484378,GSM484379,GSM1646957,GSM1646961,GSM1646975,GSM1646980,GSM1647012,GSM1647013,GSM1647024,GSM1647025,GSM1647037,GSM1647038,GSM1647049,GSM1647052,GSM1647058,GSM1647064,GSM1647066,GSM1647073,GSM1647083,GSM1647087,GSM3001092,GSM3001093,GSM3001094,GSM3745998,GSM3746000,GSM3746002,GSM3746004,GSM3746007,GSM3746011,GSM4772905,GSM4772906,GSM4772907,GSM4772908,GSM4772909,GSM4772910,GSM4772911,GSM4772912,GSM4772913,GSM4772914,GSM4772915,GSM4772916,GSM4772917,GSM4772918,GSM4772919,GSM4772920,GSM4772921,GSM4772922,GSM4772923,GSM4772924,GSM4772925,GSM4772926,GSM4772927,GSM4772928,GSM4772929,GSM4772930,GSM4772931,GSM4772932,GSM4772933,GSM4772934,GSM4772935,GSM4772936,GSM4772937,GSM4772938,GSM4772939,GSM4772940,GSM4772941,GSM4772942,GSM4455463,GSM4455464,GSM4455465,GSM4455466,GSM5952187,GSM5952188,GSM5952189,GSM5952190,GSM5952191,GSM3071061,GSM3071063,GSM3071065,GSM3071067,GSM3071069,GSM3071071,GSM3071073,GSM3071075,GSM3071079,GSM3071081,GSM3071083,GSM3071085,GSM3071087,GSM3071091,GSM3071093,GSM3071095,GSM3071097,GSM3071099,GSM3071103,GSM3071105,GSM3071107,GSM3071109,GSM3071111,GSM3071115,GSM3071117,GSM3071119,GSM3071121,GSM3071123,GSM3071125,GSM3071127,GSM3071129,GSM3071131,GSM3071133,GSM3071137,GSM3071139,GSM3071141,GSM3071143,GSM3071145,GSM3071147,GSM3071149,GSM3071151,GSM2226808,GSM2226825,GSM2226829,GSM2226832,GSM3070965,GSM3070967,GSM3070969,GSM3070971,GSM3070973,GSM3070975,GSM3070977,GSM3070979,GSM3070981,GSM3070983,GSM3070985,GSM3070987,GSM3070989,GSM3070991,GSM3070993,GSM3070995,GSM3070997,GSM3070999,GSM3071001,GSM3071003,GSM3071005,GSM3071007,GSM3071009,GSM3071011,GSM3071013,GSM3071015,GSM3071017,GSM3071019,GSM3071021,GSM3071023,GSM3071025,GSM3071027,GSM3071029,GSM3071031,GSM3071033,GSM3071035,GSM3071037,GSM3071039,GSM3071041,GSM3071043,GSM3071045,GSM3071047,GSM3071049,GSM3071051,GSM3071053,GSM3071055,GSM3071057,GSM3071059
BT20,NPC.TAK,A375,HA1E,HUVEC,ASC.C,NPC.CAS9,MNEU.E,ASC,MCF10A,MCF10A,MCF10A,MCF10A,MCF10A,JURKAT,LNCAP,HS578T,SKBR3,HS578T,YAPC,SKBR3,HS578T,SKBR3,SKBR3,A549,A375,YAPC,A549,A375,A549,HELA,SKBR3,SKBR3,HELA,NPC.CAS9,A549,A375,A375,HELA,HA1E,BT20,A375,HA1E,A375,NPC.TAK,SKL.C,HA1E,NPC.CAS9,HELA,HA1E,A375,HA1E,ASC,SKBR3,A549,BT20,HUVEC,SKL,LNCAP,SKL.C,ASC,ASC.C,LNCAP,HUVEC,SKL.C,SKBR3,A549,SKL,SKBR3,A549,NPC.CAS9,BT20,BT20,HUVEC,HUVEC,SKBR3,MDAMB231,HUVEC,HUVEC,MCF10A,MCF10A,HS578T,HS578T,HS578T,MCF10A,MCF10A,MCF10A,HME1,HME1,MCF10A,HME1,MCF10A,MCF10A,MCF10A,MCF10A,MCF10A,MCF10A,HS578T,HME1,MCF10A,MCF10A,HS578T,MCF10A,MCF10A,MCF10A,MCF10A,MCF10A,MCF10A,MCF10A,HS578T,ASC,MCF10A,HS578T,HS578T,MCF10A,HS578T,MCF10A,ASC.C,LNCAP,ASC.C,ASC,LNCAP,ASC.C,ASC,MCF10A,ASC.C,HS578T,HA1E,HS578T,A549,JURKAT,A549,A549,A549,HS578T,ASC,ASC,A549,A549,HS578T,HS578T,HS578T,A549,A549,JURKAT,JURKAT,MCF10A,HS578T,A549,HS578T,SKBR3,JURKAT,HUVEC,A549,A549,A549,A549,HUVEC,A549,A549,A549,A549,A549,JURKAT,ASC,HS578T,HUVEC,MDAMB231,NEU,ASC,NEU,HUVEC,HS578T,A549,A549,JURKAT,A549,A549,HUVEC,SKBR3,MCF10A,MCF10A,A549,A549,HUVEC,A549,A549,HUVEC,A549,SKBR3,A549,HS578T,JURKAT,MCF10A,A549,A549,A549,SKBR3,A549,JURKAT,A549,MCF10A,A549,A549,A549,SKBR3,A549,A549,A549,JURKAT,HS578T,LNCAP,A549,MCF10A,JURKAT,JURKAT,LNCAP,A549,A549
NPC.TAK,HA1E,CD34,NPC.TAK,HELA,HUVEC,CD34,A549,A375,A375,HS578T,LNCAP,LNCAP,SKBR3,HS578T,SKBR3,SKBR3,HS578T,JURKAT,SKBR3,LNCAP,JURKAT,LNCAP,HS578T,MNEU.E,MNEU.E,A549,MNEU.E,YAPC,YAPC,SKBR3,HELA,HS578T,CD34,PC3,NPC.CAS9,HELA,HA1E,HA1E,A549,CD34,NPC.CAS9,HELA,NPC.TAK,A549,NPC.TAK,NPC.TAK,HELA,HA1E,A549,A549,SKL,SKBR3,HUVEC,HEPG2,HUVEC,ASC,JURKAT,BT20,HCC515,SKBR3,LNCAP,ASC,ASC,LNCAP,LNCAP,SKBR3,JURKAT,ASC,BT20,BT20,A549,A549,CD34,SKBR3,A375,CD34,SKBR3,SKBR3,HS578T,HS578T,MCF10A,MCF10A,MCF10A,HS578T,HS578T,HS578T,HS578T,HS578T,HS578T,HS578T,HS578T,HS578T,BT20,HS578T,HS578T,HS578T,BT20,HS578T,HS578T,HS578T,MCF10A,HS578T,BT20,HS578T,HS578T,HS578T,HS578T,HS578T,MCF10A,BT20,HS578T,MCF10A,ASC,HS578T,ASC,HME1,NEU,BT20,BT20,SKBR3,BT20,BT20,SKBR3,SKBR3,SKBR3,YAPC,BT20,LNCAP,SKBR3,A549,HELA,BT20,HCC515,LNCAP,A375,LNCAP,HCC515,HA1E,LNCAP,LNCAP,SKBR3,SKBR3,BT20,A549,A549,A549,SKBR3,SKBR3,A549,BT20,SKBR3,JURKAT,SKBR3,SKBR3,JURKAT,SKBR3,SKBR3,HCC515,SKBR3,JURKAT,SKBR3,HCC515,LNCAP,A549,SKBR3,ASC,NEU,HS578T,HS578T,A375,YAPC,SKBR3,YAPC,YAPC,YAPC,HCC515,JURKAT,HCC515,A549,HCC515,HCC515,HCC515,SKBR3,A549,SKBR3,SKBR3,LNCAP,HCC515,LNCAP,CD34,A549,SKBR3,A549,HCC515,HCC515,SKBR3,YAPC,BT20,A549,HCC515,SKBR3,HCC515,SKBR3,HCC515,A549,HCC515,JURKAT,SKBR3,A549,LNCAP,HS578T,SKBR3,A549,A549,A549,HS578T,SKBR3,HCC515
HELA,ASC.C,NPC.TAK,A549,HA1E,SKL,HUVEC,HUVEC,NEU,HELA,A375,A375,A375,LNCAP,LNCAP,JURKAT,YAPC,JURKAT,SKBR3,HS578T,HS578T,YAPC,A375,YAPC,YAPC,A549,A375,YAPC,A549,A375,HS578T,HS578T,HELA,ASC.C,NPC,NPC,NPC.CAS9,NPC,SKL.C,NPC.TAK,MCF7,CD34,MCF7,HA1E,SKL.C,A375,HELA,SKL.C,NPC.TAK,HELA,NPC.TAK,ASC.C,LNCAP,LNCAP,BT20,HME1,HEPG2,HUVEC,HEPG2,HEPG2,BT20,HEPG2,HEPG2,SKL.C,JURKAT,HEPG2,HEPG2,SKL.C,HEPG2,HEPG2,NPC,NPC.TAK,NPC.CAS9,MDAMB231,MDAMB231,MDAMB231,HT29,MDAMB231,MDAMB231,BT20,BT20,BT20,BT20,BT20,BT20,BT20,BT20,BT20,BT20,BT20,BT20,BT20,BT20,HS578T,BT20,BT20,BT20,MCF10A,BT20,BT20,BT20,BT20,BT20,HS578T,BT20,BT20,BT20,BT20,BT20,BT20,HS578T,BT20,BT20,BT20,BT20,BT20,BT20,BT20,ASC.C,LNCAP,BT20,ASC.C,LNCAP,BT20,BT20,MNEU.E,SKBR3,A549,A549,HUES3,SKBR3,YAPC,HCC515,YAPC,A549,SKBR3,SKBR3,SKBR3,HCC515,SKBR3,A375,ASC,HCC515,HCC515,SKBR3,SKBR3,SKBR3,BT20,LNCAP,SKBR3,A549,A549,YAPC,LNCAP,JURKAT,SKBR3,JURKAT,LNCAP,HA1E,HCC515,SKBR3,JURKAT,SKBR3,A549,LNCAP,A549,SKBR3,NPC,ASC,A375,HS578T,HUES3,YAPC,HCC515,HCC515,MCF10A,YAPC,YAPC,A549,BT20,SKBR3,HEPG2,SKBR3,HCC515,BT20,HUES3,HUES3,HS578T,YAPC,A549,LNCAP,LNCAP,LNCAP,SKBR3,SKBR3,BT20,YAPC,A549,SKBR3,SKBR3,YAPC,LNCAP,SKBR3,LNCAP,SKBR3,MCF10A,YAPC,LNCAP,YAPC,A375,YAPC,A549,HCC515,LNCAP,LNCAP,HCC515,SKBR3,HS578T,SKBR3
NPC.CAS9,A375,SKL.C,A375,NPC.TAK,NPC.CAS9,ASC.C,ASC,NPC.CAS9,A549,HT29,HT29,HT29,A375,A375,HS578T,A375,LNCAP,A375,A375,JURKAT,SKBR3,JURKAT,JURKAT,A375,YAPC,MNEU.E,A375,HELA,MNEU.E,SKL,YAPC,YAPC,HA1E,A375,CD34,HA1E,A549,A375,SKL.C,NPC.TAK,PC3,A375,CD34,NPC.CAS9,NPC.CAS9,CD34,NPC,A375,CD34,CD34,NPC.CAS9,HEPG2,HEPG2,HCC515,HEPG2,HCC515,SKL.C,HCC515,HME1,HEPG2,BT20,SKL.C,HCC515,BT20,HCC515,BT20,HCC515,BT20,ASC,HUES3,NPC.CAS9,NPC.TAK,HT29,HT29,HS578T,HUVEC,HT29,HT29,LNCAP,LNCAP,LNCAP,LNCAP,LNCAP,LNCAP,LNCAP,LNCAP,LNCAP,LNCAP,LNCAP,LNCAP,LNCAP,LNCAP,LNCAP,LNCAP,LNCAP,LNCAP,LNCAP,LNCAP,LNCAP,LNCAP,LNCAP,LNCAP,LNCAP,LNCAP,LNCAP,LNCAP,LNCAP,LNCAP,LNCAP,LNCAP,LNCAP,LNCAP,LNCAP,LNCAP,LNCAP,LNCAP,NPC,A375,ASC,NEU,A375,ASC,NEU,ASC.C,ASC,HCC515,HCC515,A375,HA1E,HCC515,SKBR3,SKBR3,SKBR3,SKBR3,LNCAP,MNEU.E,BT20,BT20,A375,SKBR3,MNEU.E,LNCAP,HA1E,A375,BT20,A375,A549,BT20,A375,YAPC,A375,SKBR3,HEPG2,LNCAP,A375,BT20,YAPC,SKBR3,YAPC,A375,YAPC,BT20,SKBR3,SKBR3,LNCAP,A375,MNEU.E,A375,NEU,ASC,JURKAT,HCC515,SKBR3,HEPG2,HUES3,SKBR3,HA1E,MCF10A,HCC515,HELA,SKBR3,BT20,YAPC,HCC515,JURKAT,BT20,YAPC,HA1E,HUVEC,HUES3,SKBR3,A549,HS578T,BT20,HA1E,HCC515,HA1E,YAPC,A375,SKBR3,A549,YAPC,YAPC,BT20,LNCAP,BT20,SKBR3,HCC515,YAPC,SKBR3,A375,BT20,SKBR3,SKBR3,SKBR3,A375,LNCAP,BT20
CD34,MCF7,ASC.C,ASC.C,A375,A375,NPC,MCF10A,A549,NPC.CAS9,SKBR3,YAPC,YAPC,HT29,SKBR3,A375,JURKAT,A375,LNCAP,HT29,A375,A375,HS578T,A375,HS578T,HELA,HS578T,HELA,MNEU.E,HELA,YAPC,HT29,HT29,HT29,A549,HA1E,ASC.C,CD34,CD34,NPC.CAS9,A549,SKL.C,NPC.CAS9,NPC.CAS9,A375,HA1E,A375,A549,SKBR3,NPC.CAS9,ASC.C,PC3,HCC515,HCC515,JURKAT,HCC515,LNCAP,BT20,SKL.C,HUVEC,HCC515,HCC515,HCC515,BT20,HEPG2,BT20,HCC515,BT20,LNCAP,HCC515,NPC.TAK,NPC,NPC,HA1E,HS578T,HT29,A549,HELA,HELA,HCC515,HCC515,HCC515,HCC515,HCC515,HCC515,HCC515,HCC515,A549,A549,HCC515,HCC515,HCC515,HCC515,HCC515,NEU,HCC515,HCC515,HCC515,HCC515,A549,A549,HCC515,HCC515,HCC515,HCC515,HCC515,HCC515,HCC515,NEU,HCC515,NEU,HCC515,A549,A375,NEU,HCC515,HCC515,MNEU.E,NPC,A375,A375,NPC,A375,A375,NPC,BT20,PC3,MNEU.E,SKBR3,BT20,A375,HCC515,YAPC,BT20,A375,A549,A549,YAPC,SKBR3,A549,MNEU.E,A375,HEPG2,YAPC,LNCAP,LNCAP,MNEU.E,LNCAP,HCC515,MNEU.E,JURKAT,MNEU.E,HCC515,BT20,HCC515,HCC515,LNCAP,HELA,YAPC,BT20,HCC515,PC3,YAPC,A375,BT20,A375,A549,HS578T,MNEU.E,BT20,MNEU.E,HCC515,HEPG2,HEPG2,PC3,A375,HA1E,BT20,YAPC,YAPC,HA1E,BT20,YAPC,JURKAT,LNCAP,BT20,YAPC,A375,SKBR3,HCC515,YAPC,YAPC,A375,A375,HA1E,SKBR3,HEPG2,HCC515,HA1E,YAPC,BT20,MNEU.E,BT20,A375,YAPC,YAPC,SKBR3,HA1E,BT20,SKBR3,A375,SKBR3,YAPC,A375,A375,BT20,YAPC,YAPC,YAPC
SKL,BT20,NPC.CAS9,HUVEC,SKL,MCF7,SKL,MDAMB231,NPC,YAPC,LNCAP,SKBR3,SKBR3,HS578T,YAPC,YAPC,LNCAP,YAPC,YAPC,LNCAP,YAPC,LNCAP,YAPC,LNCAP,HELA,SKBR3,HELA,HS578T,SKBR3,HS578T,HT29,HA1E,HA1E,YAPC,SKL.C,SKL.C,NPC,HUVEC,ASC.C,ASC.C,HA1E,HUVEC,BT20,HUVEC,NPC,BT20,NPC.CAS9,A375,BT20,ASC.C,NPC.CAS9,NPC,BT20,BT20,HUVEC,LNCAP,BT20,HCC515,JURKAT,JURKAT,A375,ASC,BT20,HEPG2,HCC515,ASC,LNCAP,HUVEC,HCC515,LNCAP,A375,HUES3,CD34,HS578T,A549,A549,BT20,A549,HA1E,A549,A549,A549,A549,A549,A549,A549,A549,HCC515,HCC515,A549,A549,A549,A549,A549,HCC515,A549,NEU,A549,A549,HCC515,HCC515,A549,A549,NEU,NEU,A549,HT29,A549,HCC515,A549,HCC515,A549,HCC515,HCC515,HCC515,A549,A549,ASC,NPC.CAS9,NEU,HCC515,NPC.CAS9,NEU,HCC515,ASC,A375,LNCAP,YAPC,MNEU.E,HCC515,YAPC,A375,HEPG2,HA1E,YAPC,HUES3,A375,HA1E,YAPC,MNEU.E,A549,BT20,BT20,SKBR3,BT20,A375,HCC515,A375,HEPG2,LNCAP,LNCAP,BT20,LNCAP,HCC515,A375,YAPC,YAPC,HCC515,HELA,PC3,YAPC,HELA,HA1E,BT20,A375,BT20,BT20,NPC.CAS9,NPC,HCC515,NPC,A375,LNCAP,HELA,SKBR3,HCC515,HEPG2,HUES3,LNCAP,HEPG2,YAPC,NEU,HA1E,LNCAP,YAPC,YAPC,LNCAP,HUES3,PC3,A375,A375,HUES3,HUES3,YAPC,YAPC,A375,PC3,BT20,LNCAP,LNCAP,HA1E,A375,HEPG2,BT20,HA1E,HCC515,HA1E,YAPC,JURKAT,HA1E,A549,YAPC,HA1E,HCC515,HCC515,LNCAP,A549,A375,HEPG2
HA1E,HUVEC,BT20,NPC.CAS9,A549,A549,HELA,PC3,HELA,NEU,YAPC,HS578T,HS578T,YAPC,HT29,HT29,HT29,HT29,HT29,JURKAT,HT29,HT29,HT29,HT29,SKBR3,HS578T,SKBR3,SKBR3,HS578T,SKBR3,HA1E,SKL,SKL,HUVEC,SKBR3,ASC.C,A549,SKL.C,A549,NPC,NPC.CAS9,MCF7,A549,BT20,ASC.C,ASC.C,SKL,HUES3,HUVEC,NPC,NPC,HUVEC,JURKAT,JURKAT,HME1,JURKAT,JURKAT,A375,ASC,BT20,LNCAP,JURKAT,JURKAT,JURKAT,A375,JURKAT,A375,ASC,A375,A375,ASC,CD34,HUES3,A549,BT20,HELA,HELA,HA1E,A549,NEU,HT29,A375,NEU,NEU,NEU,A375,A375,A375,A375,HT29,A375,NEU,A375,NEU,MNEU.E,NEU,A549,A375,NEU,A375,A375,A375,NEU,HT29,A549,NEU,A375,A375,MNEU.E,NEU,HT29,A375,A375,A549,A375,A375,A375,A375,NEU,NPC,MNEU.E,NEU,NPC,MNEU.E,A375,A549,HA1E,SKBR3,YAPC,YAPC,LNCAP,JURKAT,HA1E,HEPG2,HCC515,YAPC,HUES3,HEPG2,HEPG2,YAPC,YAPC,HUES3,YAPC,HEPG2,HCC515,YAPC,BT20,MNEU.E,YAPC,YAPC,HCC515,HCC515,PC3,YAPC,BT20,HUES3,A375,A375,BT20,JURKAT,HA1E,HCC515,HEPG2,HA1E,HUES3,HUES3,HUES3,ASC,BT20,MNEU.E,BT20,HA1E,PC3,BT20,HA1E,HA1E,BT20,MNEU.E,HEPG2,HUES3,LNCAP,HUES3,LNCAP,A375,HEPG2,LNCAP,A375,SKBR3,HEPG2,YAPC,SKBR3,A375,HCC515,HCC515,A375,PC3,LNCAP,A375,HCC515,HCC515,HEPG2,YAPC,PC3,HA1E,PC3,A375,HEPG2,A375,LNCAP,HCC515,MNEU.E,HUES3,HEPG2,BT20,YAPC,A375,HT29,HCC515,PC3
HUVEC,NPC.CAS9,HUVEC,SKL,BT20,NPC,A549,HELA,NPC.TAK,NPC.TAK,PC3,PC3,PC3,PC3,PC3,PC3,PC3,HEPG2,HEPG2,PC3,PC3,PC3,PC3,PC3,HUES3,HUES3,PC3,HUES3,PC3,PC3,SKL.C,SKL.C,HUVEC,NPC.CAS9,ASC.C,HUVEC,SKL,SKBR3,HUVEC,HUVEC,SKL,SKBR3,HUVEC,ASC.C,HUVEC,NPC,HUVEC,HUVEC,ASC.C,HUVEC,HUVEC,BT20,A375,A375,A375,A375,A375,ASC,A375,A375,HA1E,A375,A375,A375,ASC,A375,HA1E,A375,JURKAT,JURKAT,HCC515,HCC515,HCC515,HELA,HA1E,HA1E,HA1E,HS578T,HS578T,A375,A375,HT29,A375,A375,A375,HT29,HT29,HT29,HT29,A375,HT29,A375,HT29,HT29,A375,A375,A375,NEU,A375,NEU,HT29,NEU,A375,A549,A375,HT29,A549,HT29,A375,HT29,A375,NEU,NEU,NEU,A549,HT29,NEU,NPC.CAS9,A549,HT29,A549,A549,HT29,A549,NPC.TAK,YAPC,HELA,HEPG2,HA1E,NEU,HA1E,HA1E,LNCAP,HELA,HUES3,BT20,YAPC,HELA,HELA,BT20,HUES3,A549,A375,A375,YAPC,HCC515,LNCAP,HCC515,A375,HCC515,A375,HA1E,HELA,A375,YAPC,HA1E,HCC515,HEPG2,PC3,A375,LNCAP,HA1E,A375,YAPC,HA1E,YAPC,MNEU.E,BT20,NPC.CAS9,NPC,NPC.CAS9,HELA,HELA,PC3,HUES3,PC3,HELA,SKBR3,HA1E,HELA,BT20,JURKAT,HEPG2,HA1E,PC3,HEPG2,HCC515,HCC515,BT20,PC3,HA1E,HCC515,HA1E,HELA,HEPG2,HELA,BT20,PC3,HUES3,HA1E,PC3,HCC515,A375,HCC515,HELA,HA1E,PC3,HCC515,HEPG2,LNCAP,HA1E,HA1E,PC3,HA1E,HA1E,YAPC,HCC515,PC3,HA1E
A375,NPC,NPC,NPC,ASC,HELA,A375,HA1E,YAPC,NPC,MNEU.E,HELA,HELA,HELA,HEPG2,HEPG2,HEPG2,PC3,PC3,HEPG2,HEPG2,HEPG2,HCC515,HEPG2,PC3,PC3,HCC515,PC3,HUES3,HCC515,HUVEC,HUVEC,SKL.C,PC3,HUVEC,BT20,HUVEC,ASC.C,SKBR3,SKBR3,MDAMB231,BT20,NPC,NPC,BT20,HUVEC,BT20,SKBR3,SKL,SKL,SKL,A549,HT29,YAPC,HELA,HELA,HA1E,HT29,HA1E,HELA,HT29,HA1E,HELA,HELA,HUES3,HA1E,JURKAT,HT29,HA1E,HA1E,YAPC,A375,A375,BT20,HELA,BT20,HS578T,HCC515,YAPC,MNEU.E,NEU,NEU,HT29,MNEU.E,HT29,NEU,NEU,NEU,MNEU.E,HEPG2,MNEU.E,HT29,NEU,A375,A549,HT29,HT29,HT29,HT29,HT29,MNEU.E,HT29,HT29,A375,HT29,MNEU.E,NEU,NEU,A549,A375,MNEU.E,HT29,HT29,HT29,HT29,NEU,MNEU.E,NPC.TAK,HCC515,HCC515,YAPC,HCC515,HCC515,YAPC,NPC.CAS9,HCC515,HEPG2,HELA,HUES3,NPC.TAK,HUES3,BT20,PC3,A375,BT20,HCC515,BT20,A375,A375,HCC515,NEU,YAPC,HELA,HELA,MNEU.E,HA1E,HA1E,YAPC,HELA,BT20,HEPG2,YAPC,A375,HELA,HA1E,BT20,HUES3,BT20,A375,LNCAP,BT20,A375,LNCAP,HUES3,HCC515,MNEU.E,HCC515,HUES3,LNCAP,A549,HT29,PC3,BT20,A375,HELA,HELA,A375,HCC515,NEU,PC3,HEPG2,HA1E,PC3,BT20,HA1E,A375,HA1E,HELA,HELA,HELA,PC3,PC3,YAPC,HUES3,LNCAP,YAPC,A375,HEPG2,A375,MNEU.E,A375,HELA,HA1E,JURKAT,LNCAP,HELA,A375,BT20,A375,MNEU.E,HUES3,HCC515,LNCAP,YAPC,BT20,HEPG2,MNEU.E,HA1E,LNCAP
A549,SKL,SKBR3,BT20,NPC.CAS9,ASC,BT20,A375,MDAMB231,MDAMB231,HEPG2,HCC515,HEPG2,HEPG2,HA1E,HCC515,HCC515,HCC515,HA1E,HCC515,HCC515,HCC515,HEPG2,HCC515,HCC515,HT29,HT29,HCC515,HT29,HT29,ASC,ASC,ASC,SKL.C,BT20,SKBR3,SKBR3,BT20,SKL,SKL,NPC,HME1,SKL,HUES3,HUES3,SKBR3,NPC,BT20,NPC.CAS9,BT20,ASC,A375,HA1E,HA1E,HA1E,HA1E,HT29,HA1E,HELA,HA1E,HUES3,HT29,HA1E,HA1E,HA1E,HT29,HT29,HELA,HT29,HUES3,SKBR3,YAPC,SKBR3,HCC515,HCC515,HCC515,HEPG2,YAPC,BT20,HT29,MNEU.E,MNEU.E,MNEU.E,HT29,HEPG2,MNEU.E,MNEU.E,MNEU.E,NEU,NEU,NEU,MNEU.E,MNEU.E,MNEU.E,HT29,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,NEU,MNEU.E,MNEU.E,MNEU.E,MNEU.E,A375,MNEU.E,MNEU.E,HT29,MNEU.E,A549,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,HT29,LNCAP,NPC.TAK,A549,NPC,NPC.TAK,A549,NPC,HT29,NPC,A375,HUES3,HCC515,HELA,HELA,NEU,HELA,PC3,HA1E,HA1E,NPC,PC3,PC3,HUES3,BT20,NPC,HA1E,PC3,HUES3,MNEU.E,YAPC,HUES3,HA1E,HA1E,HELA,LNCAP,HA1E,HA1E,HELA,HELA,HEPG2,HA1E,HEPG2,HEPG2,HELA,LNCAP,HELA,HCC515,YAPC,HCC515,YAPC,HT29,HT29,YAPC,HUES3,SKBR3,HUES3,MCF7,A375,SKBR3,PC3,A375,PC3,LNCAP,A375,LNCAP,HELA,PC3,HUES3,HCC515,PC3,HA1E,A375,BT20,HELA,HA1E,BT20,MNEU.E,PC3,LNCAP,JURKAT,LNCAP,HEPG2,HUES3,HELA,HT29,LNCAP,HELA,HEPG2,BT20,HELA,HELA,HELA,HELA,BT20,MNEU.E,A375,MNEU.E,HEPG2,MCF7,HUES3,HT29,A375
NPC,ASC,SKL,ASC,NPC,HUES3,HUES3,HS578T,PC3,HCC515,HELA,HEPG2,HCC515,HCC515,HCC515,HA1E,HA1E,HA1E,HCC515,HA1E,HELA,HA1E,HA1E,HA1E,HT29,HCC515,HUES3,HT29,HCC515,HUES3,PC3,PC3,PC3,NPC,SKL,ASC,ASC,ASC,ASC,ASC,HELA,ASC,SKBR3,SKBR3,SKBR3,HUES3,HUES3,SKL,NPC,SKBR3,BT20,ASC,PC3,PC3,MCF7,YAPC,HELA,YAPC,HT29,HT29,JURKAT,HELA,YAPC,YAPC,HT29,HUES3,YAPC,HA1E,YAPC,HT29,HELA,SKBR3,YAPC,HEPG2,HEPG2,HEPG2,HCC515,BT20,HCC515,HEPG2,YAPC,HEPG2,YAPC,YAPC,MNEU.E,HEPG2,HEPG2,HEPG2,HEPG2,MNEU.E,HEPG2,HEPG2,YAPC,YAPC,NPC,YAPC,HEPG2,HEPG2,HEPG2,YAPC,YAPC,YAPC,YAPC,YAPC,YAPC,YAPC,YAPC,YAPC,YAPC,YAPC,YAPC,HELA,HEPG2,YAPC,HELA,YAPC,HEPG2,HT29,HT29,NPC.CAS9,LNCAP,HT29,NPC.CAS9,LNCAP,YAPC,HT29,MCF7,A375,HELA,HEPG2,MNEU.E,HUES3,A375,LNCAP,HELA,NPC,NPC.TAK,LNCAP,HUES3,HELA,HCC515,HCC515,PC3,HUES3,HA1E,HUES3,HUES3,HA1E,PC3,HELA,HA1E,NEU,BT20,PC3,PC3,LNCAP,HA1E,PC3,LNCAP,HELA,HUES3,HEPG2,PC3,HELA,MNEU.E,HA1E,HA1E,HCC515,YAPC,HELA,HCC515,LNCAP,HA1E,HA1E,LNCAP,LNCAP,LNCAP,PC3,JURKAT,HA1E,PC3,A375,A375,HUES3,A375,NPC.TAK,HELA,PC3,LNCAP,HA1E,HCC515,MCF7,HT29,HT29,HUES3,HUES3,HELA,HELA,PC3,BT20,LNCAP,BT20,HELA,HUES3,MNEU.E,MNEU.E,LNCAP,PC3,PC3,HUES3,HT29,HELA,HELA,NEU,MNEU.E,MNEU.E,BT20,HELA,HELA
