GSM484450,GSM484453,GSM484454,GSM484457,GSM484462,GSM484477,GSM484479,GSM409137,GSM409138,GSM409139,GSM4147990,GSM4147991,GSM4147992,GSM4147993,GSM4147994,GSM4147995,GSM4147996,GSM4147997,GSM4147998,GSM4147999,GSM4148000,GSM4148001,GSM4148002,GSM4148003,GSM1327541,GSM1327542,GSM1327544,GSM1327546,GSM1327549,GSM1327550,GSM435905,GSM435906,GSM435907,GSM435908,GSM484603,GSM484604,GSM484612,GSM484613,GSM484622,GSM484634,GSM484644,GSM484647,GSM484369,GSM484370,GSM484371,GSM484372,GSM484373,GSM484374,GSM484375,GSM484377,GSM484378,GSM484379,GSM1646957,GSM1646961,GSM1646975,GSM1646980,GSM1647012,GSM1647013,GSM1647024,GSM1647025,GSM1647037,GSM1647038,GSM1647049,GSM1647052,GSM1647058,GSM1647064,GSM1647066,GSM1647073,GSM1647083,GSM1647087,GSM3001092,GSM3001093,GSM3001094,GSM3745998,GSM3746000,GSM3746002,GSM3746004,GSM3746007,GSM3746011,GSM4772905,GSM4772906,GSM4772907,GSM4772908,GSM4772909,GSM4772910,GSM4772911,GSM4772912,GSM4772913,GSM4772914,GSM4772915,GSM4772916,GSM4772917,GSM4772918,GSM4772919,GSM4772920,GSM4772921,GSM4772922,GSM4772923,GSM4772924,GSM4772925,GSM4772926,GSM4772927,GSM4772928,GSM4772929,GSM4772930,GSM4772931,GSM4772932,GSM4772933,GSM4772934,GSM4772935,GSM4772936,GSM4772937,GSM4772938,GSM4772939,GSM4772940,GSM4772941,GSM4772942,GSM4455463,GSM4455464,GSM4455465,GSM4455466,GSM5952187,GSM5952188,GSM5952189,GSM5952190,GSM5952191,GSM3071061,GSM3071063,GSM3071065,GSM3071067,GSM3071069,GSM3071071,GSM3071073,GSM3071075,GSM3071079,GSM3071081,GSM3071083,GSM3071085,GSM3071087,GSM3071091,GSM3071093,GSM3071095,GSM3071097,GSM3071099,GSM3071103,GSM3071105,GSM3071107,GSM3071109,GSM3071111,GSM3071115,GSM3071117,GSM3071119,GSM3071121,GSM3071123,GSM3071125,GSM3071127,GSM3071129,GSM3071131,GSM3071133,GSM3071137,GSM3071139,GSM3071141,GSM3071143,GSM3071145,GSM3071147,GSM3071149,GSM3071151,GSM2226808,GSM2226825,GSM2226829,GSM2226832,GSM3070965,GSM3070967,GSM3070969,GSM3070971,GSM3070973,GSM3070975,GSM3070977,GSM3070979,GSM3070981,GSM3070983,GSM3070985,GSM3070987,GSM3070989,GSM3070991,GSM3070993,GSM3070995,GSM3070997,GSM3070999,GSM3071001,GSM3071003,GSM3071005,GSM3071007,GSM3071009,GSM3071011,GSM3071013,GSM3071015,GSM3071017,GSM3071019,GSM3071021,GSM3071023,GSM3071025,GSM3071027,GSM3071029,GSM3071031,GSM3071033,GSM3071035,GSM3071037,GSM3071039,GSM3071041,GSM3071043,GSM3071045,GSM3071047,GSM3071049,GSM3071051,GSM3071053,GSM3071055,GSM3071057,GSM3071059
PC3,MCF7,MCF7,A375,A375,CD34,A375,HUES3,SKL.C,ASC.C,MCF10A,LNCAP,LNCAP,MCF10A,MDAMB231,MDAMB231,MDAMB231,ASC,MDAMB231,MDAMB231,MDAMB231,ASC,MDAMB231,ASC,MDAMB231,MDAMB231,HS578T,MDAMB231,A549,SKBR3,ASC,HS578T,HME1,ASC,MCF7,HA1E,NEU,NEU,MCF7,A375,NPC,MCF7,HA1E,CD34,NEU,MCF7,A375,A375,MCF7,NPC,A375,A375,MCF10A,HCC515,BT20,HS578T,HUES3,SKL.C,ASC.C,HUES3,HUES3,ASC.C,HUES3,A549,LNCAP,SKBR3,MCF10A,HCC515,HS578T,ASC,A549,A549,A549,A375,SKBR3,SKBR3,A375,MDAMB231,HUVEC,JURKAT,HS578T,HME1,HME1,HS578T,HS578T,HME1,HME1,HS578T,HME1,JURKAT,HME1,HS578T,HS578T,HS578T,HS578T,HS578T,HS578T,HME1,ASC,JURKAT,JURKAT,JURKAT,JURKAT,HS578T,JURKAT,JURKAT,HME1,HS578T,HS578T,HS578T,ASC,JURKAT,BT20,ASC,ASC,ASC,ASC,ASC.C,JURKAT,HUVEC,BT20,JURKAT,HUVEC,BT20,ASC.C,HS578T,HEPG2,MDAMB231,HUES3,MDAMB231,HEPG2,HUES3,HCC515,SKBR3,HUES3,ASC,ASC,HCC515,SKBR3,ASC,HCC515,MDAMB231,HCC515,A549,SKL.C,A549,ASC.C,ASC,A375,BT20,BT20,HCC515,HS578T,MCF10A,HCC515,SKL.C,SKL.C,MCF10A,HEPG2,A549,SKL.C,SKL.C,HCC515,ASC,ASC,ASC,ASC,SKBR3,ASC,SKBR3,ASC,ASC,HCC515,HEPG2,MCF10A,CD34,BT20,CD34,LNCAP,HEPG2,BT20,HEPG2,HCC515,ASC,BT20,HS578T,HS578T,BT20,A549,HUVEC,HUES3,ASC,HS578T,ASC,SKBR3,HCC515,BT20,BT20,ASC,CD34,BT20,ASC,HUES3,BT20,BT20,BT20,A549,BT20,HME1,LNCAP,HUES3,HUVEC,A549,ASC,BT20,LNCAP,MDAMB231,A549,HEPG2
A375,CD34,NEU,MCF7,CD34,MCF7,MCF7,CD34,HUVEC,SKBR3,A375,HME1,MCF10A,HME1,PC3,A375,SKBR3,PC3,HS578T,SKBR3,A375,PC3,A375,PC3,HS578T,HS578T,A549,HS578T,HELA,HS578T,HS578T,ASC,HS578T,HEPG2,NEU,HELA,CD34,MCF7,NEU,NEU,HUVEC,PC3,MCF7,MCF7,MCF7,NEU,NEU,CD34,NEU,NEU,PC3,CD34,ASC.C,HUES3,A549,HCC515,HCC515,HS578T,HS578T,BT20,HS578T,MCF10A,BT20,HCC515,MCF10A,ASC,SKBR3,HS578T,SKBR3,SKBR3,NPC.TAK,NPC.TAK,NPC.TAK,SKBR3,A375,HS578T,A549,SKBR3,SKBR3,BT20,YAPC,BT20,BT20,BT20,YAPC,BT20,BT20,BT20,BT20,BT20,BT20,HCC515,YAPC,BT20,BT20,BT20,HCC515,BT20,BT20,BT20,YAPC,BT20,YAPC,BT20,BT20,BT20,BT20,BT20,HCC515,YAPC,BT20,BT20,JURKAT,BT20,BT20,BT20,BT20,BT20,ASC.C,BT20,HUVEC,ASC.C,BT20,HUVEC,HUVEC,HUVEC,A549,HCC515,HUVEC,HCC515,LNCAP,ASC,MCF10A,A549,LNCAP,HCC515,HCC515,MCF10A,A549,HCC515,ASC,CD34,A375,HEPG2,ASC,ASC,ASC,A549,HCC515,HCC515,HCC515,BT20,BT20,HME1,SKL.C,HCC515,HCC515,HCC515,BT20,HEPG2,ASC,HME1,MCF10A,HUVEC,CD34,HCC515,LNCAP,ASC,SKBR3,BT20,SKBR3,CD34,HEPG2,A549,HEPG2,BT20,HEPG2,LNCAP,HUES3,A549,HME1,LNCAP,A549,A549,HUES3,HUVEC,HUVEC,HUVEC,HUVEC,BT20,HS578T,HUVEC,HUES3,HUES3,A549,ASC,A549,A549,HUVEC,ASC,A549,A549,NPC.TAK,HUVEC,HUVEC,A549,HUVEC,LNCAP,A549,BT20,ASC,CD34,HEPG2,LNCAP,LNCAP,A549,HUES3,BT20,BT20
HELA,NEU,CD34,CD34,MCF7,NEU,CD34,PC3,ASC.C,HUVEC,LNCAP,MCF10A,HME1,LNCAP,HS578T,PC3,PC3,SKBR3,SKBR3,PC3,SKBR3,A375,SKBR3,SKBR3,HUVEC,HELA,HELA,HUVEC,HS578T,YAPC,SKL.C,SKL.C,SKL.C,SKL,HELA,PC3,MCF7,CD34,CD34,HELA,HELA,HELA,HUES3,NEU,CD34,HELA,CD34,NEU,CD34,HUVEC,HELA,NEU,ASC,HME1,MCF7,MCF10A,BT20,MCF10A,ASC,MCF7,MCF10A,HS578T,HME1,BT20,HS578T,MCF10A,ASC,MCF10A,MCF10A,MCF10A,NPC.CAS9,NPC.CAS9,NPC.CAS9,A549,HS578T,A375,HUVEC,A549,HA1E,HCC515,HCC515,YAPC,HCC515,HCC515,HT29,YAPC,HCC515,HCC515,HT29,YAPC,YAPC,BT20,HCC515,HCC515,HUVEC,YAPC,BT20,HCC515,HUVEC,HCC515,HT29,YAPC,HCC515,HCC515,HCC515,HCC515,HUVEC,YAPC,BT20,HT29,HUVEC,HCC515,YAPC,HUVEC,HUVEC,HCC515,HCC515,SKBR3,HCC515,NEU,YAPC,HCC515,NEU,YAPC,ASC,A549,MCF10A,SKBR3,ASC,A549,HCC515,HCC515,A375,HEPG2,ASC,HUVEC,HUVEC,HME1,HEPG2,CD34,HUES3,HCC515,MCF10A,SKBR3,HCC515,HCC515,HCC515,HCC515,MCF10A,HUVEC,A549,HEPG2,A549,HEPG2,MCF7,ASC.C,ASC,MCF7,HUVEC,HCC515,HEPG2,HEPG2,HME1,HCC515,LNCAP,HUVEC,HUES3,BT20,BT20,JURKAT,BT20,HCC515,MCF10A,YAPC,BT20,HCC515,MCF10A,HCC515,CD34,HCC515,LNCAP,HCC515,ASC,CD34,LNCAP,NPC.TAK,HUES3,ASC,HCC515,HUES3,JURKAT,HUES3,HCC515,BT20,HCC515,HEPG2,HUVEC,HUVEC,A549,HCC515,HUVEC,HUVEC,NPC.CAS9,A549,HCC515,LNCAP,HEPG2,HUVEC,HEPG2,HUVEC,BT20,ASC,HCC515,A549,HUVEC,BT20,BT20,HUES3,ASC
HUVEC,HELA,HELA,HELA,HUVEC,HUVEC,HUVEC,HT29,ASC,ASC,PC3,PC3,PC3,PC3,SKBR3,SKBR3,HS578T,HS578T,PC3,HS578T,PC3,SKBR3,PC3,A375,HELA,HUVEC,HUVEC,HELA,YAPC,HELA,A375,A375,A375,A375,HUVEC,CD34,HUVEC,HELA,HELA,CD34,CD34,HUES3,PC3,HUES3,HELA,CD34,HELA,HELA,HELA,CD34,CD34,HELA,HS578T,MCF10A,HME1,HME1,MCF10A,NPC.TAK,MCF10A,HME1,SKBR3,LNCAP,HCC515,HME1,HT29,HME1,HS578T,HT29,HME1,HUES3,HUES3,NPC,NPC,HS578T,A549,SKL,HEPG2,HS578T,A549,YAPC,BT20,HT29,YAPC,YAPC,HCC515,HCC515,YAPC,YAPC,YAPC,HCC515,HCC515,HT29,HT29,YAPC,HCC515,HCC515,YAPC,YAPC,HCC515,YAPC,HCC515,HCC515,HT29,YAPC,HUVEC,YAPC,HCC515,HCC515,YAPC,HCC515,HCC515,HUVEC,HCC515,HCC515,HCC515,HUVEC,HUVEC,ASC,A549,ASC,HT29,A549,ASC,HT29,BT20,YAPC,YAPC,HA1E,LNCAP,HUVEC,ASC,HT29,HME1,BT20,HCC515,HUES3,HUES3,A549,BT20,HEPG2,HEPG2,HUVEC,MCF7,HA1E,HEPG2,HEPG2,HEPG2,HUVEC,YAPC,A549,HEPG2,A549,HEPG2,YAPC,ASC,ASC,ASC.C,A375,A549,HME1,HCC515,HCC515,A375,HEPG2,HUES3,LNCAP,HCC515,NEU,NEU,YAPC,NEU,HEPG2,A549,BT20,A549,HUES3,HME1,A549,BT20,BT20,A549,HUES3,BT20,HUES3,A549,BT20,A549,CD34,HEPG2,A549,A549,A549,A549,A549,BT20,CD34,HCC515,HCC515,HUES3,HEPG2,HEPG2,LNCAP,HCC515,HCC515,A549,HUVEC,HCC515,A549,HCC515,HUES3,A549,HUES3,BT20,HCC515,A549,HUVEC,NPC.TAK,HEPG2,HCC515
HUES3,HUVEC,HUVEC,HUVEC,HUES3,HELA,HELA,SKL.C,HUES3,HELA,SKBR3,SKBR3,SKBR3,SKBR3,A375,HS578T,A375,A375,HUVEC,A375,HS578T,HS578T,HS578T,HS578T,YAPC,YAPC,YAPC,YAPC,HUVEC,HUVEC,HT29,HT29,HEPG2,BT20,CD34,HUES3,HELA,HUVEC,HUVEC,HUVEC,NEU,HUVEC,HELA,HELA,HUES3,HUVEC,HUVEC,HUVEC,HUVEC,HELA,HUES3,HUVEC,HME1,BT20,MCF10A,BT20,HME1,LNCAP,LNCAP,HCC515,BT20,ASC,HUVEC,MCF10A,MCF7,BT20,LNCAP,HME1,BT20,BT20,NPC,HUES3,BT20,HT29,HA1E,HA1E,HS578T,HA1E,HS578T,HUVEC,HT29,HCC515,HT29,HUVEC,BT20,HT29,HT29,HT29,HCC515,HT29,HT29,YAPC,BT20,HUVEC,YAPC,HT29,HT29,HT29,HT29,HT29,BT20,HT29,BT20,HUVEC,YAPC,HUVEC,HT29,HT29,HUVEC,BT20,YAPC,YAPC,HT29,YAPC,YAPC,YAPC,A375,HELA,ASC,YAPC,JURKAT,ASC,YAPC,JURKAT,YAPC,HEPG2,BT20,HEPG2,HEPG2,HUES3,BT20,HEPG2,A549,HCC515,HUVEC,HEPG2,HEPG2,A375,HA1E,HUVEC,CD34,HEPG2,A549,BT20,MCF7,HUVEC,MCF7,HEPG2,A549,HEPG2,HUVEC,HUVEC,LNCAP,A549,ASC.C,MCF7,MCF7,HME1,HCC515,MCF7,MCF7,MCF7,A549,A549,A549,A549,CD34,HUES3,HUES3,NEU,HCC515,HUES3,HME1,MCF10A,HUVEC,HEPG2,A549,MCF7,HS578T,HUVEC,HUES3,HUVEC,HUES3,HEPG2,YAPC,JURKAT,MCF7,JURKAT,BT20,JURKAT,NPC.TAK,HEPG2,BT20,CD34,HUVEC,HUVEC,HEPG2,HEPG2,HCC515,HUVEC,HCC515,HCC515,YAPC,HEPG2,HUES3,HCC515,BT20,HCC515,HUVEC,A549,CD34,JURKAT,HUVEC,HUVEC,HCC515,HCC515,CD34,ASC,HUVEC
SKBR3,HUES3,HUES3,HUES3,HELA,HUES3,HUES3,YAPC,BT20,HUES3,HS578T,YAPC,HUES3,HS578T,HUVEC,HT29,HUVEC,HT29,A375,HUVEC,LNCAP,HT29,LNCAP,HT29,HEPG2,HEPG2,A375,HEPG2,A375,A375,BT20,HEPG2,HT29,SKL.C,HUES3,HUVEC,HUES3,HUES3,HUES3,HUES3,ASC,CD34,HUVEC,HUVEC,HUVEC,HUES3,HUES3,HUES3,HUES3,HUES3,HUVEC,HUES3,LNCAP,MCF7,YAPC,MCF7,HUVEC,HME1,HT29,HT29,HUVEC,HME1,MCF10A,HT29,ASC.C,HUVEC,HME1,LNCAP,NPC.TAK,HUVEC,BT20,BT20,HUES3,HA1E,HT29,A549,BT20,HEPG2,HT29,HT29,HUVEC,HUVEC,HUVEC,HT29,HUVEC,HUVEC,HUVEC,A375,HUVEC,PC3,HUVEC,HUVEC,HUVEC,HT29,HT29,HUVEC,HUVEC,HUVEC,YAPC,HUVEC,HUVEC,HUVEC,HUVEC,HT29,HT29,HT29,YAPC,HUVEC,HT29,A549,HT29,HT29,HUVEC,HT29,HT29,HT29,HT29,YAPC,A375,HT29,SKBR3,A375,HT29,SKBR3,HCC515,BT20,HME1,HUES3,NPC.TAK,LNCAP,YAPC,CD34,YAPC,HA1E,NPC.TAK,LNCAP,NPC.TAK,MCF7,HCC515,MCF7,HUVEC,MCF7,YAPC,HUES3,HUVEC,MCF7,HUVEC,MCF7,HME1,YAPC,MCF7,LNCAP,HUVEC,HCC515,YAPC,HUES3,HUVEC,A549,MCF7,YAPC,YAPC,YAPC,MCF7,LNCAP,HCC515,HUES3,A549,A375,YAPC,HCC515,A375,HUVEC,YAPC,HELA,HUES3,YAPC,YAPC,HEPG2,ASC,ASC,ASC,NPC.TAK,LNCAP,HUVEC,HUVEC,A549,NEU,NPC.TAK,LNCAP,HCC515,BT20,HCC515,NPC.TAK,JURKAT,HUES3,HUES3,MCF7,HUES3,HEPG2,HUES3,YAPC,HUES3,HEPG2,LNCAP,HEPG2,MCF7,LNCAP,HUES3,LNCAP,HCC515,HCC515,A549,LNCAP,HEPG2,HEPG2,HUES3,HCC515,HUVEC,LNCAP
CD34,SKL.C,SKBR3,ASC,ASC,ASC,SKL.C,BT20,HELA,PC3,HUES3,HUES3,YAPC,YAPC,HT29,HUVEC,HT29,YAPC,HT29,YAPC,HT29,YAPC,HT29,YAPC,A375,A375,HEPG2,A375,HEPG2,HEPG2,HEPG2,YAPC,YAPC,HT29,ASC,ASC,ASC,ASC,ASC,ASC,SKL.C,ASC,ASC,ASC,ASC,SKL.C,SKL.C,ASC,SKL.C,SKL.C,SKBR3,ASC,HT29,HELA,HT29,LNCAP,MCF7,BT20,MCF7,YAPC,PC3,MCF7,MCF7,YAPC,YAPC,NPC.TAK,YAPC,YAPC,LNCAP,HELA,HCC515,HCC515,HCC515,HELA,HELA,HT29,HA1E,SKL,HELA,A375,A549,A375,A375,PC3,PC3,A375,A375,HUVEC,A549,A549,A549,PC3,HELA,A375,A375,A549,A375,PC3,A375,A549,A549,A375,PC3,A375,HELA,A549,A375,A549,A375,HUVEC,A375,A375,PC3,A375,A375,A375,YAPC,HT29,YAPC,HCC515,HELA,YAPC,HCC515,HELA,NPC.TAK,NEU,MCF7,BT20,HCC515,HEPG2,HUVEC,HUVEC,MCF7,HUES3,HEPG2,NPC.TAK,LNCAP,YAPC,HUES3,HUES3,MCF7,HUES3,HME1,HCC515,HUES3,HUES3,YAPC,HUES3,MCF7,LNCAP,LNCAP,YAPC,MCF7,HUVEC,HUES3,HUVEC,YAPC,YAPC,HUES3,A375,HUES3,HUES3,YAPC,HUES3,HEPG2,HEPG2,NPC.TAK,HCC515,HCC515,A375,YAPC,LNCAP,MCF7,HT29,LNCAP,LNCAP,HUVEC,HUES3,NPC.TAK,NPC.TAK,HUVEC,ASC,HUVEC,HCC515,MCF7,HEPG2,NPC.TAK,A549,HUES3,NPC.TAK,HCC515,BT20,HEPG2,HCC515,LNCAP,MCF7,HUES3,LNCAP,LNCAP,MCF7,MCF7,YAPC,SKBR3,MCF7,CD34,YAPC,MCF7,HEPG2,MCF7,HEPG2,JURKAT,HCC515,MCF7,YAPC,HUES3,HEPG2,A549,NPC.TAK,MCF7
ASC,ASC,ASC,SKL.C,SKL.C,SKL.C,ASC,A375,PC3,YAPC,YAPC,HS578T,HS578T,BT20,YAPC,LNCAP,YAPC,HUVEC,HA1E,LNCAP,HUVEC,LNCAP,HUVEC,LNCAP,PC3,HT29,HT29,HT29,HT29,HT29,YAPC,JURKAT,HELA,HELA,SKL.C,SKBR3,SKL.C,SKBR3,SKL.C,SKL.C,HME1,SKBR3,SKBR3,SKBR3,SKL.C,ASC,ASC,SKL.C,SKBR3,ASC,ASC,SKL.C,MCF7,YAPC,HUVEC,NPC.TAK,LNCAP,HT29,YAPC,MCF10A,NPC.TAK,HT29,YAPC,MCF7,PC3,LNCAP,MCF7,MCF7,HUVEC,HT29,HEPG2,SKBR3,SKBR3,YAPC,SKL,HELA,HT29,HT29,HEPG2,A549,A375,A549,A549,A375,HELA,A549,A549,A549,A375,HUVEC,A375,A549,A549,A549,HELA,A375,A549,A549,A549,A375,PC3,A549,A549,A549,PC3,HELA,A549,A375,HELA,HELA,A549,A549,A549,A549,A549,A549,HEPG2,HCC515,HEPG2,A375,A375,HEPG2,A375,A375,NPC,HT29,LNCAP,HELA,CD34,HELA,NPC.TAK,YAPC,HUVEC,MCF7,NPC.CAS9,CD34,CD34,HUVEC,MCF7,HELA,NPC.TAK,HELA,LNCAP,MCF7,YAPC,YAPC,HUES3,HELA,HT29,MCF7,YAPC,MCF7,YAPC,A375,HT29,YAPC,HT29,HUES3,HA1E,HUES3,HUVEC,HT29,HUVEC,MCF7,NPC.TAK,NPC.TAK,JURKAT,YAPC,A375,HT29,HUES3,YAPC,LNCAP,LNCAP,A375,HUVEC,LNCAP,HUVEC,MCF7,CD34,MCF7,MCF7,MCF7,JURKAT,HT29,NPC.CAS9,CD34,HEPG2,YAPC,HEPG2,HELA,NPC.TAK,JURKAT,NPC.TAK,MCF7,HELA,LNCAP,MCF7,MCF7,YAPC,LNCAP,MCF7,NPC,HUES3,NPC.TAK,HUES3,YAPC,MCF7,YAPC,MCF7,HEPG2,HEPG2,YAPC,HUES3,MCF7,NPC.TAK,NEU,JURKAT,HUES3
BT20,SKBR3,SKL.C,SKBR3,ASC.C,SKL,BT20,ASC,YAPC,HT29,JURKAT,HT29,HT29,HT29,HA1E,YAPC,LNCAP,LNCAP,YAPC,HT29,YAPC,HUVEC,YAPC,HUVEC,HT29,PC3,PC3,PC3,PC3,PC3,HELA,HELA,BT20,YAPC,HME1,SKL.C,SKBR3,SKL.C,HME1,HME1,HUES3,ASC.C,SKL.C,SKL.C,SKBR3,SKBR3,SKBR3,SKBR3,ASC,SKBR3,SKL.C,SKBR3,YAPC,HUVEC,HCC515,HT29,YAPC,MCF7,HME1,HUVEC,HT29,YAPC,HT29,HUVEC,NPC.CAS9,HELA,PC3,NPC.TAK,HT29,MCF7,YAPC,YAPC,YAPC,HEPG2,YAPC,YAPC,HCC515,SKL.C,YAPC,PC3,HELA,PC3,HELA,A549,A549,HELA,HELA,PC3,HELA,HELA,PC3,A375,PC3,PC3,NEU,HELA,PC3,HELA,HELA,HELA,A375,HELA,HELA,PC3,A549,PC3,HELA,HELA,A549,A375,NEU,HELA,HELA,HEPG2,HEPG2,HEPG2,A549,MNEU.E,LNCAP,HELA,HCC515,LNCAP,HELA,HCC515,A375,HELA,HUVEC,NEU,MCF7,NPC.TAK,CD34,HELA,LNCAP,YAPC,MCF7,MCF7,MCF7,HUES3,LNCAP,HT29,HT29,NPC.TAK,HUVEC,NEU,HT29,HT29,HT29,HT29,HUVEC,HELA,HELA,HUES3,HELA,LNCAP,HUVEC,HT29,HUES3,HT29,YAPC,HT29,HT29,A375,HUES3,YAPC,JURKAT,MCF7,HEPG2,HT29,HT29,HUES3,HT29,MCF7,HUVEC,HME1,YAPC,MCF7,MCF7,HT29,HUVEC,NPC.CAS9,NPC.TAK,CD34,YAPC,YAPC,HEPG2,NPC,YAPC,NPC.CAS9,MCF7,NPC.CAS9,NPC.CAS9,JURKAT,CD34,YAPC,YAPC,LNCAP,YAPC,YAPC,YAPC,LNCAP,A375,NPC.TAK,LNCAP,YAPC,MCF7,HEPG2,HA1E,YAPC,A375,JURKAT,NPC.TAK,YAPC,HUES3,JURKAT,YAPC,MCF7,JURKAT,CD34,YAPC
SKL.C,BT20,BT20,BT20,BT20,SKBR3,SKBR3,MCF7,HT29,MCF7,HUVEC,BT20,HELA,HUES3,MCF7,MCF7,MCF7,MCF7,MCF7,MCF7,MCF7,MCF7,MCF7,MCF7,MCF7,MCF7,MCF7,HUES3,HUES3,HUES3,HCC515,BT20,JURKAT,HCC515,SKBR3,ASC.C,MDAMB231,LNCAP,SKBR3,ASC.C,ASC.C,BT20,BT20,BT20,LNCAP,LNCAP,LNCAP,HME1,MDAMB231,SKL,BT20,BT20,PC3,HT29,HELA,YAPC,HT29,YAPC,BT20,HELA,A375,HELA,HELA,LNCAP,HELA,MCF7,BT20,BT20,YAPC,NPC.TAK,A375,HEPG2,HEPG2,HCC515,HEPG2,SKL.C,HELA,HELA,HCC515,HELA,PC3,HELA,PC3,HELA,A375,PC3,PC3,HEPG2,PC3,A375,HELA,HELA,A375,HELA,A549,PC3,HELA,A375,HEPG2,PC3,HELA,PC3,A375,HELA,A375,A375,PC3,PC3,PC3,PC3,HEPG2,HEPG2,A375,NEU,HELA,HELA,PC3,NPC,NEU,HUES3,HEPG2,NEU,HUES3,HEPG2,HT29,PC3,HELA,NPC.TAK,YAPC,MCF7,JURKAT,NPC.TAK,HUES3,LNCAP,CD34,HELA,HELA,LNCAP,YAPC,NPC.TAK,HELA,HT29,HUES3,YAPC,HELA,HELA,HELA,YAPC,LNCAP,NEU,HT29,HA1E,HUES3,HT29,HELA,HELA,HELA,HUVEC,A375,HELA,HELA,HUVEC,LNCAP,HT29,MCF7,JURKAT,NPC,A549,HELA,A549,A549,NPC.TAK,HUES3,MCF7,HELA,A375,HUES3,YAPC,NPC.CAS9,MCF7,YAPC,HT29,NPC.TAK,HELA,HELA,MNEU.E,MNEU.E,HCC515,A375,NPC,NPC,MCF7,NPC.CAS9,HEPG2,A375,HT29,HT29,HELA,HELA,HT29,HUES3,HEPG2,HT29,HELA,HT29,NPC.TAK,HUES3,A375,HUES3,YAPC,MNEU.E,NPC.TAK,A375,NPC.TAK,NPC.TAK,YAPC,HEPG2,NPC.CAS9,A375
ASC.C,LNCAP,LNCAP,MDAMB231,SKL,BT20,MDAMB231,ASC.C,MCF7,HEPG2,HT29,HELA,MCF7,JURKAT,BT20,HELA,HA1E,HA1E,LNCAP,HELA,BT20,HA1E,HELA,HELA,HUES3,HUES3,NEU,MCF7,MCF7,MCF7,JURKAT,HCC515,HCC515,JURKAT,A549,A549,HME1,HME1,ASC.C,SKBR3,BT20,HME1,ASC.C,LNCAP,SKL,BT20,BT20,LNCAP,LNCAP,HME1,ASC.C,SKL,BT20,LNCAP,LNCAP,HELA,HELA,A375,A375,LNCAP,YAPC,PC3,LNCAP,HELA,NPC,HT29,HELA,HELA,A375,HA1E,HELA,HELA,A375,BT20,SKL.C,MCF7,MCF7,HCC515,BT20,HEPG2,HEPG2,HEPG2,HEPG2,HEPG2,NEU,HEPG2,HEPG2,HELA,HEPG2,HEPG2,HEPG2,HEPG2,NEU,HEPG2,HEPG2,HEPG2,HEPG2,HEPG2,LNCAP,HEPG2,HEPG2,HEPG2,NEU,HEPG2,NEU,NEU,HEPG2,HEPG2,NEU,HEPG2,HELA,NEU,HEPG2,HELA,NEU,LNCAP,LNCAP,NPC.TAK,HA1E,HEPG2,MNEU.E,HA1E,HEPG2,MNEU.E,HUES3,A375,HUES3,MCF7,JURKAT,HA1E,NPC.CAS9,MCF7,HT29,HELA,YAPC,YAPC,YAPC,HT29,NEU,YAPC,LNCAP,YAPC,HT29,HELA,LNCAP,LNCAP,A375,NPC.TAK,HELA,HT29,HUES3,NEU,NEU,HUES3,A375,A375,A375,LNCAP,HT29,HUVEC,A375,HELA,HT29,A375,NPC.CAS9,YAPC,MNEU.E,HA1E,A549,HA1E,PC3,HELA,HT29,HUES3,MCF7,NPC.TAK,HT29,HELA,NPC,NPC,A375,NPC.CAS9,A375,MCF7,HCC515,CD34,HELA,NPC,HA1E,CD34,HEPG2,NPC.CAS9,MCF7,MCF7,HA1E,YAPC,HELA,A375,NPC.TAK,HELA,HELA,HT29,ASC,HT29,YAPC,HT29,A375,JURKAT,HELA,NPC.TAK,MCF7,MCF7,HT29,MCF7,HT29,NEU,HELA,MCF7,HELA
