	GSM4455458	GSM4455459	GSM4455460	GSM4455461	GSM4455462	GSM4455463	GSM4455464	GSM4455465	GSM4455466
ZPLD1	3	1	0	0	0	2	0	1	3
LOC105374016	0	0	0	0	0	0	6	0	0
LOC107986106	0	0	0	0	0	0	0	0	0
LOC105374017	0	0	0	0	0	0	0	0	0
LOC105374018	0	0	0	0	0	0	0	0	0
MIR548AB	0	0	0	0	0	0	0	0	0
LOC105374019	0	0	0	1	0	6	11	6	6
LOC105374020	1	4	1	0	2	0	5	14	8
LOC105374021	0	0	0	2	5	0	5	5	2
LOC107986107	0	1	0	0	2	2	3	6	0
LOC107986108	0	0	1	0	0	0	4	1	0
LOC105374023	0	0	0	0	0	0	0	0	0
ALCAM	4517	3541	1235	1545	823	667	2481	341	533
CBLB	626	2268	902	3362	2665	3345	2287	852	1470
LOC107986109	3	0	0	2	2	1	3	1	0
LOC105374024	0	2	2	5	5	3	1	2	4
LOC105374026	0	1	0	0	0	0	0	0	0
LOC105374027	3	13	5	7	12	44	3	32	13
LOC107986110	0	10	2	4	4	14	4	6	6
LOC107986112	0	0	0	0	0	0	0	0	0
LOC101929485	0	0	0	0	0	1	1	0	0
LOC105374029	1	3	0	0	0	0	3	2	1
LOC101929534	0	0	0	0	1	1	4	0	0
LOC107986021	0	0	0	0	0	0	0	0	0
LINC00882	0	0	0	0	0	0	1	0	0
DUBR	4	37	8	17	12	30	24	18	30
CCDC54	0	0	0	0	0	0	0	0	0
CCDC54-AS1	0	0	0	0	0	0	3	2	0
LINC01990	0	0	0	0	1	0	0	2	1
BBX	1203	2086	2023	3109	3014	4108	3511	2560	3230
LINC00635	0	0	0	2	0	0	1	0	0
LINC00636	0	1	0	0	0	1	1	0	1
CD47	2969	10978	4439	8530	4783	10939	6731	3623	7905
LOC105374031	4	33	21	23	9	27	8	17	16
LINC01215	94	832	710	904	734	930	1263	382	597
IFT57	811	1027	562	690	827	748	617	402	577
HHLA2	5	53	10	10	8	27	27	17	15
MYH15	4	11	3	8	5	4	18	6	6
CIP2A	143	241	175	219	246	157	238	209	98
DZIP3	155	330	68	294	418	664	552	581	285
LOC105374033	0	0	0	0	0	0	1	0	0
LOC105374034	0	0	0	0	0	0	0	0	0
RETNLB	0	0	0	0	1	0	1	0	0
TRAT1	83	1519	782	1676	1727	2003	1158	693	1253
GUCA1C	0	0	0	0	0	0	1	0	0
MORC1	2	1	3	2	0	15	3	4	3
MORC1-AS1	0	0	0	0	0	0	0	0	0
C3orf85	0	0	0	0	0	0	1	0	0
LINC00488	0	0	0	0	0	0	1	0	1
DPPA2	15	0	0	1	0	1	1	0	1
DPPA4	211	21	10	23	25	44	13	17	26
LINC01205	2	1	1	2	1	0	7	1	1
MIR4445	0	0	0	0	0	0	0	0	0
LOC105377811	0	0	0	0	0	0	0	0	0
LOC105374036	0	0	0	0	0	0	0	0	0
LOC105374037	0	0	0	0	0	0	0	0	0
LOC151760	0	2	0	0	1	1	10	1	1
NECTIN3-AS1	0	3	0	0	0	0	0	0	1
NECTIN3	4	258	28	200	88	201	364	82	129
LOC105374038	0	0	0	0	0	0	2	0	0
LOC105374039	0	2	1	3	1	0	1	0	0
CD96	201	3999	936	4102	2810	6935	10127	3894	3107
ZBED2	0	45	5	50	33	94	559	33	47
PLCXD2	15	210	48	228	128	119	43	31	63
PLCXD2-AS1	0	3	3	2	6	9	6	1	2
PHLDB2	16	152	132	301	355	303	141	116	159
LOC107984087	0	0	0	0	0	0	1	0	0
LOC105374040	0	0	0	0	2	1	3	5	1
ABHD10	246	433	139	443	382	612	830	388	425
TAGLN3	0	1	0	2	3	0	3	0	1
TMPRSS7	0	1	0	1	2	1	1	0	1
C3orf52	6	44	11	39	80	76	123	50	50
MIR567	0	0	0	1	0	0	1	0	0
GCSAM	13	178	29	177	332	435	948	184	219
TBILA	0	1	1	1	2	3	0	1	1
SLC9C1	0	3	0	0	1	2	5	4	0
LOC105374042	0	0	0	0	1	1	2	2	0
CD200	7	56	19	95	84	177	410	26	55
LOC105374041	1	1	0	0	0	2	0	1	1
LOC112268446	20	69	32	93	123	219	156	71	78
BTLA	40	265	90	283	213	506	622	285	189
ATG3	6637	2819	9133	3139	5106	1960	2226	1156	3333
SLC35A5	1424	737	1312	1014	934	607	1079	248	841
LOC112268447	1	4	54	24	11	32	28	28	20
LINC01279	1	3	42	15	11	30	20	27	20
CCDC80	0	1	3	2	2	2	9	3	2
LINC02042	0	4	0	9	2	2	3	4	1
MIR9900	0	0	0	2	0	0	0	0	1
CD200R1L-AS1	0	2	0	1	2	0	3	0	0
CD200R1L	1	20	7	23	3	7	5	1	4
CD200R1	103	260	457	403	160	454	288	154	265
GTPBP8	73	303	125	542	304	299	429	195	241
NEPRO	418	1971	820	2374	1596	1684	2577	813	1245
NEPRO-AS1	16	73	25	85	54	141	234	19	65
LOC107986113	0	8	19	12	13	7	5	3	8
LINC02044	0	2	4	3	3	11	41	10	10
LOC102723430	0	0	0	0	0	1	5	0	0
