	GSM5952180	GSM5952181	GSM5952182	GSM5952183	GSM5952184	GSM5952185	GSM5952186	GSM5952187	GSM5952188	GSM5952189	GSM5952190	GSM5952191	
LINC01134	2	1	3	7	4	6	5	7	2	7	1	2	2
LINC01346	0	0	0	0	0	0	0	1	0	0	0	0	0
LINC01345	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02780	0	0	0	0	0	0	0	1	0	0	0	0	0
LINC01777	0	0	0	0	0	0	0	1	0	0	0	0	1
LOC105376674	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01646	0	0	0	0	0	0	0	4	0	1	0	0	0
LOC107985376	1	25	7	32	13	0	106	1	32	42	32	31	2
AJAP1	1	4	2	16	10	7	9	4	3	21	6	1	0
LINC02781	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC102724429	0	0	0	0	0	0	0	1	0	0	0	0	1
LINC02782	0	0	0	0	0	0	0	0	0	0	2	0	0
LOC105376682	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107984911	0	0	2	0	0	0	0	0	0	0	0	0	7
LOC105376686	0	1	0	0	0	0	0	0	1	0	0	0	0
MIR4689	0	0	1	0	0	0	0	0	0	0	0	0	0
NPHP4	146	277	122	321	283	442	366	363	179	310	3	70	107
KCNAB2	5913	7875	4779	10037	6041	7665	8786	5913	3982	7169	1224	3425	70
CHD5	1	8	12	19	11	38	20	29	20	39	46	31	0
LOC105376687	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL22	1292	10227	4006	10191	9933	12634	13951	11682	12035	9109	5247	14554	3652
LOC107985733	3	28	23	21	20	40	29	35	23	23	4	31	2
RNF207-AS1	0	4	0	4	2	15	1	3	2	0	2	1	0
RNF207	2	124	5	75	21	416	102	232	65	84	18	16	32
ICMT	141	584	175	490	271	2338	935	1498	491	791	28	68	1320
ICMT-DT	0	0	1	3	2	14	2	13	2	2	0	4	1
HES3	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR153	12	225	97	669	149	99	148	163	58	131	12	45	35
ACOT7	40	302	155	250	154	1082	376	454	212	247	53	207	104
HES2	0	0	1	0	2	0	0	0	3	2	2	0	2
ESPN	2	109	12	153	126	678	280	509	287	163	94	350	6
MIR4252	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF25	34	1484	113	1343	858	4808	2979	4245	1921	1617	172	1412	5
PLEKHG5	1	44	22	135	78	376	268	196	73	135	31	94	55
NOL9	129	1198	295	1460	849	1532	1879	1393	671	1117	262	1037	1278
TAS1R1	4	5	10	6	39	2	8	3	4	12	65	99	11
LOC107984912	0	0	2	0	4	0	1	0	0	0	5	2	2
ZBTB48	503	519	401	567	922	747	755	776	786	635	130	416	87
