	GSM5952180	GSM5952181	GSM5952182	GSM5952183	GSM5952184	GSM5952185	GSM5952186	GSM5952187	GSM5952188	GSM5952189	GSM5952190	GSM5952191	
LOC105375386	0	0	4	3	3	1	4	3	6	3	16	5	118
SRI	2083	1470	1386	786	890	1504	1048	1088	704	962	53	476	5456
SRI-AS1	181	127	164	78	75	120	84	74	49	87	2	25	307
STEAP4	13148	2280	35510	2364	1227	6	357	157	91	565	79	418	270
LOC107986815	0	0	0	0	0	0	0	0	0	0	0	1	34
LOC107986816	0	0	0	0	0	0	0	0	0	0	0	0	21
ZNF804B	0	0	0	0	0	0	0	0	0	0	0	0	15
TEX47	0	0	0	0	0	0	0	2	0	0	0	0	24
LOC105375387	0	1	0	0	0	0	3	0	3	1	0	1	27
LOC107986817	0	0	0	0	0	0	0	0	0	0	0	0	8
STEAP2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	10
DPY19L2P4	0	0	0	1	1	0	2	0	2	0	0	1	58
STEAP1	1	3	0	1	5	26	3	15	0	1	0	0	90
STEAP2	0	0	0	0	0	3	0	1	1	1	1	4	1622
LOC107986819	0	0	0	0	0	1	0	0	0	1	0	1	80
CFAP69	2	2	2	3	2	3	7	3	4	1	10	4	1890
FAM237B	0	0	0	0	0	1	0	0	1	0	0	0	168
LOC107986715	0	2	0	4	1	0	1	2	2	4	6	2	79
LOC101927446	0	0	0	0	2	1	2	1	0	0	3	0	19
GTPBP10	211	505	204	754	425	1014	735	947	345	427	64	197	2950
LOC112267985	2	4	1	7	4	27	19	41	8	10	0	3	104
LOC101409256	1	2	2	2	3	9	4	6	2	5	1	3	75
CLDN12	19	24	26	59	79	167	34	243	14	21	14	17	5557
PTTG1IP2	1	1	0	0	0	2	0	3	0	0	2	3	117
CDK14	1469	617	472	256	392	412	354	402	204	213	96	98	6511
FZD1	98	260	105	229	122	60	120	274	65	426	2	26	519
LINC02932	37	7	26	1	0	0	0	2	0	0	2	0	21
LOC107986716	0	1	0	0	0	0	0	1	2	0	0	0	12
LOC101927473	0	0	1	0	0	0	0	1	0	0	1	1	15
MTERF1	111	317	115	364	198	605	334	580	169	237	96	147	1495
LOC112267986	1	4	1	1	0	9	10	18	2	7	0	0	36
AKAP9	1604	3915	2204	5668	6426	5832	6377	5479	7018	5664	2571	5303	17744
CYP51A1	626	1307	996	1799	3467	1975	684	992	246	859	97	423	5560
CYP51A1-AS1	4	2	3	9	17	12	22	18	2	6	0	2	78
LRRD1	0	1	1	0	3	0	2	1	3	1	0	2	43
KRIT1	579	913	392	813	955	1450	1247	1325	504	829	75	149	6281
MIR1285-1	1	4	1	2	0	5	9	3	2	2	0	1	9
ANKIB1	876	1304	826	1673	1459	1898	1633	1556	759	1522	103	293	12251
TMBIM7P	0	1	0	3	0	2	5	3	4	3	4	3	17
GATAD1	545	1043	640	1551	1431	1749	2080	1975	1280	1428	406	855	4183
ERVW-1	0	2	2	6	0	7	7	5	5	5	16	3	181
PEX1	226	574	221	785	615	1010	1081	823	384	690	17	155	2873
RBM48	402	778	542	976	995	795	967	792	365	595	161	547	1406
FAM133B	192	731	215	406	886	1222	1270	1206	2171	962	3063	3502	1481
LOC105375397	0	1	1	1	0	2	0	3	0	1	0	1	4
CDK6	236	2496	879	1428	1560	5441	1933	1905	787	2048	42	282	15201
LOC112268009	0	12	4	4	14	74	95	60	189	56	30	79	821
CDK6-AS1	0	3	4	2	5	12	1	2	1	6	0	3	15
SAMD9	5254	4393	11052	5157	4305	3601	3397	2880	1437	5447	601	658	6430
SAMD9L	7514	4135	25284	3574	4096	6240	3984	6105	1684	9637	215	420	5715
HEPACAM2	0	0	17	1	1	2	0	1	0	0	0	2	26
VPS50	153	466	206	643	588	795	719	750	420	608	117	180	4533
CALCR	0	0	0	0	1	0	1	4	0	0	2	0	15
MIR653	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR489	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375400	0	0	0	0	0	0	0	1	0	0	2	2	3
MIR4652	0	0	0	0	0	0	0	0	0	0	0	0	0
TFPI2	3	3	6	1	0	410	2	148	7	7	0	0	11
TFPI2-DT	0	0	0	0	0	1	1	2	0	0	1	0	0
GNGT1	1	0	0	0	0	0	1	1	2	0	0	0	0
LOC105375402	2	3	1	5	4	0	17	5	19	11	25	0	2
GNG11	121	801	1633	1293	460	71	2591	100	1644	1708	1145	890	18
BET1	178	353	161	292	209	765	484	1016	247	320	76	98	1130
BET1-AS1	0	0	2	8	4	2	6	1	0	6	0	1	31
LOC107986820	1	7	5	14	11	33	17	48	7	5	17	12	151
LOC112267858	0	1	0	1	0	5	0	8	1	0	0	0	162
LOC107986821	0	0	0	0	0	2	0	0	0	0	1	0	138
COL1A2-AS1	0	0	0	0	0	0	0	1	0	0	0	0	26
COL1A2	2	2	9	2	0	22	1	33	3	0	1	1	1595
LOC105375404	2	16	3	22	17	30	37	46	27	33	19	36	274
CASD1	133	788	330	1082	624	1234	1114	994	316	671	47	175	4592
SGCE	1	36	5	31	30	84	37	133	35	17	39	39	3416
PEG10	5	97	9	58	43	113	65	94	16	50	4	9	22937
PPP1R9A	6	13	5	9	47	44	55	33	49	15	12	12	6387
PPP1R9A-AS1	0	1	0	0	2	3	0	1	0	0	0	2	92
PON1	0	0	0	0	0	0	0	1	4	1	1	2	128
PON3	0	0	0	0	0	2	0	2	0	1	1	0	12
LOC107986822	0	0	0	0	0	0	0	0	0	0	0	0	5
PON2	43	98	53	124	189	253	269	110	95	162	6	77	4883
LOC107986823	0	0	0	0	0	0	0	1	0	0	0	0	31
ASB4	0	0	0	0	0	0	0	0	0	0	1	0	871
PDK4	366	571	63	186	143	3	141	55	109	448	4	64	774
PDK4-AS1	0	1	3	3	2	0	1	4	4	5	1	1	80
LOC107986746	0	0	0	0	0	0	0	0	0	0	1	0	9
LOC105375409	0	0	0	0	1	2	2	1	1	1	1	2	9
DYNC1I1	0	3	4	2	2	4	10	4	6	5	2	6	104
SLC25A13	224	610	468	661	610	393	408	308	173	525	169	361	1266
MIR591	0	0	0	0	0	0	0	0	0	0	0	0	22
LOC105375410	0	0	1	0	0	0	0	1	0	0	0	0	6
LOC105375411	0	0	0	0	0	0	0	0	0	0	0	0	3
SEM1	235	711	242	473	402	1298	699	1170	785	689	160	598	936
LOC105375412	0	0	0	0	0	0	0	0	0	0	0	0	5
LOC107986825	0	0	0	0	0	1	0	0	0	0	0	2	38
LOC105375414	0	0	0	0	2	0	0	0	0	0	0	0	1
DLX6-AS1	0	0	0	0	0	0	0	2	0	0	0	0	2
DLX6	0	0	0	0	1	5	0	3	1	1	1	0	0
DLX5	0	0	0	0	0	0	0	2	0	0	0	0	0
SDHAF3	1479	140	243	109	144	284	231	242	137	148	0	32	315
LOC107984034	49	4	13	4	7	11	6	8	3	2	0	2	28
LOC105375417	2	1	0	0	2	0	0	2	0	0	0	0	18
LOC107986826	0	0	0	0	0	0	0	2	0	0	0	0	0
LOC105375416	0	0	0	0	0	0	0	0	0	0	0	0	0
TAC1	0	0	0	0	0	5	0	0	0	0	0	0	0
ASNS	138	310	145	391	283	1214	650	1089	573	294	70	279	1047
CZ1P-ASNS	163	382	164	534	380	1374	743	1246	721	391	96	328	1086
MIR5692A1	0	0	0	4	0	1	0	1	0	1	0	0	27
MIR5692C2	0	4	0	8	4	1	1	0	0	2	0	0	5
CCZ1P-OR7E38P	132	261	88	195	121	256	347	294	262	209	85	175	334
OCM2	3	4	1	4	1	10	17	16	16	4	15	11	0
LMTK2	2376	2059	11196	2937	3627	1306	1231	1131	451	1070	400	1365	1623
BHLHA15	9	56	43	28	3	6	22	16	71	15	0	2	1
TECPR1	1996	1546	1364	2752	2282	2195	3648	1815	3227	2291	1608	1551	279
BRI3	7696	2998	7437	5054	6216	1360	1746	2114	1697	3980	818	3309	80
BAIAP2L1	119	104	249	134	155	112	36	90	27	60	10	45	31
NPTX2	0	3	1	9	2	8	20	3	2	23	0	2	19
LOC105375419	0	0	0	0	0	0	0	0	0	0	1	0	0
LOC105375418	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM130	0	2	0	2	1	1	0	5	5	2	7	1	16
TRRAP	685	3247	1094	3787	2289	4076	3533	3000	1174	2434	185	745	4737
MIR3609	1	0	1	0	1	3	1	0	7	0	0	3	2585
SCARNA28	1	0	1	0	1	6	1	0	8	0	1	6	4003
LOC101927550	156	224	175	222	288	242	311	259	147	295	36	95	125
SMURF1	1558	1793	1744	1618	3016	1184	1659	1243	474	1586	210	1447	983
KPNA7	0	1	1	2	2	15	4	24	7	3	35	14	5
MYH16	0	0	0	0	0	0	0	1	0	0	1	0	1
LOC105375421	0	1	2	0	0	3	3	7	0	1	1	2	7
ARPC1A	2469	2026	1441	1453	1393	1348	1079	1224	853	1137	324	888	2149
ARPC1B	20785	10002	12720	9733	10882	7472	8776	5623	6719	12499	1225	3711	117
PDAP1	2388	2541	1945	2341	2133	4093	2594	3321	2539	2312	859	1622	1357
BUD31	1412	1166	990	1073	1687	1154	858	1052	668	722	350	1550	1017
MIR12119	68	48	46	45	116	54	25	45	17	30	6	62	55
ATP5MF-PTCD1	896	905	626	798	900	1170	888	900	728	703	320	958	418
PTCD1	474	483	331	488	607	666	532	538	414	359	281	794	331
CPSF4	163	547	273	602	471	1405	853	1059	781	643	135	341	617
ATP5MF	988	952	503	673	660	1219	876	863	996	827	141	468	316
TRW-CCA5-1	0	0	1	1	1	1	0	0	0	1	0	0	2
ZNF789	126	267	212	443	325	493	551	403	339	366	148	280	549
ZNF394	4528	3398	4350	5631	7900	1275	3289	1418	2308	2700	2692	5183	476
ZKSCAN5	699	443	601	652	590	793	433	699	219	319	180	288	1476
FAM200A	239	244	267	287	341	379	171	293	79	147	21	58	962
LOC105375422	1	0	5	1	3	0	1	2	1	1	11	5	71
ZNF655	3816	4235	3441	4280	3439	2723	3519	2826	1213	2519	294	1746	4028
TMEM225B	1191	1343	1302	1759	1384	1392	1529	1606	449	1167	144	484	2992
ZSCAN25	473	842	359	847	646	1081	1139	909	362	609	48	251	1338
CYP3A5	29	79	24	39	28	85	92	80	40	67	1	15	1180
CYP3A7-CYP3A51P	1	3	0	5	2	4	11	2	1	4	0	0	73
CYP3A7	1	4	0	4	2	4	11	2	1	4	0	0	74
CYP3A4	0	0	0	0	2	4	2	1	0	2	1	5	94
CYP3A43	0	0	0	0	3	4	3	7	0	2	8	5	38
OR2AE1	1	2	0	0	5	0	0	1	0	0	0	0	38
TRIM4	642	681	435	1212	814	1787	961	1477	516	817	92	275	1616
LOC101927610	4	10	7	15	16	33	17	34	23	17	17	25	412
GJC3	0	0	1	0	2	3	4	3	2	5	1	3	14
AZGP1	0	0	0	0	0	0	0	0	0	0	0	0	52
AZGP1P1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375423	3	2	0	1	1	2	6	7	5	4	7	0	3
ZKSCAN1	2306	1870	1721	2848	1304	3483	2615	3103	2216	1896	1963	1411	10725
ZSCAN21	61	94	44	130	114	242	159	223	75	112	51	63	312
ZNF3	509	1186	335	892	791	1256	1076	1256	568	625	920	1061	2538
COPS6	591	1111	370	1001	1053	1493	1316	1246	1317	1142	177	751	551
MCM7	354	2438	887	2905	2071	6970	2551	3690	2455	1506	483	1493	1398
MIR25	4	8	2	14	15	38	23	25	20	16	0	11	1
MIR93	0	4	0	4	1	14	6	9	6	4	3	5	1
MIR106B	0	3	1	2	3	11	3	2	2	5	0	5	2
AP4M1	111	252	87	296	275	630	497	521	339	368	43	164	161
TAF6	279	524	219	596	570	1312	1191	1081	521	784	41	163	486
CNPY4	68	141	43	312	115	521	405	396	312	250	55	181	509
MBLAC1	22	15	14	46	36	84	29	25	47	25	22	27	16
LAMTOR4	1162	1086	850	1181	1996	1259	1494	1121	3195	1451	1705	2553	228
TRAPPC14	885	943	362	989	1447	1731	1415	1282	1319	1054	219	700	90
MIR4658	59	68	15	49	62	62	77	65	35	41	1	14	6
GAL3ST4	12	71	23	148	104	232	250	251	201	142	67	178	111
GPC2	5	27	5	56	46	170	106	118	35	74	30	32	11
STAG3	151	223	95	318	175	1326	309	987	149	174	215	263	905
CASTOR3P	703	467	319	1318	560	1377	890	1166	371	546	439	636	1983
PVRIG	80	736	91	1538	508	1773	1177	1244	679	642	70	320	274
LOC107986828	43	84	33	410	75	202	220	273	325	154	814	377	31
LOC105375427	3	69	12	296	37	262	264	359	218	148	64	272	2
LOC105375426	1	2	1	1	5	7	4	7	7	2	12	2	21
SPDYE3	35	152	69	318	110	294	302	296	142	159	74	117	159
PMS2P1	81	314	134	547	241	566	444	400	239	256	57	118	315
STAG3L5P-PVRIG2P-PILRB	669	1111	994	1580	2411	2276	3849	2264	1531	1690	359	839	437
STAG3L5P	29	144	54	239	209	297	246	230	77	129	41	123	175
PVRIG2P	55	212	110	383	554	569	836	464	239	390	15	47	72
MIR6840	29	24	30	22	50	29	78	25	13	31	16	32	4
PILRB	490	582	745	611	1202	1033	2066	1184	1100	784	924	1027	94
PILRA	2624	2927	4088	2478	4114	428	1548	2110	618	3100	177	966	28
ZCWPW1	144	368	443	400	764	577	539	695	404	507	489	592	138
MEPCE	783	1251	896	1350	2684	2735	2242	2503	1233	1735	631	1220	351
PPP1R35	427	316	277	432	354	661	467	373	620	404	59	207	18
PPP1R35-AS1	317	263	226	339	311	456	398	279	440	336	97	284	28
SPACDR	60	15	33	17	252	15	11	20	23	14	42	71	6
TSC22D4	7501	3090	4865	4601	5100	5425	4958	3809	3664	4313	627	2642	145
NYAP1	0	15	4	6	3	4	13	10	10	7	0	7	35
LOC107986829	0	0	0	0	0	0	0	1	1	0	2	3	3
AGFG2	21	278	50	465	194	1083	910	715	595	464	81	133	320
SAP25	287	375	226	810	837	775	1378	823	1814	875	276	910	3
LRCH4	4290	3289	2642	5196	5910	3952	7085	3848	4621	5495	826	2194	27
ZASP	413	474	339	794	938	661	1216	734	1161	903	460	801	7
FBXO24	6	17	9	31	24	23	39	21	26	17	4	12	18
PCOLCE-AS1	0	6	2	5	13	12	21	7	12	6	9	12	8
PCOLCE	33	55	16	107	96	107	148	72	127	77	27	87	27
MOSPD3	1238	209	168	202	213	305	319	234	252	244	26	126	43
TFR2	11	88	29	168	75	140	206	120	142	75	42	64	15
ACTL6B	0	0	0	1	0	1	0	1	2	1	0	1	18
LOC105375429	0	0	0	1	0	0	0	2	0	0	1	1	0
GNB2	18982	5794	9323	7837	10570	5420	4747	4179	4869	7534	1370	5471	305
GIGYF1	1290	4360	1780	5417	3591	5674	5746	5839	3368	3842	2413	3081	416
POP7	139	213	65	154	139	557	248	443	247	172	15	122	119
EPO	0	0	0	1	0	2	2	5	0	1	0	0	1
ZAN	0	1	0	0	1	1	1	14	1	1	1	3	8
EPHB4	9	90	25	125	219	164	422	181	261	121	64	209	130
SLC12A9	6074	1229	1050	1942	2900	1190	2134	994	1826	2703	334	1066	102
SLC12A9-AS1	1	4	1	1	3	7	12	5	7	2	0	4	0
LOC107986830	0	0	1	1	0	4	2	3	0	0	2	0	10
TRIP6	101	198	78	164	160	272	191	179	234	246	34	125	168
MIR6875	0	1	0	0	0	0	1	0	1	2	0	0	1
SRRT	1737	5474	1842	6277	4995	6057	5384	5649	3727	3486	1649	5016	802
UFSP1	4	5	1	8	5	30	11	22	2	5	0	1	16
ACHE	1	23	1	15	30	32	24	40	1	7	1	71	25
LOC105375431	0	0	0	2	0	2	2	1	1	0	0	1	3
MUC3A	0	1	0	3	0	2	8	6	4	3	5	6	11
MUC12	1	6	2	19	14	11	27	15	6	7	30	31	70
MUC12-AS1	0	11	2	8	12	6	7	2	6	3	2	11	2
MUC17	0	0	0	0	0	2	0	2	0	0	4	1	7
TRIM56	943	3879	3743	4773	3479	9898	7078	12433	5928	6456	7556	6885	1634
SERPINE1	26	439	62	158	632	22	79	36	30	82	66	233	1031
AP1S1	143	235	110	143	151	596	297	392	326	251	17	63	164
MIR4653	0	0	0	0	0	1	0	0	0	0	6	3	0
VGF	1	2	1	2	14	6	1	1	3	0	5	8	96
NAT16	0	1	0	1	1	0	0	0	0	0	2	1	5
MOGAT3	1	3	2	5	4	3	2	3	7	0	6	3	0
PLOD3	331	843	234	723	801	932	982	953	750	1057	64	341	187
ZNHIT1	880	585	658	677	825	1032	797	880	1105	782	379	762	355
CLDN15	109	265	177	412	374	747	693	908	423	356	66	241	15
FIS1	477	932	767	973	1022	1538	1308	1428	1235	942	364	1061	132
LNCPRESS1	0	0	0	0	0	0	0	0	0	0	0	0	0
EMSLR	0	1	2	0	1	13	1	5	5	1	5	4	56
IFT22	5	57	21	25	39	208	72	119	52	30	31	44	1288
COL26A1	0	0	0	42	0	0	10	3	12	21	0	17	0
LOC105379743	0	0	0	0	0	0	1	0	0	0	0	0	0
LINC01007	0	0	0	0	0	1	0	0	0	1	0	3	0
LOC107986832	0	0	0	0	0	0	0	0	0	0	0	0	0
MYL10	0	0	0	0	0	0	0	1	0	0	1	1	0
CUX1	4194	4121	3569	5346	3303	1296	3611	1696	2172	4387	1430	2533	2771
SH2B2	896	597	867	504	1544	223	380	130	557	721	163	509	19
MIR4285	0	0	0	0	3	0	0	0	0	1	1	0	0
LOC107986717	1	10	3	15	14	29	33	44	28	14	36	33	26
SPDYE6	14	102	31	106	71	78	192	101	79	78	88	88	99
LOC100630923	334	499	305	693	697	697	753	762	701	533	285	776	239
LOC100289561	46	99	59	194	121	199	215	170	160	149	21	63	92
PRKRIP1	314	454	266	566	641	600	643	697	601	454	270	756	173
MIR548O	0	3	0	0	1	3	4	2	3	0	1	0	7
LOC105375433	39	23	5	26	11	30	28	32	3	12	1	10	31
ORAI2	8620	4793	3795	3257	2176	7927	3158	5616	3700	2856	3980	3833	617
ALKBH4	159	170	126	223	132	406	181	340	181	148	51	133	81
LRWD1	407	389	387	348	430	886	473	678	353	371	93	453	109
MIR5090	4	8	8	5	9	12	6	8	5	6	9	6	1
MIR4467	1	3	1	1	3	3	6	0	3	1	1	6	6
POLR2J	1345	1168	999	1081	1049	1037	967	1094	903	748	504	1127	559
RASA4B	57	604	227	1406	902	966	1546	944	936	822	330	683	269
POLR2J3	800	929	766	1176	650	960	1663	1201	818	574	175	730	380
UPK3BL2	354	605	500	966	398	857	1589	1109	767	520	147	613	214
SPDYE2	27	258	107	302	173	271	584	392	745	267	742	640	486
RASA4	55	582	230	1363	875	922	1483	931	916	772	327	628	253
POLR2J2	656	829	732	1274	586	983	1763	1226	1223	610	306	1126	356
UPK3BL1	306	461	390	776	324	676	1349	905	1010	373	269	988	118
SPDYE2B	39	295	120	373	189	356	786	592	489	322	361	543	605
RASA4DP	32	306	112	602	404	543	821	546	541	374	244	377	202
FAM185A	21	33	31	56	58	120	100	97	70	94	12	30	686
FBXL13	364	67	263	35	142	46	19	38	14	22	70	123	760
LRRC17	15	5	12	4	12	18	7	14	3	8	12	9	534
NFE4	134	17	215	10	37	1	0	4	1	3	13	28	8
ARMC10	258	299	165	322	450	699	555	551	351	540	30	105	1224
NAPEPLD	92	143	72	286	185	573	408	458	229	275	41	52	2695
RPL19P12	74	335	139	330	393	517	469	568	359	297	74	375	40
LOC105375434	3	8	0	10	11	26	24	27	31	12	21	11	1752
DPY19L2P2	3	47	11	56	87	114	135	64	52	46	5	12	1133
PMPCB	1113	2116	1266	2284	2078	2439	2206	1937	1258	1617	126	913	4797
DNAJC2	523	1454	720	1448	2106	1720	1536	1654	2146	1232	996	2347	2064
PSMC2	1669	2242	1830	2171	1568	2930	1594	1907	983	1505	71	671	4685
SLC26A5	36	90	41	82	32	134	86	123	44	73	30	49	562
SLC26A5-AS1	0	1	0	0	0	1	2	0	0	0	2	0	0
RELN	0	2	0	1	1	6	0	4	0	0	0	0	28
LOC105375435	0	0	0	0	0	0	0	0	0	0	0	0	10
ORC5	81	312	92	367	191	524	410	481	214	218	24	68	1479
LHFPL3	1	2	4	5	0	1	4	5	2	1	1	1	466
LOC105375436	0	0	0	0	0	1	0	2	0	0	1	0	133
LHFPL3-AS1	0	1	0	0	0	0	0	0	0	1	0	0	21
LHFPL3-AS2	2	5	1	5	2	2	0	7	5	0	0	1	5
KMT2E	8040	11576	6852	13229	17249	9356	9689	8500	7602	6546	10809	16227	11740
LINC01004	177	84	604	547	763	614	460	883	283	300	1373	874	2173
KMT2E-AS1	157	125	458	384	498	222	228	243	161	214	510	783	474
SRPK2	2917	2099	2201	3378	3970	2927	4004	2352	3225	2594	2137	4129	6699
PUS7	18	80	40	59	71	385	199	229	117	123	5	36	1231
RINT1	199	728	327	776	723	717	618	669	353	443	41	211	1382
EFCAB10	39	131	69	140	123	200	179	220	133	119	10	146	221
ATXN7L1	369	1028	160	1175	715	720	1920	1027	952	1206	491	738	602
CDHR3	1	32	3	62	49	46	133	51	54	75	23	49	211
LOC107986833	0	1	0	0	1	1	2	8	5	1	1	10	5
SYPL1	1243	1686	826	1460	1266	2520	1449	2230	553	1385	77	703	1994
NAMPT	246343	37034	291842	31553	79418	4838	8041	11256	2205	20768	2849	19395	20690
CTB-30L5.1	1	1	6	1	1	4	1	0	0	0	0	1	0
LOC105375440	0	0	0	0	0	0	0	2	0	0	3	0	11
CCDC71L	1650	1046	1129	753	1851	1071	543	888	371	585	96	658	23
PIK3CG	5853	4695	4707	6388	5203	2916	2990	1867	1473	2355	969	2130	425
PRKAR2B	314	2387	3811	2419	634	82	6826	227	1363	4435	908	729	617
PRKAR2B-AS1	1	0	1	0	0	0	0	2	1	0	0	0	25
HBP1	6891	2906	4266	3253	7638	2194	2704	2156	1149	2429	750	2153	4391
COG5	1847	1425	1165	1597	2211	1433	1607	1325	704	1468	272	982	6506
GPR22	3	6	5	2	6	6	2	11	4	1	40	20	1104
DUS4L	45	138	49	140	99	225	127	214	71	101	20	54	323
DUS4L-BCAP29	522	602	440	669	444	805	562	654	241	515	39	135	2344
BCAP29	496	495	401	536	386	633	452	541	192	443	27	122	1952
LOC105375443	4	1	0	2	5	7	4	5	4	2	7	0	117
SLC26A4-AS1	12	1	0	0	0	2	1	7	3	1	7	9	43
SLC26A4	5	2	4	0	7	7	8	6	3	2	3	7	84
CBLL1-AS1	46	22	35	43	56	25	21	18	29	22	9	18	46
CBLL1	1274	1788	945	2037	1694	1869	2058	1765	597	1284	88	570	3673
SLC26A3	1	2	0	5	5	5	10	5	0	6	3	1	38
LOC105375444	0	0	0	0	0	1	1	0	0	0	0	0	0
LOC105375445	0	0	0	0	0	0	0	0	0	0	0	0	0
DLD	2436	2325	2224	2241	1523	2500	1464	1704	810	1461	109	911	4857
LAMB1	24	14	89	49	51	30	18	23	8	14	14	29	1206
LAMB4	1	0	0	5	0	1	1	2	1	0	11	4	142
LOC107986834	0	0	0	0	0	0	0	0	0	0	0	0	8
LOC107986835	0	0	0	0	0	0	0	0	0	0	0	0	5
LOC105375446	0	0	0	0	0	0	0	0	0	0	8	0	3
NRCAM	5	16	3	83	85	86	125	26	76	82	22	21	27002
LOC102724363	0	0	0	0	0	1	1	0	3	2	0	0	245
PNPLA8	4492	1924	7119	3707	15107	1349	927	1344	570	1307	1334	2576	5762
THAP5	1326	866	1623	745	603	1478	820	1580	338	484	115	298	3862
DNAJB9	3155	1826	1415	2213	2596	1099	1556	2873	639	1306	114	675	2560
LOC105375448	1	0	0	1	4	0	1	2	1	0	5	3	6
LOC107986836	0	0	0	0	0	0	0	0	0	0	0	0	15
LINC02903	0	0	0	0	0	0	0	1	0	0	0	1	1
LOC112268010	0	0	0	0	1	3	0	0	1	0	0	4	8
EIF3IP1	1	3	1	1	4	5	1	2	1	2	0	0	4
LOC105375451	0	0	0	0	0	0	1	1	0	0	0	0	12
LOC105375450	0	0	0	0	0	0	0	1	0	0	0	0	3
LOC105375452	0	0	0	0	0	0	0	0	0	0	0	0	10
IMMP2L	5	92	26	104	158	465	264	505	238	159	232	237	9375
LRRN3	5	101	14	212	214	6330	1488	4829	595	359	145	248	6374
DOCK4	330	1253	4112	417	824	368	67	1746	18	160	72	153	6597
DOCK4-AS1	2	27	42	2	12	1	0	6	0	1	0	4	322
ZNF277	793	1232	1899	1405	1263	1046	1002	925	607	920	157	482	1979
LOC105375456	0	1	0	2	1	0	1	1	0	0	0	0	6
IFRD1	3782	1965	5514	2925	8549	1065	1694	1471	539	1884	485	2533	4167
LOC105375457	0	3	10	1	4	0	2	7	1	0	12	2	132
LSMEM1	123	75	347	115	380	29	67	50	46	69	40	69	319
LOC100996249	0	0	0	0	0	0	0	2	0	2	0	0	0
LOC101928012	0	0	1	0	1	0	0	0	0	0	3	2	63
TMEM168	770	768	683	757	733	1359	1150	1681	648	775	469	859	4607
BMT2	2712	1076	3232	1073	687	623	802	602	318	715	49	234	1531
HRAT17	0	0	0	0	0	0	0	0	0	0	0	0	3
GPR85	3	8	0	3	8	4	7	9	2	3	40	19	282
LOC107986837	0	0	0	0	2	2	0	1	0	0	0	1	36
SMIM30	73	284	96	183	158	576	310	484	201	269	6	82	1429
PPP1R3A	0	0	0	0	0	0	0	0	0	0	0	0	7
FOXP2	0	1	1	4	1	1	1	5	3	0	3	6	51
MIR3666	0	0	0	0	0	0	0	0	0	0	0	0	0
MDFIC	227	2955	1131	3289	1627	3669	3652	2648	2099	3331	143	513	214
LINC01393	1	4	3	6	6	4	5	7	2	6	0	4	2
LINC01392	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA25B	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100506489	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC105375461	0	0	0	0	0	0	0	0	0	0	0	0	2
LOC105375462	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC102724407	0	0	0	0	0	0	0	0	0	0	0	0	0
TFEC	421	1131	3727	1748	1955	321	492	1050	252	1837	82	112	414
TES	4297	4958	5600	8074	5177	3738	4928	3765	2174	4089	1141	2680	68
LOC102724434	0	0	1	0	1	1	0	4	1	0	1	1	0
LOC105375463	0	0	0	0	0	0	0	1	1	0	0	2	27
LOC107986838	1	3	7	1	1	1	1	1	1	2	0	0	4
LOC107986839	0	0	0	0	0	1	0	0	0	0	0	0	5
CAV2	46	44	152	36	6	1	39	11	14	91	8	27	61
CAV1	7	117	40	19	12	80	77	49	149	33	0	3	669
COMETT	0	0	0	0	0	0	0	1	0	0	0	0	0
MET	1	51	2	2	7	161	17	580	30	6	5	4	115
CAPZA2	12157	5334	10966	4665	5849	2720	2999	2803	1579	4954	648	2082	7736
LOC105375465	1	1	0	0	3	0	3	0	0	0	0	0	1
ST7-AS1	10	25	42	37	14	14	36	45	15	27	5	28	64
ST7	78	254	124	251	173	210	267	252	144	217	45	107	1112
ST7-OT4	0	0	4	3	8	1	2	0	0	2	0	0	331
MIR6132	0	0	0	0	0	0	0	0	0	0	0	0	26
ST7-AS2	2	11	11	13	11	11	18	13	12	12	6	15	576
ST7-OT3	11	29	21	30	25	36	33	33	20	32	5	12	169
LOC105375466	0	0	0	0	0	0	0	0	0	0	0	0	2
WNT2	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375467	0	0	0	0	0	0	0	0	0	0	0	0	0
ASZ1	0	0	0	0	0	0	1	0	1	0	0	3	0
LOC105375468	0	0	0	0	0	0	0	0	0	0	0	0	1
CFTR	0	0	0	0	0	0	1	0	0	1	0	0	9
CFTR-AS1	0	2	0	0	0	0	0	0	0	0	0	0	0
CTTNBP2	0	0	0	4	6	11	12	9	7	12	3	1	3136
LOC105375469	0	0	0	0	0	0	0	1	0	0	0	0	204
LOC105375470	1	0	1	0	0	2	1	10	6	0	10	8	673
LSM8	497	1102	642	1135	902	2076	1676	1895	928	1179	200	873	8619
ANKRD7	0	0	0	0	0	2	4	3	1	1	0	0	145
LOC102724495	0	0	0	0	0	0	0	1	0	0	0	0	12
LOC105375471	0	0	0	0	0	1	0	0	0	0	0	0	41
