	GSM3745998	GSM3745999	GSM3746000	GSM3746001	GSM3746002	GSM3746003	GSM3746004	GSM3746005	GSM3746006	GSM3746007	GSM3746010	GSM3746011	GSM3746012
PCDHGC3	7	5	13	6	6	7	10	11	6	4	2	11	5
PCDHGC4	3	3	1	3	4	2	3	2	2	2	0	1	2
PCDHGC5	3	3	2	1	2	1	2	1	2	2	0	4	2
DIAPH1	7134	3808	7056	7478	3506	3370	5123	3405	3674	2101	2227	4775	3022
DIAPH1-AS1	284	55	209	240	56	33	68	16	62	20	14	149	49
HDAC3	1537	2147	1225	1427	1313	1609	2301	2052	1137	984	1128	1445	1222
RELL2	201	233	171	193	172	184	242	161	151	81	103	153	95
FCHSD1	401	541	353	380	415	444	640	451	331	297	278	385	328
ARAP3	42	46	61	58	57	121	63	45	40	76	33	42	45
LOC107986454	0	0	0	0	0	1	0	0	0	0	0	0	0
PCDH1	0	2	0	0	1	2	0	0	4	3	2	1	0
LOC729080	0	0	0	0	0	0	1	2	0	0	1	2	0
DELE1	1302	1749	1272	1423	1413	1637	1964	1508	1105	1189	895	1465	1135
PCDH12	47	28	42	36	31	29	17	30	18	25	20	30	22
RNF14	427	861	427	739	502	900	1002	890	665	714	617	892	782
GNPDA1	306	833	495	813	646	1129	984	861	727	1024	408	724	690
LOC105378204	0	0	0	0	0	0	0	0	0	0	0	2	0
NDFIP1	660	929	665	743	466	798	984	720	610	454	502	891	637
LOC107986455	32	22	11	10	4	7	4	11	5	4	6	17	7
SPRY4	22	25	18	26	16	48	58	48	26	22	12	44	27
SPRY4-IT1	1	1	0	0	1	3	2	1	0	1	1	1	1
SPRY4-AS1	1	0	0	2	4	4	0	0	0	0	0	0	0
FGF1	2	0	1	0	0	0	0	0	0	0	0	0	0
LINC01844	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGAP26	737	725	657	1113	381	642	946	683	817	520	507	916	650
ARHGAP26-AS1	12	5	11	15	1	5	6	5	5	4	3	9	5
LOC107986457	59	30	47	84	8	14	32	8	20	11	20	41	27
ARHGAP26-IT1	9	7	10	19	3	3	5	1	5	4	1	4	3
NR3C1	2450	2498	2001	2591	2002	2509	2550	1971	2123	1838	1655	3067	2278
LOC105378208	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378209	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378210	1	0	3	1	3	5	7	1	1	4	2	0	0
MIR5197	2	0	0	0	0	0	0	0	0	0	0	0	0
HMHB1	0	0	0	0	0	0	0	0	0	0	0	3	0
YIPF5	569	938	420	751	612	950	1038	910	678	804	596	889	684
KCTD16	10	5	5	4	5	7	5	5	1	2	3	2	0
LOC105378211	20	17	23	20	11	10	9	9	6	3	5	22	3
PRELID2	832	802	727	796	704	586	681	467	432	302	387	798	493
GRXCR2	0	0	2	0	1	0	0	0	0	0	0	0	0
LOC107986458	5	2	0	0	1	0	0	0	0	0	0	0	0
SH3RF2	4	4	1	0	4	1	4	2	1	0	2	6	0
LOC107986459	3	1	0	0	1	0	0	0	1	0	0	0	0
PLAC8L1	37	39	29	41	32	28	42	27	18	34	21	21	29
LARS1	5679	8627	4840	6574	5213	7476	9608	8500	6586	5887	5722	7414	6433
RBM27	2405	3032	1771	2128	1905	2177	3497	2887	2322	2068	2004	2708	2179
POU4F3	0	1	1	2	0	2	2	2	1	4	0	0	0
LOC105378213	0	0	0	0	0	0	0	0	0	0	0	0	0
TCERG1	3660	4126	2613	3130	2135	2636	4678	3731	2980	2010	2722	3528	2601
GPR151	11	18	13	9	7	10	16	6	9	9	7	15	3
CTB-99A3.1	2	1	2	0	0	0	2	0	0	0	0	1	0
PPP2R2B	24	23	30	21	30	17	21	12	13	28	12	43	22
LOC107986461	6	2	5	3	5	1	0	1	0	0	3	8	1
LOC105378214	0	0	0	0	0	0	1	0	0	0	0	0	0
PPP2R2B-IT1	0	0	0	0	0	0	1	0	0	0	0	0	0
STK32A-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0
STK32A	2	2	1	2	2	3	17	11	5	3	5	2	5
DPYSL3	21	68	16	63	13	45	241	189	72	31	70	61	77
JAKMIP2-AS1	52	80	65	90	100	112	39	35	34	48	19	78	51
JAKMIP2	410	588	531	747	852	981	320	286	293	431	285	562	463
LOC101927012	34	21	46	64	25	43	18	11	13	5	8	27	17
LOC105378218	32	15	38	53	39	49	16	8	13	5	8	34	14
SPINK1	3	35	7	174	17	529	0	0	53	8	0	0	18
C5orf46	0	0	1	0	0	0	0	0	0	1	0	0	0
SCGB3A2	0	0	0	0	0	0	0	0	0	0	0	0	0
SPINK5	0	0	2	0	0	0	2	0	0	1	0	1	0
SPINK14	0	0	0	0	0	0	0	0	0	0	0	0	0
SPINK6	0	0	0	0	0	1	0	0	0	0	0	0	0
MARCOL	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXO38-DT	6	11	4	9	12	3	7	8	5	6	8	3	6
SPINK13	1	0	2	0	0	0	0	0	0	0	0	0	0
SPINK7	5	0	1	3	0	0	2	0	1	0	0	0	0
SPINK9	11	2	5	6	6	1	5	2	0	0	0	8	8
FBXO38	1272	1879	1184	1549	1344	1671	1933	1551	1367	1399	1185	1852	1454
HTR4	2	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986462	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378221	0	0	0	0	0	0	0	0	0	0	0	0	0
ADRB2	71	171	119	184	226	299	193	168	166	234	101	196	175
SH3TC2	45	105	123	202	111	111	61	43	58	54	25	96	36
MIR584	0	1	1	2	3	1	1	0	0	1	0	1	0
SH3TC2-DT	1	1	0	5	0	1	3	0	0	0	0	4	0
ABLIM3	0	6	8	27	14	18	1	1	2	29	0	10	1
AFAP1L1	74	16	22	16	56	22	19	18	12	15	11	16	15
GRPEL2	747	777	554	753	714	770	660	503	371	397	358	590	470
GRPEL2-AS1	34	51	46	48	41	45	56	39	31	21	22	33	29
PCYOX1L	339	787	415	646	389	649	773	719	405	414	448	657	510
IL17B	1	2	1	4	2	6	0	0	4	2	0	0	3
LOC101927046	0	0	0	0	0	2	0	0	0	0	0	0	0
CARMN	0	1	0	1	0	2	1	0	0	4	1	0	2
MIR143	0	0	0	0	0	0	1	0	0	1	0	0	0
MIR145	1	3	0	0	0	1	1	0	0	4	0	1	0
CSNK1A1	5326	6727	4226	5649	5458	7079	7343	6244	5124	5011	4227	6049	4840
ARHGEF37	21	13	13	10	8	14	14	8	4	7	6	9	6
LOC105378224	0	0	0	0	0	0	0	0	0	0	0	1	0
PPARGC1B	819	646	595	788	290	523	826	583	429	239	325	507	383
MIR378A	1	2	4	5	0	3	0	2	2	2	1	2	1
PDE6A	28	22	27	31	9	17	26	9	16	6	8	19	6
MFFP2	1	3	1	3	4	6	0	2	4	1	5	0	0
SLC26A2	2348	2504	2047	2172	1393	1534	2104	1430	1500	1166	1102	2159	1419
TIGD6	64	129	88	132	88	123	184	181	119	101	94	130	126
HMGXB3	2474	2747	1897	2507	1913	2200	3045	2375	1874	1435	1384	2093	1732
CSF1R	1218	1755	966	1739	818	2536	2140	1653	1625	933	733	1266	1103
PDGFRB	33	26	19	76	21	176	93	70	94	50	8	24	27
CDX1	0	0	0	10	0	35	0	0	0	1	0	0	2
SLC6A7	0	0	0	4	0	13	0	0	0	1	0	0	0
CAMK2A	0	3	0	4	0	3	1	0	1	2	0	0	0
ARSI	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC105378225	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378226	1	0	3	0	1	1	0	0	1	0	0	2	3
TCOF1	1994	2429	1472	1587	1158	1349	2962	2552	1436	760	1183	1283	994
CD74	7530	20838	8750	21465	10923	35514	23315	18649	20685	14101	11918	23954	22058
RPS14	12380	22846	11434	14847	14132	21347	25667	21031	13664	16298	12389	17967	15699
NDST1-AS1	8	3	5	7	8	6	6	7	3	3	0	14	4
NDST1	2022	1752	1740	2002	1930	2290	1666	1222	870	908	627	1078	877
SYNPO	5	17	4	18	7	36	9	3	20	6	2	8	10
MYOZ3	182	125	104	101	128	144	103	109	52	73	66	65	71
RBM22	1151	1660	985	1226	1296	1413	2065	1786	1403	1273	1107	1434	1253
DCTN4	1718	1655	1353	1621	1408	1641	1650	1278	1252	1075	976	1533	1283
SMIM3	779	1028	838	1194	1537	2089	816	630	622	865	431	720	616
IRGM	32	27	19	35	22	23	36	20	25	28	11	23	14
ZNF300	62	51	42	29	26	22	68	48	35	43	41	57	37
ZNF300P1	1	1	0	0	1	2	1	1	0	0	4	2	0
LOC105378228	18	11	12	17	24	20	11	7	3	6	0	6	8
GPX3	64	54	53	78	57	97	25	22	26	35	5	43	40
TNIP1	1366	2191	1036	2053	1518	3537	2016	1749	1143	1196	936	1213	1354
ANXA6	3030	5395	2988	5086	4097	6551	4992	4121	4697	3842	2432	3688	4043
LOC107986463	27	4	12	11	14	5	7	14	12	15	2	5	12
CCDC69	2732	2610	1917	1851	2301	2228	1842	1558	1228	1153	1021	1555	1226
LOC105378230	265	105	170	130	203	156	118	61	83	99	52	76	77
GM2A	2047	3536	2545	5272	4308	7150	2445	1972	2402	3046	1589	2918	2990
SLC36A3	9	7	17	22	10	8	1	0	2	1	0	5	1
SLC36A2	1	0	0	0	1	1	0	0	0	0	0	0	0
LOC105378234	1	1	1	1	0	0	0	0	2	0	0	0	0
SLC36A1	956	782	1161	1245	626	715	437	268	375	223	193	653	388
FAT2	45	29	53	54	17	21	17	7	7	1	20	53	34
MIR6499	1	0	0	0	0	0	1	0	0	0	0	1	0
LOC105378231	0	0	0	0	0	1	0	0	1	0	0	0	3
SPARC	623	906	841	1393	1034	1887	904	691	672	1164	442	643	490
CLMAT3	17	23	15	45	34	57	31	19	11	22	8	12	11
ATOX1	357	658	360	599	354	664	602	485	487	280	267	389	474
ATOX1-AS1	55	49	58	82	47	47	60	25	53	38	20	63	31
LOC100652758	174	266	109	143	138	187	314	250	160	133	142	177	153
G3BP1	7478	10364	5525	7066	5480	7114	10919	9076	6537	5028	6230	7702	6491
GLRA1	5	8	13	7	7	1	10	10	8	1	3	12	11
LOC112267935	10	10	5	8	6	3	7	2	7	0	2	5	6
LINC01933	0	2	0	0	0	0	0	2	0	0	0	0	0
LOC105378236	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378237	0	0	0	0	0	0	0	0	0	0	0	0	0
NMUR2	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01470	0	0	0	0	0	0	0	0	0	0	0	0	0
GRIA1	1	0	0	0	0	0	1	0	0	0	0	2	0
LINC01861	0	1	0	0	0	0	0	0	0	0	0	0	0
LOC107986464	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC107983980	1	1	5	3	2	0	3	1	1	0	0	3	0
FAM114A2	533	896	545	680	546	727	892	829	632	604	560	822	678
MFAP3	1255	1497	1021	1326	1318	1450	1544	1282	1112	1318	957	1469	1134
GALNT10	1304	1691	1258	1348	1110	1097	1474	1189	974	699	695	1205	945
LOC107986465	98	39	89	61	21	15	59	22	37	7	29	51	12
MIR1294	2	0	2	3	0	0	0	0	0	0	3	1	0
SAP30L-AS1	95	85	98	83	56	59	100	54	66	35	40	82	49
SAP30L	741	758	579	617	708	766	784	728	609	639	404	666	545
HAND1	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR3141	0	0	0	0	0	0	0	0	0	0	0	0	0
LARP1	5631	4748	4471	4842	3243	3769	5580	4057	3090	1974	2314	3378	2390
MIR1303	0	0	2	3	2	0	0	0	0	0	0	0	0
LOC112267936	19	26	13	17	10	19	35	39	22	22	14	11	21
FAXDC2	768	619	925	1022	869	617	498	342	413	385	183	456	329
MIR378H	7	11	6	3	3	6	3	0	3	3	1	5	1
CNOT8	2386	2411	1759	1925	2260	2418	2669	2249	1818	1773	1609	2248	1746
GEMIN5	1478	2069	1166	1317	824	1042	2806	2411	1603	1012	1495	1586	1355
MRPL22	454	667	394	458	350	467	680	624	447	289	361	436	407
KIF4B	16	26	12	16	16	21	24	10	11	3	15	16	7
LOC105378239	0	0	0	0	0	0	0	0	0	0	0	0	0
SGCD	0	0	0	0	0	0	0	0	0	0	0	2	1
LOC105377673	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R2B	11	18	17	19	10	26	29	20	17	19	23	21	39
TIMD4	1	0	1	1	0	2	0	0	0	1	1	2	0
HAVCR1	7	8	7	14	13	19	4	1	2	3	2	9	5
HAVCR2	369	748	438	902	604	1315	854	760	881	818	564	887	987
MED7	291	460	254	400	354	492	577	477	350	424	333	489	414
GARIN3	0	0	1	0	0	0	0	0	0	0	0	0	0
ITK	104	150	118	165	287	370	111	80	74	155	42	153	94
CYFIP2	3951	2802	3076	2996	2803	2901	3339	2528	2227	2586	1751	3926	2908
FNDC9	85	33	65	54	25	27	34	11	29	13	14	51	9
NIPAL4-DT	59	15	23	34	16	19	13	8	14	11	14	43	11
NIPAL4	1	1	4	13	1	45	1	0	3	3	0	1	0
ADAM19	100	229	159	360	129	380	472	374	513	278	224	578	520
SOX30	2	0	2	0	0	2	2	1	0	0	1	2	0
LOC105377675	9	8	2	3	6	8	8	1	0	2	5	11	6
C5orf52	0	0	0	1	0	0	4	1	0	0	0	0	0
LOC105377676	0	1	1	1	0	1	0	5	1	1	0	3	6
THG1L	294	666	235	345	312	365	675	601	361	359	307	349	337
LSM11	548	635	356	417	398	490	751	621	419	395	488	577	463
CLINT1	3699	4612	3070	3971	3857	4642	5082	4462	3480	3778	3047	4288	3603
LOC107986466	0	0	0	0	1	0	0	0	0	0	0	0	0
LOC105377677	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377678	0	2	1	0	0	0	0	0	0	1	0	0	0
LOC105377680	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02227	0	0	0	0	0	0	0	0	0	4	0	0	0
EBF1	22	32	55	53	16	12	212	81	198	134	48	200	69
LINC02202	0	0	1	0	0	0	10	0	1	0	2	1	0
LOC107986467	0	1	0	1	2	0	3	9	3	2	2	2	2
RNF145	1797	2021	1596	2350	2295	2985	1924	1657	1295	1353	1179	1762	1474
LOC107986468	2	4	6	4	2	5	2	4	2	1	2	3	2
LINC01932	0	0	1	0	0	0	0	0	0	0	0	0	0
UBLCP1	460	565	373	436	368	477	509	367	316	248	266	555	297
LOC105377683	0	0	0	0	0	1	0	0	0	0	0	0	0
IL12B	1	5	0	1	0	3	0	0	0	0	0	0	8
LOC107986469	0	1	0	1	0	0	0	0	0	0	0	0	0
LOC285626	1	4	1	1	1	4	0	0	1	1	0	1	0
LINC01845	1	1	1	2	2	0	1	3	2	1	0	0	0
LOC105377685	4	2	1	7	0	2	1	0	1	1	0	1	0
LOC105377684	2	1	1	1	1	0	0	2	0	1	0	1	1
LOC105377687	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377688	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01847	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377689	0	0	0	0	0	0	0	0	0	0	0	0	0
ADRA1B	0	0	1	0	5	0	0	0	1	0	0	0	0
LOC101927790	0	0	0	0	1	0	0	0	0	0	0	0	0
TTC1	962	1752	807	1213	1038	1379	2122	1872	1244	1143	1417	1451	1307
PWWP2A	873	989	687	890	705	697	947	831	791	570	619	929	690
FABP6	1	0	0	2	1	4	0	0	0	1	0	0	2
FABP6-AS1	0	0	0	0	1	0	0	0	0	0	2	0	0
CCNJL	37	23	38	27	24	16	19	19	14	27	14	13	4
LOC105377691	5	1	3	4	0	1	1	8	0	3	1	0	2
C1QTNF2	0	4	0	1	0	0	1	0	0	0	0	0	1
FAM200C	128	179	122	135	132	178	153	131	120	146	89	177	108
SLU7	1056	1649	1014	1358	1415	2019	1897	1671	1511	1717	1328	1662	1416
PTTG1	1007	2012	935	1284	973	1286	2493	2329	1496	1142	1561	1376	1406
MIR3142HG	67	319	67	265	113	679	80	60	70	84	51	74	114
MIR3142	2	6	0	6	1	2	2	4	1	2	1	3	2
MIR146A	3	17	5	15	3	35	5	1	2	4	1	1	1
ATP10B	6	14	4	39	14	31	7	2	5	1	4	10	12
LINC02159	0	0	0	0	0	0	0	0	0	0	2	0	0
LOC105377693	0	0	0	0	0	0	0	0	0	0	0	0	0
GABRB2	0	3	0	0	2	0	0	0	0	0	0	0	0
LOC105377694	0	0	0	1	0	0	0	0	0	0	0	0	0
GABRA6	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377696	0	0	0	0	0	0	0	0	0	0	0	0	0
GABRA1	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01202	0	0	0	0	0	0	0	0	0	0	0	0	0
GABRG2	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377697	6	2	4	2	6	0	5	0	1	0	0	8	5
LOC105377698	1	1	0	1	1	1	0	1	0	0	0	1	0
LOC105377699	3	0	1	9	6	9	2	0	0	1	0	3	0
LOC105377700	321	359	242	292	439	440	256	180	139	161	113	195	180
CCNG1	5910	5578	4137	4452	6821	6511	4941	4177	3675	5194	3424	5621	4227
NUDCD2	907	1105	720	741	892	830	946	859	621	570	582	758	651
HMMR	1239	2123	1039	1473	1114	1148	2643	2395	1590	1111	1789	2074	1490
HMMR-AS1	156	297	137	206	123	148	348	318	216	164	231	282	232
MAT2B	1539	2175	1263	1488	1528	1852	2151	1910	1543	1480	1234	1690	1496
LOC102724458	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC03000	0	0	0	1	1	0	0	0	0	0	0	0	0
LINC02143	0	0	0	0	0	0	0	0	0	2	0	4	0
LOC102546299	0	0	0	0	2	0	0	0	2	0	0	0	0
LOC105377702	0	1	0	0	0	0	1	0	3	0	0	0	0
LINC01938	0	2	0	0	1	0	10	0	1	0	0	5	0
LOC107986370	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377705	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377706	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01947	1	0	0	0	0	0	0	0	0	0	0	0	0
TENM2	0	1	0	0	1	1	0	0	0	0	0	3	0
LOC101927908	0	0	0	0	0	0	0	0	0	0	1	0	0
LOC105377709	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR12125	0	0	1	0	0	0	0	0	0	0	0	0	0
TENM2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0
WWC1	31	31	7	20	20	8	47	52	22	16	5	15	11
RARS1	1773	3385	1611	2074	1640	2243	4185	3876	2651	2214	2541	2549	2242
FBLL1	3	2	0	0	2	5	2	0	0	0	0	0	0
PANK3	6715	6627	5780	7384	6517	7720	5422	4387	5082	5172	3224	6836	5223
MIR103A1	5	7	9	10	7	5	1	8	9	10	16	10	11
MIR103B1	2	0	1	0	0	2	0	0	0	0	2	0	0
SLIT3	4	3	23	32	105	114	1	0	1	15	0	4	0
SLIT3-AS2	0	1	3	2	0	8	1	0	0	2	0	0	0
MIR218-2	0	0	0	0	0	4	0	0	0	0	0	0	0
LOC107986470	0	0	0	0	0	1	0	0	0	0	0	0	0
LOC105377713	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986472	0	0	0	0	0	0	0	0	0	0	0	0	0
SLIT3-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377712	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR585	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377714	2	4	2	3	2	0	5	1	5	5	1	0	0
LOC105377715	0	0	0	0	0	0	0	0	0	0	0	1	0
SPDL1	1056	1400	792	965	700	822	1893	1477	1107	750	1043	1065	825
DOCK2	9010	11831	8082	11066	8211	10547	15578	12401	10234	9405	7576	11793	9544
INSYN2B	814	340	647	838	238	197	556	147	403	113	124	702	324
MIR378E	5	2	4	9	5	4	9	0	1	5	0	4	1
FOXI1	0	0	0	2	0	0	0	0	0	0	0	0	0
LINC01187	0	1	2	2	0	1	0	0	1	0	0	2	0
C5orf58	163	122	172	242	139	192	106	78	104	79	39	160	115
LCP2	1425	1134	1356	2039	1469	1944	893	611	743	661	429	1021	778
LOC100128059	0	4	0	1	0	1	0	1	0	0	0	1	2
LINC01366	36	43	30	31	36	43	50	53	22	12	20	44	31
KCNIP1	1	1	1	1	2	7	3	0	1	2	0	4	0
KCNMB1	12	43	14	40	13	42	49	46	27	14	20	41	35
KCNIP1-OT1	2	7	0	3	5	8	4	3	3	1	2	6	1
KCNIP1-AS1	0	1	0	0	0	0	0	0	0	0	0	0	0
LOC107986473	0	0	0	0	0	0	0	0	2	0	0	0	0
LOC107986474	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986475	0	0	0	1	0	0	0	0	0	0	0	0	0
GABRP	0	0	0	0	0	0	0	0	0	0	0	0	0
RANBP17	377	601	377	514	180	261	892	498	388	338	396	733	426
TLX3	0	0	0	1	0	0	0	0	0	0	0	0	0
SNORA70J	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR3912	0	3	0	0	0	0	3	1	0	0	0	0	0
NPM1	21154	42514	17258	22640	18421	25556	49765	45250	26576	26931	32196	31578	28097
FGF18	5	1	0	2	3	0	1	1	0	0	0	0	0
LOC105377721	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377720	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377722	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986392	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377724	0	0	0	0	0	0	0	0	4	0	0	0	0
LOC105377723	0	0	0	0	0	0	0	0	0	0	0	0	0
SMIM23	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377725	14	2	16	15	8	10	7	6	7	0	2	16	0
LOC107986476	43	19	24	38	18	20	30	20	12	8	7	17	3
FBXW11	1614	2066	1398	1858	1771	2104	2116	1794	1522	1560	1211	1821	1437
STK10	2534	3899	2289	2949	2778	3205	5384	4342	2831	2733	2261	3205	2800
LOC107986477	74	65	70	53	59	69	49	58	35	45	23	46	43
EFCAB9	6	3	1	0	2	0	1	0	1	4	4	4	4
UBTD2	426	444	333	452	325	525	642	550	394	312	349	512	371
LOC100288254	0	0	2	0	0	0	1	1	0	1	0	0	0
SH3PXD2B	284	394	260	482	192	543	326	258	238	203	108	172	170
LOC105377727	0	0	0	0	0	1	1	0	0	0	0	0	0
LOC107984004	0	0	0	0	0	0	0	0	0	0	0	0	1
LINC01944	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377729	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986478	0	0	0	0	0	0	0	0	0	0	0	0	0
NEURL1B	105	191	75	124	53	64	330	234	91	89	160	156	112
MIR5003	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986479	0	0	0	1	1	1	1	2	0	0	0	1	0
LOC101928093	1	1	1	1	1	1	3	0	0	0	0	0	0
DUSP1	134	189	195	378	182	308	194	162	169	172	60	152	181
LOC105377730	11	8	9	12	13	16	4	9	4	11	2	7	6
ERGIC1	2152	3062	1729	2066	1725	2249	3302	2735	1607	1576	1782	2363	2099
MIR10523	4	4	7	4	6	5	2	3	2	2	2	0	8
RPL26L1	347	674	273	432	292	403	741	690	459	320	473	407	455
RPL26L1-AS1	6	7	4	8	2	5	12	8	1	1	6	5	3
ATP6V0E1	1577	2495	1575	2176	2459	3116	2396	2126	1944	2211	1465	2170	1932
SNORA74B	132	141	116	130	168	256	95	72	77	107	40	98	97
CREBRF	705	588	632	731	1094	1141	470	394	529	816	273	780	573
BNIP1	134	300	140	193	151	187	321	328	207	154	201	202	200
NKX2-5	0	0	0	0	0	0	0	0	0	1	0	0	0
LOC105377731	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR12118	0	0	0	0	0	0	0	0	0	0	0	0	0
STC2	0	0	1	4	5	72	0	2	2	23	0	1	4
MIR8056	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377732	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377733	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02995	4	4	8	4	2	1	3	2	2	1	1	4	0
LOC105377735	5	1	9	3	3	2	5	3	4	5	1	2	0
BOD1	411	647	357	439	339	504	779	638	438	401	388	561	437
LINC01863	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01942	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01484	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107984118	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986482	5	11	6	7	6	12	7	3	3	13	1	6	7
LINC01485	0	0	1	1	0	0	0	0	0	0	0	0	0
CPEB4	694	651	760	1011	867	1079	516	316	611	610	267	662	467
C5orf47	0	1	0	0	0	0	0	0	0	3	0	0	2
NSG2	1	0	0	0	4	1	0	0	0	0	0	0	0
LOC102724551	0	0	0	0	0	0	0	0	0	0	0	0	2
LINC01411	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986483	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377739	0	0	0	0	1	0	0	0	0	0	0	0	0
LOC105377740	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377741	0	0	0	0	0	0	0	0	0	0	0	0	0
MSX2	0	1	0	0	0	0	0	0	0	0	1	1	0
MIR4634	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377742	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01951	0	0	0	0	1	0	0	0	0	0	0	0	0
LOC107986484	0	0	0	0	0	0	0	0	0	0	0	0	0
DRD1	0	2	0	0	0	0	0	0	0	0	0	0	0
SFXN1	2348	2968	1654	1898	1552	1944	3031	2727	1813	1285	1811	2008	1792
HRH2	621	592	587	810	307	619	921	681	472	368	361	627	362
LOC105377743	75	52	108	92	35	72	63	33	39	22	10	26	20
CPLX2	1	0	3	4	1	0	4	2	4	3	0	1	5
LOC105377744	0	0	0	0	1	0	1	0	1	0	0	0	0
LOC107986485	42	13	24	23	10	7	32	10	23	3	5	13	10
THOC3	777	1273	650	717	560	716	2243	1877	1123	775	555	615	542
LOC107986486	68	122	63	64	59	73	301	242	132	79	54	73	57
THOC3-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377746	1	3	0	2	0	1	3	5	1	0	0	1	1
LOC100996385	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM153B	0	0	0	0	1	0	1	0	0	0	0	0	0
LOC100507387	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986487	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC643201	0	0	0	0	0	1	1	0	0	1	0	0	0
SIMC1	393	329	287	377	177	197	367	227	210	143	156	287	163
KIAA1191	884	1013	744	925	957	1173	1055	768	656	754	508	833	745
ARL10	609	110	300	226	105	92	139	64	86	46	56	214	134
MIR1271	2	0	0	0	1	0	4	0	0	0	0	1	1
NOP16	746	1379	588	751	526	811	1665	1418	770	504	742	709	688
HIGD2A	683	1136	583	763	719	1003	1141	1031	676	660	561	772	706
CLTB	521	862	372	551	517	632	956	788	456	393	306	359	312
FAF2	1989	2170	1517	1822	1507	1792	2306	1983	1582	1387	1278	1817	1464
RNF44	442	411	386	373	523	631	489	323	200	166	179	229	139
LOC112267951	69	79	57	55	59	59	96	70	37	41	37	42	37
CDHR2	15	23	11	11	17	8	24	15	6	12	4	6	5
GPRIN1	34	31	18	20	11	11	41	34	24	8	5	9	8
SNCB	2	0	0	1	0	1	0	0	0	0	0	0	0
MIR4281	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF4E1B	0	0	0	1	0	0	0	0	0	0	0	0	0
TSPAN17	206	574	225	286	156	247	646	575	297	173	267	329	279
LINC01574	0	0	0	0	0	0	0	0	0	0	0	0	0
UNC5A	5	3	10	18	12	26	8	4	5	4	0	7	1
HK3	37	77	93	221	222	615	153	95	115	257	43	92	104
