GeneID	GSE139871_GPL10558_MTB_control_blood_monocyte_dn.tsv	GSE16250_GPL570_MTB_control_blood_PBMC_dn.tsv	GSE34151_GPL10558_MTB_control_blood_dendritic_cell_dn.tsv	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode_dn.tsv	GSE83456_GPL10558_EPTB_control_blood_dn.tsv	GSE83456_GPL10558_PTB_control_blood_dn.tsv
10135	-1.8757822332757657	-0.5703746588148018	-0.016540637569784328	-0.026262615361409364	-1.4220571478986692	0
10136	-0.04579895436899023	0	0	-0.18485659848802016	-0.016074202869591048	-0.2168939439756528
10137	-0.00566389309022379	-25.429620372700075	0	-0.015251822980619556	0	0
10138	-0.00427336112312178	-0.7146616887334512	0	0	-0.03917295889367356	0
10139	0	-1.1769076129984009	0	0	0	0
1014	0	0	-9.473392951473972	0	0	-1.370112527902969
10141	-0.028291784826698477	-0.04899147900657107	-0.00908938481365329	0	0	0
10142	0	0	0	-0.1196805095821798	-0.032315385880255953	0
10143	-0.04775631167554351	0	-0.004695385814868804	-0.004706269175522915	-0.02713705598630356	-0.9893148294942108
10144	0	-0.5968900858137367	0	0	0	0
10146	0	-1.4450822296452264	0	-0.3020695942631966	-0.03917295889367356	0
10147	0	0	-0.267626594397979	-0.05151294215852742	0	-1.75999890985034
10148	0	-11.883492363964564	0	0	-3.2573698943542344	-5.227106648404774
10149	0	-0.2178654722271629	0	-0.20375004076463776	-1.4215868591069976	-0.3164645822614616
1015	0	-0.5788755037195372	0	-0.04543075740060698	-8.348015817097917	0
10150	-0.8003360956606027	-1.0961898169485942	0	0	-5.80579900918049	-18.156960613053496
10152	-0.013981884280920063	0	0	-0.16424238277417458	-0.26520709920677366	-0.4547874762450126
10153	0	-1.1783959147845555	-0.08397949018718842	0	0	0
10154	-0.009435494419160645	0	-0.03247909458846543	0	0	0
10155	0	-0.6015042908817936	0	-0.014237713291195553	0	-2.511214296799436
10156	-0.0014615840412856018	0	-0.009883277696254522	0	-0.03917295889367356	0
10157	0	-10.429234320870767	-0.3219225082554642	0	0	0
10158	-0.07586540537895736	-1.1019847585955818	-0.10380671636979132	-0.2510274352405144	-0.4672339722589569	-0.14382012389425314
10159	0	-0.8921390528420936	0	0	-0.3555739071764391	0
1016	-0.10722907686527	-0.09980803625538326	0	-1.5192325190946665	0	-0.7917034186550802
10160	-0.035530908856011734	-2.8249964981962554	-3.3194961795969	-0.11264375952134476	-2.0155429573377197	-1.491585212287862
10162	-0.13495998083701255	-5.183253438028757	-0.020254980986295745	0	-0.2529389419700422	0
10163	0	0	-0.12440213640490992	-0.08801347574401544	0	0
10164	-0.15409277360800402	0	-0.3432342746624091	0	-1.4222614579900386	0
10165	0	-0.8196370749051223	0	0	-1.9105963120673803	-3.379261607803937
10166	0	-0.01237916120423782	0	0	-0.5383436620031545	-1.4236740317775456
10168	0	0	0	-0.026233508023494476	-1.0352360590899343	-0.8653504643913519
10169	-0.604118336465628	-0.3924396746565193	-0.010415158838840234	-0.2708129939674008	-5.099397892064681	0
1017	-0.4275593421516346	-0.2633974033735801	-0.703321314243915	-0.03291685119760501	0	0
10170	0	-1.674287239499947	-0.014111072288099102	-0.2052372127592499	-0.03917295889367356	0
10171	0	-0.03487952161166863	-0.043865484297065833	0	-4.556577997497228	-0.6822826511848001
10172	0	0	-0.10427434407089808	-0.1728487457342473	0	0
10174	0	-2.1861346794397623	0	0	-0.03917295889367356	0
10175	-0.10554183103612468	-0.09909000000701634	0	0	-0.03917295889367356	0
10178	-0.13148316698755924	-1.0717254113279706	-0.22859855661415995	-1.6935916326390483	-3.987630803757349	-5.322586475616775
10179	-0.07721527573878428	-0.3815578594180006	0	-3.172018190777494	0	0
1018	0	0	-0.039864993429757176	0	0	0
10180	-0.009087689169432256	-0.1573065311247221	-0.0278061339407481	0	0	-2.8571013957739098
10181	-0.6530961902684427	-0.018104603420114107	-0.0291373549826674	-0.027452190620466443	-2.148619848753035	-1.27355631084306
10184	-0.07400743626819778	0	0	0	0	0
10186	-0.020384245524388445	0	-0.18736292538159627	-0.2511639600257134	0	0
10188	0	-1.1791028749520878	-0.01932930809908827	0	0	-0.27050993450359373
10189	-0.008164615698279587	-0.23700651743378287	-0.23489306083974304	-0.5440442266366037	0	0
1019	0	-6.662372612808682	0	0	0	0
10190	0	-5.011502974836026	0	-0.12420525928854782	0	0
10193	0	-0.17801518719454434	-0.03868573109989537	-1.2615923427049305	-6.34282392862165	-5.899670715614972
