Ensembl	GeneID	Symbol	baseMean	log2FoldChange	lfcSE	stat	P.Value	adj.P.Val
ENSG00000165138	203286	ANKS6	213.0339680562615	-1.346439109196047	0.5123946466826084	-2.627738439332426	0.008595457890438698	0.046391591462154616
ENSG00000221838	9179	AP4M1	280.18669550092665	-0.8330185757353229	0.27036351552937005	-3.081105725764358	0.0020623340572397094	0.017783430192835153
ENSG00000169188	27301	APEX2	399.29395571238246	-1.0691900372350842	0.32128090837520584	-3.3278978282345912	8.75039522202459e-4	0.009981710022497623
ENSG00000169621	200558	APLF	64.97338148852907	-1.326276870976438	0.3529264471466017	-3.757941298248803	1.7131705704260736e-4	0.0032682805772728807
ENSG00000124701	10930	APOBEC2	66.51346080238282	-1.8415152934852066	0.4326929364744686	-4.25594027138427	2.081722799058273e-5	7.693122255186462e-4
ENSG00000244509	27350	APOBEC3C	2732.4969129695983	-0.8070156837651852	0.30033961535515347	-2.6870104458610435	0.007209469808234051	0.041293382846497154
ENSG00000243811	140564	APOBEC3D	463.1867171596361	-1.3503315063046175	0.3151491465141521	-4.284737944686071	1.8295470816529457e-5	7.134927161648891e-4
ENSG00000128394	200316	APOBEC3F	1569.5693878974134	-0.8020741560107285	0.26332308133023324	-3.0459698100101145	0.002319311217369419	0.01927678782730511
ENSG00000178301	282679	AQP11	31.419839917399443	-1.8199433363907531	0.46825286243002684	-3.8866678293135166	1.016296707389379e-4	0.0023039357294488334
ENSG00000006740	9912	ARHGAP44	10.934869274254265	-1.9799157822706637	0.5949392201256583	-3.327929501525352	8.749400445511189e-4	0.009981710022497623
ENSG00000142632	128272	ARHGEF19	119.37299178232833	-1.4294567878187499	0.43845642393671647	-3.2602026331014984	0.001113326431383387	0.011798118332029137
ENSG00000131089	23229	ARHGEF9	454.31624834068964	-1.4582927272475623	0.4004987593745365	-3.6411916219790412	2.7137904925957887e-4	0.004491324817193163
ENSG00000174225	392509	ARL13A	8.478320994972767	-1.8845679549837246	0.6495410139103518	-2.901384076793384	0.003715182106774988	0.02636225371008936
ENSG00000213465	402	ARL2	180.62666216991033	-1.7693106212611749	0.36579781341096473	-4.83685401168158	1.319102360965045e-6	1.1087126775446997e-4
ENSG00000113966	84100	ARL6	54.43479896503906	-1.3805174063478365	0.5244024420738032	-2.632553351369683	0.00847457119521086	0.0459704022756056
ENSG00000105676	93436	ARMC6	340.4812694242646	-0.9182871228239734	0.32831909647596935	-2.796934849908085	0.005158993502740329	0.03289829820071223
