"","id","is_bing","is_lm","pr_gene_id","pr_gene_symbol","pr_gene_title"
"46","205504_at",1,1,695,"BTK","Bruton agammaglobulinemia tyrosine kinase"
"47","201058_s_at",1,1,10398,"MYL9","myosin, light chain 9, regulatory"
"48","200830_at",1,1,5708,"PSMD2","proteasome (prosome, macropain) 26S subunit, non-ATPase, 2"
"49","200614_at",1,1,1213,"CLTC","clathrin, heavy chain (Hc)"
"50","200966_x_at",1,1,226,"ALDOA","aldolase A, fructose-bisphosphate"
"51","205026_at",1,1,6777,"STAT5B","signal transducer and activator of transcription 5B"
"52","214447_at",1,1,2113,"ETS1","v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)"
"53","200807_s_at",1,1,3329,"HSPD1","heat shock 60kDa protein 1 (chaperonin)"
"54","204039_at",1,1,1050,"CEBPA","CCAAT/enhancer binding protein (C/EBP), alpha"
"55","201052_s_at",1,1,9491,"PSMF1","proteasome (prosome, macropain) inhibitor subunit 1 (PI31)"
"56","203952_at",1,1,22926,"ATF6","activating transcription factor 6"
"57","202100_at",1,1,5899,"RALB","v-ral simian leukemia viral oncogene homolog B (ras related; GTP binding protein)"
"58","37152_at",1,1,5467,"PPARD","peroxisome proliferator-activated receptor delta"
"59","208992_s_at",1,1,6774,"STAT3","signal transducer and activator of transcription 3 (acute-phase response factor)"
"60","218457_s_at",1,1,1788,"DNMT3A","DNA (cytosine-5-)-methyltransferase 3 alpha"
"61","202677_at",1,1,5921,"RASA1","RAS p21 protein activator (GTPase activating protein) 1"
"62","201762_s_at",1,1,5721,"PSME2","proteasome (prosome, macropain) activator subunit 2 (PA28 beta)"
"63","203639_s_at",1,1,2263,"FGFR2","fibroblast growth factor receptor 2"
"64","200622_x_at",1,1,808,"CALM3","calmodulin 3 (phosphorylase kinase, delta)"
"65","218498_s_at",1,1,30001,"ERO1L","ERO1-like (S. cerevisiae)"
"66","203381_s_at",1,1,348,"APOE","apolipoprotein E"
"67","212740_at",1,1,30849,"PIK3R4","phosphoinositide-3-kinase, regulatory subunit 4"
"68","202332_at",1,1,1454,"CSNK1E","casein kinase 1, epsilon"
"69","200711_s_at",1,1,6500,"SKP1","S-phase kinase-associated protein 1"
"70","207808_s_at",1,1,5627,"PROS1","protein S (alpha)"
"71","207805_s_at",1,1,5715,"PSMD9","proteasome (prosome, macropain) 26S subunit, non-ATPase, 9"
"72","207535_s_at",1,1,4791,"NFKB2","nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)"
"73","219461_at",1,1,56924,"PAK6","p21 protein (Cdc42/Rac)-activated kinase 6"
"74","205498_at",1,1,2690,"GHR","growth hormone receptor"
"75","202246_s_at",1,1,1019,"CDK4","cyclin-dependent kinase 4"
"76","218292_s_at",1,1,51422,"PRKAG2","protein kinase, AMP-activated, gamma 2 non-catalytic subunit"
"77","207238_s_at",1,1,5788,"PTPRC","protein tyrosine phosphatase, receptor type, C"
"78","208611_s_at",1,1,6709,"SPTAN1","spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)"
"79","202310_s_at",1,1,1277,"COL1A1","collagen, type I, alpha 1"
"80","204695_at",1,1,993,"CDC25A","cell division cycle 25 homolog A (S. pombe)"
"81","201746_at",1,1,7157,"TP53","tumor protein p53"
"82","201693_s_at",1,1,1958,"EGR1","early growth response 1"
"83","207847_s_at",1,1,4582,"MUC1","mucin 1, cell surface associated"
"84","209464_at",1,1,9212,"AURKB","aurora kinase B"
"85","203315_at",1,1,8440,"NCK2","NCK adaptor protein 2"
"86","204092_s_at",1,1,6790,"AURKA","aurora kinase A"
"87","204995_at",1,1,8851,"CDK5R1","cyclin-dependent kinase 5, regulatory subunit 1 (p35)"
"88","210105_s_at",1,1,2534,"FYN","FYN oncogene related to SRC, FGR, YES"
"89","202647_s_at",1,1,4893,"NRAS","neuroblastoma RAS viral (v-ras) oncogene homolog"
"90","221478_at",1,1,665,"BNIP3L","BCL2/adenovirus E1B 19kDa interacting protein 3-like"
"91","201069_at",1,1,4313,"MMP2","matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)"
"92","211297_s_at",1,1,1022,"CDK7","cyclin-dependent kinase 7"
"93","207419_s_at",1,1,5880,"RAC2","ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)"
"94","203665_at",1,1,3162,"HMOX1","heme oxygenase (decycling) 1"
"95","211980_at",1,1,1282,"COL4A1","collagen, type IV, alpha 1"
"96","202637_s_at",1,1,3383,"ICAM1","intercellular adhesion molecule 1"
"97","205500_at",1,1,727,"C5","complement component 5"
"98","201502_s_at",1,1,4792,"NFKBIA","nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha"
"99","203927_at",1,1,4794,"NFKBIE","nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon"
"100","204093_at",1,1,902,"CCNH","cyclin H"
"101","208025_s_at",1,1,8091,"HMGA2","high mobility group AT-hook 2"
"102","212143_s_at",1,1,3486,"IGFBP3","insulin-like growth factor binding protein 3"
"103","221308_at",1,1,10818,"FRS2","fibroblast growth factor receptor substrate 2"
"104","204191_at",1,1,3454,"IFNAR1","interferon (alpha, beta and omega) receptor 1"
"105","217871_s_at",1,1,4282,"MIF","macrophage migration inhibitory factor (glycosylation-inhibiting factor)"
"106","205417_s_at",1,1,1605,"DAG1","dystroglycan 1 (dystrophin-associated glycoprotein 1)"
"107","218847_at",1,1,10644,"IGF2BP2","insulin-like growth factor 2 mRNA binding protein 2"
"108","202454_s_at",1,1,2065,"ERBB3","v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)"
"109","204451_at",1,1,8321,"FZD1","frizzled family receptor 1"
"110","202743_at",1,1,8503,"PIK3R3","phosphoinositide-3-kinase, regulatory subunit 3 (gamma)"
"111","212330_at",1,1,7027,"TFDP1","transcription factor Dp-1"
"112","207540_s_at",1,1,6850,"SYK","spleen tyrosine kinase"
"113","221539_at",1,1,1978,"EIF4EBP1","eukaryotic translation initiation factor 4E binding protein 1"
"114","201700_at",1,1,896,"CCND3","cyclin D3"
"115","206687_s_at",1,1,5777,"PTPN6","protein tyrosine phosphatase, non-receptor type 6"
"116","204014_at",1,1,1846,"DUSP4","dual specificity phosphatase 4"
"117","203132_at",1,1,5925,"RB1","retinoblastoma 1"
"118","208644_at",1,1,142,"PARP1","poly (ADP-ribose) polymerase 1"
"119","207143_at",1,1,1021,"CDK6","cyclin-dependent kinase 6"
"120","202659_at",1,1,5699,"PSMB10","proteasome (prosome, macropain) subunit, beta type, 10"
"121","204420_at",1,1,8061,"FOSL1","FOS-like antigen 1"
"122","207042_at",1,1,1870,"E2F2","E2F transcription factor 2"
"123","202224_at",1,1,1398,"CRK","v-crk sarcoma virus CT10 oncogene homolog (avian)"
"124","208687_x_at",1,1,3312,"HSPA8","heat shock 70kDa protein 8"
"125","214710_s_at",1,1,891,"CCNB1","cyclin B1"
"126","207416_s_at",1,1,4775,"NFATC3","nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3"
"127","201202_at",1,1,5111,"PCNA","proliferating cell nuclear antigen"
"128","209040_s_at",1,1,5696,"PSMB8","proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional peptidase 7)"
"129","210038_at",1,1,5588,"PRKCQ","protein kinase C, theta"
"130","218619_s_at",1,1,6839,"SUV39H1","suppressor of variegation 3-9 homolog 1 (Drosophila)"
"131","202076_at",1,1,329,"BIRC2","baculoviral IAP repeat containing 2"
"132","209615_s_at",1,1,5058,"PAK1","p21 protein (Cdc42/Rac)-activated kinase 1"
"133","208728_s_at",1,1,998,"CDC42","cell division cycle 42 (GTP binding protein, 25kDa)"
"134","205034_at",1,1,9134,"CCNE2","cyclin E2"
"135","202507_s_at",1,1,6616,"SNAP25","synaptosomal-associated protein, 25kDa"
"136","200886_s_at",1,1,5223,"PGAM1","phosphoglycerate mutase 1 (brain)"
"137","204725_s_at",1,1,4690,"NCK1","NCK adaptor protein 1"
"138","205153_s_at",1,1,958,"CD40","CD40 molecule, TNF receptor superfamily member 5"
"139","201763_s_at",1,1,1616,"DAXX","death-domain associated protein"
"140","202870_s_at",1,1,991,"CDC20","cell division cycle 20 homolog (S. cerevisiae)"
"141","216598_s_at",1,1,6347,"CCL2","chemokine (C-C motif) ligand 2"
"142","213324_at",1,1,6714,"SRC","v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian)"
"143","211518_s_at",1,1,652,"BMP4","bone morphogenetic protein 4"
"144","203565_s_at",1,1,4331,"MNAT1","menage a trois homolog 1, cyclin H assembly factor (Xenopus laevis)"
"145","221060_s_at",1,1,7099,"TLR4","toll-like receptor 4"
"146","205039_s_at",1,1,10320,"IKZF1","IKAROS family zinc finger 1 (Ikaros)"
"147","206070_s_at",1,1,2042,"EPHA3","EPH receptor A3"
"148","205467_at",1,1,843,"CASP10","caspase 10, apoptosis-related cysteine peptidase"
"149","207181_s_at",1,1,840,"CASP7","caspase 7, apoptosis-related cysteine peptidase"
"150","207334_s_at",1,1,7048,"TGFBR2","transforming growth factor, beta receptor II (70/80kDa)"
"151","218902_at",1,1,4851,"NOTCH1","notch 1"
"152","201469_s_at",1,1,6464,"SHC1","SHC (Src homology 2 domain containing) transforming protein 1"
"153","221562_s_at",1,1,23410,"SIRT3","sirtuin 3"
"154","208905_at",1,1,54205,"CYCS","cytochrome c, somatic"
"155","209576_at",1,1,2770,"GNAI1","guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1"
"156","219208_at",1,1,80204,"FBXO11","F-box protein 11"
"157","207968_s_at",1,1,4208,"MEF2C","myocyte enhancer factor 2C"
"158","201536_at",1,1,1845,"DUSP3","dual specificity phosphatase 3"
"159","216347_s_at",1,1,23368,"PPP1R13B","protein phosphatase 1, regulatory subunit 13B"
"160","206099_at",1,1,5583,"PRKCH","protein kinase C, eta"
"161","205899_at",1,1,8900,"CCNA1","cyclin A1"
"162","208478_s_at",1,1,581,"BAX","BCL2-associated X protein"
"163","200024_at",1,1,6193,"RPS5","ribosomal protein S5"
"164","204466_s_at",1,1,6622,"SNCA","synuclein, alpha (non A4 component of amyloid precursor)"
"165","207993_s_at",1,1,11261,"CHP","calcium binding protein P22"
"166","209875_s_at",1,1,6696,"SPP1","secreted phosphoprotein 1"
"167","212849_at",1,1,8312,"AXIN1","axin 1"
"168","208050_s_at",1,1,835,"CASP2","caspase 2, apoptosis-related cysteine peptidase"
"169","203705_s_at",1,1,8324,"FZD7","frizzled family receptor 7"
"170","208891_at",1,1,1848,"DUSP6","dual specificity phosphatase 6"
"171","206170_at",1,1,154,"ADRB2","adrenergic, beta-2-, receptor, surface"
"172","204475_at",1,1,4312,"MMP1","matrix metallopeptidase 1 (interstitial collagenase)"
"173","201853_s_at",1,1,994,"CDC25B","cell division cycle 25 homolog B (S. pombe)"
"174","209588_at",1,1,2048,"EPHB2","EPH receptor B2"
"175","205393_s_at",1,1,1111,"CHEK1","CHK1 checkpoint homolog (S. pombe)"
"176","205463_s_at",1,1,5154,"PDGFA","platelet-derived growth factor alpha polypeptide"
"177","209774_x_at",1,1,2920,"CXCL2","chemokine (C-X-C motif) ligand 2"
"178","208894_at",1,1,3122,"HLA-DRA","major histocompatibility complex, class II, DR alpha"
"179","205349_at",1,1,2769,"GNA15","guanine nucleotide binding protein (G protein), alpha 15 (Gq class)"
"180","209050_s_at",1,1,5900,"RALGDS","ral guanine nucleotide dissociation stimulator"
"181","203408_s_at",1,1,6304,"SATB1","SATB homeobox 1"
"182","201102_s_at",1,1,5211,"PFKL","phosphofructokinase, liver"
"183","210761_s_at",1,1,2886,"GRB7","growth factor receptor-bound protein 7"
"184","201460_at",1,1,9261,"MAPKAPK2","mitogen-activated protein kinase-activated protein kinase 2"
"185","209467_s_at",1,1,8569,"MKNK1","MAP kinase interacting serine/threonine kinase 1"
"186","200799_at",1,1,3303,"HSPA1A","heat shock 70kDa protein 1A"
"187","213384_x_at",1,1,5331,"PLCB3","phospholipase C, beta 3 (phosphatidylinositol-specific)"
"188","202240_at",1,1,5347,"PLK1","polo-like kinase 1"
"189","202555_s_at",1,1,4638,"MYLK","myosin light chain kinase"
"190","204579_at",1,1,2264,"FGFR4","fibroblast growth factor receptor 4"
"191","207039_at",1,1,1029,"CDKN2A","cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)"
"192","209112_at",1,1,1027,"CDKN1B","cyclin-dependent kinase inhibitor 1B (p27, Kip1)"
"193","217398_x_at",1,1,2597,"GAPDH","glyceraldehyde-3-phosphate dehydrogenase"
"194","218597_s_at",1,1,55847,"CISD1","CDGSH iron sulfur domain 1"
"195","214404_x_at",1,1,25803,"SPDEF","SAM pointed domain containing ets transcription factor"
"196","203627_at",1,1,3480,"IGF1R","insulin-like growth factor 1 receptor"
"197","204418_x_at",1,1,2946,"GSTM2","glutathione S-transferase mu 2 (muscle)"
"198","203127_s_at",1,1,9517,"SPTLC2","serine palmitoyltransferase, long chain base subunit 2"
"199","218245_at",1,1,25987,"TSKU","tsukushi small leucine rich proteoglycan homolog (Xenopus laevis)"
"200","218113_at",1,1,23670,"TMEM2","transmembrane protein 2"
"201","220091_at",1,1,11182,"SLC2A6","solute carrier family 2 (facilitated glucose transporter), member 6"
"202","203358_s_at",1,1,2146,"EZH2","enhancer of zeste homolog 2 (Drosophila)"
"203","204949_at",1,1,3385,"ICAM3","intercellular adhesion molecule 3"
"204","203709_at",1,1,5261,"PHKG2","phosphorylase kinase, gamma 2 (testis)"
"205","201548_s_at",1,1,10765,"KDM5B","lysine (K)-specific demethylase 5B"
"206","212189_s_at",1,1,25839,"COG4","component of oligomeric golgi complex 4"
"207","201555_at",1,1,4172,"MCM3","minichromosome maintenance complex component 3"
"208","213292_s_at",1,1,23161,"SNX13","sorting nexin 13"
"209","203154_s_at",1,1,10298,"PAK4","p21 protein (Cdc42/Rac)-activated kinase 4"
"210","204514_at",1,1,1802,"DPH2","DPH2 homolog (S. cerevisiae)"
"211","217789_at",1,1,58533,"SNX6","sorting nexin 6"
"212","212051_at",1,1,147179,"WIPF2","WAS/WASL interacting protein family, member 2"
"213","218407_x_at",1,1,29937,"NENF","neudesin neurotrophic factor"
"214","201011_at",1,1,6184,"RPN1","ribophorin I"
"215","204757_s_at",1,1,9854,"C2CD2L","C2CD2-like"
"216","206173_x_at",1,1,2553,"GABPB1","GA binding protein transcription factor, beta subunit 1"
"217","202635_s_at",1,1,5440,"POLR2K","polymerase (RNA) II (DNA directed) polypeptide K, 7.0kDa"
"218","202093_s_at",1,1,54623,"PAF1","Paf1, RNA polymerase II associated factor, homolog (S. cerevisiae)"
"219","207515_s_at",1,1,9533,"POLR1C","polymerase (RNA) I polypeptide C, 30kDa"
"220","201614_s_at",1,1,8607,"RUVBL1","RuvB-like 1 (E. coli)"
"221","207163_s_at",1,1,207,"AKT1","v-akt murine thymoma viral oncogene homolog 1"
"222","202318_s_at",1,1,26054,"SENP6","SUMO1/sentrin specific peptidase 6"
"223","202735_at",1,1,10682,"EBP","emopamil binding protein (sterol isomerase)"
"224","207620_s_at",1,1,8573,"CASK","calcium/calmodulin-dependent serine protein kinase (MAGUK family)"
"225","203171_s_at",1,1,23378,"RRP8","ribosomal RNA processing 8, methyltransferase, homolog (yeast)"
"226","201170_s_at",1,1,8553,"BHLHE40","basic helix-loop-helix family, member e40"
"227","211715_s_at",1,1,622,"BDH1","3-hydroxybutyrate dehydrogenase, type 1"
"228","201811_x_at",1,1,9467,"SH3BP5","SH3-domain binding protein 5 (BTK-associated)"
"229","202187_s_at",1,1,5525,"PPP2R5A","protein phosphatase 2, regulatory subunit B', alpha"
"230","203442_x_at",1,1,256364,"EML3","echinoderm microtubule associated protein like 3"
"231","202095_s_at",1,1,332,"BIRC5","baculoviral IAP repeat containing 5"
"232","200843_s_at",1,1,2058,"EPRS","glutamyl-prolyl-tRNA synthetase"
"233","121_at",1,1,7849,"PAX8","paired box 8"
"234","212140_at",1,1,23244,"PDS5A","PDS5, regulator of cohesion maintenance, homolog A (S. cerevisiae)"
"235","200670_at",1,1,7494,"XBP1","X-box binding protein 1"
"236","201158_at",1,1,4836,"NMT1","N-myristoyltransferase 1"
"237","202109_at",1,1,23647,"ARFIP2","ADP-ribosylation factor interacting protein 2"
"238","202811_at",1,1,10617,"STAMBP","STAM binding protein"
"239","202862_at",1,1,2184,"FAH","fumarylacetoacetate hydrolase (fumarylacetoacetase)"
"240","201136_at",1,1,5355,"PLP2","proteolipid protein 2 (colonic epithelium-enriched)"
"241","201416_at",1,1,6659,"SOX4","SRY (sex determining region Y)-box 4"
"242","204106_at",1,1,7016,"TESK1","testis-specific kinase 1"
"243","212115_at",1,1,90861,"HN1L","hematological and neurological expressed 1-like"
"244","201628_s_at",1,1,10670,"RRAGA","Ras-related GTP binding A"
"245","204256_at",1,1,79071,"ELOVL6","ELOVL fatty acid elongase 6"
"246","202324_s_at",1,1,64746,"ACBD3","acyl-CoA binding domain containing 3"
"247","204285_s_at",1,1,5366,"PMAIP1","phorbol-12-myristate-13-acetate-induced protein 1"
"248","202009_at",1,1,11344,"TWF2","twinfilin, actin-binding protein, homolog 2 (Drosophila)"
"249","206846_s_at",1,1,10013,"HDAC6","histone deacetylase 6"
"250","201087_at",1,1,5829,"PXN","paxillin"
"251","202738_s_at",1,1,5257,"PHKB","phosphorylase kinase, beta"
"252","207842_s_at",1,1,22794,"CASC3","cancer susceptibility candidate 3"
"253","200617_at",1,1,9761,"MLEC","malectin"
"254","200083_at",1,1,23326,"USP22","ubiquitin specific peptidase 22"
"255","200929_at",1,1,10972,"TMED10","transmembrane emp24-like trafficking protein 10 (yeast)"
"256","202230_s_at",1,1,10523,"CHERP","calcium homeostasis endoplasmic reticulum protein"
"257","204985_s_at",1,1,79090,"TRAPPC6A","trafficking protein particle complex 6A"
"258","212255_s_at",1,1,27032,"ATP2C1","ATPase, Ca++ transporting, type 2C, member 1"
"259","201671_x_at",1,1,9097,"USP14","ubiquitin specific peptidase 14 (tRNA-guanine transglycosylase)"
"260","202630_at",1,1,10513,"APPBP2","amyloid beta precursor protein (cytoplasmic tail) binding protein 2"
"261","200789_at",1,1,1891,"ECH1","enoyl CoA hydratase 1, peroxisomal"
"262","201833_at",1,1,3066,"HDAC2","histone deacetylase 2"
"263","203465_at",1,1,9801,"MRPL19","mitochondrial ribosomal protein L19"
"264","203575_at",1,1,1459,"CSNK2A2","casein kinase 2, alpha prime polypeptide"
"265","201729_s_at",1,1,9703,"KIAA0100","KIAA0100"
"266","201014_s_at",1,1,10606,"PAICS","phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase"
"267","204252_at",1,1,1017,"CDK2","cyclin-dependent kinase 2"
"268","201778_s_at",1,1,9813,"KIAA0494","KIAA0494"
"269","202749_at",1,1,7485,"WRB","tryptophan rich basic protein"
"270","202942_at",1,1,2109,"ETFB","electron-transfer-flavoprotein, beta polypeptide"
"271","212765_at",1,1,23271,"CAMSAP2","calmodulin regulated spectrin-associated protein family, member 2"
"272","202986_at",1,1,9915,"ARNT2","aryl-hydrocarbon receptor nuclear translocator 2"
"273","200053_at",1,1,9552,"SPAG7","sperm associated antigen 7"
"274","212644_s_at",1,1,93487,"MAPK1IP1L","mitogen-activated protein kinase 1 interacting protein 1-like"
"275","202911_at",1,1,2956,"MSH6","mutS homolog 6 (E. coli)"
"276","202954_at",1,1,11065,"UBE2C","ubiquitin-conjugating enzyme E2C"
"277","203285_s_at",1,1,9653,"HS2ST1","heparan sulfate 2-O-sulfotransferase 1"
"278","212300_at",1,1,200081,"TXLNA","taxilin alpha"
"279","200666_s_at",1,1,3337,"DNAJB1","DnaJ (Hsp40) homolog, subfamily B, member 1"
"280","202633_at",1,1,11073,"TOPBP1","topoisomerase (DNA) II binding protein 1"
"281","200045_at",1,1,23,"ABCF1","ATP-binding cassette, sub-family F (GCN20), member 1"
"282","201212_at",1,1,5641,"LGMN","legumain"
"283","201620_at",1,1,8720,"MBTPS1","membrane-bound transcription factor peptidase, site 1"
"284","204937_s_at",1,1,10782,"ZNF274","zinc finger protein 274"
"285","201560_at",1,1,25932,"CLIC4","chloride intracellular channel 4"
"286","202282_at",1,1,3028,"HSD17B10","hydroxysteroid (17-beta) dehydrogenase 10"
"287","204729_s_at",1,1,6804,"STX1A","syntaxin 1A (brain)"
"288","203418_at",1,1,890,"CCNA2","cyclin A2"
"289","202675_at",1,1,6390,"SDHB","succinate dehydrogenase complex, subunit B, iron sulfur (Ip)"
"290","205451_at",1,1,4303,"FOXO4","forkhead box O4"
"291","201870_at",1,1,10953,"TOMM34","translocase of outer mitochondrial membrane 34"
"292","202220_at",1,1,22889,"KIAA0907","KIAA0907"
"293","200697_at",1,1,3098,"HK1","hexokinase 1"
"294","202466_at",1,1,11044,"PAPD7","PAP associated domain containing 7"
"295","202185_at",1,1,8985,"PLOD3","procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3"
"296","202125_s_at",1,1,66008,"TRAK2","trafficking protein, kinesin binding 2"
"297","202550_s_at",1,1,9217,"VAPB","VAMP (vesicle-associated membrane protein)-associated protein B and C"
"298","203755_at",1,1,701,"BUB1B","budding uninhibited by benzimidazoles 1 homolog beta (yeast)"
"299","203931_s_at",1,1,6182,"MRPL12","mitochondrial ribosomal protein L12"
"300","201695_s_at",1,1,4860,"PNP","purine nucleoside phosphorylase"
"301","202413_s_at",1,1,7398,"USP1","ubiquitin specific peptidase 1"
"302","201528_at",1,1,6117,"RPA1","replication protein A1, 70kDa"
"303","217906_at",1,1,23588,"KLHDC2","kelch domain containing 2"
"304","201819_at",1,1,949,"SCARB1","scavenger receptor class B, member 1"
"305","210986_s_at",1,1,7168,"TPM1","tropomyosin 1 (alpha)"
"306","201078_at",1,1,9375,"TM9SF2","transmembrane 9 superfamily member 2"
"307","202900_s_at",1,1,4927,"NUP88","nucleoporin 88kDa"
"308","206109_at",1,1,2523,"FUT1","fucosyltransferase 1 (galactoside 2-alpha-L-fucosyltransferase, H blood group)"
"309","209586_s_at",1,1,58497,"PRUNE","prune homolog (Drosophila)"
"310","201260_s_at",1,1,6856,"SYPL1","synaptophysin-like 1"
"311","212557_at",1,1,26036,"ZNF451","zinc finger protein 451"
"312","203659_s_at",1,1,10206,"TRIM13","tripartite motif containing 13"
"313","201178_at",1,1,25793,"FBXO7","F-box protein 7"
"314","204143_s_at",1,1,55556,"ENOSF1","enolase superfamily member 1"
"315","202726_at",1,1,3978,"LIG1","ligase I, DNA, ATP-dependent"
"316","204000_at",1,1,10681,"GNB5","guanine nucleotide binding protein (G protein), beta 5"
"317","201626_at",1,1,3638,"INSIG1","insulin induced gene 1"
"318","202708_s_at",1,1,8349,"HIST2H2BE","histone cluster 2, H2be"
"319","203186_s_at",1,1,6275,"S100A4","S100 calcium binding protein A4"
"320","200915_x_at",1,1,3895,"KTN1","kinectin 1 (kinesin receptor)"
"321","202117_at",1,1,392,"ARHGAP1","Rho GTPase activating protein 1"
"322","206723_s_at",1,1,9170,"LPAR2","lysophosphatidic acid receptor 2"
"323","201913_s_at",1,1,80347,"COASY","CoA synthase"
"324","201855_s_at",1,1,23300,"ATMIN","ATM interactor"
"325","202763_at",1,1,836,"CASP3","caspase 3, apoptosis-related cysteine peptidase"
"326","201591_s_at",1,1,11188,"NISCH","nischarin"
"327","206688_s_at",1,1,10898,"CPSF4","cleavage and polyadenylation specific factor 4, 30kDa"
"328","201098_at",1,1,9276,"COPB2","coatomer protein complex, subunit beta 2 (beta prime)"
"329","203725_at",1,1,1647,"GADD45A","growth arrest and DNA-damage-inducible, alpha"
"330","200071_at",1,1,10285,"SMNDC1","survival motor neuron domain containing 1"
"331","201270_x_at",1,1,23386,"NUDCD3","NudC domain containing 3"
