id	title	publication_title	description	technology	accession_code	alternate_accession_code	submitter_institution	has_publication	publication_doi	publication_authors	sample_metadata_fields	platform_names	platform_accession_codes	organism_names	downloadable_organism_names	pubmed_id	num_total_samples	num_processed_samples	num_downloadable_samples	source_first_published
33231	Blood Transcriptional Profiles in Active and Latent Tuberculosis UK (Training Set)	An interferon-inducible neutrophil-driven blood transcriptional signature in human tuberculosis.	The aim of the project was to define transcriptional signatures in whole blood of TB patients (before drug treatment) and healthy controls to distinguish the signature of Latent and Active TB patients from each other and from healthy controls. This will help in diagnosis of active tuberculosis which normally relies on culture of the bacilli, which can take up to 6 wks, and sometimes the bacilli cannot be obtained from sputum thus requiring invasive techniques obtaining bronchoalveolar lavage (BAL). In some cases the bacill cannot be grown from sputum or BAL.   Secondly the aim was to determine whether Latent patients have a homogeneous or heterogeneous signature, one may expect the latter since it is not possible to determine by the present tests (Tuberculin skin test - TST - or MTb antigen responsiveness of blood cells to produce IFN-gamma - IGRA assay) whether the mycobacteria has been cleared, is still present but is controlled, or if patients are recently infected or reactivated and will develop active TB. The latter situation may be determined if Latent patients have a blood transcriptional signature similar to that in Active patients. The transcriptional signature in Active TB patients may also provide information as to the factors leading to immunopathogenesis, thus possibly identifying therapeutic targets. The transcriptional profile in Latent TB may give information as to the protective factors controlling the infection, thus important for monitoring vaccine development.   A further aim was to examine the transcriptional blood profile of active TB patients at the time of recruitment (before drug treatment) and then subsequently at specific time points after drug treatment to determine whether the signature is extingsuihed with treatment and when. London is a site of intermediate burden of TB - the study was initiated in London, across a broad range of ethnicities to obtain a robust signature that could be used in different developing countries where there is a high burden TB disease.	MICROARRAY	GSE19439	E-GEOD-19439	Baylor Institute for Immunology Research	FALSE								20725040	42	42	42	2009-12-11
10164	The time-course transcriptomic responses of THP-1 human macrophage-like cells  to W-Beijing Mycobacterium tuberculosis strains of different sublineages	An interferon-related signature in the transcriptional core response of human macrophages to Mycobacterium tuberculosis infection.	The W-Beijing family of Mycobacterium tuberculosis (Mtb) strains is known for its high-prevalence and -virulence, as well as for its genetic diversity, as recently reported by our laboratories and others. However, little is known about how the immune system responds to these strains. To explore this issue, here we used reverse engineering and genome-wide expression profiling of human macrophage-like THP-1 cells infected by different Mtb strains of the W-Beijing family, as well as by the reference laboratory strain H37Rv. Detailed data mining revealed that host cell transcriptome responses to H37Rv and to different strains of the W-Beijing family are similar and overwhelmingly induced during Mtb infections, collectively typifying a robust gene expression signature (""THP1r2Mtb-induced signature""). Analysis of the putative transcription factor binding sites in promoter regions of genes in this signature identified several key regulators, namely STATs, IRF-1, IRF-7, and Oct-1, commonly involved in interferon-related immune responses. The THP1r2Mtb-induced signature appeared to be highly relevant to the interferon-inducible signature recently reported in active pulmonary tuberculosis patients, as revealed by cross-signature and cross-module comparisons. Further analysis of the publicly available transcriptome data from human patients showed that the signature appears to be relevant to active pulmonary tuberculosis patients and their clinical therapy, and be tuberculosis specific. Thus, our results provide an additional layer of information at the transcriptome level on mechanisms involved in host macrophage response to Mtb, which may also implicate the robustness of the cellular defense system that can effectively fight against genetic heterogeneity in this pathogen.	MICROARRAY	GSE29628	E-GEOD-29628	University of Bristol	FALSE								22675550	40	40	40	2011-05-31
33229	Transcriptional profiles in Blood of patients with Tuberculosis - Longitudinal Study	An interferon-inducible neutrophil-driven blood transcriptional signature in human tuberculosis.	The aim of the longitudinal analysis was to examine the transcriptional blood profile of active TB patients at the time of recruitment (before drug treatment) and then subsequently at specific time points after drug treatment to determine whether the signature is extinguished with treatment and when.	MICROARRAY	GSE19435	E-GEOD-19435	Baylor Institute for Immunology Research	FALSE								20725040	33	33	33	2009-12-11
24616	Expression profiling of lymph nodes in tuberculosis patients reveal inflammatory milieu at site of infection		Extrapulmonary manifestations constitute 15-20% of tuberculosis cases, with lymph node as the most common site. Understanding of disease etiology is limited due to the lack of understanding patients infected tissue milieu. This study was designed to perform global transcriptome analysis of lymph node tissues from healthy individuals and Mycobacterium tuberculosis infected lymph nodes of patients to decipher the local response of infected tissue.	MICROARRAY	GSE63548	E-GEOD-63548	CSIR-Institute of Genomics and Integrative Biology	FALSE									26	26	26	2014-11-21
8894	Identification of Tuberculosis Susceptibility Genes with Human Macrophage Gene Expression Profiles	Identification of tuberculosis susceptibility genes with human macrophage gene expression profiles.	Although host genetics influences susceptibility to tuberculosis, few genes determining disease outcome have been identified. We hypothesized that macrophages from individuals with different clinical manifestations of tuberculosis infection would have distinct gene expression profiles, and that polymorphisms in these genes may also be associated with susceptibility to TB.	MICROARRAY	GSE11199	E-GEOD-11199	1.	Oxford University Clinical Research Unit	FALSE								19057661	24	22	22	2008-04-17
67264	Infection of monocytes from tuberculosis patients with two virulent clinical isolates of Mycobacterium tuberculosis induces alterations in myeloid effector functions.	Infection of Monocytes From Tuberculosis Patients With Two Virulent Clinical Isolates of <i>Mycobacterium tuberculosis</i> Induces Alterations in Myeloid Effector Functions.	Monocytes play a critical role during infection with Mycobacterium tuberculosis (Mtb). They are recruited to the lung where they participate in the contention of infection. Alternatively, inflammatory monocytes may help in prolonging inflammation or serve as niches for Mtb infection. Also, monocyte response to infection may vary depending on the particularities of the clinical isolate of Mtb from which they are infected. In this pilot study, using microarrays we have examined the global mRNA profiles of circulating human monocytes from healthy individuals and patients with active tuberculosis (TB).	MICROARRAY	GSE139871	E-GEOD-139871	Universidad de antioquia	FALSE								32391286	24	24	24	2019-11-04
16301	Mycobacterium tuberculosis Chaperonin 60.1 has Bipolar Effects on Human peripheral blood-derived Monocytes		Chaperonin 60 (Cpn60) is a prototypic molecular chaperone essential for cellular function due to its protein folding actions.  However, over the past decade it has been established that Cpn60 can be released by human cells and by certain bacteria to act as an extracellular signalling protein. Mycobacterium tuberculosis produces two Cpn60 proteins: Cpn60.1 and Cpn60.2. We recently generated a M. tuberculosis mutant with an inactivated cpn60.1 gene and demonstrated that granuloma formation was impaired after murine/guinea pig infection.  This finding suggested that Cpn60.1 may interact with the cellular organisation of the host response to M. tuberculosis bacilli.  In this study, we report that recombinant M. tuberculosis Cpn60.1 has both pro- and anti-inflammatory effects on human circulating monocytes. At high concentrations, recombinant Cpn60.1 induces the synthesis of TNF-, IL6, and IL8, and promotes the phosphorylation of NF-Bp65, p44/42MAPK and p38 MAPK. At lower concentrations M. tuberculosis Cpn60.1 inhibits lipopolysaccharide-induced release of TNF-, and monocyte transcriptional activation program. Both effects are abrogated by proteolysis of Cpn60.1 and therefore cannot be attributed to contamination with lipopolysaccharide. Competition with LPS for binding to a common receptor, the release of IL-10 or down-regulation of TLR4 on the cell surface were excluded as explanations for the inhibitory activity of Cpn60.1. We therefore conclude that M. tuberculosis Cpn60.1 is an unusual protein with the ability to induce bipolar effects on human monocytes, which may help explain the pathology of granuloma formation in tuberculosis.	MICROARRAY	GSE18794	E-GEOD-18794	Imperial College London	FALSE									21	21	21	2009-10-29
10341	Tuberculosis Patients Blood Gene Expression Through Treatment (cured and end-of-treatment patients)	Distinct phases of blood gene expression pattern through tuberculosis treatment reflect modulation of the humoral immune response.	Background  Accurate assessment of treatment efficacy would facilitate clinical trials of new anti-tuberculosis drugs. TB patients exhibit altered peripheral immunity which reverts during successful treatment. We hypothesised that these changes could be observed in whole blood transcriptome profiles.  Methods  Ex vivo blood samples from 27 pulmonary TB patients were assayed at diagnosis and during conventional treatment. RNA was processed and hybridised to Affymetrix GeneChips, to determine expression of over 47,000 transcripts.  Findings  There were significant changes in expression of over 4,000 genes during treatment. Rapid, large scale changes were detected, with down-regulated expression of ~1,000 genes within the first week, including inflammatory markers such as the complement components C1q and C2. This was followed by slower changes in expression of different networks of genes, including a later increase in expression of B cell markers, transcription factors and signalling molecules.  Interpretation  The expression of many genes is drastically altered during TB disease, with components of the humoral immune response being markedly affected. The treatment-induced restoration reflects the simultaneous suppression and activation of different immune responses in TB. The rapid initial down-regulation of expression of inflammatory mediators coincides with rapid killing of actively dividing bacilli, whereas slower delayed changes occur as drugs act on dormant bacilli and as lung pathology resolves. Measurement of biosignatures during clinical trials of new drugs could be useful predictors of rapid bactericidal or sterilizing drug activity.	MICROARRAY	GSE36238	E-GEOD-36238	London School of Hygiene & Tropical Medicine	FALSE								22872737	18	17	17	2012-03-02
2515	Innate and antigen-specific cytotoxic cells and Paradoxical HIV-associated Tuberculosis Immune reconstitution inflammatory syndrome (TB-IRIS)	Cytotoxic mediators in paradoxical HIV-tuberculosis immune reconstitution inflammatory syndrome.	Tuberculosis Immune Reconstitution Inflammatory Syndrome (TB-IRIS) frequently complicates combined anti-retroviral therapy (ART) and anti-tubercular therapy in HIV-1 co-infected tuberculosis (TB) patients. The immunopathological mechanism underlying TB-IRIS is incompletely defined.	MICROARRAY	GSE48237	E-GEOD-48237	University of Cape Town	FALSE								25589068	14	14	14	2013-06-24
14722	Transcriptomics of vitamin D treatment effects in Mycobacterium tuberculosis-infected THP-1 cells	Cutting edge: Vitamin D regulates lipid metabolism in Mycobacterium tuberculosis infection.	Previous reports have shown low vitamin D serum levels and polymorphisms in the vitamin D receptor (VDR) to be associated with increased risk for TB. Given that 1,25-dihydroxyvitamin D3 has a role in lipid metabolism control, we tested whether the link between 1,25-dihydroxyvitamin D3 and tuberculosis involves macrophage lipid metabolism. Since formation of lipid droplets (LD) is a hallmark of lipid dysregulation in M. tuberculosis-infected macrophages, we measured LD content as a readout of altered lipid metabolism in infected THP-1 cells.  Induction of LD, which peaked by 24 hours post-infection was prevented by addition of 1,25-dihydroxyvitamin D3 at the time of infection. To investigate the mechanism of  1,25-dihydroxyvitamin D3  modulation of LD formation, we analyzed the transcriptome of M. tuberculosis-infected THP-1 cells with and without 1,25-dihydroxyvitamin D3 treatment.	MICROARRAY	GSE57028	E-GEOD-57028	Knowledge Synthesis Inc.	FALSE								24899504	14	2	2	2014-04-23
15646	Expression data of lncRNAs and mRNAs extracted from PBMCs of tuberculosis patients and healthy individuals[HTA2.0]		Tuberculosis (TB) is the ninth leading cause of death worldwide and the leading cause from a single infectious agent, ranking above HIV/AIDS.Although considerable advances have been achieved in recent years, the genetic and molecular mechanisms underlying this disease remain largely unclear.	MICROARRAY	GSE119143	E-GEOD-119143	West China Hospital of Sichuan University	FALSE									12	12	12	2018-08-28
15137	Engagement of the Aryl Hydrocarbon Receptor in Mycobacterium tuberculosisInfected Macrophages Has Pleiotropic Effects on Innate Immune Signaling	Engagement of the Aryl Hydrocarbon Receptor in Mycobacterium tuberculosis-Infected Macrophages Has Pleiotropic Effects on Innate Immune Signaling.	Understanding the mechanisms of host macrophage responses to Mycobacterium tuberculosis (M.tb.) is essential for uncovering potential avenues of intervention to boost host resistance to infection. Macrophage transcriptome profiling revealed M.tb. infection strongly induced expression of several enzymes controlling tryptophan (Trp) catabolism. This included indole 2,3-dioxygenase 1 (IDO1) and tryptophan 2,3-dioxygenase (TDO2), which catalyze the rate-limiting step in the kynurenine pathway, producing ligands for the aryl hydrocarbon receptor (AHR). The AHR and heterodimeric partners AHR nuclear translocator (ARNT) and RELB are robustly expressed, and AHR and RELB levels further increased during infection. Infection enhanced AHR/ARNT and AHR/RELB DNA binding, and stimulated expression of AHR target genes, including that encoding the inflammatory cytokine IL1beta. AHR target gene expression was further enhanced by exogenous kynurenine, and exogenous Trp, kynurenine or synthetic agonist indirubin reduced mycobacterial viability. Comparative expression profiling revealed that AHR ablation diminished expression of numerous genes implicated in innate immune responses, including several cytokines. Notably, AHR depletion reduced expression of IL23A and IL12B transcripts, which encode subunits of interleukin 23 (IL23), a macrophage cytokine that stimulates production of IL22 by innate lymphoid cells. The AHR directly induced IL23A transcription in human and mouse macrophages through near-upstream enhancer regions. Taken together, these findings show that AHR signaling is strongly engaged in Mtb-infected macrophages, and has widespread effects on innate immune responses. Moreover, they reveal a cascade of AHR-driven innate immune signaling, as IL1B (IL-1) and IL23 stimulate T cell subsets producing IL22, another direct target of AHR transactivation.	MICROARRAY	GSE70200	E-GEOD-70200	McGill University	FALSE								26416282	8	5	5	2015-06-23
9407	PBMCs exposed to the Mycobacterium tuberculosis H37Ra strain	Microarray analysis of the in vitro granulomatous response to Mycobacterium tuberculosis H37Ra.	Human peripheral blood mononuclear cells were cultured in presence of H37Ra strain at 37oC, 5%CO2. Cellular aggregates were collected at 24h, and RNA extracted and hybridized to Affymetrix microarrays (HG-U133). Raw data from microarray experiments was analyzed with dCHIP and SAM programs to determine the significance of changes at the biological context.	MICROARRAY	GSE16250	E-GEOD-16250	Universidad de Cartagena	FALSE								26019382	6	6	6	2009-05-27
31577	Genome-wide gene expression analysis for target genes to differentiate patients with intestinal tuberculosis and Crohns disease	Genome-wide gene expression analysis for target genes to differentiate patients with intestinal tuberculosis and Crohn's disease and discriminative value of FOXP3 mRNA expression.	This study aimed at genome-wide gene expression analysis of colonic biopsies from confirmed cases of intestinal tuberculosis (ITB) and Crohn's disease (CD) in comparison to controls. Further, to evaluate the role of T regulatory cells, Foxp3 mRNA expression was quantified in serum as well as colonic biopsies of patients with intestinal tuberculosis, Crohn's disease and controls.	MICROARRAY	GSE26305	E-GEOD-26305	AIIMS	FALSE								25969456	6	6	6	2010-12-27
10393	Comparison of M. tuberculosis and M. bovis BCG in diluted whole blood cultures	Excessive Cytolytic Responses Predict Tuberculosis Relapse After Apparently Successful Treatment.	Despite wide scale vaccination with Mycobacterium bovis BCG, the prevalence of tuberculosis remains high, reflecting the global variable efficacy of this vaccine against adult pulmonary TB.  Characterisation of different immune responses to M. tuberculosis and M. bovis BCG would increase understanding of pathology following M. tuberculosis infection or reactivation, and would facilitate the rational design of a new vaccine. Gene expression profiling was conducted on samples from diluted whole blood cultures from three healthy donors following incubation with live mycobacteria for six days.  Approximately 8,000 gene entities were at least two-fold up- or down- regulated by the mycobacteria, and both mycobacteria induced similar expression changes in approximately 2,300 genes. Strikingly, many genes exhibited qualitatively different expression patterns, with over 1,000 genes up-regulated in response to M. bovis BCG but not changed by M. tuberculosis. Gene Ontology analysis revealed that the genes which failed to upregulate in M. tuberculosis-infected cultures included a large proportion of genes with lysosomal function. The inhibited up-regulation of expression of IFN--inducible protein 30, acid phosphatase 2, cathepsin B and GM2 ganglioside activator was verified in samples from six biologically independent donors by qRT-PCR. The failure to up-regulate these genes in response to M. tuberculosis may constitute an immune evasion mechanism, preventing intracellular killing and antigen presentation.	MICROARRAY	GSE45386	E-GEOD-45386	London School of Hygiene & Tropical Medicine	FALSE								26351358	3	3	3	2013-03-21
