organism_ch1	series_id	geo_accession	CLASSIFICATION	title	SAMPLE_TYPE	CELL	TISSUE	TB	source_name_ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	molecule_ch1	platform_id	cell.type.ch1	tissue.ch1	time.ch1	TIME_POINT	CONTRAST	SIGNATURE_NAME	SAMPLE_CONDITION	EXPRMAT_PATH
Homo sapiens	GSE19491	GSM484472	disease without treatment	PTB_LON_tr026	PRIMARY_SAMPLE	whole_blood	BLOOD	PTB	Whole Blood from patient with Active TB	age: 21	gender: Female	ethnicity: Black	total RNA	GPL6947					PTB_control	GSE19491_GPL6947_PTB_control_blood_whole_blood	GSE19491_PTB_blood_whole_blood	data/v2/microarray_data_forDE/expression_matrices/GSE19491.tsv
Homo sapiens	GSE19491	GSM484474	disease without treatment	PTB_LON_tr038	PRIMARY_SAMPLE	whole_blood	BLOOD	PTB	Whole Blood from patient with Active TB	age: 29	gender: Male	ethnicity: South Asian	total RNA	GPL6947					PTB_control	GSE19491_GPL6947_PTB_control_blood_whole_blood	GSE19491_PTB_blood_whole_blood	data/v2/microarray_data_forDE/expression_matrices/GSE19491.tsv
Homo sapiens	GSE19491	GSM484479	healthy control without treatment	CON_LON_tr028	PRIMARY_SAMPLE	whole_blood	BLOOD	PTB	Whole Blood from healthy control	age: 31	gender: Female	ethnicity: White	total RNA	GPL6947					PTB_control	GSE19491_GPL6947_PTB_control_blood_whole_blood	GSE19491_PTB_blood_whole_blood	data/v2/microarray_data_forDE/expression_matrices/GSE19491.tsv
Homo sapiens	GSE19491	GSM484480	healthy control without treatment	CON_LON_tr016	PRIMARY_SAMPLE	whole_blood	BLOOD	PTB	Whole Blood from healthy control	age: 35	gender: Male	ethnicity: White	total RNA	GPL6947					PTB_control	GSE19491_GPL6947_PTB_control_blood_whole_blood	GSE19491_PTB_blood_whole_blood	data/v2/microarray_data_forDE/expression_matrices/GSE19491.tsv
Homo sapiens	GSE19491	GSM484485	disease without treatment	PTB_LON_tr021	PRIMARY_SAMPLE	whole_blood	BLOOD	PTB	Whole Blood from patient with Active TB	age: 23	gender: Female	ethnicity: Black	total RNA	GPL6947					PTB_control	GSE19491_GPL6947_PTB_control_blood_whole_blood	GSE19491_PTB_blood_whole_blood	data/v2/microarray_data_forDE/expression_matrices/GSE19491.tsv
Homo sapiens	GSE19491	GSM484487	healthy control without treatment	CON_LON_tr017	PRIMARY_SAMPLE	whole_blood	BLOOD	PTB	Whole Blood from healthy control	age: 35	gender: Female	ethnicity: White	total RNA	GPL6947					PTB_control	GSE19491_GPL6947_PTB_control_blood_whole_blood	GSE19491_PTB_blood_whole_blood	data/v2/microarray_data_forDE/expression_matrices/GSE19491.tsv
Homo sapiens	GSE19491	GSM484500	disease without treatment	PTB_SA_val001	PRIMARY_SAMPLE	whole_blood	BLOOD	PTB	Whole Blood from patient with Active TB	age: 22	gender: Male	ethnicity: Black	total RNA	GPL6947					PTB_control	GSE19491_GPL6947_PTB_control_blood_whole_blood	GSE19491_PTB_blood_whole_blood	data/v2/microarray_data_forDE/expression_matrices/GSE19491.tsv
Homo sapiens	GSE19491	GSM484502	disease without treatment	PTB_SA_val003	PRIMARY_SAMPLE	whole_blood	BLOOD	PTB	Whole Blood from patient with Active TB	age: 27	gender: Male	ethnicity: Black	total RNA	GPL6947					PTB_control	GSE19491_GPL6947_PTB_control_blood_whole_blood	GSE19491_PTB_blood_whole_blood	data/v2/microarray_data_forDE/expression_matrices/GSE19491.tsv
Homo sapiens	GSE19491	GSM484516	disease without treatment	PTB_SA_val006	PRIMARY_SAMPLE	whole_blood	BLOOD	PTB	Whole Blood from patient with Active TB	age: 47	gender: Male	ethnicity: Black	total RNA	GPL6947					PTB_control	GSE19491_GPL6947_PTB_control_blood_whole_blood	GSE19491_PTB_blood_whole_blood	data/v2/microarray_data_forDE/expression_matrices/GSE19491.tsv
Homo sapiens	GSE19491	GSM484518	disease without treatment	PTB_SA_val008	PRIMARY_SAMPLE	whole_blood	BLOOD	PTB	Whole Blood from patient with Active TB	age: 40	gender: Male	ethnicity: Black	total RNA	GPL6947					PTB_control	GSE19491_GPL6947_PTB_control_blood_whole_blood	GSE19491_PTB_blood_whole_blood	data/v2/microarray_data_forDE/expression_matrices/GSE19491.tsv
Homo sapiens	GSE19491	GSM484524	disease without treatment	PTB_SA_val010	PRIMARY_SAMPLE	whole_blood	BLOOD	PTB	Whole Blood from patient with Active TB	age: 42	gender: Male	ethnicity: Black	total RNA	GPL6947					PTB_control	GSE19491_GPL6947_PTB_control_blood_whole_blood	GSE19491_PTB_blood_whole_blood	data/v2/microarray_data_forDE/expression_matrices/GSE19491.tsv
Homo sapiens	GSE19491	GSM484525	disease without treatment	PTB_SA_val011	PRIMARY_SAMPLE	whole_blood	BLOOD	PTB	Whole Blood from patient with Active TB	age: 48	gender: Female	ethnicity: Black	total RNA	GPL6947					PTB_control	GSE19491_GPL6947_PTB_control_blood_whole_blood	GSE19491_PTB_blood_whole_blood	data/v2/microarray_data_forDE/expression_matrices/GSE19491.tsv
Homo sapiens	GSE19491	GSM484526	disease without treatment	PTB_SA_val012	PRIMARY_SAMPLE	whole_blood	BLOOD	PTB	Whole Blood from patient with Active TB	age: 27	gender: Male	ethnicity: Black	total RNA	GPL6947					PTB_control	GSE19491_GPL6947_PTB_control_blood_whole_blood	GSE19491_PTB_blood_whole_blood	data/v2/microarray_data_forDE/expression_matrices/GSE19491.tsv
Homo sapiens	GSE19491	GSM484527	disease without treatment	PTB_SA_val013	PRIMARY_SAMPLE	whole_blood	BLOOD	PTB	Whole Blood from patient with Active TB	age: 45	gender: Male	ethnicity: Black	total RNA	GPL6947					PTB_control	GSE19491_GPL6947_PTB_control_blood_whole_blood	GSE19491_PTB_blood_whole_blood	data/v2/microarray_data_forDE/expression_matrices/GSE19491.tsv
Homo sapiens	GSE19491	GSM484533	disease without treatment	PTB_SA_val014	PRIMARY_SAMPLE	whole_blood	BLOOD	PTB	Whole Blood from patient with Active TB	age: 23	gender: Male	ethnicity: Black	total RNA	GPL6947					PTB_control	GSE19491_GPL6947_PTB_control_blood_whole_blood	GSE19491_PTB_blood_whole_blood	data/v2/microarray_data_forDE/expression_matrices/GSE19491.tsv
Homo sapiens	GSE19491	GSM484535	disease without treatment	PTB_SA_val016	PRIMARY_SAMPLE	whole_blood	BLOOD	PTB	Whole Blood from patient with Active TB	age: 38	gender: Male	ethnicity: Black	total RNA	GPL6947					PTB_control	GSE19491_GPL6947_PTB_control_blood_whole_blood	GSE19491_PTB_blood_whole_blood	data/v2/microarray_data_forDE/expression_matrices/GSE19491.tsv
Homo sapiens	GSE19491	GSM484536	disease without treatment	PTB_SA_val017	PRIMARY_SAMPLE	whole_blood	BLOOD	PTB	Whole Blood from patient with Active TB	age: 27	gender: Male	ethnicity: Black	total RNA	GPL6947					PTB_control	GSE19491_GPL6947_PTB_control_blood_whole_blood	GSE19491_PTB_blood_whole_blood	data/v2/microarray_data_forDE/expression_matrices/GSE19491.tsv
Homo sapiens	GSE19491	GSM484543	disease without treatment	PTB_SA_val018	PRIMARY_SAMPLE	whole_blood	BLOOD	PTB	Whole Blood from patient with Active TB	age: 31	gender: Male	ethnicity: Black	total RNA	GPL6947					PTB_control	GSE19491_GPL6947_PTB_control_blood_whole_blood	GSE19491_PTB_blood_whole_blood	data/v2/microarray_data_forDE/expression_matrices/GSE19491.tsv
Homo sapiens	GSE19491	GSM484544	disease without treatment	PTB_SA_val019	PRIMARY_SAMPLE	whole_blood	BLOOD	PTB	Whole Blood from patient with Active TB	age: 41	gender: Male	ethnicity: Black	total RNA	GPL6947					PTB_control	GSE19491_GPL6947_PTB_control_blood_whole_blood	GSE19491_PTB_blood_whole_blood	data/v2/microarray_data_forDE/expression_matrices/GSE19491.tsv
Homo sapiens	GSE19491	GSM484545	disease without treatment	PTB_SA_val020	PRIMARY_SAMPLE	whole_blood	BLOOD	PTB	Whole Blood from patient with Active TB	age: 42	gender: Male	ethnicity: Black	total RNA	GPL6947					PTB_control	GSE19491_GPL6947_PTB_control_blood_whole_blood	GSE19491_PTB_blood_whole_blood	data/v2/microarray_data_forDE/expression_matrices/GSE19491.tsv
Homo sapiens	GSE19491	GSM484595	disease without treatment	PTB_LON_test001	PRIMARY_SAMPLE	whole_blood	BLOOD	PTB	Whole Blood from patient with Active TB	age: 66	gender: Male	ethnicity: Black	total RNA	GPL6947					PTB_control	GSE19491_GPL6947_PTB_control_blood_whole_blood	GSE19491_PTB_blood_whole_blood	data/v2/microarray_data_forDE/expression_matrices/GSE19491.tsv
