Description	GSE139871_GPL10558_s5_d4	GSE16250_GPL570_s3_d2	GSE34151_GPL10558_s4_d3	GSE63548_GPL10558_s6_d5	GSE83456_GPL10558_s1_d1	GSE83456_GPL10558_s2_d1	GSE132283_s20_d17	GSE132283_s21_d17	GSE141656_s8_d7	GSE143627_s17_d14	GSE143731_s23_d19	GSE148171_s14_d11	GSE148731_s11_d10	GSE148731_s12_d10	GSE148731_s13_d10	GSE164287_s24_d20	GSE165708_s28_d23	GSE174566_s15_d12	GSE183912_s22_d18	GSE193777_s9_d8	GSE198557_s16_d13	GSE211974_s7_d6	GSE236156_s25_d21	GSE256184_s26_d22	GSE256184_s27_d22	GSE64179_s18_d15	GSE64182_s19_d16	GSE84076_s10_d9	aggregated_microarray	circulating_aggregated_microarray	aggregated_RNAseq	circulating_aggregated_RNAseq
positive regulation of maintenance of sister chromatid cohesion	0	0	0.5676089627134441	0	0	0	0	0.548407065823611	0.6734868424322298	0	0	0.8373246441046674	0	0	0	0	0	1.0177779349826166	0	0.9403036269881015	1.9805674059582152	0	0.8616674641717018	0.8243503349202808	1.469010584550473	0.6563029212629522	0	0	0.6907046056207455	0.7018658723836978	0.9020234857950488	0.9046789589929608
positive regulation of megakaryocyte differentiation	0	0	0.4350799418451115	0.7553158499531182	1.4386621457371027	0	0	0	0	0	0	1.1426135173557004	0	0.5450198334608268	0	1.090082235848458	0	0.8104388139286917	0	0.743441819165221	0.8003752005752953	0	0	1.127128676779508	0.9883359438132664	0.5064085750582525	0.5648565809003308	1.5519286880848964	0.7638424231474956	0.7758348842905495	0.9020234857950488	0.9046789589929608
positive regulation of melanin biosynthetic process	0	1.618846405768462	0.8997380117300549	0.8438820298821752	0	0	0.6763118873418741	1.1847067592398766	0	0	0	0.7362265405349339	1.036632132343922	0.6147243713154066	1.3704464155004363	0	0	0.9031176286298788	0	0.8310784110287728	0	0	1.283885163718015	0.7243513531762704	1.0921605867074502	0.5720880075060016	1.1150207437389632	0	1.249303951394834	1.2650685704422089	0.6813448997333115	0.6835386822034832
positive regulation of membrane depolarization	0	2.4338199099887063	0.5676089627134441	1.5342971206191864	1.7022040031009449	1.4766333263852092	0	0	0	0.8812930853225462	0	0	0	0	0.6658560097834153	0.7935089518534805	0	1.0177779349826166	0	0	0	0	0.8616674641717018	0	0.4940077664510189	0.6563029212629522	0.727847634758632	0	1.3826992733989505	1.3990772276022687	0.9020234857950488	0.9046789589929608
positive regulation of membrane permeability	0	0	0.6980233261854542	0.6512591445899311	0	0.615602227278802	0.5142372660455732	0.6754327458213868	0.8210861573122299	0.3107290482153508	0	1.006766976316891	0.43977615592046376	0.465078093981064	0.8123004054135431	0.5302397104254473	0	0.7008704192169364	0	1.4684138966310876	0.9653657757048127	0.9244460364888106	0.580877186555504	0.7882627580132808	0.974994403595968	0.4314050426722176	0.8833097604483099	0	0.9241674035891962	0.9377209607952408	0.7840446427342286	0.7864700058695812
positive regulation of membrane protein ectodomain proteolysis	1.814459191367628	0.9713481089381516	0.4622295167224617	0.4289681438607159	1.496686996288493	1.2803143150333764	0.8959251696155924	0.9852872891177552	0.7869152710792537	0.3899930390794384	0.6228166420056215	1.1957883557707494	0.547425832697402	0.8206017019501795	1.445981393754361	1.142107273715455	0	1.9287819404653597	0.637237325907022	1.8305043438364876	1.1505722633660311	0	1.58358494198078	1.1799749922100242	1.0378321493149838	1.2960772597163	1.2424312012583387	0	1.2717049703239864	1.287582754631102	0.9020234857950488	0.9046789589929608
positive regulation of mesenchymal stem cell differentiation	0	1.9362968552577284	0.667593182197922	0	1.8745546967994953	1.6434606384987678	0.8959251696155924	0	0.7869152710792537	0	0	0	0	0	0.7783780213927717	0	0	1.1629431757851254	0	1.079761098373628	0	1.1056064468074254	0	0	0.5835323044288689	1.2960772597163	0.8474586712762363	0	1.3468791498785115	1.3631061864825122	0.9020234857950488	0.9046789589929608
positive regulation of mesenchymal stem cell proliferation	3.3981121603480706	0	0.5676089627134441	0	2.37033137102187	0	0.7716727237196409	0.9852872891177552	0.6734868424322298	0.8812930853225462	0	0.8373246441046674	0	0.7036802641207458	0.6658560097834153	0	0	1.611605852975117	0	0.9403036269881015	1.0062125939972393	0	0.8616674641717018	0	1.469010584550473	1.143136532079481	0.727847634758632	0	1.5464342636960178	1.5633911926752322	0.9020234857950488	0.9046789589929608
positive regulation of metaphase/anaphase transition of cell cycle	0	0	0	0	1.164701778209143	0.9715412000789492	0	0.5932823665418061	0.3860997373162752	0.5214393145073524	0	0.8982342657332819	0	0.7579155776848244	0.38132461377936927	0.4629783407445693	0	1.4293468675167855	0	1.0055429380618537	1.6783596846274094	0.5785535883802876	0.9236618654848584	0.8846657657258801	0.9652067635744048	0.37536479577042575	1.0778437269820302	0	0.8944415751736342	0.9077317187039792	0.9020234857950488	0.9046789589929608
positive regulation of miRNA metabolic process	0.7801675667552932	0.32085082688492494	0.5277027661316342	0.7054417510613662	0.579062341014282	1.0140836335417749	1.2847017472963251	1.281618737642324	1.447771285509855	0.8258445387598824	0.3742071349359969	1.0104369236181403	1.0950103106218123	0.9801577217468844	1.187760061269431	1.1499200328428458	0.7958629382149417	1.6465501695211842	0.721742985564837	1.1247013170607656	0.850611596243284	0.9056520592962882	1.5923872952792133	0.9959002116485268	1.0818922351493216	1.1741046608614278	1.1754967467120907	0	1.396181121360711	1.3715088878581527	0.8600214011246748	0.8625992229694395
