Unnamed: 0	GSM3001089	GSM3001091	GSM3001092	GSM3001093	GSM3001094
ENSG00000006283	22	11	16	29	18
ENSG00000006327	1723	528	1851	597	579
ENSG00000006377	11	6	5	11	7
ENSG00000006432	174	40	129	78	68
ENSG00000006451	22608	9169	23824	8448	8985
ENSG00000006453	468	245	346	190	224
ENSG00000006459	3802	2757	1962	2272	2315
ENSG00000006468	1042	1326	1163	1488	1409
ENSG00000006530	3632	2196	5317	2853	3052
ENSG00000006534	158	107	254	127	144
ENSG00000006555	45	28	31	38	40
ENSG00000006576	3238	1717	3788	2069	2170
ENSG00000006607	5716	3103	6371	4186	4192
ENSG00000006625	3215	1555	3288	1377	1448
ENSG00000006634	1861	631	2611	712	787
ENSG00000006638	162	181	327	272	283
ENSG00000006652	4884	2598	4957	3483	3529
ENSG00000006659	24	11	27	20	15
ENSG00000006695	1613	971	1826	1077	1120
ENSG00000006704	987	791	962	719	775
ENSG00000006712	4786	2983	4734	2778	3104
ENSG00000006715	15432	8505	11173	7892	7811
ENSG00000006740	104	32	103	70	55
ENSG00000006744	9119	5227	10430	5370	5795
ENSG00000006747	193	73	173	101	108
ENSG00000006756	7314	4806	4559	3840	4144
ENSG00000006757	1366	748	944	629	692
ENSG00000006831	4512	2009	6253	2667	2794
ENSG00000006837	142	83	126	78	75
ENSG00000007038	243	111	284	125	128
ENSG00000007047	4436	4712	3666	3977	4350
ENSG00000007062	96	34	76	32	29
ENSG00000007080	1345	1299	1343	955	1190
ENSG00000007129	366	251	256	162	186
ENSG00000007168	21829	10592	20229	11312	11685
ENSG00000007171	64	17	37	22	18
ENSG00000007174	31	20	25	15	12
ENSG00000007202	47023	22630	38471	20179	21320
ENSG00000007237	593	380	330	433	428
ENSG00000007255	1291	979	949	892	909
ENSG00000007264	12	10	17	26	24
ENSG00000007306	63	151	19	44	74
ENSG00000007312	17	23	62	41	49
ENSG00000007314	2	2	5	9	9
ENSG00000007341	1841	967	2184	1305	1313
ENSG00000007350	8	4	3	3	5
ENSG00000007372	51	31	62	57	38
ENSG00000007376	2423	1439	2715	1405	1509
ENSG00000007384	3800	1899	2699	1919	2186
ENSG00000007392	4976	2072	4071	2369	2544
ENSG00000007402	33	18	39	35	21
ENSG00000007516	103	58	91	99	81
ENSG00000007520	3687	2312	3304	2178	2243
ENSG00000007541	2638	1423	2330	1388	1440
ENSG00000007545	3669	2410	4306	2538	2948
ENSG00000007866	55	34	48	47	42
ENSG00000007908	811	431	2047	4929	4252
ENSG00000007923	5124	2590	6026	2973	3405
ENSG00000007933	60	49	45	49	34
ENSG00000007944	2923	1826	2289	1767	1758
ENSG00000007952	5	3	11	4	3
ENSG00000007968	209	67	299	45	82
ENSG00000008018	16434	7705	17583	7498	7926
ENSG00000008056	8	3	7	11	5
ENSG00000008083	5501	2558	5510	2905	3056
ENSG00000008086	6528	2852	6750	3640	3679
ENSG00000008128	1183	912	1474	1085	1349
ENSG00000008130	7347	4029	9262	4892	5302
ENSG00000008226	79	27	115	70	83
ENSG00000008256	4150	2371	3095	2043	2014
ENSG00000008277	206	121	120	89	91
ENSG00000008282	14207	8363	12671	8397	8645
ENSG00000008283	2656	1732	2241	1673	1703
ENSG00000008294	34246	18417	39196	29210	30080
ENSG00000008300	184	84	193	98	92
ENSG00000008311	6872	3011	8504	4077	4539
ENSG00000008323	61	36	88	31	35
ENSG00000008324	1673	995	1810	1230	1141
ENSG00000008382	942	532	723	470	462
ENSG00000008394	3641	2851	5824	4028	4304
ENSG00000008405	3610	1518	3023	1520	1508
ENSG00000008438	12	4	11	3	10
ENSG00000008441	586	786	1181	984	1211
ENSG00000008513	32288	18539	32646	23711	23413
ENSG00000008516	36	23	47	45	39
ENSG00000008517	5881	2186	8968	5312	5452
ENSG00000008710	3671	2139	4308	2295	2752
ENSG00000008735	149	93	177	137	146
ENSG00000008838	5241	2239	6021	2534	2803
ENSG00000008853	2710	1775	2702	1538	1771
ENSG00000008869	10911	5308	7867	4681	4650
ENSG00000008952	10282	6932	9121	7300	7103
ENSG00000008988	73277	49528	53130	38844	40094
ENSG00000009307	89383	57730	67980	47841	46878
ENSG00000009335	17037	9202	17889	10350	10475
ENSG00000009413	15677	8835	14141	8744	8590
ENSG00000009694	10	2	2	11	5
ENSG00000009724	308	103	241	123	177
ENSG00000009765	124	34	90	39	45
ENSG00000009780	1095	860	1602	1125	1139
ENSG00000009790	82	29	105	35	44
ENSG00000009830	1537	729	1624	860	874
ENSG00000009844	4638	2240	5939	2904	2830
ENSG00000009950	27	6	30	16	15
ENSG00000009954	16759	9611	18875	10656	10750
ENSG00000010017	5267	3470	4532	3500	3688
ENSG00000010030	14	12	3577	1535	1740
ENSG00000010072	2263	1177	2377	1307	1399
ENSG00000010165	2886	1595	3367	1529	1743
ENSG00000010219	2266	1932	2976	2641	2726
ENSG00000010244	22097	10893	26352	13213	14528
ENSG00000010256	10483	6411	10840	6016	6644
ENSG00000010270	10277	4662	10645	5694	5427
ENSG00000010278	37965	27467	56183	43268	41465
ENSG00000010292	11543	6022	11841	3794	5333
ENSG00000010295	3109	1811	2909	1880	2091
ENSG00000010310	62	29	45	44	58
ENSG00000010318	572	223	428	202	206
ENSG00000010319	8048	1521	2684	1488	1494
ENSG00000010322	8465	4547	6940	4477	5183
ENSG00000010327	35393	21163	32330	19082	22754
ENSG00000010361	712	370	576	325	345
ENSG00000010379	2	2	1	6	2
ENSG00000010404	5596	4802	4517	4526	4599
ENSG00000010438	237	185	203	141	154
ENSG00000010539	1512	874	1750	1132	1114
ENSG00000010610	5	7	6	13	6
ENSG00000010626	260	198	252	181	210
ENSG00000010671	35	21	28	26	34
ENSG00000010704	1401	715	2480	1102	1184
ENSG00000010803	3891	2353	3340	2314	2466
ENSG00000010810	10149	5013	10593	6416	6677
ENSG00000010818	7412	5715	9253	8792	9047
ENSG00000010932	1	5	4	5	4
ENSG00000011007	12484	7558	13298	8459	8364
ENSG00000011009	5820	3550	5176	3917	3875
ENSG00000011021	2439	1806	2769	1908	2247
ENSG00000011028	2111	898	1518	679	794
ENSG00000011052	941	292	735	462	295
ENSG00000011105	19535	10037	18407	12665	12937
ENSG00000011114	1343	1305	739	809	921
ENSG00000011132	1190	743	1137	940	992
ENSG00000011143	1173	731	1015	671	681
ENSG00000011198	1904	1089	1928	1281	1195
ENSG00000011201	663	34	334	9	23
ENSG00000011243	4383	2370	5779	3668	4041
ENSG00000011258	2652	1534	1871	1485	1492
ENSG00000011260	3003	1869	3695	2156	2105
ENSG00000011275	7928	4990	8730	5920	5994
ENSG00000011295	6152	3534	4782	3257	3432
ENSG00000011304	32547	14315	34872	14112	15914
ENSG00000011332	101	53	144	50	56
ENSG00000011347	12	39	3	19	14
ENSG00000011376	3154	1925	4565	2586	2614
ENSG00000011405	12662	8216	14715	10058	10084
ENSG00000011422	886	610	2356	1587	1752
ENSG00000011426	18159	4719	19847	3081	4104
ENSG00000011451	2135	1550	2021	1239	1560
ENSG00000011454	12494	6526	11421	7397	7139
ENSG00000011465	28	11	14	14	16
ENSG00000011478	1286	532	1289	540	581
ENSG00000011485	7064	3210	7660	3203	3767
ENSG00000011523	12277	8119	7437	6203	6675
ENSG00000011566	4309	2005	4118	2164	2265
ENSG00000011590	70	34	53	37	38
ENSG00000011638	224	87	254	72	137
ENSG00000012048	2468	1089	3605	932	1089
ENSG00000012061	5810	3005	5422	3083	3219
ENSG00000012124	21	13	22	18	14
ENSG00000012171	45	50	60	63	46
ENSG00000012174	1397	777	1452	811	891
ENSG00000012211	503	297	625	442	452
ENSG00000012223	3	37	6	12	22
ENSG00000012232	12382	7408	9562	6735	7240
ENSG00000012504	10	8	4	4	1
ENSG00000012660	22157	10979	18966	10800	11212
ENSG00000012817	7	6	15	7	4
ENSG00000012822	9895	6084	7953	7181	7365
ENSG00000012963	3671	1814	3784	1719	1864
ENSG00000012983	9872	6564	8738	6539	6386
ENSG00000013016	1498	1885	1359	1638	1554
ENSG00000013275	3722	1896	4755	2421	2489
ENSG00000013288	5328	3771	4892	3828	4358
ENSG00000013293	227	60	146	76	72
ENSG00000013297	23575	8239	22736	5566	6514
ENSG00000013306	6622	4684	5465	4366	4594
ENSG00000013364	24399	16852	39059	23608	25394
ENSG00000013374	7476	4576	24006	12364	12828
ENSG00000013375	13903	7041	14157	8561	8494
ENSG00000013392	1067	630	877	654	611
ENSG00000013441	15834	8713	12452	10095	10077
ENSG00000013503	1223	1003	1308	918	1029
ENSG00000013523	1958	1147	1932	1322	1413
ENSG00000013561	7493	4178	6509	4127	3984
ENSG00000013563	8615	5862	7022	5810	5724
ENSG00000013573	1989	747	2883	881	1090
ENSG00000013583	3170	2358	2406	1687	1870
ENSG00000013588	1175	1418	1052	1224	1210
ENSG00000013619	810	281	523	254	241
ENSG00000013725	51	20	52	38	40
ENSG00000013810	4075	1968	5110	1529	2211
ENSG00000014123	7736	4152	6391	4116	4044
ENSG00000014138|	1417	495	2598	782	907
ENSG00000014164	569	393	765	416	511
ENSG00000014216	21171	11579	20558	10335	11879
ENSG00000014257	19	13	36	24	26
ENSG00000014641	11593	5364	12180	5821	5731
ENSG00000014824	12446	5975	10275	5721	5828
ENSG00000014914	253	139	493	224	272
ENSG00000014919	5761	3583	5257	3126	3315
ENSG00000015133	1981	1474	2236	1365	1757
ENSG00000015153	2762	1118	2688	1388	1480
ENSG00000015171	12372	7050	9068	6997	6620
ENSG00000015285	32	22	29	34	17
ENSG00000015413	52	53	92	94	109
ENSG00000015475	4764	2750	5888	3409	3340
ENSG00000015479|	49614	26819	44150	26611	26454
ENSG00000015532	2229	1232	2521	1261	1503
ENSG00000015568	2282	2474	2235	1149	2884
ENSG00000015592	12	11	13	6	16
ENSG00000015676	10906	6272	11141	7014	7441
ENSG00000016391	87	38	55	61	62
ENSG00000016402	629	262	640	325	315
ENSG00000016864	6294	3599	4933	3512	3445
ENSG00000017260	13683	7229	12887	7018	7263
ENSG00000017427	42	14	43	18	19
ENSG00000017483	178	283	2195	1183	1381
ENSG00000017797	16311	10115	14120	9892	9991
ENSG00000018189	6895	3544	6720	4197	4241
ENSG00000018280	168	82	146	81	88
ENSG00000018408	60710	44057	41866	39244	37292
ENSG00000018510	36481	12394	27576	10749	11177
ZNF285CP	40	6	16	18	15
ENSG00000018610	2444	1344	2364	1340	1423
ENSG00000018625	9	2	13	12	6
ENSG00000018699	2819	1793	3272	1850	2043
ENSG00000018869	346	212	232	211	233
ENSG00000019102	54	25	49	37	44
ENSG00000019144	4084	2669	5074	3056	3782
ENSG00000019186	1	2	5	3	4
ENSG00000019485	1319	1099	1699	1407	1468
ENSG00000019505	97	22	106	26	25
ENSG00000019549	1249	1186	868	860	878
ENSG00000019582	241	221	1433	986	964
ENSG00000019991	50	37	37	43	41
ENSG00000019995	4825	2981	4288	3325	3121
ENSG00000020129	1325	903	1690	979	1048
ENSG00000020181	9605	5618	4207	4400	4541
ENSG00000020256	3418	2228	3649	2560	2746
ENSG00000020426	2392	981	2966	1259	1278
ENSG00000020577	19675	6738	19286	8177	8820
ENSG00000020633	1	3	10	5	6
ENSG00000020922	4265	1897	4455	1790	1976
ENSG00000021300	160	56	88	41	46
ENSG00000021355	3199	3771	6309	4679	5316
ENSG00000021461	10	6	29	10	13
ENSG00000021488	24	19	18	22	20
ENSG00000021574	5428	2635	4380	2761	2490
ENSG00000021645	34	20	46	18	19
ENSG00000021762	4792	3706	4793	4148	4583
ENSG00000021776	10698	5550	10565	6161	6097
ENSG00000021826	50	26	47	19	37
ENSG00000022267	9584	5458	8334	6111	6193
ENSG00000022277	9838	6453	8707	6400	6367
ENSG00000022355	3	4	3	12	10
ENSG00000022556	796	248	827	396	551
ENSG00000022567	3871	3154	3154	3488	3929
ENSG00000022840	12775	7614	12708	7415	8133
ENSG00000022976	996	645	958	608	726
ENSG00000023041	5328	2806	5205	3090	3162
ENSG00000023171	647	796	1206	1222	1511
ENSG00000023191	8442	5366	8142	5400	5614
ENSG00000023228	9968	5059	9124	5072	5020
ENSG00000023287	19169	9744	13519	10125	9307
ENSG00000023318	11517	5558	14774	7972	7919
ENSG00000023330	6393	3240	8221	5063	5079
ENSG00000023445	586	276	4324	3750	3374
ENSG00000023516	15264	7322	10928	6212	6076
ENSG00000023572	2995	1464	2843	1537	1402
ENSG00000023608	5258	1428	5230	1729	1721
ENSG00000023697	4316	2211	4467	2261	2341
ENSG00000023734	11017	6973	10591	6227	6545
ENSG00000023839	158	116	128	102	98
ENSG00000023892	332	182	399	209	270
ENSG00000023902	5050	2541	3894	2784	2721
ENSG00000023909	4402	2276	7934	3726	3821
ENSG00000024048	13894	7151	12827	7957	7582
ENSG00000024422	11205	8412	8506	6437	7572
ENSG00000024526	4625	1201	4548	717	965
ENSG00000024862	1981	1204	1587	1120	1230
ENSG00000025039	197	120	119	101	93
ENSG00000025156	1747	836	1807	835	873
ENSG00000025293	6553	4086	4984	3436	3538
ENSG00000025423	39	18	35	7	12
ENSG00000025434	4128	5832	3356	6239	6459
