Unnamed: 0	GSM2695725	GSM2695726	GSM2695727	GSM2695728	GSM2695729	GSM2695730	GSM2695731	GSM2695732	GSM2695733	GSM2695734	GSM2695735	GSM2695736	GSM2695737	GSM2695738
ENSG00000006555	2	8	2	0	1	1	4	3	4	0	1	3	3	2
ENSG00000006576	162	157	325	294	267	174	314	264	723	322	488	388	372	400
ENSG00000006607	216	233	263	295	217	237	306	315	568	363	287	324	333	288
ENSG00000006611	2	4	4	12	0	1	1	12	9	6	25	2	2	36
ENSG00000006625	181	165	260	256	80	156	382	339	587	451	709	441	342	762
ENSG00000006634	183	148	310	316	187	227	318	306	1002	415	481	389	400	496
ENSG00000006638	11	18	23	28	1	12	31	35	34	12	40	35	16	57
ENSG00000006652	452	365	338	371	587	538	393	378	1812	1004	525	629	721	449
ENSG00000006659	4	6	2	2	2	2	3	1	1	1	0	3	2	0
ENSG00000006695	100	108	77	125	71	107	124	108	298	144	144	170	180	154
ENSG00000006704	49	30	42	42	56	34	32	16	317	130	84	185	92	162
ENSG00000006712	327	341	519	583	282	376	456	613	2143	1340	1927	956	1220	1264
ENSG00000006715	997	1134	1041	1409	931	1281	1026	1316	2385	1345	1554	1786	1637	1492
ENSG00000006740	11	49	28	74	17	5	25	50	226	106	312	110	75	431
ENSG00000006744	352	360	450	493	195	367	499	533	929	423	794	651	522	1066
ENSG00000006747	76	63	92	114	32	68	100	87	417	257	437	249	206	314
ENSG00000006756	75	160	130	203	84	137	165	187	368	237	595	347	236	496
ENSG00000006757	13	35	28	49	17	29	28	45	37	20	74	52	21	75
ENSG00000006831	60	43	85	87	74	59	87	92	505	218	318	253	214	308
ENSG00000006837	45	24	32	44	30	40	40	28	146	155	73	102	83	119
ENSG00000007047	82	76	106	102	150	67	97	74	1291	624	872	582	398	583
ENSG00000007062	2	1	10	6	2	1	0	10	8	4	3	2	2	10
ENSG00000007080	54	65	113	115	51	86	116	96	458	244	769	292	254	517
ENSG00000007129	6	3	12	21	1	8	25	11	8	12	46	2	0	12
ENSG00000007168	709	820	993	1035	869	906	1002	952	2488	1345	2003	2318	1903	2493
ENSG00000007171	7	1	11	8	1	1	10	15	8	4	5	5	0	1
ENSG00000007202	678	662	1044	984	644	783	1200	1119	1942	1057	2143	1209	617	2009
ENSG00000007237	312	623	524	854	448	503	481	833	4637	1992	2981	2146	2308	2320
ENSG00000007255	20	11	22	16	3	10	20	28	55	26	73	42	34	41
ENSG00000007264	249	169	181	152	214	236	137	171	412	71	196	762	125	312
ENSG00000007312	3	2	13	6	5	4	2	23	18	10	23	3	6	6
ENSG00000007341	247	232	410	387	271	309	426	452	570	480	605	252	203	477
ENSG00000007350	106	93	128	135	245	178	105	117	180	101	68	74	134	91
ENSG00000007372	9	2	6	3	7	7	3	10	18	6	4	7	3	3
ENSG00000007376	40	61	93	106	38	66	100	73	346	115	202	96	82	156
ENSG00000007384	170	106	125	122	113	97	106	150	709	276	334	322	189	245
ENSG00000007392	287	267	345	421	245	384	376	486	975	451	832	730	757	1123
ENSG00000007402	2	1	2	4	7	3	4	5	32	13	11	5	10	2
ENSG00000007516	1	3	8	13	5	4	6	6	170	54	23	83	13	34
ENSG00000007520	207	144	286	285	132	226	330	271	541	302	838	339	226	630
ENSG00000007541	27	31	57	55	24	20	82	71	128	91	182	74	61	137
ENSG00000007545	104	153	163	132	145	134	151	130	1105	477	570	351	309	511
ENSG00000007866	8	7	11	11	24	3	10	16	133	70	119	36	23	137
ENSG00000007923	316	337	478	438	250	416	430	526	752	457	1052	788	642	1266
ENSG00000007944	21	18	58	29	8	12	75	53	289	47	102	101	58	72
ENSG00000007968	4	6	10	15	6	3	26	19	4	2	45	7	1	17
ENSG00000008018	979	642	723	956	634	723	863	1093	1386	680	1084	1291	1090	1347
ENSG00000008056	2	3	1	0	1	1	2	0	15	12	23	12	9	19
ENSG00000008083	912	823	578	610	1668	1200	543	603	3730	1412	1671	1199	1172	1297
ENSG00000008086	7	71	31	33	41	42	27	51	98	45	20	79	85	55
ENSG00000008128	180	224	284	366	133	312	217	338	2807	2679	3730	1402	2019	2416
ENSG00000008130	928	688	381	375	950	970	420	526	3822	2344	1726	1936	2659	986
ENSG00000008226	2	5	3	5	1	6	6	9	24	18	7	13	0	4
ENSG00000008256	100	302	219	383	94	267	218	378	1103	607	732	346	173	429
ENSG00000008277	19	25	51	48	23	33	35	34	85	50	144	57	6	97
ENSG00000008282	94	61	94	146	153	77	150	117	332	302	357	244	245	276
ENSG00000008283	14	23	18	25	17	20	34	27	59	51	61	23	29	25
ENSG00000008294	3250	3167	2926	2840	4863	4205	2297	2534	10965	5963	4367	6553	5343	4110
ENSG00000008300	35	21	35	24	50	37	18	42	153	65	86	73	47	70
ENSG00000008311	21	53	39	50	33	48	27	40	89	95	93	82	73	81
ENSG00000008323	3	5	1	10	3	5	1	1	5	4	5	5	3	0
ENSG00000008324	94	44	29	64	57	47	62	56	114	50	86	110	119	112
ENSG00000008382	12	31	11	15	11	6	18	19	229	104	159	135	109	96
ENSG00000008394	124	148	143	219	265	195	196	288	517	297	740	182	249	277
ENSG00000008405	88	82	116	118	136	117	104	121	325	238	245	224	230	187
ENSG00000008441	58	44	45	58	16	23	52	66	223	182	337	123	101	228
ENSG00000008513	430	486	668	977	1156	705	879	1049	6168	3140	3365	1896	1682	2168
ENSG00000008516	2	6	1	3	5	7	8	1	38	25	15	35	25	15
ENSG00000008517	32	8	11	7	15	25	7	5	72	12	33	73	25	20
ENSG00000008710	84	100	173	137	161	115	170	172	663	293	414	349	141	396
ENSG00000008735	1	3	1	0	3	5	1	6	30	10	11	4	9	7
ENSG00000008838	222	191	288	337	247	225	325	318	920	567	812	575	324	681
ENSG00000008853	122	271	368	515	205	293	429	620	1141	941	934	578	484	618
ENSG00000008869	256	327	419	497	225	346	403	423	962	452	751	679	430	791
ENSG00000008952	774	1028	1008	1456	1223	1445	824	1177	5310	4129	4391	2858	3641	3301
ENSG00000008988	5425	3716	4573	4952	3581	4909	5685	5823	8804	4632	8855	8654	6661	8219
ENSG00000009307	6111	6317	8745	9606	5923	6984	9077	8794	19061	9667	18366	17436	13659	19816
ENSG00000009335	871	934	1227	1116	782	889	1334	1213	1335	800	1530	1219	903	1495
ENSG00000009413	387	501	544	592	514	524	416	516	2353	1143	1079	998	1106	994
ENSG00000009724	4	10	30	16	3	10	11	9	46	23	36	61	39	67
ENSG00000009765	10	6	3	3	9	4	7	5	8	2	6	2	1	5
ENSG00000009780	88	127	213	231	80	176	177	208	287	191	209	116	108	199
ENSG00000009790	91	128	259	329	112	139	307	358	468	342	1332	315	237	675
ENSG00000009830	29	31	44	23	40	29	74	49	92	55	67	87	65	86
ENSG00000009844	405	389	521	720	346	475	627	567	1438	866	775	863	828	1022
ENSG00000009950	43	55	20	61	45	51	22	45	532	261	811	590	67	732
ENSG00000009954	1829	2677	2435	3550	1904	2998	2510	3304	8788	5273	7061	4819	3660	7136
ENSG00000010017	416	375	478	542	442	392	481	581	2091	943	1810	886	704	1167
ENSG00000010030	88	18	3	5	37	59	5	12	496	263	6	138	336	8
ENSG00000010072	152	141	143	202	145	157	234	232	322	220	307	213	182	244
ENSG00000010165	168	133	184	208	186	191	215	251	637	356	361	355	332	375
ENSG00000010219	19	21	15	32	17	24	22	23	54	30	50	39	17	45
ENSG00000010244	870	913	902	1133	745	974	983	1010	1509	770	1099	1540	1578	1460
ENSG00000010256	1459	1116	1514	1804	1289	1430	1363	1644	1934	645	2305	1712	768	2361
ENSG00000010270	232	174	224	220	201	200	282	274	608	328	385	446	328	366
