Unnamed: 0	GSM6506628	GSM6506629	GSM6506634	GSM6506635	GSM6506640	GSM6506643
ENSG00000010671	2756	3001	3537	3056	3260	3305
ENSG00000010704	404	464	700	680	409	536
ENSG00000010803	1376	1647	1320	1205	2030	2034
ENSG00000010810	832	939	749	677	1508	1031
ENSG00000010818	555	612	1501	1262	1028	1630
ENSG00000011007	3309	3867	5272	4581	2882	4039
ENSG00000011009	1859	2074	2332	2036	2479	2724
ENSG00000011021	896	918	1047	991	1775	1542
ENSG00000011028	8273	9475	6992	5969	12059	9639
ENSG00000011052	249	360	319	211	337	243
ENSG00000011083	6	6	9	4	14	8
ENSG00000011105	61	70	72	70	118	116
ENSG00000011114	469	352	479	346	440	434
ENSG00000011132	602	767	860	784	1072	931
ENSG00000011143	308	327	293	299	431	375
ENSG00000011198	570	602	652	602	699	740
ENSG00000011201	60	66	42	39	128	71
ENSG00000011243	2070	2259	2345	2249	3314	2973
ENSG00000011258	603	616	537	529	1008	860
ENSG00000011260	1887	2121	2525	2338	2280	2349
ENSG00000011275	1502	1672	1841	1680	1958	2099
ENSG00000011295	1049	1237	1127	1037	1620	1442
ENSG00000011304	8180	9985	10499	9213	10208	10322
ENSG00000011332	91	102	122	117	97	118
ENSG00000011347	35	30	37	33	90	59
ENSG00000011376	1118	1306	1773	1505	1574	1680
ENSG00000011405	2561	2616	3215	3128	2935	3077
ENSG00000011422	13063	15600	22839	19793	24833	30104
ENSG00000011426	2454	2922	1759	1535	1141	793
ENSG00000011451	1442	1713	1828	1616	1941	1950
ENSG00000011454	1699	1827	1981	1641	2150	2085
ENSG00000011465	5	7	2	4	11	2
ENSG00000011478	865	1010	1048	875	1327	1239
ENSG00000011485	2842	3372	3595	3220	3325	3551
ENSG00000095713	552	536	547	466	862	832
ENSG00000011566	694	767	945	794	1130	1085
ENSG00000011590	15	11	29	9	18	21
ENSG00000011600	8047	10041	13063	11064	8932	11248
ENSG00000011638	415	504	541	459	749	703
ENSG00000012048	2835	3252	2214	2012	1504	1357
ENSG00000012061	2916	3302	2829	2681	5239	4351
ENSG00000012124	68	71	92	79	206	132
ENSG00000012171	43	44	77	74	56	69
ENSG00000012174	1060	1228	1232	1197	1129	1245
ENSG00000012211	498	586	635	494	697	687
ENSG00000012232	1585	1805	1941	1786	2647	2586
ENSG00000012660	11689	12993	15726	14319	13582	14271
ENSG00000012779	437	412	327	305	200	174
ENSG00000012817	1	4	1	1	10	5
ENSG00000012822	941	961	1235	1113	2088	1942
ENSG00000012963	1588	1743	1612	1368	1595	1539
ENSG00000012983	1373	1495	1772	1596	1926	1776
ENSG00000013275	1882	2291	2880	2693	2276	2908
ENSG00000013288	4232	4823	5603	5020	5607	5821
ENSG00000013293	11	8	15	10	9	11
ENSG00000013297	13	13	11	13	16	14
ENSG00000013306	2683	3288	3140	2764	4481	3976
ENSG00000013364	5711	6560	8521	7321	6843	7130
ENSG00000013374	2302	2715	3907	3499	2336	2625
ENSG00000013375	907	987	1334	1183	1355	1354
ENSG00000013392	159	187	163	157	224	241
ENSG00000118004	679	732	1515	1319	1551	1535
ENSG00000013503	699	787	869	733	617	733
ENSG00000013523	2007	2279	2498	2255	2581	2376
ENSG00000013561	2014	2279	2601	2234	2907	2764
ENSG00000013563	2231	2621	2556	2198	3309	2629
ENSG00000013573	1330	1327	1179	1104	1276	1075
ENSG00000013583	1055	1263	1574	1351	1877	1759
ENSG00000013588	42	40	135	103	74	134
ENSG00000013619	708	866	860	819	1459	1502
ENSG00000013725	43	83	43	58	98	99
ENSG00000013810	2279	2702	1581	1506	1024	907
ENSG00000014123	1314	1401	1355	1381	1587	1414
ENSG00000014138	430	513	395	398	376	305
ENSG00000014164	725	955	868	760	888	1002
ENSG00000014216	5415	6389	7323	6231	7203	7592
ENSG00000014257	256	309	235	192	461	315
ENSG00000014641	5192	5975	5601	4988	8082	7495
ENSG00000014824	2557	2911	2742	2577	2955	2825
ENSG00000014914	105	87	146	115	172	164
ENSG00000014919	914	1034	1145	942	1000	992
ENSG00000015133	596	730	576	508	1936	1318
ENSG00000015153	275	314	344	314	355	361
ENSG00000015171	792	931	888	754	923	1000
ENSG00000015285	1250	1518	1703	1590	1463	1612
ENSG00000015413	7	1	15	10	8	3
ENSG00000015475	1711	1945	1986	1761	1877	2109
ENSG00000015479	6476	6925	7728	7263	8010	8564
ENSG00000015520	6	1	5	17	17	19
ENSG00000015532	1720	2059	1878	1646	2906	2675
ENSG00000015568	124	221	95	332	249	369
ENSG00000015676	1357	1579	1490	1438	2163	2043
ENSG00000016602	82	59	67	66	284	151
ENSG00000016864	890	1031	832	834	1414	1239
ENSG00000017260	4956	5455	5910	5376	7662	7446
ENSG00000017483	280	397	476	468	385	414
ENSG00000135597	6346	7121	7359	6375	8692	8305
ENSG00000163820	551	482	625	661	809	763
ENSG00000018280	1183	1253	1913	1610	1623	2507
ENSG00000018408	158	187	145	124	389	280
ENSG00000018510	2816	3009	3464	3123	2508	3120
ENSG00000018610	409	473	541	527	520	535
ENSG00000018625	9	8	5	4	11	13
ENSG00000018699	688	826	961	872	821	895
ENSG00000018869	29	40	32	35	20	51
ENSG00000019102	39	60	9	12	141	30
ENSG00000019144	2151	2439	2336	1950	2147	2275
ENSG00000019169	1167	1320	911	756	1292	1025
ENSG00000019485	59	65	86	74	79	104
ENSG00000019549	41	32	37	41	16	20
ENSG00000019582	4851	5965	9361	7855	5393	7545
ENSG00000019995	1187	1307	1644	1496	2170	2165
ENSG00000020129	1685	2045	2119	1841	1977	2258
ENSG00000020181	228	224	183	224	186	203
ENSG00000020256	432	445	536	495	681	654
ENSG00000020426	325	329	356	333	404	470
ENSG00000020577	78	77	85	68	358	189
ENSG00000020633	11967	14646	15877	14413	10512	14727
ENSG00000020922	903	976	856	779	947	822
ENSG00000021300	65	64	61	56	74	100
ENSG00000021355	1457	1499	2445	2148	1331	2021
ENSG00000021488	8	5	6	1	8	4
ENSG00000021574	887	957	1034	966	914	998
ENSG00000021645	11	16	14	11	81	61
ENSG00000021762	464	534	394	312	997	800
ENSG00000021776	1972	2285	2306	2117	2266	2315
ENSG00000231852	210	240	182	204	246	255
ENSG00000022277	2109	2389	2869	2658	2868	3018
ENSG00000022556	102	102	108	114	193	153
ENSG00000022567	598	682	751	671	792	781
ENSG00000022840	5098	5690	6119	5280	7382	7286
ENSG00000022976	304	348	304	266	421	356
ENSG00000023041	1952	2104	2195	1963	2228	2435
ENSG00000023171	1219	1276	1553	1396	2568	2568
ENSG00000023228	2025	2175	2122	1916	2502	2446
ENSG00000023287	2747	3012	3345	3039	3888	3995
