Unnamed: 0	GSM4273334	GSM4273341	GSM4273348	GSM4273355	GSM4273362	GSM4273369	GSM4273376	GSM4273383
ENSG00000007520	531	468	436	441	371	459	521	439
ENSG00000007541	757	434	757	489	698	729	519	486
ENSG00000007545	803	970	784	1038	729	819	911	1012
ENSG00000007866	473	263	354	298	890	555	801	502
ENSG00000007923	2112	2538	1981	2544	2155	2127	2641	3038
ENSG00000007944	69	56	80	94	48	83	55	78
ENSG00000007968	170	39	212	81	94	60	27	14
ENSG00000008018	2038	1896	1904	1783	1825	1965	2103	2472
ENSG00000008083	1985	1509	1665	1491	1967	1731	1574	1576
ENSG00000008086	188	144	167	121	281	249	147	167
ENSG00000008118	49	55	38	77	40	11	16	24
ENSG00000008128	815	744	719	832	802	722	750	804
ENSG00000008130	5101	4787	3891	4366	5038	5151	5429	5459
ENSG00000008226	83	63	83	69	92	92	58	60
ENSG00000008256	414	311	408	391	655	442	620	404
ENSG00000008277	38	63	27	35	46	25	83	49
ENSG00000008282	1272	1096	1135	1035	1280	1238	1236	1231
ENSG00000008283	227	156	230	197	187	201	204	250
ENSG00000008294	4907	6669	4279	6397	5332	4818	6462	6178
ENSG00000008300	10	17	20	19	9	23	11	24
ENSG00000008311	24	23	26	39	20	17	10	15
ENSG00000008323	3	12	2	23	4	5	35	26
ENSG00000008324	247	238	237	166	204	232	247	252
ENSG00000008382	2187	1918	1948	2051	2260	2065	2815	2235
ENSG00000008394	4613	2680	4066	2998	6364	7775	4975	5710
ENSG00000008405	356	275	299	326	349	300	406	446
ENSG00000008441	86	70	89	112	42	69	46	77
ENSG00000008513	2758	3789	2388	4512	2349	2038	3140	3065
ENSG00000271447	19	40	20	47	14	23	52	34
ENSG00000008517	24	62	14	45	26	42	131	105
ENSG00000008710	1565	1582	1666	1694	950	1226	1216	1361
ENSG00000008735	3	3	4	2	6	7	3	2
ENSG00000008838	1856	1557	1567	1678	1553	1687	1465	1794
ENSG00000008853	5842	3283	6075	3721	8973	7507	6623	6251
ENSG00000008869	1174	1196	1006	1070	1021	1172	1098	1314
ENSG00000008952	3099	2861	2657	3325	2743	3144	2610	3303
ENSG00000008988	6860	5624	5808	5990	5125	6515	5409	6744
ENSG00000009307	14798	14562	13893	16039	16165	14935	16339	17056
ENSG00000009335	2963	3192	2650	3237	2463	2670	3069	3419
ENSG00000009413	504	424	454	460	512	550	380	465
ENSG00000009724	41	40	48	49	57	41	45	35
ENSG00000009780	289	276	317	291	245	298	219	291
ENSG00000009790	169	420	149	580	227	136	490	330
ENSG00000009830	366	325	370	341	260	267	302	368
ENSG00000009844	1070	963	928	1011	953	1063	1004	1198
ENSG00000009950	153	185	129	176	106	136	167	174
ENSG00000009954	2527	2347	2427	2748	2322	2163	2281	2731
ENSG00000010017	977	848	902	1084	993	948	1004	996
ENSG00000010030	5	14	6	14	1	13	5	30
ENSG00000010072	231	206	209	236	204	207	176	211
ENSG00000010165	1653	1338	1356	1156	1296	1621	1440	1714
ENSG00000010219	613	432	485	402	559	584	452	433
ENSG00000010244	4821	4623	4358	5088	4329	4751	4424	5137
ENSG00000010256	6423	5738	5239	5209	5436	6096	5884	6537
