GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected
GO:0052422	modulation by host of symbiont catalytic activity	5	0	0	1	1	1		0		0	0	0	0	0
GO:0052472	modulation by host of symbiont transcription	2	0	0	1	1	1		0		0	0	0	0	0
GO:0052547	regulation of peptidase activity	390	0	0	1	1	1		0		0	0	0	0	0
GO:0052548	regulation of endopeptidase activity	315	0	0	1	1	1		0		0	0	0	0	0
GO:0052646	alditol phosphate metabolic process	12	0	0	1	1	1		0		0	0	0	0	0
GO:0052647	pentitol phosphate metabolic process	1	0	0	1	1	1		0		0	0	0	0	0
GO:0052648	ribitol phosphate metabolic process	1	0	0	1	1	1		0		0	0	0	0	0
GO:0052651	monoacylglycerol catabolic process	6	0	0	1	1	1		0		0	0	0	0	0
GO:0052652	cyclic purine nucleotide metabolic process	39	0	0	1	1	1		0		0	0	0	0	0
GO:0052695	cellular glucuronidation	12	0	0	1	1	1		0		0	0	0	0	0
GO:0052696	flavonoid glucuronidation	2	0	0	1	1	1		0		0	0	0	0	0
GO:0052697	xenobiotic glucuronidation	3	0	0	1	1	1		0		0	0	0	0	0
GO:0052746	inositol phosphorylation	2	0	0	1	1	1		0		0	0	0	0	0
GO:0052779	amino disaccharide metabolic process	9	0	0	1	1	1		0		0	0	0	0	0
GO:0052782	amino disaccharide catabolic process	4	0	0	1	1	1		0		0	0	0	0	0
GO:0052803	imidazole-containing compound metabolic process	6	0	0	1	1	1		0		0	0	0	0	0
GO:0052805	imidazole-containing compound catabolic process	1	0	0	1	1	1		0		0	0	0	0	0
GO:0055001	muscle cell development	180	0.007984031936127744	176/16075	0.8026483188327946	0.8612058402346296	0.7846275998764137	CASQ1/CSRP2/MTOR/TBX3	4		27	1	1.3463922215272643	-0.29742858664014793	0.6873175155402681
GO:0055002	striated muscle cell development	70	0.003992015968063872	68/16075	0.6304320444080962	0.7556021752080426	0.6884141903094404	CASQ1/CSRP2	2		22	1	1.097060328651845	-0.0926341739941346	0.8174102950087001
GO:0055003	cardiac myofibril assembly	19	0	0	1	1	1		0		0	0	0	0	0
GO:0055005	ventricular cardiac myofibril assembly	3	0	0	1	1	1		0		0	0	0	0	0
GO:0055006	cardiac cell development	83	0.003992015968063872	81/16075	0.7233284262543145	0.8145161356845707	0.7420895339361374	MTOR/TBX3	2		7	1	0.34906465002558706	1.0524981303088679	1.7748022749520207
GO:0055007	cardiac muscle cell differentiation	113	0.007984031936127744	111/16075	0.45649828334507103	0.6717773712270206	0.6120430700905841	MTOR/GATA6/MEF2C/TBX3	4		13	1	0.6482629214760903	0.4334589219026443	1.2181547833269166
GO:0055008	cardiac muscle tissue morphogenesis	59	0.001996007984031936	57/16075	0.8360115122480888	0.8804335606754103	0.8021455955003566	WNT2	1		18	0	0.8975948143515097	-Inf	0
GO:0055009	atrial cardiac muscle tissue morphogenesis	6	0.001996007984031936	6/16075	0.17304458943280132	0.5359623836355979	0.4883047223431162	WNT2	1		1	0	0.04986637857508387	-Inf	0
GO:0055010	ventricular cardiac muscle tissue morphogenesis	46	0	0	1	1	1		0		0	0	0	0	0
GO:0055011	atrial cardiac muscle cell differentiation	3	0	0	1	1	1		0		0	0	0	0	0
GO:0055012	ventricular cardiac muscle cell differentiation	14	0.001996007984031936	12/16075	0.31619404810889595	0.5918865481016949	0.5392561219854743	MEF2C	1		1	0	0.04986637857508387	-Inf	0
GO:0055013	cardiac muscle cell development	77	0.003992015968063872	75/16075	0.6831686813447732	0.7889154714804107	0.7187652753543803	MTOR/TBX3	2		7	1	0.34906465002558706	1.0524981303088679	1.7748022749520207
GO:0055014	atrial cardiac muscle cell development	3	0	0	1	1	1		0		0	0	0	0	0
GO:0055015	ventricular cardiac muscle cell development	10	0	0	1	1	1		0		0	0	0	0	0
