GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected
GO:2000804	regulation of termination of RNA polymerase II transcription, poly(A)-coupled	3	0	0	1	1	1		0		0	0	0	0	0
GO:2000805	negative regulation of termination of RNA polymerase II transcription, poly(A)-coupled	2	0	0	1	1	1		0		0	0	0	0	0
GO:2000806	positive regulation of termination of RNA polymerase II transcription, poly(A)-coupled	1	0	0	1	1	1		0		0	0	0	0	0
GO:2000807	regulation of synaptic vesicle clustering	6	0	0	1	1	1		0		0	0	0	0	0
GO:2000808	negative regulation of synaptic vesicle clustering	1	0	0	1	1	1		0		0	0	0	0	0
GO:2000809	positive regulation of synaptic vesicle clustering	2	0	0	1	1	1		0		0	0	0	0	0
GO:2000810	regulation of bicellular tight junction assembly	20	0.0026109660574412533	20/16075	0.16816800595064652	0.47657638570883754	0.41521007924487	MYO1C/CLDN1/SNAI2	3		18	2	3.172798089497925	-0.4614666960730929	0.5946821453995604
GO:2000811	negative regulation of anoikis	18	0.0026109660574412533	18/16075	0.13341043175987008	0.4227334551910598	0.36830022781819677	CEACAM5/PIK3R3/SNAI2	3		17	3	2.9965315289702623	0.001156825875020002	0.8821918229655009
GO:2000812	regulation of barbed-end actin filament capping	5	0	0	1	1	1		0		0	0	0	0	0
GO:2000813	negative regulation of barbed-end actin filament capping	4	0	0	1	1	1		0		0	0	0	0	0
GO:2000816	negative regulation of mitotic sister chromatid separation	48	0.0034812880765883376	48/16075	0.45196340791499723	0.6640474206335223	0.5785414267505187	ZWINT/ZNF207/NDC80/XRCC3	4		22	2	3.8778643316085746	-0.662137391535244	0.49525254180843825
GO:2000818	negative regulation of myoblast proliferation	2	0	0	1	1	1		0		0	0	0	0	0
GO:2000819	regulation of nucleotide-excision repair	27	0.0017406440382941688	27/16075	0.5845588975270044	0.7338062222371622	0.6393177438540065	RAD52/DPF1	2		3	1	0.5287996815829874	0.6371455925950169	1.3938340424825884
GO:2000820	negative regulation of transcription from RNA polymerase II promoter involved in smooth muscle cell differentiation	3	0	0	1	1	1		0		0	0	0	0	0
GO:2000821	regulation of grooming behavior	4	0	0	1	1	1		0		0	0	0	0	0
GO:2000822	regulation of behavioral fear response	9	0	0	1	1	1		0		0	0	0	0	0
GO:2000825	positive regulation of androgen receptor activity	5	8.703220191470844e-4	5/16075	0.30985320264938154	0.6114964544804348	0.5327571800376556	PARK7	1		0	0	0	0	0
GO:2000826	regulation of heart morphogenesis	11	0.0017406440382941688	10/16075	0.15692054560106983	0.4580285727064883	0.39905057336614297	BMP4/SMO	2		3	1	0.5287996815829874	0.6371455925950169	1.3938340424825884
GO:2000827	mitochondrial RNA surveillance	1	0	0	1	1	1		0		0	0	0	0	0
GO:2000831	regulation of steroid hormone secretion	22	0.0034812880765883376	21/16075	0.05857978650092756	0.3046156608855968	0.2653918584476597	AGTR1/CRY2/GALR1/PTPN11	4		10	1	1.7626656052766247	-0.5668272117309191	0.5406030852511662
GO:2000832	negative regulation of steroid hormone secretion	4	0	0	1	1	1		0		0	0	0	0	0
GO:2000833	positive regulation of steroid hormone secretion	11	8.703220191470844e-4	11/16075	0.5578164572754887	0.7185220734508889	0.6260016568235928	GALR1	1		9	1	1.5863990447489624	-0.4614666960730929	0.5946821453995604
GO:2000834	regulation of androgen secretion	1	0	0	1	1	1		0		0	0	0	0	0
GO:2000836	positive regulation of androgen secretion	1	0	0	1	1	1		0		0	0	0	0	0
GO:2000843	regulation of testosterone secretion	2	0	0	1	1	1		0		0	0	0	0	0
GO:2000845	positive regulation of testosterone secretion	2	0	0	1	1	1		0		0	0	0	0	0
GO:2000846	regulation of corticosteroid hormone secretion	16	0.0034812880765883376	15/16075	0.018751984190743885	0.20504112592676949	0.17863902765111891	AGTR1/CRY2/GALR1/PTPN11	4		6	1	1.0575993631659748	-0.05600158796492843	0.8423338776988692
GO:2000847	negative regulation of corticosteroid hormone secretion	4	0	0	1	1	1		0		0	0	0	0	0
GO:2000848	positive regulation of corticosteroid hormone secretion	7	8.703220191470844e-4	7/16075	0.4050184442226413	0.6394443317639756	0.5571063519429428	GALR1	1		6	1	1.0575993631659748	-0.05600158796492843	0.8423338776988692
GO:2000849	regulation of glucocorticoid secretion	10	0.0026109660574412533	9/16075	0.02207534254934189	0.22009290343288743	0.19175266466398921	CRY2/GALR1/PTPN11	3		5	1	0.8813328026383124	0.12631996882902616	0.973452212596571
GO:2000850	negative regulation of glucocorticoid secretion	4	0	0	1	1	1		0		0	0	0	0	0
GO:2000851	positive regulation of glucocorticoid secretion	4	0	0	1	1	1		0		0	0	0	0	0
GO:2000852	regulation of corticosterone secretion	3	0	0	1	1	1		0		0	0	0	0	0
GO:2000853	negative regulation of corticosterone secretion	1	0	0	1	1	1		0		0	0	0	0	0
GO:2000855	regulation of mineralocorticoid secretion	6	8.703220191470844e-4	6/16075	0.3591984839285264	0.6238917974626887	0.5435564380291613	AGTR1	1		1	0	0.17626656052766249	-Inf	0
GO:2000857	positive regulation of mineralocorticoid secretion	3	0	0	1	1	1		0		0	0	0	0	0
GO:2000858	regulation of aldosterone secretion	6	8.703220191470844e-4	6/16075	0.3591984839285264	0.6238917974626887	0.5435564380291613	AGTR1	1		1	0	0.17626656052766249	-Inf	0
GO:2000860	positive regulation of aldosterone secretion	3	0	0	1	1	1		0		0	0	0	0	0
GO:2000864	regulation of estradiol secretion	3	0	0	1	1	1		0		0	0	0	0	0
GO:2000866	positive regulation of estradiol secretion	2	0	0	1	1	1		0		0	0	0	0	0
GO:2000870	regulation of progesterone secretion	2	0	0	1	1	1		0		0	0	0	0	0
GO:2000872	positive regulation of progesterone secretion	1	0	0	1	1	1		0		0	0	0	0	0
GO:2000878	positive regulation of oligopeptide transport	2	0	0	1	1	1		0		0	0	0	0	0
GO:2000880	positive regulation of dipeptide transport	2	0	0	1	1	1		0		0	0	0	0	0
GO:2000891	cellobiose metabolic process	1	0	0	1	1	1		0		0	0	0	0	0
GO:2000892	cellobiose catabolic process	1	0	0	1	1	1		0		0	0	0	0	0
GO:2000896	amylopectin metabolic process	1	0	0	1	1	1		0		0	0	0	0	0
GO:2000969	positive regulation of AMPA receptor activity	8	8.703220191470844e-4	8/16075	0.44756473545914766	0.661109085658387	0.5759814461588255	ADRB2	1		0	0	0	0	0
GO:2000970	regulation of detection of glucose	1	0	0	1	1	1		0		0	0	0	0	0
GO:2000971	negative regulation of detection of glucose	1	0	0	1	1	1		0		0	0	0	0	0
GO:2000973	regulation of pro-B cell differentiation	8	8.703220191470844e-4	7/16075	0.4050184442226413	0.6394443317639756	0.5571063519429428	SOS2	1		1	0	0.17626656052766249	-Inf	0
GO:2000974	negative regulation of pro-B cell differentiation	3	0	0	1	1	1		0		0	0	0	0	0
GO:2000975	positive regulation of pro-B cell differentiation	1	0	0	1	1	1		0		0	0	0	0	0
GO:2000977	regulation of forebrain neuron differentiation	5	0	0	1	1	1		0		0	0	0	0	0
GO:2000978	negative regulation of forebrain neuron differentiation	3	0	0	1	1	1		0		0	0	0	0	0
GO:2000979	positive regulation of forebrain neuron differentiation	1	0	0	1	1	1		0		0	0	0	0	0
GO:2000980	regulation of inner ear receptor cell differentiation	10	0	0	1	1	1		0		0	0	0	0	0
GO:2000981	negative regulation of inner ear receptor cell differentiation	4	0	0	1	1	1		0		0	0	0	0	0
GO:2000982	positive regulation of inner ear receptor cell differentiation	2	0	0	1	1	1		0		0	0	0	0	0
GO:2000983	regulation of ATP citrate synthase activity	2	0	0	1	1	1		0		0	0	0	0	0
GO:2000984	negative regulation of ATP citrate synthase activity	1	0	0	1	1	1		0		0	0	0	0	0
GO:2000987	positive regulation of behavioral fear response	6	0	0	1	1	1		0		0	0	0	0	0
GO:2001012	mesenchymal cell differentiation involved in renal system development	8	8.703220191470844e-4	8/16075	0.44756473545914766	0.661109085658387	0.5759814461588255	BMP4	1		0	0	0	0	0
GO:2001013	epithelial cell proliferation involved in renal tubule morphogenesis	4	0	0	1	1	1		0		0	0	0	0	0
GO:2001014	regulation of skeletal muscle cell differentiation	19	0.0034812880765883376	19/16075	0.042446193024252454	0.27671671550072946	0.24108531773043626	MSTN/EPHB1/NR1D2/BMAL1	4		3	0	0.5287996815829874	-Inf	0
GO:2001015	negative regulation of skeletal muscle cell differentiation	5	0.0017406440382941688	5/16075	0.0441452981607545	0.27671671550072946	0.24108531773043626	MSTN/EPHB1	2		1	0	0.17626656052766249	-Inf	0
GO:2001016	positive regulation of skeletal muscle cell differentiation	6	8.703220191470844e-4	6/16075	0.3591984839285264	0.6238917974626887	0.5435564380291613	BMAL1	1		1	0	0.17626656052766249	-Inf	0
GO:2001017	regulation of retrograde axon cargo transport	1	0	0	1	1	1		0		0	0	0	0	0
GO:2001019	positive regulation of retrograde axon cargo transport	1	0	0	1	1	1		0		0	0	0	0	0
GO:2001020	regulation of response to DNA damage stimulus	308	0	0	1	1	1		0		0	0	0	0	0
GO:2001021	negative regulation of response to DNA damage stimulus	81	0.009573542210617928	80/16075	0.026524396902383438	0.24150359210588468	0.21040640833905605	CD74/CDKN2D/TRIP12/TP53BP1/RPS3/SNAI2/PSMD10/BCL2L1/MIF/DDX39B/CXCL12	11		0	0	0	0	0
GO:2001022	positive regulation of response to DNA damage stimulus	165	0.008703220191470844	164/16075	0.743249569865057	0.829457610931725	0.7226525918882422	FXR1/PLA2R1/FGF10/PARP1/RPS3/POGZ/DPF1/PARP3/DDX11/BCLAF1	10		0	0	0	0	0
GO:2001023	regulation of response to drug	2	0	0	1	1	1		0		0	0	0	0	0
GO:2001024	negative regulation of response to drug	0	0	0	1	1	1		0		0	0	0	0	0
GO:2001026	regulation of endothelial cell chemotaxis	21	8.703220191470844e-4	20/16075	0.7732988985532276	0.8434017521339288	0.7348012172653836	HSPB1	1		20	1	3.5253312105532495	-1.2599743922908644	0.2799887006976675
GO:2001027	negative regulation of endothelial cell chemotaxis	4	0	0	1	1	1		0		0	0	0	0	0
GO:2001028	positive regulation of endothelial cell chemotaxis	15	8.703220191470844e-4	14/16075	0.6460800753708495	0.7658365394444576	0.6672236807503527	HSPB1	1		14	1	2.4677318473872747	-0.9032994483521322	0.394887247409812
GO:2001029	regulation of cellular glucuronidation	1	0	0	1	1	1		0		0	0	0	0	0
GO:2001031	positive regulation of cellular glucuronidation	1	0	0	1	1	1		0		0	0	0	0	0
GO:2001032	regulation of double-strand break repair via nonhomologous end joining	27	8.703220191470844e-4	27/16075	0.8652075773175176	0.9004815341109985	0.784531127325297	PARP3	1		27	2	4.759197134246887	-0.8669318041812573	0.4087605047890578
GO:2001033	negative regulation of double-strand break repair via nonhomologous end joining	7	0	0	1	1	1		0		0	0	0	0	0
GO:2001034	positive regulation of double-strand break repair via nonhomologous end joining	14	8.703220191470844e-4	14/16075	0.6460800753708495	0.7658365394444576	0.6672236807503527	PARP3	1		15	2	2.6439984079149372	-0.27914513927913825	0.6982833299728225
GO:2001035	regulation of tongue muscle cell differentiation	2	0	0	1	1	1		0		0	0	0	0	0
GO:2001037	positive regulation of tongue muscle cell differentiation	2	0	0	1	1	1		0		0	0	0	0	0
GO:2001044	regulation of integrin-mediated signaling pathway	21	0.0026109660574412533	21/16075	0.18643270919226637	0.49632983415115955	0.43241997704729046	TIMP1/LIMS1/EMP2	3		11	2	1.9389321658042873	0.03100978902470132	0.9034699134302697
GO:2001045	negative regulation of integrin-mediated signaling pathway	3	0	0	1	1	1		0		0	0	0	0	0
GO:2001046	positive regulation of integrin-mediated signaling pathway	13	0.0017406440382941688	13/16075	0.23703544538825472	0.5591175129482268	0.48712280721407747	LIMS1/EMP2	2		4	1	0.7050662421106499	0.3494635201432359	1.1485765880596626
GO:2001049	regulation of tendon cell differentiation	1	0	0	1	1	1		0		0	0	0	0	0
GO:2001051	positive regulation of tendon cell differentiation	1	0	0	1	1	1		0		0	0	0	0	0
GO:2001053	regulation of mesenchymal cell apoptotic process	13	8.703220191470844e-4	13/16075	0.6188116522903898	0.7516685668937947	0.654880045643988	PAX8	1		0	0	0	0	0
GO:2001054	negative regulation of mesenchymal cell apoptotic process	10	8.703220191470844e-4	10/16075	0.5237544506657762	0.697054746093132	0.6072985675378484	PAX8	1		0	0	0	0	0
GO:2001055	positive regulation of mesenchymal cell apoptotic process	3	0	0	1	1	1		0		0	0	0	0	0
GO:2001056	positive regulation of cysteine-type endopeptidase activity	140	0.010443864229765013	140/16075	0.2991327445888989	0.6114964544804348	0.5327571800376556	CCN2/PPM1F/RPS3/TFAP4/F2R/CASP8/MAPT/GPER1/BCL10/FADD/RIPK2/CCN1	12		0	0	0	0	0
GO:2001057	reactive nitrogen species metabolic process	75	0.005221932114882507	74/16075	0.4365868950272773	0.661109085658387	0.5759814461588255	IL10/KLF2/SPR/CYP1B1/ACP5/PKD2	6		19	1	3.349064650025587	-1.208681097903314	0.2943230478990647
GO:2001074	regulation of metanephric ureteric bud development	2	0	0	1	1	1		0		0	0	0	0	0
GO:2001076	positive regulation of metanephric ureteric bud development	2	0	0	1	1	1		0		0	0	0	0	0
