ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0071456	cellular response to hypoxia	7/195	134/16259	0.001167308472793554	0.04618421640005555	0.03868380771759195	CDKN1B/DNMT3A/EGR1/FOS/ERO1A/BNIP3L/SUV39H1	7
GO:0071478	cellular response to radiation	8/195	174/16259	0.001205879318478553	0.046386141718553285	0.03885293996239216	CDKN1A/GNB5/PARP1/EGR1/GATA3/MAPK13/BAX/TP53BP1	8
GO:0000076	DNA replication checkpoint signaling	3/195	18/16259	0.0012137913979282453	0.046386141718553285	0.03885293996239216	TOPBP1/ORC1/CDC45	3
GO:0072079	nephron tubule formation	3/195	18/16259	0.0012137913979282453	0.046386141718553285	0.03885293996239216	GATA3/PAX8/HS2ST1	3
GO:0031063	regulation of histone deacetylation	2/195	5/16259	0.0013974379698686275	0.047816207429578	0.04005076015510922	RRP8/SUV39H1	2
GO:0031065	positive regulation of histone deacetylation	2/195	5/16259	0.0013974379698686275	0.047816207429578	0.04005076015510922	RRP8/SUV39H1	2
GO:0072179	nephric duct formation	2/195	5/16259	0.0013974379698686275	0.047816207429578	0.04005076015510922	GATA3/BMP4	2
GO:0072284	metanephric S-shaped body morphogenesis	2/195	5/16259	0.0013974379698686275	0.047816207429578	0.04005076015510922	BMP4/PAX8	2
GO:1901723	negative regulation of cell proliferation involved in kidney development	2/195	5/16259	0.0013974379698686275	0.047816207429578	0.04005076015510922	GATA3/BMP4	2
GO:1903936	cellular response to sodium arsenite	2/195	5/16259	0.0013974379698686275	0.047816207429578	0.04005076015510922	DAXX/MAPK13	2
GO:1904906	positive regulation of endothelial cell-matrix adhesion via fibronectin	2/195	5/16259	0.0013974379698686275	0.047816207429578	0.04005076015510922	FUT1/GFUS	2
GO:1905563	negative regulation of vascular endothelial cell proliferation	2/195	5/16259	0.0013974379698686275	0.047816207429578	0.04005076015510922	MEF2C/CCL2	2
GO:2000611	positive regulation of thyroid hormone generation	2/195	5/16259	0.0013974379698686275	0.047816207429578	0.04005076015510922	GATA3/PAX8	2
GO:0061326	renal tubule development	6/195	102/16259	0.001429865521701532	0.047816207429578	0.04005076015510922	COL4A1/GATA3/MEF2C/BMP4/PAX8/HS2ST1	6
GO:0001709	cell fate determination	4/195	41/16259	0.0014360502379980307	0.047816207429578	0.04005076015510922	GATA3/MEF2C/BMP4/TBX2	4
GO:0060443	mammary gland morphogenesis	4/195	41/16259	0.0014360502379980307	0.047816207429578	0.04005076015510922	BAX/BMP4/TBX2/CAPN1	4
GO:0140467	integrated stress response signaling	4/195	41/16259	0.0014360502379980307	0.047816207429578	0.04005076015510922	CEBPA/FOS/JUN/NCK2	4
