ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected	pseudocount
GO:0003073	regulation of systemic arterial blood pressure	0.015579919215233698	97/16323	0.27835051546391754	2.621763106703708	5.521103262945598	1.8574850658238094e-6	7.286672243502824e-4	6.044872638752692e-4	ATP6AP2/CORO2B/CORIN/COMT/ADM/ADORA1/ADRB1/ADRB2/CYP4A11/EDN1/EDN2/EDN3/EDNRB/EMP2/F2R/RHOA/OXTR/PCSK5/PLCB3/AVP/SLC2A5/TAC1/NR2F2/TNF/MANF/CALCA/KL	27	25	0.09298885991672833	0.9486301947395438
GO:0003100	regulation of systemic arterial blood pressure by endothelin	0.002308136180034622	6/16323	0.6666666666666666	6.27928447778419	4.457474377878862	0.0015920755243712843	0.04447005100332801	0.036891434878746514	EDN1/EDN2/EDN3/RHOA	4	5	-0.20711573253360963	0.7427296353459736
GO:0003158	endothelium development	0.015002885170225043	133/16323	0.19548872180451127	1.8412939446134087	3.3574417088271	0.0015211393631326697	0.04402467658859075	0.03652196147254984	CDH5/EDN1/EDNRA/EDNRB/ETV2/KDM6B/GDF2/GJA4/GSTM3/ITGAX/RHOA/RHOB/SMAD4/MET/MYD88/BMP4/NR2F2/TNF/VCL/VEZF1/CXCR4/FZD1/KRIT1/S1PR2/ACVRL1/TJP2	26	44	-0.510065277116179	0.5692162032163052
GO:0003205	cardiac chamber development	0.019619157530294286	169/16323	0.20118343195266272	1.89493200217156	4.030432699321366	1.795553646911134e-4	0.013737871460202196	0.0113966541281617	SEMA3C/PPP1R13L/CNTRL/COL11A1/APLNR/EDNRA/FGFR2/FOXF1/FOXC1/CCN1/SMAD4/SMAD7/MYH6/NACA/MED1/RARA/RYR2/SALL1/PRDM1/BMP4/SMARCD3/SMO/TBX3/TGFB1/TNNC1/NSD2/PAX8/FZD1/DNAH11/NRP2/TRIP11/HAND1/MATR3/SNX17	34	33	0.04588078193028095	0.9141853963100005
GO:0003206	cardiac chamber morphogenesis	0.015002885170225043	126/16323	0.20634920634920634	1.943588052647487	3.6644494660696285	6.611049365682338e-4	0.02650118926760592	0.02198483869519408	SEMA3C/PPP1R13L/COL11A1/APLNR/EDNRA/FGFR2/FOXF1/FOXC1/CCN1/SMAD4/SMAD7/MYH6/MED1/RARA/RYR2/BMP4/SMARCD3/SMO/TBX3/TGFB1/TNNC1/NSD2/FZD1/DNAH11/NRP2/HAND1	26	27	-0.02171250920224695	0.8661041603622409
GO:0003231	cardiac ventricle development	0.01673398730525101	126/16323	0.23015873015873015	2.167848212568351	4.535369801460638	4.380156204075588e-5	0.00710502081940168	0.005894178373024114	SEMA3C/PPP1R13L/CNTRL/COL11A1/APLNR/EDNRA/FGFR2/FOXF1/FOXC1/CCN1/SMAD4/SMAD7/MYH6/NACA/MED1/RYR2/SALL1/PRDM1/BMP4/SMARCD3/TBX3/TGFB1/TNNC1/NSD2/PAX8/FZD1/TRIP11/HAND1/MATR3	29	25	0.1644478238988734	1.0022926737084241
GO:0003253	cardiac neural crest cell migration involved in outflow tract morphogenesis	0.0028851702250432777	10/16323	0.5	4.709463358338142	4.04391938687169	0.0021364961161539245	0.04934457089461465	0.04093523579818099	SEMA3C/EDN1/EDNRA/BMP4/TWIST1	5	NA	NA	NA
GO:0005976	polysaccharide metabolic process	0.012694748990190421	104/16323	0.21153846153846154	1.9924652669892138	3.4992765930440206	0.0011803049402334012	0.03784472523749637	0.03139520160430373	SORBS1/CHIT1/COMT/AP2A1/AKT1/EXT1/EXT2/GAA/HAS1/IRS1/KHK/LEPR/NPC1/PHKA1/PHKG2/PPP1R3D/PYGB/TGFB1/PHLDA2/ATG12/NDST3/RB1CC1	22	24	-0.07098355820902978	0.8320814097314949
GO:0006121	mitochondrial electron transport, succinate to ubiquinone	0.002308136180034622	5/16323	0.8	7.535141373341028	5.036917608819438	5.796345968585451e-4	0.025188408134039834	0.02089578260898954	SDHA/SDHB/SDHC/SDHD	4	1	1.4023221799004906	2.110269074525659
GO:0006470	protein dephosphorylation	0.01673398730525101	142/16323	0.20422535211267606	1.923583625236706	3.809570717717281	3.998356747730746e-4	0.02020908573581301	0.016765039696625413	CTDSP2/DUSP14/PTP4A3/DUSP6/DUSP8/PPEF1/PPM1B/PPP2R5B/PPP3CC/PTEN/PTPN2/PTPN6/PTPN7/PTPN9/PTPN11/PTPN13/PTPN14/PTPRK/PTPRN2/PTPRR/PTPRZ1/TPTE/PTP4A1/CDC14B/CDC14A/RNGTT/MTMR3/PPM1F/CDC25B	29	78	-0.9733851779225176	0.3693469360237618
