GeneID	GSE16250_GPL570_MTB_control_blood_pmbc_dn.tsv	GSE18794_GPL6244_MTB_Cpn60.1_control_2h_blood_monocytes_dn.tsv	GSE19491_GPL6947_PTB_control_blood_whole_blood_dn.tsv	GSE34151_GPL10558_MTB_control_blood_dcs_dn.tsv	GSE39941_GPL10558_MTB_HIVneg_control_blood_whole_blood_dn.tsv	GSE39941_GPL10558_MTB_HIVpos_control_blood_whole_blood_dn.tsv	GSE42830_GPL10558_MTB_control_blood_whole_blood_dn.tsv	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode_dn.tsv	GSE83456_GPL10558_EPTB_control_blood_dn.tsv	GSE83456_GPL10558_PTB_control_blood_dn.tsv	GSE119143_GPL17586_MTB_control_blood_pbmc_dn.tsv	GSE139871_GPL10558_MTB_control_blood_monocyte_dn.tsv
1385	0	0	0	0	0	0	0	0	0	0	0	0
1398	-0.6292694095741957	0	0	0	0	0	0	0	0	0	0	0
1399	0	-0.06236620960709549	0	0	0	0	0	0	0	0	0	0
142	-0.0018795424968571783	0	0	0	0	0	0	0	0	0	0	0
1429	0	0	0	0	0	0	0	0	0	0	0	0
1445	-0.8402552846103672	0	0	0	0	0	0	0	0	0	0	0
1452	-0.28117443343707205	0	0	0	0	0	0	-1.9353498580548183	0	0	0	0
1454	0	0	0	0	0	0	0	0	-1.2792513334810582	-1.2792513334810582	0	0
1459	0	0	0	0	0	0	0	0	0	0	0	-0.1953879577737996
1465	0	0	0	0	0	0	0	0	-0.16195231454569414	-0.16195231454569414	0	0
147179	0	0	0	0	0	0	0	0	0	0	0	0
148022	0	0	0	0	0	0	0	0	0	0	0	0
1500	0	0	0	0	0	0	0	0	0	0	-0.31974177217243405	0
1509	0	0	0	0	0	0	0	0	0	0	0	0
1514	-0.9172906773901486	-0.22455623136229064	0	0	0	0	0	0	0	0	0	0
1534	0	0	0	0	0	0	0	0	0	0	0	0
154	-0.16828051601418018	0	0	0	0	0	0	0	0	0	0	0
16	0	0	0	0	0	0	0	0	0	0	0	0
1605	0	0	0	0	0	0	0	0	0	0	0	0
1616	-0.18341025986161383	0	0	0	0	0	0	0	0	0	0	0
1633	0	0	0	0	0	0	0	0	0	0	0	0
1635	0	0	0	0	0	0	0	0	0	0	0	0
1643	0	0	0	0	0	0	0	0	0	0	0	0
1647	0	0	0	0	0	0	0	0	0	0	0	0
1662	0	0	0	0	0	0	0	0	0	0	0	0
1666	-0.05111983320665359	0	0	0	0	0	0	0	0	0	0	0
1676	0	0	0	0	0	0	0	0	0	0	0	0
1677	-0.4665591627026968	0	0	0	0	0	0	0	-1.813924086348614	-1.813924086348614	0	0
1738	0	0	0	0	0	0	0	0	0	0	0	0
1759	0	0	0	0	0	0	0	0	0	0	0	0
178	0	0	0	0	0	0	0	0	0	0	0	0
1786	0	0	0	0	0	0	0	0	0	0	0	0
1788	-0.8332064809615032	0	0	0	0	0	0	0	0	0	0	0
1802	0	0	0	0	0	0	0	0	0	0	0	0
1829	0	0	0	0	0	0	0	0	0	0	0	0
1831	0	0	0	0	0	0	0	0	0	0	0	0
1845	0	0	0	0	0	0	0	0	0	0	0	0
1846	0	0	0	0	0	0	0	0	0	0	0	0
1848	0	0	0	0	0	0	0	0	0	0	-0.3648648289056777	0
1861	0	0	0	0	0	0	0	0	-0.18179187602689484	-0.18179187602689484	0	0
1870	-1.2349873513718008	0	0	0	0	0	0	0	0	0	0	0
1891	0	0	0	0	0	0	0	0	0	0	-0.6319299585925254	0
1906	-0.06898243513672156	0	0	0	0	0	0	0	0	0	0	0
1950	0	0	0	0	0	0	0	0	0	0	0	0
1956	0	0	0	0	0	0	0	0	0	0	0	0
1958	-0.17272525421102092	0	0	0	0	0	0	0	0	0	0	0
1978	0	0	0	0	0	0	0	0	0	0	0	0
1981	0	0	0	0	0	0	0	0	0	0	0	0
1983	-0.19678262909055985	0	0	0	0	0	0	0	0	0	0	0
1994	0	0	0	0	0	0	0	0	0	0	0	0
200081	0	0	0	0	0	0	0	0	0	0	0	0
200734	0	0	0	0	0	0	0	0	0	0	0	0
2017	0	0	0	0	0	0	0	0	0	0	0	0
2037	0	0	0	0	0	0	0	0	0	0	0	0
2042	0	0	0	0	0	0	0	0	0	0	-0.13169831514500374	0
2048	0	0	0	0	0	0	0	0	0	0	0	0
2058	-0.11568612774946437	0	0	0	0	0	0	0	0	0	0	0
2063	-0.4536644635305439	0	0	0	0	0	0	0	0	0	0	0
2064	-1.0887933478093752	0	0	0	0	0	0	0	0	0	0	0
2065	0	0	0	0	0	0	0	0	0	0	0	0
207	0	0	0	0	0	0	0	0	0	0	0	0
2109	0	0	0	0	0	0	0	0	0	0	0	0
211	0	-0.1972750488285007	0	0	0	0	0	0	0	0	0	0
2113	0	0	0	0	0	0	0	0	0	0	-0.12178099355220252	0
2115	-0.2622871019771811	0	0	0	0	0	0	0	0	0	0	0
2131	0	0	0	0	0	0	0	0	0	0	0	0
2146	0	0	0	0	0	0	0	0	0	0	0	0
2184	0	0	0	0	0	0	0	-0.7489355257597725	0	0	0	0
2185	-0.4423328637315568	0	0	0	0	0	0	0	0	0	0	0
2195	0	0	0	0	0	0	0	0	0	0	0	0
2222	0	0	0	0	0	0	0	0	0	0	0	0
226	-0.1083613575933283	0	0	0	0	0	0	0	0	0	0	0
2263	0	0	0	0	0	0	0	0	0	0	0	0
2264	0	0	0	-0.17191376409012094	0	0	0	-0.19402108772480897	0	0	0	0
2274	0	0	0	0	0	0	0	0	0	0	0	0
22794	0	0	0	0	0	0	0	0	0	0	0	0
22796	0	0	0	0	0	0	0	0	0	0	0	0
22809	0	0	0	0	0	0	0	0	0	0	0	0
22823	0	0	0	0	0	0	0	0	0	0	0	0
22827	0	0	0	0	0	0	0	0	0	0	0	0
22841	0	0	0	0	0	0	0	0	0	0	0	0
2288	0	0	0	0	0	0	0	0	0	0	0	0
22883	0	0	0	0	0	0	0	0	0	0	0	0
22887	0	0	0	0	0	0	0	0	0	0	0	0
