GeneID	GSE84076_MTB_control_blood_dn.tsv	GSE148171_MTB_control_blood_PBMC_dn.tsv	GSE198557_MTB_control_blood_PBMC_dn.tsv	GSE132283_MTB_control_blood_macrophage_dn.tsv	GSE143627_MTB_control_PBMC_macrophage_dn.tsv	GSE148731_MTB_control_blood_monocytes_dn.tsv	GSE174566_MTB_control_blood_PBMC_dn.tsv	GSE193777_MTB_control_blood_dn.tsv	GSE64179_MTB_control_blood_dendritic_cells_dn.tsv	GSE64182_MTB_control_blood_dendritic_cells_dn.tsv	GSE110564_MTB_control_blood_lymphatic_endothelial_cell_dn.tsv	GSE141656_MTB_control_blood_blood_dn.tsv	GSE143731_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	GSE164287_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	GSE183912_MTB_control_blood_marcophages_dn.tsv	GSE211974_MTB_control_blood_THP-1_dn.tsv	GSE211974_MTB_control_48h_blood_THP-1_dn.tsv	GSE236156_MTB_control_blood_monocyte_derived_macrophage_dn.tsv
10107	0	0	0	0	0	0	0	0	-0.6739212324252197	-0.1287596287966709	0	0	0	0	0	0	0	0
388344	0	-5.5782578892235	-4.882714538440317	0	-0.3071073684950161	-0.00592521142630312	-0.6945389705420102	-4.933681738252171	-1.1105757637913432	0	-0.26174032298313654	0	0	0	0	0	0	0
10562	0	0	0	-0.07469057404367672	0	0	0	0	0	0	-0.2882236984659039	0	0	0	0	0	0	0
54097	0	-0.4569209070727055	-2.117873701127618	-0.2651637035853161	0	0	-0.13248967756274185	0	0	-1.062667076475363	-0.06979206126581076	0	0	0	0	0	0	0
284013	0	-1.359131824784248	-0.9920705705027169	0	0	0	-0.04179991582677775	-0.123575653116076	0	0	-0.2975550501348601	0	0	0	0	0	0	0
3848	0	0	0	0	0	0	-0.9538415502177112	0	-0.5383116086572189	-0.42380547663931833	0	0	0	0	0	0	0	0
8991	0	0	0	0	0	0	0	0	-1.4905143551474715	-1.656770104076334	0	0	0	0	0	0	0	0
137797	0	0	0	0	0	0	0	-0.3831841619860634	0	0	0	0	0	0	0	0	0	0
1668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55220	0	0	0	-0.29644492808711403	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2994	0	-0.15108629899638318	-0.6792605301800015	0	0	0	-0.243457975495284	0	0	0	0	0	0	0	0	0	0	0
389860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
212	0	0	0	-0.6391319098099303	0	0	0	0	0	0	0	0	0	0	0	0	0	0
439996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2038	0	0	0	0	0	0	-0.12281914947777307	0	0	-0.7387998771408414	-0.00891977588658155	0	0	0	0	0	0	0
7280	0	0	0	0	-0.906104223836788	0	-0.00884494404070013	0	0	0	-0.09065594989322108	0	-0.7708444220895173	-0.30686313554083494	-0.1451742162078155	0	0	0
1675	0	0	0	-0.17780256500452704	-0.3540151143527713	-0.2653542872499096	-2.3630225988530045	0	-0.9655752189603536	-0.7448120485681711	0	0	0	-1.244646402615213	0	0	0	-0.2682439879641169
727909	0	-0.40484581402193015	0	-0.5981021104398306	-2.776247926742756	-0.7674714549984053	-0.3497444181265284	-1.3395469415065295	-1.0865910216226562	-1.5990981601258558	-0.16454550335708587	-0.2762262567970073	-1.3266099418495227	0	0	0	0	-0.2355947724946518
3043	0	0	0	0	0	0	-0.34440374401479573	0	0	0	0	0	0	0	0	0	0	0
10900	0	0	-0.5895606065022427	-0.02898377871175573	0	0	0	0	-1.3903527174941994	-0.4600515684335294	0	0	-0.2467555291999715	0	0	-0.4158602410082886	-0.4158602410082886	-0.01944935728379595
51327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3039	0	0	-0.8107162176570687	0	0	0	-0.31338848937626884	0	0	0	0	0	0	0	0	0	0	0
3050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
117583	0	-0.2970885516966193	-0.6291573239540179	-0.26528373796064586	0	0	-0.7218440424395974	0	0	0	-0.26631289174170647	0	-0.18210703824831773	0	0	0	0	-0.38434154290408207
3049	0	0	-0.33227609506079464	0	0	0	0	0	-0.5740809777485358	0	0	0	0	0	0	0	0	0
