significant_drug	CMAP	LINCS	Cor	occurrence
ethisterone	0	3	2	5
etilefrine	0	3	2	5
febuxostat	0	3	2	5
felbamate	0	3	2	5
fexofenadine	0	3	2	5
fludarabine	0	3	2	5
flunarizine	0	3	2	5
fluphenazine	0	3	2	5
formestane	0	3	2	5
hydroquinidine	0	3	2	5
hyoscyamine	0	3	2	5
ibuprofen	0	3	2	5
ketanserin	0	3	2	5
letrozole	0	3	2	5
lidocaine	0	3	2	5
lonidamine	0	3	2	5
losartan	0	3	2	5
loxapine	0	3	2	5
mefenamic-acid	0	3	2	5
megestrol	0	3	2	5
meptazinol	0	3	2	5
mepyramine	0	3	2	5
methantheline	0	3	2	5
metoclopramide	0	3	2	5
metolazone	0	3	2	5
metoprolol	0	3	2	5
mifepristone	0	3	2	5
mirtazapine	0	3	2	5
nadolol	0	3	2	5
naphazoline	0	3	2	5
niacin	0	3	2	5
nicardipine	0	3	2	5
nicergoline	0	3	2	5
nimodipine	0	3	2	5
nizatidine	0	3	2	5
noscapine	0	3	2	5
pantoprazole	0	3	2	5
phentolamine	0	3	2	5
pindolol	0	3	2	5
piperidolate	0	3	2	5
prednisone	0	3	2	5
primidone	0	3	2	5
quinine	0	3	2	5
raltitrexed	0	3	2	5
ramipril	0	3	2	5
repaglinide	0	3	2	5
rosmarinic-acid	0	3	2	5
salmeterol	0	3	2	5
saquinavir	0	3	2	5
scopolamine	0	3	2	5
spiperone	0	3	2	5
stiripentol	0	3	2	5
tetrabenazine	0	3	2	5
timolol	0	3	2	5
tretinoin	0	3	2	5
triclabendazole	0	3	2	5
triprolidine	0	3	2	5
tropisetron	0	3	2	5
ubenimex	0	3	2	5
zonisamide	0	3	2	5
acyclovir	1	1	2	4
afatinib	1	1	2	4
amsacrine	1	2	1	4
artemether	1	1	2	4
axitinib	1	1	2	4
bucladesine	1	1	2	4
capecitabine	1	1	2	4
cholic-acid	1	1	2	4
daunorubicin	1	1	2	4
desloratadine	1	1	2	4
desoximetasone	1	2	1	4
diclofenamide	1	1	2	4
dolasetron	1	2	1	4
duloxetine	1	2	1	4
erlotinib	1	1	2	4
etodolac	1	1	2	4
etoposide	1	3	0	4
flunisolide	1	1	2	4
gefitinib	1	1	2	4
homatropine	1	1	2	4
ingenol	1	2	1	4
irbesartan	1	1	2	4
irsogladine	1	1	2	4
labetalol	1	1	2	4
lenalidomide	1	1	2	4
medetomidine	1	3	0	4
metformin	1	1	2	4
methotrexate	1	2	1	4
metixene	1	2	1	4
moxifloxacin	1	1	2	4
phenylbutyrate	1	1	2	4
physostigmine	1	1	2	4
prazosin	1	1	2	4
ranitidine	1	1	2	4
reserpine	1	1	2	4
risperidone	1	1	2	4
somatostatin	1	2	1	4
tiagabine	1	1	2	4
topotecan	1	3	0	4
amantadine	0	2	2	4
amiloride	0	2	2	4
atovaquone	0	2	2	4
benidipine	0	3	1	4
benzthiazide	0	2	2	4
calcifediol	0	2	2	4
calcipotriol	0	3	1	4
clomipramine	0	2	2	4
cortisone	0	2	2	4
deoxycholic-acid	0	2	2	4
diphenidol	0	2	2	4
doxercalciferol	0	2	2	4
droperidol	0	2	2	4
enalapril	0	2	2	4
erythromycin	0	2	2	4
estradiol-valerate	0	2	2	4
estropipate	0	2	2	4
etomidate	0	2	2	4
fenoldopam	0	2	2	4
flavoxate	0	2	2	4
fluoxetine	0	2	2	4
fulvestrant	0	2	2	4
glipizide	0	3	1	4
gliquidone	0	2	2	4
homochlorcyclizine	0	2	2	4
ibudilast	0	2	2	4
imipramine	0	2	2	4
lansoprazole	0	2	2	4
leflunomide	0	2	2	4
levonorgestrel	0	2	2	4
lidoflazine	0	2	2	4
loperamide	0	2	2	4
lypressin	0	2	2	4
masitinib	0	2	2	4
mephentermine	0	2	2	4
methylergometrine	0	2	2	4
mexiletine	0	2	2	4
milnacipran	0	2	2	4
moexipril	0	2	2	4
naloxone	0	2	2	4
nicotine	0	2	2	4
nilutamide	0	2	2	4
norepinephrine	0	2	2	4
norgestimate	0	2	2	4
norgestrel	0	2	2	4
palmitoylethanolamide	0	2	2	4
pazopanib	0	2	2	4
perindopril	0	2	2	4
phenoxybenzamine	0	2	2	4
pravastatin	0	2	2	4
propafenone	0	2	2	4
proxymetacaine	0	2	2	4
quinidine	0	2	2	4
ropivacaine	0	2	2	4
rutin	0	2	2	4
sunitinib	0	2	2	4
talipexole	0	2	2	4
terguride	0	3	1	4
tibolone	0	2	2	4
tocainide	0	3	1	4
tolazoline	0	2	2	4
topiramate	0	2	2	4
tranylcypromine	0	2	2	4
urapidil	0	2	2	4
vecuronium	0	2	2	4
warfarin	0	2	2	4
alimemazine	0	2	2	4
cinacalcet	0	2	2	4
clemastine	0	2	2	4
doxapram	0	2	2	4
finasteride	0	2	2	4
loteprednol	0	2	2	4
oxybenzone	0	2	2	4
palbociclib	0	2	2	4
palonosetron	0	2	2	4
ziprasidone	0	2	2	4
bepridil	1	2	0	3
calcitriol	1	0	2	3
cladribine	1	2	0	3
clopidogrel	1	1	1	3
cromoglicic-acid	1	0	2	3
cytarabine	1	2	0	3
everolimus	1	0	2	3
granisetron	1	2	0	3
iloprost	1	0	2	3
imatinib	1	0	2	3
lamotrigine	1	1	1	3
lobeline	1	1	1	3
lomerizine	1	0	2	3
menadione	1	2	0	3
neratinib	1	1	1	3
perhexiline	1	1	1	3
pyrvinium-pamoate	1	1	1	3
sorafenib	1	0	2	3
tripelennamine	1	0	2	3
acepromazine	0	1	2	3
acetyl-farnesyl-cysteine	0	1	2	3
acitretin	0	1	2	3
alfuzosin	0	2	1	3
alprenolol	0	1	2	3
ambroxol	0	1	2	3
amisulpride	0	2	1	3
anagrelide	0	1	2	3
anastrozole	0	2	1	3
argatroban	0	1	2	3
balsalazide	0	1	2	3
bezafibrate	0	1	2	3
bifonazole	0	1	2	3
brimonidine	0	1	2	3
buflomedil	0	1	2	3
caffeine	0	1	2	3
carbetocin	0	1	2	3
carvedilol	0	1	2	3
cefotaxime	0	2	1	3
chloroxine	0	1	2	3
ciprofibrate	0	1	2	3
clebopride	0	1	2	3
clofazimine	0	1	2	3
clofibric-acid	0	1	2	3
dihydroergotamine	0	1	2	3
eplerenone	0	1	2	3
estriol	0	1	2	3
ethotoin	0	2	1	3
exemestane	0	1	2	3
famotidine	0	1	2	3
fenofibrate	0	1	2	3
flumazenil	0	1	2	3
fluocinonide	0	1	2	3
fluvoxamine	0	1	2	3
glimepiride	0	1	2	3
griseofulvin	0	1	2	3
hexylcaine	0	1	2	3
ketoconazole	0	2	1	3
ketoprofen	0	1	2	3
lamivudine	0	1	2	3
latanoprost	0	1	2	3
levomepromazine	0	1	2	3
medroxyprogesterone	0	1	2	3
mepivacaine	0	1	2	3
methazolamide	0	1	2	3
methimazole	0	1	2	3
methocarbamol	0	1	2	3
methysergide	0	1	2	3
metronidazole	0	2	1	3
mianserin	0	1	2	3
midodrine	0	1	2	3
milrinone	0	1	2	3
mupirocin	0	1	2	3
naftifine	0	1	2	3
noretynodrel	0	2	1	3
olanzapine	0	1	2	3
orphenadrine	0	1	2	3
oxcarbazepine	0	1	2	3
pentoxifylline	0	1	2	3
pheniramine	0	1	2	3
pipamperone	0	2	1	3
pirfenidone	0	1	2	3
piroxicam	0	1	2	3
pregnenolone	0	1	2	3
primaquine	0	2	1	3
procainamide	0	1	2	3
procarbazine	0	1	2	3
prochlorperazine	0	1	2	3
progesterone	0	1	2	3
propantheline	0	1	2	3
propentofylline	0	2	1	3
propofol	0	1	2	3
protriptyline	0	1	2	3
quetiapine	0	1	2	3
racecadotril	0	1	2	3
raclopride	0	1	2	3
retinol	0	1	2	3
rivaroxaban	0	1	2	3
sitagliptin	0	1	2	3
tadalafil	0	1	2	3
temozolomide	0	1	2	3
terbutaline	0	1	2	3
tetracycline	0	1	2	3
ticlopidine	0	2	1	3
tolbutamide	0	1	2	3
trimebutine	0	2	1	3
voriconazole	0	1	2	3
loratadine	0	2	1	3
atracurium	0	1	2	3
fluspirilene	0	1	2	3
galantamine	0	1	2	3
haloperidol	0	1	2	3
lofexidine	0	1	2	3
nelfinavir	0	1	2	3
olaparib	0	1	2	3
telmisartan	0	1	2	3
auranofin	1	0	1	2
biotin	1	0	1	2
oxyphenonium	1	1	0	2
abiraterone	0	1	1	2
benzydamine	0	1	1	2
benzylpenicillin	0	1	1	2
bosentan	0	1	1	2
cilnidipine	0	1	1	2
clotrimazole	0	1	1	2
diphenhydramine	0	1	1	2
glycopyrrolate	0	1	1	2
hydralazine	0	1	1	2
ifenprodil	0	1	1	2
levetiracetam	0	1	1	2
pramipexole	0	1	1	2
profenamine	0	1	1	2
ribavirin	0	1	1	2
rifaximin	0	1	1	2
riluzole	0	1	1	2
sildenafil	0	1	1	2
vidarabine	0	1	1	2
vindesine	0	1	1	2
gestrinone	0	1	1	2
norethindrone	0	1	1	2
teniposide	0	1	1	2
amitriptyline	0	1	1	2
equol	0	1	1	2
levofloxacin	0	1	1	2
ouabain	0	1	1	2
