pert	cell	pearson
cefdinir	MCF7	-0.2110668888152328
simvastatin	HEPG2	-0.21097479592643284
primidone	PHH	-0.21051917577239587
tolbutamide	PC3	-0.21047631162532648
benzonatate	NPC	-0.2104191010865255
zolmitriptan	VCAP	-0.2078465774265312
clopidogrel	PC3	-0.20714468730503252
dienestrol	HEPG2	-0.2062170347867802
estradiol	NKDBA	-0.20599577802866825
hydrocortisone	MCF7	-0.20575214631778133
capecitabine	ASC	-0.20564112235081572
nimodipine	HT29	-0.2056020629999515
temozolomide	A375	-0.2054425576898228
fostamatinib	HCC515	-0.20496150414377645
mepivacaine	MCF7	-0.2045049574660607
resveratrol	MCF7	-0.2039518823922432
rilmenidine	MCF7	-0.2020695257132777
clonidine	HT29	-0.20206323695056844
betahistine	MCF7	-0.2015386149025558
minoxidil	MCF7	-0.2014861473590469
quinidine	A549	-0.20061857172027436
alprenolol	A549	-0.20036029510481385
tizanidine	PC3	-0.19996580752478677
clarithromycin	MCF7	-0.1995123178615917
halcinonide	PC3	-0.19899645555560716
resveratrol	A549	-0.19888003871656912
naftopidil	VCAP	-0.19881340725652968
ephedrine	VCAP	-0.19702450413501804
ethinyl-estradiol	A549	-0.1965604395952459
galantamine	MCF7	-0.19618853198695343
urapidil	PC3	-0.19600161546431863
leflunomide	PHH	-0.195978214830689
anastrozole	MCF7	-0.19584238731519807
dienestrol	SKB	-0.19550699898282656
bicalutamide	NPC	-0.1954009854807525
curcumin	MCF7	-0.1953451161177626
rilmenidine	HT29	-0.19533363469814105
naproxen	HCC515	-0.1953209288642423
methylergometrine	NPC	-0.19531452453314005
levocabastine	SKB	-0.19524797067087443
tofacitinib	NEU	-0.1943688238574361
methylprednisolone	PC3	-0.19378654001524864
methantheline	ASC	-0.19337805332763172
molindone	VCAP	-0.19312317594151304
indapamide	PC3	-0.1929364668877933
nabumetone	PC3	-0.1916739006571276
tubocurarine	PHH	-0.191506652056898
gefitinib	PC3	-0.1914816849688723
curcumin	A549	-0.19123725587914817
acetyl-farnesyl-cysteine	VCAP	-0.1910122076329956
capsaicin	MCF7	-0.19034012587503
vorinostat	PHH	-0.1899392709151132
lomerizine	VCAP	-0.189146713980963
docetaxel	SKB	-0.1890526541400867
diethylcarbamazine	HCC515	-0.1890092368478304
yohimbine	NPC	-0.1889141325331439
nimodipine	MCF7	-0.1887116673726226
clomifene	HA1E	-0.18861293149360395
cabergoline	HCC515	-0.1885579649744896
flutamide	PC3	-0.1879132780893434
amiodarone	HA1E	-0.1876973572105396
letrozole	PC3	-0.18730027107896255
simvastatin	HUH7	-0.1871392522116228
ketorolac	MCF7	-0.18697319110340951
protriptyline	HA1E	-0.1868794127795957
piroxicam	HCC515	-0.18687579561385828
procaterol	MCF7	-0.18635518494703893
trapidil	A549	-0.185882089123074
tretinoin	NEU	-0.18571757280079815
levomepromazine	MCF7	-0.1856045319466956
fipronil	VCAP	-0.18511389689732305
methazolamide	MCF7	-0.1840360754653647
nitrendipine	FIBRNPC	-0.18364936515188257
felbamate	VCAP	-0.1832408854233732
mefenamic-acid	VCAP	-0.1832201182855876
imiquimod	A375	-0.1831186404635869
bumetanide	PHH	-0.18304396808100723
minoxidil	HT29	-0.18300928783460188
pinacidil	NPC	-0.18295022439735611
amcinonide	MCF7	-0.18287590361613773
varenicline	PC3	-0.18273569751935
dienestrol	VCAP	-0.1826384486143481
fluconazole	SKB	-0.18244423325440576
flupirtine	A549	-0.1822073409298568
bifemelane	PC3	-0.1817920117057448
isoxsuprine	VCAP	-0.1811336860442295
ketanserin	ASC	-0.18111434167842
raltitrexed	NEU	-0.1806959829467568
propafenone	HA1E	-0.18069077524602023
ketanserin	NEU	-0.18030350876995643
mirtazapine	NEU	-0.18017647551395052
tropicamide	HA1E	-0.17997359242254984
methantheline	NPC	-0.1796413933311549
triamterene	HA1E	-0.17963002540867787
isradipine	PC3	-0.17950953916964787
biotin	PC3	-0.17908018265420483
flupirtine	PC3	-0.17900496783948014
sulfacetamide	VCAP	-0.178823044086036
fluorometholone	PC3	-0.1782303672501641
piperidolate	NPC	-0.1778324772417253
spiperone	HCC515	-0.17774870470174062
mianserin	HA1E	-0.17770598476739186
temsirolimus	HCC515	-0.17755149276901083
felodipine	PHH	-0.17729924203090347
imiquimod	PC3	-0.17689706925502724
treprostinil	A549	-0.17687757810243357
fenoldopam	A549	-0.1768146436183772
bezafibrate	PC3	-0.17672451184992588
fostamatinib	HA1E	-0.17623980222450597
nitrendipine	A549	-0.1761853929211629
alprenolol	PC3	-0.17528807504083704
benzthiazide	HCC515	-0.17500942052893745
tolazamide	PC3	-0.1744399360980692
decitabine	MCF7	-0.17429749578595527
triprolidine	PC3	-0.17401165803766566
nicotinamide	PC3	-0.1737528578170118
betahistine	NPC	-0.1736331304552438
temozolomide	HCC515	-0.17359433142907524
clonidine	PC3	-0.1726084550770065
gabexate	VCAP	-0.17235726653497405
palonosetron	PC3	-0.17229897466083027
propafenone	NPC	-0.17212569148084628
pinacidil	PHH	-0.17208930339512676
finasteride	NPC	-0.17191282194545038
guanfacine	MCF7	-0.1716129710823612
haloperidol	PC3	-0.1713386612187978
betamethasone	MCF7	-0.17128812644569952
amcinonide	PC3	-0.17127577269853342
mirtazapine	A549	-0.1712712129873251
itraconazole	A375	-0.17113089484328936
flavoxate	VCAP	-0.17095182909710377
lisuride	A549	-0.1708689379735224
molindone	PC3	-0.17074327785913765
doxycycline	MCF7	-0.17028246232412275
talipexole	HCC515	-0.1702022144629557
buflomedil	PC3	-0.17003185015218478
chlorprothixene	HA1E	-0.16976730020177935
naltrexone	PC3	-0.1695706403327883
quinine	A549	-0.16923655631105097
quinine	PC3	-0.1691780528110272
pizotifen	HA1E	-0.168953362814115
mometasone	MCF7	-0.1682840557163085
NECA	VCAP	-0.1682287854892124
prednisolone	MCF7	-0.16798887920467814
propafenone	ASC	-0.16795991512301675
proxymetacaine	HCC515	-0.16792996009979627
cabergoline	NPC	-0.16792950997779932
alimemazine	HA1E	-0.16701134358914874
rilmenidine	A549	-0.16683706192686185
oxybuprocaine	VCAP	-0.1665187546562755
pravastatin	HCC515	-0.16647470730933414
lofepramine	MCF7	-0.16646732930747635
brompheniramine	PC3	-0.1663324373317876
yohimbine	MCF7	-0.16630615532623658
tacrolimus	NEU	-0.16629000622742676
methysergide	NPC	-0.16608810579323174
fostamatinib	BT20	-0.16576517115941028
bendroflumethiazide	A549	-0.16557927833973105
pregnenolone	FIBRNPC	-0.16547886916702198
vorinostat	NOMO1	-0.1654363832554025
talniflumate	MCF7	-0.16538154016889756
lovastatin	NPC	-0.16532886327025148
hexylresorcinol	A549	-0.16526667903360504
imatinib	VCAP	-0.16524825170234098
escitalopram	PHH	-0.1651700848895392
albendazole	SKB	-0.16513592594019288
nevirapine	VCAP	-0.16487634365677908
pentoxifylline	PC3	-0.1647278806903432
levocabastine	NEU	-0.1642544003532369
metoclopramide	PC3	-0.16421385864252255
moxonidine	PC3	-0.16412223190358532
venlafaxine	PC3	-0.1639618913004704
levetiracetam	VCAP	-0.16385503063389734
chloroquine	A375	-0.16385432213013842
treprostinil	PC3	-0.1638413387788311
safinamide	SKB	-0.1636726793931168
diphenhydramine	VCAP	-0.16354942345340198
naproxen	SKB	-0.16344542812941848
biperiden	MCF7	-0.1634191882551441
mupirocin	MCF7	-0.16330830372756375
propranolol	VCAP	-0.16322688026834176
nifedipine	VCAP	-0.1630089545043431
tolazamide	HT29	-0.16276850874386614
triclosan	HA1E	-0.1626679971765157
nimesulide	VCAP	-0.1625924246640921
cilastatin	PC3	-0.16245198804177302
spironolactone	PC3	-0.16245159198329254
quinidine	NPC	-0.16222170517218912
celecoxib	FIBRNPC	-0.16218264566134097
naltrexone	MCF7	-0.1621754376012393
budesonide	MCF7	-0.16207846919797675
domperidone	PHH	-0.16205170751285106
niacin	HUH7	-0.16188413977972851
sitagliptin	PC3	-0.16178514166863686
mirtazapine	HCC515	-0.1615497558730878
disopyramide	PHH	-0.16154525158943328
amantadine	PC3	-0.16153459290426023
deoxycholic-acid	NEU	-0.16144171914683336
doxercalciferol	NPC	-0.16096461329452602
panobinostat	PHH	-0.16083785100744966
nitrendipine	HT29	-0.1605775547894489
dapsone	PC3	-0.1605595820871941
amiloride	A375	-0.15977954248364803
efavirenz	A549	-0.1596876127820763
racecadotril	MCF7	-0.1596523168545029
pimozide	HA1E	-0.15926491354608066
zuclopenthixol	NPC	-0.15926210256783616
phenazopyridine	PC3	-0.15926114726311846
clomipramine	PHH	-0.15904498690172736
pantoprazole	NPC	-0.1588174077340589
chenodeoxycholic-acid	NEU	-0.15880324302715382
flupirtine	MCF7	-0.15850036030728887
calcitriol	NEU	-0.15847205960704408
diclofenac	NPC	-0.15828545112947914
gliquidone	PC3	-0.15798086845317402
ketoprofen	PC3	-0.1577508663297085
azithromycin	PC3	-0.1576948641289401
forskolin	A549	-0.15746317288165368
ambroxol	A549	-0.1574496780661059
ephedrine	NPC	-0.15730884874382087
dexamethasone	MCF7	-0.1572604570374205
tibolone	PC3	-0.15664409273073593
gemfibrozil	A549	-0.156340344557397
topiramate	MCF7	-0.15573450861453317
voriconazole	A549	-0.15569457262953865
phenazopyridine	HCC515	-0.15551963189879697
doxepin	A549	-0.15550279081875223
tianeptine	PC3	-0.15529479839908547
mepacrine	A549	-0.15507154488260838
metoclopramide	A549	-0.15504187615749662
granisetron	PC3	-0.15480360533328924
streptozotocin	VCAP	-0.1547734385047937
procainamide	A549	-0.15450140779067215
albendazole	VCAP	-0.15442923731166003
mosapride	PC3	-0.15438919237353443
simvastatin	HA1E	-0.15424337280169576
tofacitinib	SKB	-0.1541224408264673
NECA	PHH	-0.15409880594033742
carbinoxamine	MCF7	-0.15404818758223804
labetalol	VCAP	-0.1540136030426192
calcitriol	FIBRNPC	-0.15369956955883626
thioproperazine	PHH	-0.15359130655719114
mefenamic-acid	NPC	-0.15358096564024204
levomepromazine	A549	-0.15350752836650824
oxibendazole	VCAP	-0.15347055300024023
chenodeoxycholic-acid	VCAP	-0.1533210827602561
temozolomide	A549	-0.15321305906095353
mitotane	HA1E	-0.15319183077463952
carbamazepine	HCC515	-0.15311481430625115
mosapride	NPC	-0.15301644184357896
telmisartan	VCAP	-0.15293279539796206
labetalol	MCF7	-0.15283337162311236
isoxsuprine	MCF7	-0.15263688304728387
isoxsuprine	NPC	-0.15248724477374556
diclofenamide	HCC515	-0.15248625970944618
cilostazol	MCF7	-0.1524464965787227
ethotoin	MCF7	-0.15234906075501126
talipexole	PC3	-0.15233727793006133
promazine	A549	-0.1520765619926075
ruxolitinib	SKB	-0.1518535107268728
pirfenidone	NEU	-0.15158138004743568
lonidamine	ASC	-0.15145696325738478
ketorolac	A549	-0.15140753313044122
methylergometrine	HCC515	-0.1512083217511764
nateglinide	ASC	-0.1508273586103168
clofibric-acid	NPC	-0.15073169453888435
molsidomine	VCAP	-0.15064459013018391
milrinone	HCC515	-0.1504584249110718
xylazine	NPC	-0.15021465588364366
pancuronium	VCAP	-0.15007191370019834
oxyphenonium	PC3	-0.14987738667214995
mirtazapine	NPC	-0.14986613764309203
carbamazepine	PC3	-0.1497575724403518
tetrabenazine	NPC	-0.14943052203879956
sildenafil	HCC515	-0.1494226941670586
naproxen	ASC	-0.14941403298024064
lomerizine	A549	-0.14935740888131896
verapamil	PHH	-0.14932574802359563
curcumin	PC3	-0.14917981195058683
pancuronium	MCF7	-0.14909789149356825
