pert	cell	scaled_score
sorafenib	SKBR3	-0.5614383665168943
pimozide	HA1E	-0.5612817236214738
naltrexone	VCAP	-0.5607073663382661
diflunisal	MCF7	-0.5593800239086525
diphenidol	A549	-0.5590653640573259
pancuronium	MCF7	-0.5585500913750224
chlorprothixene	HA1E	-0.5575772565508335
ibuprofen	MCF7	-0.5572062602195749
oxibendazole	VCAP	-0.5568847300658176
olaparib	VCAP	-0.556409305137612
tolazamide	A549	-0.5540211880126964
flavoxate	NPC	-0.5513335257018014
diclofenac	HCC515	-0.551176882806381
oxyphenonium	PC3	-0.5500501532077442
trazodone	ASC	-0.5500116795141322
meloxicam	VCAP	-0.5488849499154953
quinine	PC3	-0.5488217431331328
clofibric-acid	MCF7	-0.5487860175604932
lomerizine	VCAP	-0.5487612844717424
atorvastatin	HA1E	-0.5478928782445004
temsirolimus	HT29	-0.5473679871387939
terazosin	A549	-0.5465078252744686
lovastatin	HA1E	-0.5454113250065269
fenbendazole	VCAP	-0.5450073512236009
methantheline	MCF7	-0.5444137570935872
cholic-acid	MCF7	-0.5443450540692801
deoxycholic-acid	MCF7	-0.5437212306085715
zuclopenthixol	HA1E	-0.5434161891806478
eprosartan	VCAP	-0.5431303845995301
lamotrigine	NPC	-0.5430671778171676
phenoxybenzamine	HA1E	-0.541761820355332
mefenamic-acid	NPC	-0.5407367712326697
tolazamide	HT29	-0.5399947785701528
oxymetazoline	MCF7	-0.5393791994723608
molsidomine	ASC	-0.538936751995823
buphenine	A549	-0.5387553760116522
ruxolitinib	SKB	-0.5383568984706707
thiocolchicoside	ASC	-0.538351402228726
estropipate	A375	-0.5383156766560865
