significant_drug	CMAP	WCS	NCS	Tau	Cor_pearson	Cor_spearman
bumetanide	7	4	7	2	4	6
buphenine	3	5	2	3	4	3
bupropion	3	3	3	3	5	6
butoconazole	6	3	8	10	4	5
cabergoline	7	3	6	2	6	7
caffeine	1	3	2	2	5	5
calcifediol	1	3	3	2	4	5
calcitriol	3	2	2	1	4	7
capecitabine	6	2	4	2	5	5
capsaicin	1	2	0	1	4	4
captopril	2	2	2	2	0	2
carbamazepine	4	4	7	7	6	6
carbenoxolone	3	5	2	3	5	6
carbetocin	2	4	1	0	6	6
carbinoxamine	5	5	6	3	4	3
carteolol	4	5	4	3	6	5
carvedilol	1	4	1	0	3	3
cefazolin	1	3	3	2	1	1
cefotaxime	1	4	2	3	4	2
celecoxib	8	4	6	6	5	6
cetirizine	1	3	4	3	6	4
chenodeoxycholic-acid	2	5	5	4	5	7
chloramphenicol	1	2	2	2	1	1
chloroquine	3	5	3	5	9	7
chloroxine	1	3	1	1	4	5
chlorphenamine	4	4	11	11	6	5
chlorpromazine	5	4	4	3	5	5
chlorprothixene	8	4	11	7	4	6
cholic-acid	3	3	1	0	8	8
cilastatin	2	5	3	4	4	5
cilostazol	5	5	9	2	4	6
cimetidine	3	3	5	5	7	6
cinacalcet	1	2	3	3	4	6
cladribine	5	1	6	5	1	1
clebopride	1	4	1	1	7	5
clofarabine	3	5	3	4	6	3
clofibrate	2	5	6	7	4	7
clofibric-acid	1	4	0	0	5	4
clomifene	2	6	6	3	7	8
clomipramine	2	3	2	3	3	4
clonidine	7	5	8	7	8	6
clopidogrel	4	3	2	2	0	3
clotrimazole	1	3	2	2	2	5
clozapine	2	5	4	4	3	3
cortisone	2	4	3	1	5	4
coumarin	1	4	3	3	6	5
crizotinib	6	3	5	4	4	4
cromoglicic-acid	3	2	1	1	3	4
curcumin	7	4	6	7	7	5
cyclopentolate	3	5	4	5	4	3
cyproheptadine	1	0	2	1	3	1
cytarabine	3	1	6	7	1	1
dactinomycin	4	4	7	3	3	2
danazol	1	4	4	5	4	3
dantrolene	2	4	3	6	6	7
dasatinib	12	4	8	7	10	8
daunorubicin	5	2	4	1	3	3
deferiprone	4	3	5	3	2	3
deoxycholic-acid	2	4	3	0	5	5
desipramine	6	5	3	1	4	4
desloratadine	5	1	3	2	3	4
desoximetasone	4	3	9	2	3	2
dexamethasone	6	4	6	7	6	4
diazoxide	1	4	3	4	6	5
diclofenac	11	6	6	1	7	6
diclofenamide	3	5	1	1	3	4
dicycloverine	2	3	3	3	7	5
didanosine	1	2	1	1	1	2
dienestrol	6	4	7	8	7	7
diflunisal	3	3	3	5	4	6
digitoxin	1	1	0	0	2	2
digoxin	3	2	1	0	2	2
dihydroergocristine	1	6	5	3	5	4
dilazep	9	4	7	13	7	5
diltiazem	1	3	4	4	3	5
diphenhydramine	2	3	2	1	3	1
diphenidol	1	3	1	6	5	5
dipyridamole	3	5	6	7	5	3
disopyramide	3	7	9	14	8	6
docetaxel	3	3	6	5	7	7
doconexent	1	4	4	7	5	4
dolasetron	3	4	5	2	3	1
domperidone	2	4	6	3	5	4
donepezil	3	3	2	3	4	4
dopamine	2	5	10	12	7	5
dosulepin	1	4	4	5	3	3
doxapram	2	2	4	3	4	3
doxepin	1	5	8	7	4	6
doxercalciferol	2	3	6	2	3	4
doxorubicin	5	3	8	5	5	3
doxylamine	1	5	3	4	5	3
droperidol	2	5	2	3	5	5
duloxetine	3	4	4	2	2	4
dydrogesterone	4	4	4	5	5	3
econazole	2	5	4	5	6	6
edrophonium	1	2	1	1	3	4
enalapril	1	4	3	2	6	6
enalaprilat	2	3	2	5	2	2
entacapone	2	1	1	1	3	4
ephedrine	7	4	9	12	6	8
eplerenone	1	3	0	0	4	4
equol	2	2	2	12	5	2
erlotinib	3	3	1	2	6	6
erythromycin	2	4	3	1	5	5
escitalopram	3	4	6	3	3	5
esomeprazole	1	2	2	1	2	5
estradiol	7	5	5	10	7	5
estradiol-cypionate	6	5	7	4	4	3
estradiol-valerate	2	4	2	5	6	4
estrone	3	4	3	3	5	5
estropipate	2	4	3	0	4	6
etacrynic-acid	5	6	5	4	2	3
ethinyl-estradiol	6	6	9	7	3	3
ethisterone	1	6	6	5	7	5
ethotoin	1	4	0	6	3	1
etilefrine	2	5	3	6	5	7
etodolac	3	4	2	2	5	6
etoposide	5	3	5	4	2	1
eugenol	3	3	3	6	4	3
everolimus	3	2	2	1	5	3
exemestane	2	3	2	1	6	5
ezetimibe	5	3	8	8	4	5
fasudil	9	4	8	6	4	7
febuxostat	1	4	3	6	5	6
felbamate	1	3	5	4	3	5
felodipine	3	5	3	4	6	8
fenbendazole	7	6	10	11	5	4
fenoldopam	1	5	2	5	6	7
fexofenadine	2	3	3	5	4	4
fipronil	4	5	8	8	7	6
flavoxate	2	4	3	2	5	5
floxuridine	2	3	0	0	1	1
flubendazole	1	2	2	1	3	2
fluconazole	6	4	3	3	6	7
flucytosine	2	0	2	1	2	4
fludarabine	1	4	7	7	7	3
fludroxycortide	4	4	4	5	7	4
flumazenil	2	3	2	0	5	5
flunarizine	2	5	3	4	4	6
flunisolide	3	1	1	3	6	4
fluocinonide	1	3	0	0	3	3
fluorometholone	8	4	5	5	7	5
fluoxetine	2	4	3	2	5	6
flupentixol	4	5	8	5	3	5
fluphenazine	1	4	4	6	4	6
fluspirilene	2	2	2	3	3	6
flutamide	3	5	4	5	5	5
fluvastatin	7	6	10	10	10	7
fluvoxamine	2	3	2	2	5	3
formestane	2	6	5	4	4	4
formoterol	5	5	5	4	5	5
forskolin	10	5	15	14	5	9
fostamatinib	18	5	18	14	16	15
fulvestrant	1	3	2	5	5	6
gabexate	4	5	4	1	4	6
ganciclovir	3	1	1	1	1	1
gefitinib	5	2	1	3	6	6
gemcitabine	1	1	3	2	2	1
gemfibrozil	7	4	6	3	2	4
gestrinone	2	1	3	0	2	4
glimepiride	2	5	1	1	4	5
glipizide	1	3	7	6	2	3
gliquidone	1	4	1	5	5	5
glycopyrrolate	1	3	0	1	2	5
granisetron	3	3	8	0	1	2
halcinonide	9	3	5	4	6	6
hesperidin	3	4	3	3	6	4
hexylcaine	1	3	2	1	4	3
hexylresorcinol	3	5	4	3	3	4
homatropine	4	2	4	2	3	3
homochlorcyclizine	1	5	1	3	5	5
homoharringtonine	1	1	2	2	1	1
hydralazine	1	3	1	2	3	2
hydrocortisone	3	4	2	5	8	5
hydroflumethiazide	3	2	0	0	2	1
hydroquinidine	1	5	3	5	4	6
hyoscyamine	2	4	10	6	3	3
ibudilast	1	5	4	1	4	5
ibuprofen	2	4	4	4	5	4
icosapent	8	4	7	3	5	6
idebenone	1	2	2	1	5	4
ifenprodil	2	3	2	1	2	3
iloperidone	7	3	3	2	8	7
iloprost	3	2	1	0	5	7
imatinib	5	2	2	2	4	5
imipramine	2	4	2	5	5	4
imiquimod	3	5	6	6	3	8
indapamide	1	4	2	4	2	2
ingenol	5	2	4	6	3	2
ipratropium	5	5	7	6	5	5
irbesartan	3	3	2	2	3	4
irinotecan	3	2	7	6	4	3
irsogladine	3	4	1	0	4	7
isocarboxazid	1	3	2	1	2	1
isotretinoin	3	4	4	3	5	6
isoxsuprine	4	5	2	4	7	7
isradipine	4	4	7	11	3	5
itraconazole	14	6	12	13	7	9
ivermectin	8	2	5	4	5	3
ketanserin	2	5	7	3	6	5
ketoconazole	2	3	1	3	1	3
ketoprofen	1	3	1	1	5	4
ketorolac	6	6	6	3	5	6
ketotifen	10	5	9	3	6	6
labetalol	3	4	1	1	8	5
lamivudine	2	4	1	1	4	4
lamotrigine	6	5	2	1	5	2
lansoprazole	1	4	4	1	5	5
lapatinib	8	4	8	4	4	4
latanoprost	2	4	0	0	3	4
leflunomide	2	3	4	2	5	4
lenalidomide	6	4	1	0	4	6
letrozole	1	4	5	6	5	6
levetiracetam	1	4	1	1	2	3
levocabastine	3	4	5	3	5	6
levocetirizine	1	2	1	2	2	1
levomepromazine	2	4	2	2	6	6
levonorgestrel	1	3	0	4	5	5
lidocaine	2	4	4	5	4	5
lidoflazine	1	4	1	5	4	3
linezolid	3	3	2	3	3	4
liothyronine	1	2	2	4	1	2
lisuride	3	5	5	8	3	4
lobeline	3	2	3	2	2	3
lofepramine	1	1	2	2	2	3
lomerizine	3	2	0	0	6	4
lonidamine	1	4	5	5	4	5
loperamide	1	3	2	3	5	4
loratadine	2	1	3	6	3	1
losartan	1	4	3	3	4	4
loteprednol	2	1	4	4	3	3
lovastatin	13	9	12	10	7	6
loxapine	2	6	8	3	5	4
lypressin	1	4	3	1	4	4
mafenide	1	2	1	1	4	3
maprotiline	5	2	5	3	6	7
maraviroc	4	4	3	2	4	5
masitinib	1	3	4	2	7	5
mebendazole	5	4	5	5	6	4
mebeverine	4	5	4	2	4	5
meclofenamic-acid	1	2	2	2	4	3
medetomidine	4	4	3	5	1	1
medroxyprogesterone	1	3	0	0	4	3
medrysone	3	5	4	4	4	6
mefenamic-acid	2	5	6	5	6	5
megestrol	2	4	3	3	5	3
meloxicam	3	3	5	4	4	5
menadione	3	2	4	4	0	2
mepacrine	8	6	8	6	4	3
mephentermine	2	5	3	2	4	5
mephenytoin	1	2	2	2	2	2
mepivacaine	1	3	2	2	5	3
mepyramine	2	5	5	4	3	4
mesalazine	4	1	2	1	2	2
mestinon	1	0	1	0	1	0
mestranol	3	3	3	4	6	7
metergoline	5	4	9	3	3	3
metformin	6	4	2	2	4	7
methantheline	2	5	3	3	5	7
methazolamide	2	3	2	2	5	4
methimazole	2	4	1	0	4	4
methocarbamol	1	4	1	1	5	4
methotrexate	5	2	6	6	4	1
methoxsalen	6	3	6	5	7	3
methylene-blue	5	0	2	2	2	2
methylergometrine	2	4	2	3	6	5
methylprednisolone	3	3	3	2	3	4
methysergide	1	4	1	1	5	4
metixene	4	2	3	3	5	2
metolazone	2	5	3	4	6	7
metoprolol	1	5	3	4	5	5
metronidazole	1	4	3	2	3	2
metyrapone	3	4	4	6	4	3
mexiletine	2	5	2	4	3	4
mianserin	1	3	1	2	6	6
midostaurin	6	4	10	6	3	3
mifepristone	2	3	3	5	6	4
miglitol	1	1	0	0	2	3
milnacipran	2	4	1	5	3	3
milrinone	1	4	1	2	6	6
minoxidil	4	5	7	7	6	5
mirtazapine	2	4	5	5	7	7
mitotane	3	4	3	3	7	4
mitoxantrone	1	3	3	5	1	1
moclobemide	2	2	1	0	2	0
moexipril	1	4	2	3	4	6
molindone	4	4	1	4	5	4
molsidomine	1	2	1	0	4	3
mometasone	6	3	6	8	7	7
montelukast	3	4	3	5	4	4
mosapride	5	6	4	4	5	4
moxifloxacin	5	4	2	1	4	5
moxonidine	3	5	4	5	5	6
mupirocin	1	3	0	0	5	3
mycophenolate-mofetil	8	5	8	6	3	4
mycophenolic-acid	8	5	9	6	3	3
nabumetone	10	6	10	6	6	5
nadolol	2	3	3	4	4	5
nafcillin	3	5	3	1	5	6
naftifine	2	5	1	2	5	6
naftopidil	3	3	4	5	3	6
nalbuphine	3	2	3	3	6	6
naloxone	1	4	2	6	6	6
naltrexone	11	3	11	10	6	5
naphazoline	1	4	3	3	4	4
naproxen	4	4	4	5	5	5
nateglinide	3	5	5	5	4	4
nelfinavir	1	2	1	3	4	5
nemonapride	3	5	3	9	5	3
neratinib	4	2	4	1	4	2
niacin	2	4	3	9	4	3
nicardipine	2	3	6	8	4	3
nicergoline	1	5	5	5	6	7
niclosamide	2	2	1	2	6	4
nicorandil	1	2	2	4	1	1
nicotinamide	9	4	6	2	3	3
nicotine	1	3	1	4	3	3
nifedipine	7	6	9	10	6	6
nilotinib	3	5	5	4	6	4
nilutamide	1	4	1	4	4	4
nimesulide	3	5	2	4	6	4
nimodipine	1	5	6	4	7	8
nitrendipine	5	5	9	12	6	9
nizatidine	1	4	5	6	4	3
norepinephrine	1	4	3	2	6	5
norethindrone	1	2	3	2	3	2
noretynodrel	1	4	0	3	3	2
norgestimate	1	4	2	4	6	5
norgestrel	2	3	4	2	7	5
nortriptyline	4	3	5	3	6	4
noscapine	2	5	3	4	6	5
olanzapine	2	4	1	1	4	7
olaparib	2	2	1	5	5	3
olmesartan	3	3	2	3	4	4
olopatadine	2	1	2	0	2	2
ondansetron	1	0	1	1	2	4
orphenadrine	2	4	2	2	5	4
ouabain	1	1	2	3	2	3
oxibendazole	6	6	7	4	6	5
oxiconazole	3	1	8	6	3	5
oxybenzone	1	2	3	5	5	7
oxybuprocaine	4	5	3	3	6	7
oxybutynin	3	3	3	3	5	2
oxymetazoline	4	5	5	5	7	7
oxyphenonium	7	2	6	0	1	2
ozagrel	4	4	1	4	5	5
paclitaxel	5	4	5	5	3	4
palbociclib	2	1	5	4	6	5
palmitoylethanolamide	2	4	2	4	5	5
palonosetron	2	2	3	3	3	3
panobinostat	16	4	16	14	6	8
pantoprazole	2	4	5	7	5	4
papaverine	5	5	11	10	4	7
parachlorophenol	2	4	1	3	2	2
parecoxib	2	0	2	1	5	3
pargyline	1	2	0	1	3	2
paroxetine	8	5	7	6	7	4
pazopanib	2	3	4	1	6	7
pefloxacin	3	3	3	3	5	6
penfluridol	3	5	3	2	4	3
pentoxifylline	1	3	1	1	6	5
perhexiline	4	3	2	2	2	5
perindopril	2	4	3	2	4	4
perphenazine	17	5	12	9	5	7
phenazopyridine	6	5	9	14	6	5
phenelzine	1	2	0	0	3	2
phenoxybenzamine	1	5	0	4	4	6
phentolamine	1	5	3	4	4	5
phenylbutyrate	3	3	1	0	3	5
phloretin	1	1	1	1	3	3
physostigmine	8	4	1	0	3	4
pimozide	5	4	5	3	5	6
pinacidil	4	4	1	4	3	5
pindolol	1	5	3	4	6	5
pioglitazone	3	4	7	2	4	5
pipamperone	2	3	2	3	4	2
piperidolate	1	3	3	3	7	6
pirarubicin	2	3	2	0	2	2
pirenzepine	2	2	1	0	5	3
piretanide	4	4	7	5	4	5
piribedil	3	3	5	6	5	4
pirlindole	1	4	3	11	2	2
piroxicam	2	5	2	2	6	5
pitavastatin	1	2	4	2	1	1
pizotifen	5	5	3	1	5	6
podophyllotoxin	4	5	5	6	5	5
pramipexole	1	3	2	1	4	2
pravastatin	2	4	4	2	4	5
prazosin	3	4	2	2	5	6
prednicarbate	6	4	6	2	6	4
prednisolone	3	4	4	2	5	5
prednisone	2	4	4	5	4	6
pregnenolone	1	4	2	2	3	4
primaquine	1	4	4	2	2	3
primidone	1	5	5	6	5	6
probenecid	1	2	1	1	4	4
probucol	4	5	6	3	4	4
procarbazine	2	3	1	1	3	3
procaterol	4	3	4	5	5	5
prochlorperazine	1	5	0	0	3	5
procyclidine	2	2	0	0	3	3
profenamine	2	3	2	2	2	3
progesterone	2	3	1	0	6	3
proguanil	2	4	1	2	2	2
promazine	7	5	9	7	4	4
propafenone	2	4	2	4	3	5
propentofylline	1	4	2	3	3	1
propranolol	3	3	5	7	2	3
protriptyline	2	4	2	1	3	3
proxymetacaine	2	4	4	2	4	6
pyrimethamine	4	3	6	9	4	3
pyrvinium-pamoate	3	2	3	1	3	2
quercetin	9	7	9	8	7	6
quinapril	2	2	1	1	3	2
quinethazone	1	3	1	3	2	1
quinidine	1	4	2	6	6	5
quinine	2	3	3	5	3	4
rabeprazole	1	3	4	1	1	1
racecadotril	2	4	0	0	3	4
raclopride	1	4	2	2	5	4
raloxifene	13	6	7	10	4	5
raltitrexed	1	4	7	5	4	3
ramipril	2	3	3	6	5	4
ranitidine	3	5	1	2	5	5
ranolazine	3	3	2	3	3	3
reboxetine	3	3	5	7	4	5
reserpine	5	4	1	1	6	7
resorcinol	4	5	3	7	8	5
resveratrol	8	6	12	13	7	9
retinol	1	3	2	1	8	8
ribavirin	2	3	1	2	2	3
riboflavin	2	5	1	2	2	2
rifabutin	3	4	4	1	3	3
rifaximin	1	3	1	1	4	2
rilmenidine	5	6	6	4	7	6
riluzole	2	3	1	1	3	2
rimexolone	4	5	3	5	4	8
risperidone	3	4	1	2	5	6
rizatriptan	3	5	5	6	5	5
ropinirole	5	5	9	5	4	3
ropivacaine	2	5	3	1	3	5
rosmarinic-acid	1	4	3	4	4	5
rosuvastatin	12	7	12	12	9	7
rutin	2	4	3	2	4	5
ruxolitinib	4	5	4	2	5	6
safinamide	1	2	2	2	4	4
salmeterol	2	3	6	4	5	8
saquinavir	1	4	3	5	4	4
scopolamine	2	5	7	4	4	5
selegiline	1	2	1	2	2	2
sertaconazole	1	2	2	2	5	6
sertraline	17	5	13	11	5	7
sildenafil	1	4	1	0	4	2
simvastatin	12	7	8	6	7	8
sirolimus	11	6	9	7	8	7
sitagliptin	2	4	2	2	5	5
somatostatin	4	3	4	2	2	5
sorafenib	5	1	0	0	9	8
sotalol	4	5	3	5	2	3
spiperone	1	4	4	4	3	3
spironolactone	3	5	3	3	5	6
stiripentol	2	4	4	4	4	5
sulfacetamide	2	2	1	0	3	4
sulfasalazine	2	2	1	1	4	4
sulindac	8	2	3	5	7	5
sulpiride	4	4	5	5	7	3
tacrolimus	4	2	6	3	6	5
tadalafil	2	4	2	2	6	5
talipexole	1	3	1	3	5	6
talniflumate	4	3	3	1	5	3
tamibarotene	6	3	7	4	4	3
tamoxifen	10	8	11	10	11	9
temozolomide	2	3	1	1	9	9
temsirolimus	16	7	13	13	2	3
teniposide	1	2	3	2	3	1
terbutaline	1	3	2	2	5	5
terconazole	1	2	1	2	2	4
terguride	1	4	4	5	2	3
tetrabenazine	2	5	4	6	5	7
thalidomide	6	5	3	3	8	9
thiethylperazine	4	5	4	4	5	5
thiocolchicoside	9	5	8	6	4	2
thioproperazine	3	5	8	8	4	4
thiostrepton	1	1	2	2	3	4
thiotepa	8	6	12	8	5	5
thiothixene	10	5	8	4	6	5
tiagabine	3	4	2	2	4	4
tianeptine	6	3	10	11	3	4
tibolone	1	3	0	3	4	5
ticlopidine	2	3	2	8	1	4
timolol	1	5	4	6	3	3
tivozanib	12	6	12	13	6	6
tocainide	1	3	5	3	4	2
tofacitinib	5	4	9	9	5	6
tolazamide	3	5	4	5	7	10
tolazoline	1	3	1	3	5	5
tolbutamide	1	4	1	2	4	5
topotecan	4	3	11	16	2	1
torasemide	1	1	0	1	2	2
toremifene	10	5	9	7	7	8
tranilast	8	4	10	4	4	2
tranylcypromine	1	3	2	3	6	7
trapidil	7	4	5	5	6	5
trazodone	7	4	4	3	6	6
treprostinil	7	5	8	12	7	6
tretinoin	2	3	3	5	5	6
triamcinolone	8	3	7	8	5	5
triamterene	9	4	6	4	7	5
triclabendazole	1	3	3	6	5	6
triclosan	4	3	7	8	6	5
trifluoperazine	5	4	6	5	2	5
triflupromazine	9	5	4	3	4	5
trimebutine	1	3	2	4	2	3
trimipramine	5	4	2	3	5	6
tripelennamine	3	2	2	1	5	4
tropicamide	4	4	4	2	6	5
tubocurarine	3	6	6	1	5	5
ubenimex	1	4	4	4	5	6
urapidil	1	3	2	4	4	3
valproic-acid	7	4	3	6	6	8
valsartan	4	3	4	8	3	6
vardenafil	5	2	5	3	4	3
varenicline	4	5	5	4	4	3
vecuronium	1	4	2	3	4	5
vemurafenib	17	6	13	15	6	4
venlafaxine	1	2	2	2	2	3
verapamil	4	4	7	8	9	8
vidarabine	2	4	1	2	3	1
vinblastine	3	4	4	3	2	4
vinburnine	4	4	4	5	6	5
vincristine	5	4	4	5	3	3
vindesine	2	3	2	1	3	2
vinorelbine	1	2	2	2	5	4
vinpocetine	4	4	8	5	4	5
voriconazole	2	4	0	2	5	4
vorinostat	14	4	11	12	7	4
xylazine	3	3	2	5	5	4
yohimbine	4	5	4	2	6	7
zidovudine	1	1	1	1	1	1
ziprasidone	2	2	3	3	6	5
zolmitriptan	4	5	8	4	4	6
zonisamide	2	5	3	3	5	5
zuclopenthixol	7	5	7	8	5	5
17-hydroxyprogesterone-caproate	0	1	1	0	3	3
abiraterone	0	3	0	0	4	2
acetylcholine	0	2	0	0	3	1
alfacalcidol	0	1	0	0	1	1
alfuzosin	0	3	1	7	4	2
ambroxol	0	3	1	1	5	4
amlexanox	0	2	0	0	4	4
amoxicillin	0	1	2	1	1	1
aripiprazole	0	2	0	0	3	3
atovaquone	0	3	2	4	8	5
azelastine	0	1	0	0	3	4
balsalazide	0	4	1	1	4	4
bifonazole	0	3	2	2	3	3
bosentan	0	3	1	0	2	4
brimonidine	0	5	2	2	4	4
brinzolamide	0	5	3	3	4	3
bromocriptine	0	4	5	6	5	6
buflomedil	0	3	0	0	5	3
busulfan	0	1	0	0	0	0
calcipotriol	0	4	5	5	2	3
carbidopa	0	2	0	0	1	2
carmofur	0	1	2	2	3	1
cilnidipine	0	4	1	0	4	2
ciprofibrate	0	4	2	2	6	4
citalopram	0	5	3	7	4	4
clarithromycin	0	5	5	11	3	4
clemastine	0	2	3	3	3	3
clofazimine	0	3	2	2	5	5
cyclophosphamide	0	1	0	0	3	2
decitabine	0	5	4	5	4	4
dextromethorphan	0	5	3	3	4	4
diethylcarbamazine	0	5	3	3	6	4
dihydroergotamine	0	3	0	1	3	5
dimercaptosuccinic-acid	0	3	1	3	2	2
dipivefrine	0	2	2	2	2	3
disulfiram	0	4	4	2	2	2
dobutamine	0	2	1	0	4	5
doxazosin	0	2	1	0	0	0
doxycycline	0	2	0	0	6	5
edaravone	0	1	0	0	3	2
efavirenz	0	1	1	0	4	2
eprosartan	0	2	2	2	1	3
esmolol	0	2	1	1	3	2
estriol	0	3	0	1	3	6
etomidate	0	5	4	0	6	6
famotidine	0	3	1	1	4	5
fenofibrate	0	4	1	2	3	5
finasteride	0	2	3	3	3	4
flecainide	0	2	1	2	3	5
flupirtine	0	2	0	2	5	5
fosinopril	0	2	0	0	3	4
galantamine	0	2	1	3	5	5
griseofulvin	0	3	0	0	4	6
guanfacine	0	2	0	1	5	4
haloperidol	0	2	1	4	5	4
idarubicin	0	3	1	0	1	0
indinavir	0	1	0	1	3	4
itopride	0	4	1	1	2	1
levofloxacin	0	2	2	3	2	4
lofexidine	0	2	2	3	3	3
mefloquine	0	3	0	0	1	1
memantine	0	3	1	2	2	2
meptazinol	0	4	5	6	4	3
metoclopramide	0	4	3	4	6	4
midodrine	0	3	1	1	5	6
nevirapine	0	2	0	0	3	3
niflumic-acid	0	2	0	2	2	1
nisoldipine	0	1	2	0	1	1
orlistat	0	3	1	1	1	1
oxcarbazepine	0	3	1	0	3	3
oxprenolol	0	2	3	4	2	2
pancuronium	0	1	0	2	2	5
perospirone	0	1	1	1	2	3
pheniramine	0	3	0	0	4	3
phenytoin	0	1	0	1	3	3
picotamide	0	2	1	2	4	5
pilocarpine	0	1	0	0	2	4
pirfenidone	0	3	2	2	5	6
prilocaine	0	1	1	1	1	1
procainamide	0	5	1	1	4	5
propantheline	0	3	0	0	4	4
propofol	0	5	1	2	4	5
propylthiouracil	0	1	0	0	3	3
quetiapine	0	3	1	1	3	5
repaglinide	0	3	3	3	5	4
rifapentine	0	1	0	1	3	2
ritonavir	0	2	1	1	3	2
rivaroxaban	0	5	2	1	6	6
streptozotocin	0	1	1	1	4	5
sumatriptan	0	1	0	0	3	3
sunitinib	0	4	3	2	7	9
synephrine	0	2	0	0	4	6
tacrine	0	2	0	0	2	3
telmisartan	0	2	2	3	4	4
terazosin	0	2	1	2	1	2
terbinafine	0	2	1	2	3	3
tetracycline	0	3	1	1	3	4
tizanidine	0	2	1	2	3	1
tolterodine	0	2	4	4	2	2
topiramate	0	3	2	3	3	6
triprolidine	0	3	4	6	3	4
tropisetron	0	4	3	3	4	5
warfarin	0	5	3	2	5	6
zafirlukast	0	2	1	1	1	1
zileuton	0	2	2	1	4	3
azacitidine	0	0	1	1	1	1
lacidipine	0	0	1	0	3	3
mercaptopurine	0	0	2	1	1	0
sulfinpyrazone	0	0	1	1	3	3
ofloxacin	0	0	0	1	2	2
candesartan	0	0	0	0	2	4
cefdinir	0	0	0	0	2	3
pyrazinamide	0	0	0	0	2	1
dapsone	0	0	0	0	0	1
