pert	cell	spearman
ketanserin	ASC	-0.2250141446660664
clomifene	HA1E	-0.2243240443385476
rilmenidine	A375	-0.22377260158260884
nifedipine	VCAP	-0.22340922311915787
mephentermine	HCC515	-0.22306178230761264
temozolomide	PC3	-0.2227860609296433
clofibric-acid	MCF7	-0.2227525918606412
levetiracetam	VCAP	-0.2226346532365387
fluconazole	MCF7	-0.22251033955167385
clarithromycin	MCF7	-0.2215668305588538
amantadine	MCF7	-0.2212767652941692
ethinyl-estradiol	A549	-0.220416132091259
cefdinir	MCF7	-0.2203667253703512
clonidine	HT29	-0.2202790682848696
simvastatin	HEPG2	-0.22021372391205607
itraconazole	A375	-0.220019284558806
galantamine	MCF7	-0.2197722509542669
ketotifen	HCC515	-0.2194981233414881
ibuprofen	MCF7	-0.2194789981592012
procaterol	VCAP	-0.21929093386671344
oxybenzone	PC3	-0.2178198885958132
rilmenidine	HT29	-0.21779757588314516
methylergometrine	NPC	-0.21755532357417784
resveratrol	A549	-0.21631696802110148
atovaquone	MCF7	-0.2152093012136522
isradipine	PC3	-0.21489373570591844
gefitinib	PC3	-0.21409525934544063
sorafenib	FIBRNPC	-0.2139151638789057
hexylresorcinol	A549	-0.21380997537632784
olanzapine	MCF7	-0.2137734039531141
benzonatate	NPC	-0.2131246563443808
dienestrol	HEPG2	-0.21307843715385413
zolmitriptan	VCAP	-0.2118576130178741
pancuronium	MCF7	-0.211801831236204
amiloride	A375	-0.21142889018160957
tofacitinib	ASC	-0.21072444596737563
mianserin	HA1E	-0.2106160699344166
resveratrol	MCF7	-0.21060491357808256
nitrendipine	HT29	-0.20984628134736916
nicotinamide	PC3	-0.2092980261218115
cinacalcet	PC3	-0.2089537728406474
mefenamic-acid	A375	-0.20890277235454904
cabergoline	NPC	-0.20866848887153452
celecoxib	FIBRNPC	-0.20838639243280288
anastrozole	MCF7	-0.207928981823108
fasudil	SKB	-0.20714006805377363
olaparib	VCAP	-0.20654718740287997
bicalutamide	NPC	-0.20636071687558272
alimemazine	HA1E	-0.20583477436269315
nilutamide	VCAP	-0.20582202424116852
clonidine	PC3	-0.20526739395484864
gabexate	VCAP	-0.20514786156555556
bumetanide	A549	-0.20479085816286685
tolbutamide	PC3	-0.20414378949549364
clonidine	MCF7	-0.2041358206695408
ketanserin	NEU	-0.20344093904645028
hexylresorcinol	HT29	-0.20320824932862644
ketorolac	MCF7	-0.20320434588066935
docetaxel	SKB	-0.20296599701965912
dydrogesterone	VCAP	-0.20283052697846027
nevirapine	VCAP	-0.20269505693726145
treprostinil	PC3	-0.2021372391205604
amcinonide	MCF7	-0.2016415781462917
levomepromazine	MCF7	-0.20139454454175268
citalopram	PC3	-0.20130369992588992
edrophonium	VCAP	-0.2012654495613161
benzthiazide	HCC515	-0.2011905425973592
ephedrine	NPC	-0.20105347879096971
ruxolitinib	SKB	-0.20043350413183628
pirfenidone	NEU	-0.2001816892317255
bendroflumethiazide	A549	-0.19937524404529483
mometasone	PC3	-0.1993019308465284
fostamatinib	BT20	-0.1991855859876165
prednisolone	MCF7	-0.19901983440779672
acitretin	NEU	-0.19877439456844825
lofexidine	MCF7	-0.1976460088135215
lamotrigine	NPC	-0.19723481739435328
fluphenazine	HCC515	-0.19716469172596804
thalidomide	PHH	-0.1969112830606667
ephedrine	PC3	-0.1965877487269801
felodipine	PHH	-0.195943867589988
capecitabine	ASC	-0.1959088047557953
panobinostat	PHH	-0.1957813035405494
ramipril	MCF7	-0.1954370502593853
diclofenac	HCC515	-0.19509917203898355
tubocurarine	PHH	-0.19486488855596903
temozolomide	HCC515	-0.1947756377052969
pancuronium	VCAP	-0.19475332499262885
ubenimex	VCAP	-0.19475173122743827
lofexidine	PC3	-0.1944441345456574
naproxen	SKB	-0.19432946088083403
sulindac	NPC	-0.1942592577835508
moexipril	MCF7	-0.19418913211516547
cinacalcet	A549	-0.19406967705126177
lovastatin	NPC	-0.19405366207396663
pinacidil	NPC	-0.19403931818725148
levocabastine	SKB	-0.19307987154252565
deoxycholic-acid	MCF7	-0.19299858951780635
betahistine	NPC	-0.19298105810071
flupirtine	MCF7	-0.1926463674106894
diclofenamide	HCC515	-0.19210448724589405
nifedipine	A549	-0.1920279865167465
quinidine	A549	-0.1920024862736973
cefotaxime	MCF7	-0.19190048530150053
rosuvastatin	HA1E	-0.19159448238491025
primidone	PHH	-0.1915753572026233
clopidogrel	PC3	-0.19124544780817448
formestane	MCF7	-0.1908804755795329
indapamide	PC3	-0.1906796611655205
ropinirole	PC3	-0.1906525671572807
NECA	VCAP	-0.1906031604363729
terguride	MCF7	-0.1905999729059918
prilocaine	VCAP	-0.1905410035939405
mepivacaine	MCF7	-0.19028918869382977
maraviroc	PC3	-0.19028281363306743
tamoxifen	HA1E	-0.1902222505558256
synephrine	VCAP	-0.18992740399556932
mirtazapine	NPC	-0.1895751818884524
fostamatinib	HA1E	-0.18941739913458552
tibolone	PC3	-0.188999832654655
tropicamide	HA1E	-0.1889185506299357
curcumin	PC3	-0.18873526763301965
medetomidine	A375	-0.18862211030448883
amantadine	A549	-0.1884738901417654
flupirtine	PC3	-0.18814557451250707
sertaconazole	PC3	-0.1872323470583079
deferiprone	PC3	-0.1870793456000128
dopamine	VCAP	-0.1868833124815721
piperidolate	NPC	-0.18675262373594495
nimesulide	VCAP	-0.18647371482759445
chloroquine	A549	-0.1861661181458136
palonosetron	PC3	-0.1858346149861741
terguride	A549	-0.18582823992541175
quinidine	NEU	-0.1857421766051208
primidone	HCC515	-0.1856800197626884
tizanidine	PC3	-0.1853995170891473
methantheline	NPC	-0.1850967017029381
nitrendipine	A375	-0.18509510793774755
lofepramine	MCF7	-0.1850553375416867
celecoxib	MCF7	-0.185018680927698
naftopidil	VCAP	-0.18470144793567564
paclitaxel	SKB	-0.18461857214576577
quinine	PC3	-0.18410697351959135
treprostinil	A549	-0.18405851035436072
hydroquinidine	HCC515	-0.18387587756695808
cilostazol	VCAP	-0.18373562623018752
sulfacetamide	VCAP	-0.18372765740423463
curcumin	A375	-0.18364318784913425
rilmenidine	MCF7	-0.18359218736303584
valproic-acid	A375	-0.18318418347424872
fasudil	VCAP	-0.1830981201539577
sulindac	VCAP	-0.1829929316513798
pantoprazole	NPC	-0.1828590553753716
levomepromazine	A549	-0.1825498649284001
phenoxybenzamine	HCC515	-0.1825195833897792
rosmarinic-acid	ASC	-0.18250610910364476
verapamil	A375	-0.1822837061415742
triamterene	MCF7	-0.18224864330738152
acetyl-farnesyl-cysteine	ASC	-0.18188207731354936
warfarin	PC3	-0.18136729115699385
dexamethasone	MCF7	-0.18134975973989756
betamethasone	MCF7	-0.18134816597470693
fipronil	VCAP	-0.1812111021683176
propafenone	HA1E	-0.18108678848345275
irbesartan	VCAP	-0.18091944313844244
haloperidol	HA1E	-0.1808700364175346
talipexole	PC3	-0.18067240953390337
tofacitinib	NEU	-0.1801106790677729
ipratropium	MCF7	-0.17976715090565706
bezafibrate	MCF7	-0.17965877487269802
sumatriptan	MCF7	-0.1796078459497971
thioproperazine	PHH	-0.17951692977073688
quinine	A375	-0.1793607407820606
enalapril	PC3	-0.1793352405390114
pioglitazone	PHH	-0.17928271772137538
zuclopenthixol	NPC	-0.17924439592314867
alprenolol	A549	-0.17893839300655837
nadolol	MCF7	-0.17877104766154803
repaglinide	VCAP	-0.17868179681087587
tolazamide	PHH	-0.1786722342197324
lapatinib	PHH	-0.17855270183043934
biperiden	MCF7	-0.17838376272023845
cabergoline	HCC515	-0.17837579389428557
ozagrel	MCF7	-0.17784507008582429
cholic-acid	MCF7	-0.17777653818262956
somatostatin	NPC	-0.17770960004462544
methylprednisolone	PC3	-0.17767772474081395
mometasone	MCF7	-0.17733984652041215
propafenone	NPC	-0.1771199069241129
milrinone	HCC515	-0.17710556303739772
ibuprofen	PC3	-0.1768999673278136
cholic-acid	NPC	-0.17680752894676027
pimozide	HA1E	-0.17674218457394672
chenodeoxycholic-acid	MCF7	-0.17644893177888102
ascorbic-acid	MCF7	-0.17622899218258176
haloperidol	PC3	-0.17598673987361443
tetrabenazine	NPC	-0.17594689574385008
promazine	A375	-0.17567595566145242
hydrocortisone	VCAP	-0.1756010486974954
glipizide	PC3	-0.17532373355433545
clofibrate	MCF7	-0.17513726302703822
calcitriol	FIBRNPC	-0.17512291914032305
piroxicam	HCC515	-0.17506873112384352
zuclopenthixol	MCF7	-0.1748726980054029
digitoxin	PHH	-0.17470781291899998
isoxsuprine	HCC515	-0.1746655085306282
nafcillin	HCC515	-0.1744981631856179
methoxsalen	PC3	-0.17447585047294983
leflunomide	PHH	-0.17442644375204203
venlafaxine	PC3	-0.17437225573556248
meloxicam	MCF7	-0.17425431711146
lomerizine	VCAP	-0.17416984755635953
warfarin	MCF7	-0.17397062690753773
dantrolene	SKB	-0.173816031684052
mosapride	NPC	-0.17339527767374036
chenodeoxycholic-acid	VCAP	-0.1732215572679677
lapatinib	SKB	-0.17267330204241008
ketoprofen	PC3	-0.1726238953215023
irsogladine	HA1E	-0.17252030058411494
gemfibrozil	PC3	-0.17227326697957593
amperozide	HA1E	-0.1722366103801927
gefitinib	NEU	-0.17213142187761477
lovastatin	HA1E	-0.1720134832535123
sirolimus	HT29	-0.17187163815155113
olmesartan	VCAP	-0.17179673118759411
bifemelane	PC3	-0.17179513742240357
methantheline	ASC	-0.17177919977049785
sitagliptin	MCF7	-0.17166126114639532
tamoxifen	U937	-0.17163576090334612
isoxsuprine	VCAP	-0.17163416713815552
trifluoperazine	HCC515	-0.17129628891775375
estropipate	HCC515	-0.1711990692411287
pefloxacin	VCAP	-0.1711863191196041
naphazoline	PC3	-0.1708245344213437
quinidine	NPC	-0.1707830965263888
tolbutamide	MCF7	-0.17029062308250126
ipratropium	A549	-0.17000055781781673
isoxsuprine	MCF7	-0.16989058801966703
buflomedil	PC3	-0.16972961773541906
profenamine	HA1E	-0.169718461379085
noscapine	PC3	-0.1697088987879416
labetalol	VCAP	-0.16969614866641697
acepromazine	NPC	-0.16927858218648648
nicergoline	VCAP	-0.16917179991871795
zuclopenthixol	HA1E	-0.1689901106869925
disopyramide	HCC515	-0.16897257926989617
bifemelane	HA1E	-0.1687510459084063
physostigmine	MCF7	-0.16844724080512455
hyoscyamine	A549	-0.16841157392281397
ropivacaine	MCF7	-0.1681278837188917
esomeprazole	VCAP	-0.16811832112774824
pyrazinamide	PC3	-0.16802428898150437
nelfinavir	NEU	-0.16785860428349805
decitabine	MCF7	-0.16785216234092232
ziprasidone	VCAP	-0.16785216234092232
diclofenac	PC3	-0.1678410059845883
verapamil	HT29	-0.1677214735952952
tofacitinib	MCF7	-0.16757006590219065
vorinostat	PHH	-0.16723059391659828
mirtazapine	NEU	-0.16704252962411048
acetyl-farnesyl-cysteine	VCAP	-0.1667779646024751
lomerizine	A549	-0.16669987010813697
nafcillin	SKB	-0.16648152427702825
meloxicam	NPC	-0.1664432739124545
oxyphenonium	PC3	-0.16639546095673727
diclofenac	NPC	-0.16629983504530277
prochlorperazine	HCC515	-0.16605917650152602
aniracetam	MCF7	-0.1660177386065711
