pert	cell	WTCS
itraconazole	A375	-0.3998234437840697
phenoxybenzamine	HA1E	-0.3993853472412915
diclofenac	PC3	-0.3992710404323781
stiripentol	MCF7	-0.3988646531862587
tolbutamide	PC3	-0.3985285099950598
valsartan	HCC515	-0.39826977284569137
tubocurarine	PHH	-0.397175824563028
mifepristone	PC3	-0.3968084467730229
diltiazem	A549	-0.3959471227826308
toremifene	HA1E	-0.3954037232216704
curcumin	PC3	-0.39532702375765305
tofacitinib	SKB	-0.3947533456855871
rifabutin	A549	-0.39466739880465646
amantadine	PC3	-0.3937761173033404
fostamatinib	HA1E	-0.3937688482322852
fludarabine	SKB	-0.3933068646849805
reboxetine	MCF7	-0.3931870709324764
sertraline	HA1E	-0.392142200062113
clopidogrel	PC3	-0.3920943085130128
salmeterol	HA1E	-0.3920697848473842
felbamate	VCAP	-0.3920500295164755
fexofenadine	PC3	-0.3918800407785812
mitotane	HA1E	-0.39138101610012943
triamcinolone	A375	-0.3913519848057599
etacrynic-acid	A549	-0.391217942422441
flupentixol	HA1E	-0.3910609010073274
gemfibrozil	A375	-0.39054894663452
dopamine	ASC	-0.3904680808604064
granisetron	PC3	-0.3904532272769585
fulvestrant	NPC	-0.3903440119635632
dopamine	MCF7	-0.39021596126904345
toremifene	PC3	-0.39013424843036215
triclosan	HA1E	-0.3897947745335501
escitalopram	PHH	-0.3896960662402341
trifluoperazine	HCC515	-0.38944259129113545
desoximetasone	PC3	-0.3892343924880193
lisuride	MCF7	-0.38879871737388383
nelfinavir	NPC	-0.3887703260652454
sorafenib	FIBRNPC	-0.3886778956371547
vecuronium	PC3	-0.38861015319087866
ropinirole	PC3	-0.3884664697888682
clemastine	HA1E	-0.38821727782097504
brompheniramine	PC3	-0.388098144274062
levocabastine	SKB	-0.3879057871165373
levomepromazine	MCF7	-0.3876396515968306
bendroflumethiazide	PC3	-0.3875776627957893
trapidil	A549	-0.3869192782028504
benzonatate	HA1E	-0.38662841251664326
dantrolene	PC3	-0.38626218359974873
diethylcarbamazine	MCF7	-0.38615081158474585
norepinephrine	NPC	-0.38578257510873815
haloperidol	HA1E	-0.38557392684237823
ethisterone	HA1E	-0.38554201257157206
fluspirilene	HA1E	-0.3854044037808231
docetaxel	SKB	-0.3852137520359136
amiodarone	HA1E	-0.3847982982557783
mitotane	MCF7	-0.38467053268754026
temsirolimus	HT29	-0.3845507012683028
protriptyline	PC3	-0.3843082193790863
fluvoxamine	PC3	-0.3838813029678838
vorinostat	SKB	-0.3836138488477112
mosapride	PC3	-0.3835700696932593
econazole	ASC	-0.3835410589470821
fenoldopam	VCAP	-0.3827089546389285
nizatidine	VCAP	-0.3826830010971178
clomipramine	HA1E	-0.38260227016093473
celecoxib	PC3	-0.3820822272637536
vorinostat	PHH	-0.38141947200802695
oxyphenonium	PC3	-0.38107843504013583
mebeverine	PC3	-0.3810249939246684
cetirizine	PC3	-0.38100644235374337
liothyronine	HA1E	-0.38073454002397583
forskolin	A549	-0.3806293295134503
levonorgestrel	PC3	-0.380522489961714
ipratropium	A549	-0.37992385812981977
ephedrine	NPC	-0.3798567233627664
alfuzosin	HCC515	-0.3797367914472536
varenicline	PC3	-0.3796240579544481
cabergoline	HCC515	-0.3794647006537863
mexiletine	HCC515	-0.37921896613677575
pizotifen	HA1E	-0.3786770024783609
tianeptine	PC3	-0.37833433911685793
raltitrexed	NEU	-0.37828156926918
nortriptyline	HA1E	-0.3782728678121685
forskolin	HA1E	-0.3782289050152138
hesperidin	MCF7	-0.378170669768548
equol	PC3	-0.37806185623970445
treprostinil	MCF7	-0.3778710741003607
thiethylperazine	SKB	-0.3777108871643058
estradiol	HT29	-0.3776296659031295
halcinonide	PC3	-0.3773729198712381
panobinostat	PHH	-0.377170208917982
ozagrel	MCF7	-0.3770583563754504
resveratrol	A549	-0.3770367903134063
diflunisal	SKB	-0.376685473831195
disopyramide	PHH	-0.3766597248603838
midostaurin	ASC	-0.3766454816857234
clonidine	HT29	-0.3764335457265624
rilmenidine	MCF7	-0.3763339681988261
simvastatin	HA1E	-0.3762996583143214
hydroflumethiazide	PC3	-0.3759671164463979
pimozide	HA1E	-0.3754731219988426
flutamide	VCAP	-0.3753322630676389
ketorolac	PC3	-0.3752205982550992
probucol	ASC	-0.3748799276304867
belinostat	ASC	-0.3744901770998224
tofacitinib	MCF7	-0.3744787413921568
estradiol	A549	-0.3744329274185051
minoxidil	HT29	-0.37442876355698257
bifemelane	PC3	-0.37440855926631
deferiprone	PC3	-0.37418338392704487
anastrozole	A549	-0.37415032292879213
carbetocin	PC3	-0.37296649508407
amcinonide	MCF7	-0.3729594499307578
vidarabine	MCF7	-0.37292132391200095
cimetidine	PC3	-0.37267748056980776
hexylresorcinol	A549	-0.37266893933756384
ketanserin	MCF7	-0.3726083862816372
azathioprine	A549	-0.3717102941085
cilastatin	PC3	-0.371517036459846
isradipine	PC3	-0.37113125751116105
parecoxib	PC3	-0.3706815638461554
indapamide	PC3	-0.3701957751753968
molsidomine	ASC	-0.3700579980115096
NECA	PHH	-0.3700166806286143
riluzole	PC3	-0.3698830939744669
loxapine	PC3	-0.3698099771972068
quinidine	HCC515	-0.36953755197398064
axitinib	NEU	-0.3695107236565004
fostamatinib	VCAP	-0.369372291521998
thiocolchicoside	SKB	-0.3692051523294143
moexipril	MCF7	-0.3688667947340233
fludarabine	ASC	-0.3686659687662762
yohimbine	NPC	-0.3683849535364178
dilazep	PC3	-0.368289447179677
tofacitinib	NEU	-0.36806846993023634
