Ensembl	GeneID	Symbol	infected	control	AveExpr	F	P.Value	adj.P.Val	log2FoldChange
ENSG00000100225	25793	FBXO7	7.471624248806367	6.7129748068388615	7.092299527822612	392.42238260178647	6.9253972916987194e-15	9.012128844065834e-14	0.15446967499301234
ENSG00000100292	3162	HMOX1	22.433085327390142	7.027236055764141	14.730160691577137	25.512439223670192	7.868044028039794e-6	1.0477776764449763e-5	1.6745987878289395
ENSG00000100439	63874	ABHD4	2.0972458149093627	1.9454096856339484	2.021327750271655	323.6342756345209	3.396635097491725e-14	3.112839022164617e-13	0.10842196168323226
ENSG00000100504	5836	PYGL	5.525163274645442	4.082916139185314	4.804039706915379	86.30483276257853	1.3542565483974573e-9	2.9100700192614565e-9	0.4364171626397413
ENSG00000100532	10668	CGRRF1	1.963570578682038	1.827980951001714	1.8957757648418756	172.0168608623291	5.864626632691841e-12	2.272327420071393e-11	0.10322841878312472
ENSG00000100554	51382	ATP6V1D	7.546009499020312	7.512809703158646	7.529409601089479	321.93346578626875	3.5471999331518706e-14	3.2095598945780745e-13	0.006361356466023427
ENSG00000100575	26520	TIMM9	1.3932811510839613	1.0667870921174512	1.2300341216007062	88.93549201612964	1.0745827704963846e-9	2.3525453459234627e-9	0.3852141358366398
ENSG00000100577	2954	GSTZ1	1.7739606066061206	1.6971013482994994	1.7355309774528098	478.82969635097606	1.3316174400902151e-15	2.6394733744228804e-14	0.06390124984120504
ENSG00000100596	9517	SPTLC2	1.773699897535355	1.1762639138952056	1.4749819057152802	165.22574424681096	8.10874084076095e-12	3.0105390603632636e-11	0.5925501438992777
ENSG00000100600	5641	LGMN	10.300789105353314	9.667984410909726	9.984386758131519	21.01146182697407	2.6149729808909266e-5	3.347120290898783e-5	0.09146780922084075
ENSG00000100612	51635	DHRS7	9.806346913476865	8.853414507217634	9.329880710347245	351.0188037462061	1.7392611029518742e-14	1.8234585485718058e-13	0.14748183143475435
ENSG00000100889	5106	PCK2	2.754116234375727	2.045551460339608	2.3998338473576672	104.93410854833658	2.973309363951251e-10	7.365317372442799e-10	0.42909961623327697
ENSG00000101146	8480	RAE1	2.3703268558040453	1.9408379459182787	2.155582400861162	275.04329294844763	1.2924147330606457e-13	9.190160606329385e-13	0.28840635059933917
ENSG00000101150	7165	TPD52L2	7.544631248771509	5.9794707252703825	6.762050987020944	280.3100520485574	1.1063030316080313e-13	8.084731760544406e-13	0.3354325998744603
ENSG00000101190	10732	TCFL5	0.699742398866181	0.41084023598921415	0.5552913174276976	61.612513497724294	1.7348476991204417e-8	3.104987557406334e-8	0.7682464300875027
ENSG00000101224	994	CDC25B	1.334319421752678	0.9950342323860321	1.1646768270693546	44.8509607685004	1.7473709700688452e-7	2.722210379729201e-7	0.42328600859655535
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000101557	9097	USP14	4.4151278357435775	4.100234205904733	4.257681020824155	466.5089110999708	1.6532121047394348e-15	3.0466337358769584e-14	0.10674889130341914
ENSG00000101856	10857	PGRMC1	4.297718729285101	4.2901235818867685	4.2939211555859345	354.13205465667045	1.6170748347542495e-14	1.724298664767604e-13	0.002551859697990544
ENSG00000102007	5355	PLP2	17.167909388395337	16.07397739647337	16.620943392434352	83.6758914701077	1.7176014920327062e-9	3.6277797664075737e-9	0.09498740846407916
ENSG00000102241	27336	HTATSF1	1.2416842580900156	1.0111743566292926	1.1264293073596539	117.95171698150493	1.1872180447288712e-10	3.217607616999827e-10	0.29626658185865323
ENSG00000102879	11151	CORO1A	9.444694809558154	5.057145361863009	7.2509200857105816	116.57580315412044	1.3022135084936062e-10	3.500491487837399e-10	0.9011809312670311
ENSG00000102893	5257	PHKB	3.0568218836882326	2.338818994808015	2.6978204392481238	233.4355288052355	4.939427128248799e-13	2.7822067177254e-12	0.3862522776716175
ENSG00000102897	57149	LYRM1	1.121880389125063	1.1048124347318906	1.1133464119284768	51.511938666368714	6.4622335171678e-8	1.0617996314792671e-7	0.022117406738557888
ENSG00000102900	9688	NUP93	2.8988801023147093	2.748704536296668	2.8237923193056886	370.87169611792615	1.1044811222294062e-14	1.2991062397045186e-13	0.0767438277310224
ENSG00000103051	25839	COG4	1.6889535515829432	1.4765835035298098	1.5827685275563765	257.2556663114698	2.2341708491135635e-13	1.43480192842423e-12	0.19386670684336527
ENSG00000103066	23659	PLA2G15	1.662883922234052	0.6954453133908685	1.1791646178124604	92.217305923942	8.121759850192778e-10	1.8248588773587257e-9	1.2576784872171003
ENSG00000103126	8312	AXIN1	1.0458778080062174	0.9213401205109188	0.983608964258568	164.61768087967138	8.352565467348624e-12	3.0900326361126394e-11	0.1829085656325739
ENSG00000103245	64428	CIAO3	0.576986160612123	0.5412180889247226	0.5591021247684226	148.84292093052656	1.8725323415516443e-11	6.245984775023866e-11	0.09232665654441685
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000103266	10273	STUB1	2.1983801615301477	1.896687734113226	2.0475339478216865	166.4732625772757	7.633024825939342e-12	2.8585906795281827e-11	0.21295871363342156
ENSG00000103423	9093	DNAJA3	1.6175549822002522	0.9809780958754879	1.2992665390378701	76.54818511028888	3.391075368727199e-9	6.800487069289354e-9	0.7215219234208956
ENSG00000103653	1445	CSK	7.767482777505747	5.16225466690666	6.464868722206203	211.21240654102988	1.1148545743333967e-12	5.492359521871628e-12	0.5894458225925625
ENSG00000103876	2184	FAH	3.4934435706668983	2.712111603977223	3.1027775873220604	141.86415566687714	2.747354502811309e-11	8.7320844240398e-11	0.3652332898051436
ENSG00000104067	7082	TJP1	0.13676286475886903	0.09653271137423441	0.11664778806655171	17.33484112478002	8.063265212696622e-5	1.0010966789861231e-4	0.5025867417347283
ENSG00000104325	1666	DECR1	5.829415842407414	5.819534211083743	5.824475026745579	367.83096116525235	1.1821812991876694e-14	1.3701296541757091e-13	0.002447634140521515
ENSG00000104365	3551	IKBKB	1.5172646717744822	1.0142544983802113	1.2657595850773466	262.58931399774417	1.88888944548481e-13	1.2481815110809425e-12	0.5810530702389326
ENSG00000104522	7264	GFUS	0.9173267385583337	0.8220535718988532	0.8696901552285935	107.80172701320163	2.407755840687727e-10	6.075961368760778e-10	0.158203277462999
ENSG00000104763	427	ASAH1	17.350378688873644	16.886662221703734	17.11852045528869	165.0798049864291	8.166525928109772e-12	3.0268685107684814e-11	0.03908295478989565
ENSG00000104823	1891	ECH1	6.250178898201701	5.3393527871573845	5.794765842679541	701.473882119407	5.5445934437132156e-17	2.924588221777264e-15	0.2272326091031207
ENSG00000104886	55111	PLEKHJ1	1.5763667080132222	1.2843337654354583	1.4303502367243397	264.76237640270506	1.765679051843701e-13	1.1865843141155743e-12	0.2955830153368062
ENSG00000105127	10270	AKAP8	1.7081036272897727	1.5314122624768665	1.61975794488332	173.75731142555404	5.407921044707656e-12	2.118191648798365e-11	0.15753278852616526
ENSG00000105171	10775	POP4	4.188474190933417	3.898652443142613	4.043563317038014	514.1398760216631	7.374611778439828e-16	1.725408424991251e-14	0.10344923659532701
ENSG00000105258	5438	POLR2I	1.8699258651473274	1.5966346787731105	1.7332802719602192	89.75516217584422	1.0011330522497036e-9	2.20598720090967e-9	0.227946822584002
ENSG00000105379	2109	ETFB	3.6791140215270115	3.6249611599947382	3.6520375907608753	208.44173746572824	1.2410355814134483e-12	6.026436284866942e-12	0.02139285107941591
ENSG00000105447	83743	GRWD1	1.3028719079401359	1.0879554981928483	1.1954137030664922	104.90174406157728	2.9804881416325435e-10	7.381559529402134e-10	0.26007570638738636
