,pert_iname,clinical_phase,moa,target,disease_area,indication
1319,chloramphenicol,Launched,bacterial 50S ribosomal subunit inhibitor,CD55,infectious disease|endocrinology,meningitis|fever|cholera
1320,chloramphenicol-palmitate,Launched,protein synthesis inhibitor,,infectious disease|endocrinology,meningitis|fever|cholera
1321,chloramphenicol-sodium-succinate,Launched,protein synthesis inhibitor,,infectious disease,gram-negative bacterial infections
1323,chlorcyclizine,Launched,histamine receptor antagonist,,allergy,allergic rhinitis
1325,chlorhexidine,Launched,membrane integrity inhibitor,,dermatology|infectious disease|dental,cosmetic|skin infections|gingivitis
1329,chlormadinone-acetate,Launched,5 alpha reductase inhibitor,PGR,endocrinology,hypermenorrhea|amenorrhea|oligomenorrhea|polymenorrhea
1331,chlormidazole,Launched,fungal lanosterol demethylase inhibitor,,infectious disease,fungal infection
1332,chlorobutanol,Launched,,,neurology/psychiatry,anesthetic|sedative
1333,chlorocresol,Launched,ryanodine receptor activator,,infectious disease,first-aid antiseptic
1334,chlorogenic-acid,Launched,antioxidant,SLC37A4,neurology/psychiatry|pulmonary|allergy,headache|chest congestion|allergic rhinitis
1337,chloroprocaine,Launched,sodium channel blocker,ATP1A1|CHRNA10|GRIN3A|HTR3A|SCN10A|SLC6A3,neurology/psychiatry,local anesthetic
1338,chloropyramine,Launched,histamine receptor antagonist,HRH1,cardiology|ophthalmology|allergy|pulmonary,edema|conjunctivitis|allergic rhinitis|asthma
1339,chloroquine,Launched,antimalarial agent,MRGPRX1,infectious disease,malaria|amebiasis
1340,chlorothiazide,Launched,diuretic,CA1|CA2|CA4|SLC12A3,cardiology,hypertension
1341,chlorothymol,Launched,,,,
1342,chlorotrianisene,Launched,estrogenic hormone,ESR1|ESR2,endocrinology|oncology,menopause|prostate cancer
1343,chloroxine,Launched,opioid receptor antagonist,OPRK1,gastroenterology|infectious disease|dermatology,diarrhea|inflammatory bowel disease|giardiasis|dandruff
1344,chloroxoquinoline,Launched,,,,
1345,chloroxylenol,Launched,ATP synthase inhibitor,,infectious disease,skin infections
1346,chlorphenamine,Launched,histamine receptor antagonist,,allergy,allergic rhinitis|urticaria
1347,chlorphenesin,Launched,muscle relaxant,,neurology/psychiatry,muscle relaxant|sedative
1349,chlorphensin-carbamate,Launched,muscle relaxant,,neurology/psychiatry,spasms
1350,chlorproguanil,Launched,dihydrofolate reductase inhibitor,DHFR,infectious disease,malaria
1351,chlorpromazine,Launched,dopamine receptor antagonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CALM1|CHRM1|CHRM3|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HRH4|HTR1A|HTR2A|HTR2B|HTR2C|HTR6|HTR7|KCNH2|ORM1|ORM2|SMPD1|TRPC5,neurology/psychiatry|gastroenterology|hematology|infectious disease,schizophrenia|nausea|vomiting|acute intermittent porphyria (AIP)|tetanus
1352,chlorpropamide,Launched,ATP channel blocker,ABCC8|KCNJ10,endocrinology,diabetes mellitus
1354,chlorprothixene,Launched,dopamine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|HRH1|HTR2A|HTR2B|HTR2C,neurology/psychiatry,schizophrenia|bipolar disorder
1355,chlorpyrifos,Launched,acetylcholinesterase inhibitor,ACHE,,
1356,chlorquinaldol,Launched,other antibiotic,,infectious disease,fungal infection
1357,chlortetracycline,Launched,protein synthesis inhibitor,,ophthalmology,conjunctivitis
1358,chlorthalidone,Launched,carbonic anhydrase inhibitor,CA1|CA12|CA14|CA2|CA4|CA7|SLC12A1,cardiology|gastroenterology|rheumatology|nephrology,hypertension|edema|congestive heart failure|hepatic cirrhosis|nephrotic syndrome|acute glomerulonephritis (AGN)|chronic renal failure
1359,chlorzoxazone,Launched,bacterial 30S ribosomal subunit inhibitor,KCNMA1|KCNN4,neurology/psychiatry,muscle relaxant
1360,cholecalciferol,Launched,,VDR,endocrinology,vitamin D deficiency
1362,cholic-acid,Launched,bile acid,ADH1C|CES1|COX4I1|COX5A|COX5B|COX6A2|COX6B1|COX6C|COX7A1|COX7B|COX7C|COX8A|ESRRG|FABP6|FECH|GPBAR1|MT-CO1|MT-CO2|MT-CO3|PLA2G1B,gastroenterology|neurology/psychiatry|genetics,bile acid synthesis disorders|peroxisomal disorders|Zellweger syndrome
1364,choline-alfoscerate,Launched,acetylcholine precursor,,,
1369,chromium-picolinate,Launched,insulin sensitizer,,endocrinology,diabetes mellitus
1370,chromocarb,Launched,antispasmodic,,,
1384,cibenzoline,Launched,sodium channel blocker,,cardiology,cardiac arrythmia
1385,ciclesonide,Launched,glucocorticoid receptor agonist,NR3C1|SERPINA6,allergy,allergic rhinitis
1386,ciclopirox,Launched,membrane integrity inhibitor,ATP1A1,infectious disease,onychomycosis
1392,cidofovir,Launched,DNA polymerase inhibitor,,infectious disease,acquired immunodeficiency syndrome (AIDS)|cytomegalovirus retinitis
1394,cilastatin,Launched,dehydropeptidase inhibitor,DPEP1,,
1395,cilazapril,Launched,angiotensin converting enzyme inhibitor,ACE,cardiology,hypertension|congestive heart failure
1397,cilnidipine,Launched,calcium channel blocker,CACNA1B,cardiology,hypertension
1401,cilostazol,Launched,phosphodiesterase inhibitor,PDE3A|PDE3B,cardiology,claudication
1405,cimetidine,Launched,histamine receptor antagonist,HRH2|SLC29A4|SLC47A1|SLC47A2,gastroenterology|hematologic malignancy|endocrinology,duodenal ulcer disease|peptic ulcer disease (PUD)|gastroesophageal reflux disease (GERD)|aggressive systemic mastocytosis (ASM)|Zollinger-Ellison syndrome|endocrine adenoma
1406,cimetropium,Launched,acetylcholine receptor antagonist,CHRM1,gastroenterology,irritable bowel syndrome
1407,cinacalcet,Launched,calcium channel activator,CASR,endocrinology|nephrology|oncology,hyperparathyroidism|chronic kidney disease (CKD)|parathyroid carcinoma|hypercalcemia
1411,cinchocaine,Launched,sodium channel blocker,CALM1|SCN10A|SCN5A,neurology/psychiatry,local anesthetic
1414,cinchophen,Launched,analgesic agent,,rheumatology,gout
1415,cinepazet,Launched,vasodilator,,,
1419,cinnarazine,Launched,calcium channel blocker,,neurology/psychiatry|gastroenterology|ophthalmology,Meniere's disease|nausea|vomiting|Cogan's syndrome
1422,cinoxacin,Launched,topoisomerase inhibitor,,infectious disease,urinary tract infections
1423,cinoxate,Launched,,,dermatology,sunscreen lotion
1431,ciprofibrate,Launched,PPAR receptor agonist,PPARA,endocrinology,hyperlipidemia
1432,ciprofloxacin,Launched,bacterial DNA gyrase inhibitor,TOP2A,otolaryngology,otitis
1440,"cis-9,trans-11-conjugated-linoleic-acid",Launched,,,,
1442,cisatracurium,Launched,acetylcholine receptor antagonist,CHRNA2,neurology/psychiatry|critical care,muscle relaxant|endotracheal intubation
1443,cisplatin,Launched,DNA alkylating agent|DNA synthesis inhibitor,XIAP,oncology,testicular carcinoma|ovarian cancer|bladder cancer
1444,citalopram,Launched,selective serotonin reuptake inhibitor (SSRI),ADRA1A|CHRM1|HRH1|SLC6A2|SLC6A3|SLC6A4,neurology/psychiatry,depression
1447,citicoline,Launched,glutathione transferase stimulant|membrane permeability enhancer,ACHE|SLC1A2,neurology/psychiatry|ophthalmology,stroke|Alzheimer's disease|senile dementia|Parkinson's Disease|attention-deficit/hyperactivity disorder (ADHD)|glaucoma
1458,cladribine,Launched,adenosine deaminase inhibitor|ribonucleotide reductase inhibitor,ADA|PNP|POLA1|POLE|POLE2|POLE3|POLE4|RRM1|RRM2|RRM2B,hematologic malignancy,hairy cell leukemia
1461,clarithromycin,Launched,bacterial 50S ribosomal subunit inhibitor,CYP3A4,otolaryngology|pulmonary|infectious disease,pharyngitis|tonsillitis|sinusitis|bronchitis|pneumonia|skin infections|otitis
1462,clavulanate,Launched,beta lactamase inhibitor,,otolaryngology,otitis
1463,clebopride,Launched,dopamine receptor antagonist,ACHE|DRD2,gastroenterology,nausea
1464,clemastine,Launched,histamine receptor antagonist,HRH1,allergy,allergic rhinitis|urticaria
1465,clemizole,Launched,HCV inhibitor,,allergy,allergic rhinitis
1466,clenbuterol,Launched,adrenergic receptor agonist,ABCC8|ADRB2|KCNJ11,pulmonary,chronic obstructive pulmonary disease (COPD)|asthma
1467,cleviprex,Launched,calcium channel blocker,CACNA1C|CACNA1D|CACNA1F|CACNA1S,cardiology,hypertension
1468,clevudine,Launched,DNA polymerase inhibitor,,infectious disease,hepatitis B
1469,clidinium,Launched,acetylcholine receptor antagonist,CHRM1|CHRM3,gastroenterology,peptic ulcer disease (PUD)|irritable bowel syndrome|enterocolitis
1470,climbazole,Launched,enzyme inducer,,dermatology,dandruff|eczema
1472,clindamycin,Launched,protein synthesis inhibitor,,infectious disease,respiratory tract infections|pneumonia|skin infections|gynecologic infections|intra-abdominal infections|bacterial septicemia|bone and joint infections
1473,clindamycin-palmitate,Launched,bacterial 50S ribosomal subunit inhibitor,,infectious disease,intra-abdominal infections|skin infections|pneumonia|peritonitis|gynecologic infections
1474,clindamycin-phosphate,Launched,protein synthesis inhibitor,,obstetrics/gynecology,bacterial vaginosis
1475,clinofibrate,Launched,lipase clearing factor inhibitor,LPL,endocrinology,hypertriglyceridemia
1478,clobetasol-propionate,Launched,glucocorticoid receptor agonist,NR3C1|PLA2G1B,dermatology,corticosteroid-responsive dermatoses
1479,clobetasone-butyrate,Launched,corticosteroid agonist,NR3C1,dermatology,eczema|psoriasis|dermatitis
1481,clocortolone-pivalate,Launched,steroid,NR3C1|PLA2G1B,dermatology,corticosteroid-responsive dermatoses
1482,clodronic-acid,Launched,bone resorption inhibitor,SLC25A4|SLC25A5|SLC25A6,orthopedics|endocrinology|hematologic malignancy,osteoporosis|hyperparathyroidism|hypercalcemia|multiple myeloma
1483,clofarabine,Launched,ribonucleotide reductase inhibitor,POLA1|POLD1|POLE|RRM1|RRM2|RRM2B,hematologic malignancy,acute lymphoblastic leukemia (ALL)
1484,clofazimine,Launched,GK0582 inhibitor,,infectious disease,leprosy
1485,clofedanol,Launched,histamine receptor antagonist,HRH1,pulmonary,cough suppressant
1486,clofibrate,Launched,PPAR receptor agonist,LPL|PPARA,endocrinology|cardiology,hyperlipidemia|cholesterol
1487,clofibric-acid,Launched,PPAR receptor agonist,PPARA,endocrinology,hyperlipidemia
1489,clofoctol,Launched,protein synthesis inhibitor,,infectious disease,gram-positive bacterial infections
1491,clomethiazole,Launched,GABA receptor antagonist|GABA receptor modulator,GABRA1,neurology/psychiatry,Parkinson's Disease|sedative|muscle relaxant
1492,clomifene,Launched,estrogen receptor antagonist,ESR1,obstetrics/gynecology,infertility
1493,clomipramine,Launched,serotonin transporter (SERT) inhibitor,GSTP1|HTR2A|HTR2B|HTR2C|SLC6A2|SLC6A3|SLC6A4,neurology/psychiatry,obsessive compulsive disorder (OCD)
1494,clonidine,Launched,adrenergic receptor agonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C,cardiology|neurology/psychiatry,hypertension|attention-deficit/hyperactivity disorder (ADHD)
1496,clonixin-lysinate,Launched,cyclooxygenase inhibitor,,neurology/psychiatry,pain relief
1497,clopamide,Launched,sodium/chloride cotransporter inhibitor,,cardiology,hypertension
1498,cloperastine,Launched,antitussive,,pulmonary,cough suppressant
1500,clopidogrel,Launched,purinergic receptor antagonist,P2RY12,cardiology|neurology/psychiatry,myocardial infarction|stroke|peripheral artery disease (PAD)|acute coronary syndrome (ACS)
1501,clopidol,Launched,,,infectious disease,coccidiosis
1502,cloprostenol-(+/-),Launched,prostaglandin receptor agonist,PTGDR|PTGER1|PTGER3|PTGFR|TBXA2R,obstetrics/gynecology,endometriosis
1503,cloranolol,Launched,adrenergic receptor antagonist,ADRB1|ADRB2|ADRB3,cardiology,hypertension
1505,clorotepine,Launched,adrenergic receptor antagonist|dopamine receptor antagonist,ADRA1A|ADRA1B|ADRA1D|DRD2|HRH1|HTR2C|HTR6,neurology/psychiatry,psychosis
1506,clorprenaline,Launched,adrenergic receptor agonist,ADRB1|ADRB2,pulmonary,asthma
1507,clorsulon,Launched,glycolysis inhibitor,,infectious disease,gastrointestinal roundworms|lungworms|liver flukes|lice|mites
1508,closantel,Launched,chitinase inhibitor|NFkB pathway inhibitor,,infectious disease,liver flukes
1509,clotiapine,Launched,,,neurology/psychiatry,psychosis
1510,clotrimazole,Launched,cytochrome P450 inhibitor|imidazoline receptor ligand,CYP3A4|KCNN4|NR1I2|NR1I3|TRPM2|TRPM4|TRPM8,infectious disease,vulvovaginal candidiasis|oropharyngeal candidiasis
1511,cloxacillin,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,gram-positive bacterial infections
1513,clozapine,Launched,dopamine receptor antagonist|serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CALY|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HRH4|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR3A|HTR5A|HTR6|HTR7,neurology/psychiatry,schizophrenia
1522,cobicistat,Launched,cytochrome P450 inhibitor,CYP3A4|CYP3A43|CYP3A5|CYP3A7,infectious disease,human immunodeficiency virus (HIV-1)
1523,cobimetinib,Launched,MEK inhibitor,MAP2K1,oncology,melanoma
1524,coenzyme-A,Launched,,ACAT2|CRAT|CS|DBI|HMGCR|KAT2A|KAT2B|KAT5,,
1526,coenzyme-Q10,Launched,,,,
1528,colchicine,Launched,microtubule inhibitor,GLRA1|GLRA2|TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8,rheumatology|endocrinology,gout|fever
1530,colforsin-daproate,Launched,adenylyl cyclase activator,,,
1531,colfosceril-palmitate,Launched,pulmonary surfactant,,pulmonary,respiratory distress syndrome (RDS)
1532,colistimethate,Launched,bacterial permeability inducer,,infectious disease,gram-negative bacterial infections
1533,colistin,Launched,bacterial permeability inducer,,infectious disease,gram-negative bacterial infections|gram-negative bacterial infections
1538,conivaptan,Launched,vasopressin receptor antagonist,AVPR1A|AVPR2,endocrinology,hyponatremia
1540,copanlisib,Launched,PI3K inhibitor,PIK3CA|PIK3CB|PIK3CD|PIK3CG,hematologic malignancy,follicular lymphoma
1547,cortisone,Launched,glucocorticoid receptor agonist,NR3C1,gastroenterology|rheumatology|dermatology,ulcerative colitis|rheumatoid arthritis|psoriasis|joint inflammation|eczema
1548,cortisone-acetate,Launched,glucocorticoid receptor agonist,NR3C1,pulmonary|rheumatology|allergy|dermatology|ophthalmology|gastroenterology|infectious disease,asthma|rheumatoid arthritis|urticaria|osteoarthritis|psoriasis|allergic rhinitis|conjunctivitis|ulcerative colitis|meningitis
1555,coumarin,Launched,vitamin K antagonist,CA1|CA12|CA14|CA2|CA4|CA6|CA9|CYP2A6,gastroenterology|pulmonary,ulcerative colitis|asthma|celiac disease
1586,creatine,Launched,,CKB|CKM|CKMT1A|CKMT2|GAMT|SLC6A8,,
1588,creatinol-phosphate,Launched,,,,
1591,cresol,Launched,,,,
1593,cridanimod,Launched,progesterone receptor agonist,PGR,infectious disease,influenza A virus infection
1594,crisaborole,Launched,phosphodiesterase inhibitor,PDE4A|PDE4B|PDE4C|PDE4D,dermatology,dermatitis
1596,crizotinib,Launched,ALK tyrosine kinase receptor inhibitor,ALK|MET,oncology,non-small cell lung cancer (NSCLC)
1598,croconazole,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,fungal infection
1601,cromoglicic-acid,Launched,immunosuppressant,KCNMA1|S100P,pulmonary|ophthalmology|allergy|gastroenterology,asthma|conjunctivitis|urticaria|ulcerative colitis
1602,crotamiton,Launched,antipruritic,,infectious disease,scabies
1605,crystal-violet,Launched,other antibiotic,,,
1620,curcumin,Launched,cyclooxygenase inhibitor|histone acetyltransferase inhibitor|lipoxygenase inhibitor|NFkB pathway inhibitor,APP|CA1|CA12|CA14|CA2|CA4|CA6|CA9|CHRM3|CYP3A4|DNMT3B|EP300|MMP13|MMP9|NOS2|PTGS1|PTGS2|XDH,,
1631,cyamemazine,Launched,serotonin receptor antagonist,HTR1A|HTR2A|HTR2C|HTR7,neurology/psychiatry,schizophrenia|anxiety
1632,cyanocobalamin,Launched,methylmalonyl CoA mutase stimulant|vitamin B,MUT,hematology|infectious disease|gastroenterology,anemia|fish tapeworm infestation|celiac disease
1635,cyclandelate,Launched,calcium channel blocker,,cardiology|rheumatology,claudication|arteriosclerosis|Raynaud's disease
1637,cyclizine,Launched,histamine receptor modulator,HRH1|SULT1E1,gastroenterology|neurology/psychiatry,nausea|vomiting|vertigo|motion sickness
1638,cyclobenzaprine,Launched,adrenergic receptor agonist|serotonin receptor agonist,HTR2A,neurology/psychiatry,spasms
1643,cyclopenthiazide,Launched,thiazide diuretic,,cardiology,hypertension|congestive heart failure
1644,cyclopentolate,Launched,acetylcholine receptor antagonist,,ophthalmology,mydriasis|cycloplegia
1645,cyclophosphamide,Launched,DNA alkylating agent,CYP2A6|CYP2B6|CYP2C18|CYP2C19|CYP2C8|CYP2C9|CYP2D6|CYP3A4|CYP3A5|CYP3A7,hematologic malignancy|oncology,Hodgkin's lymphoma|small lymphocytic lymphoma (SLL)|breast cancer|neuroblastoma|Burkitt's lymphoma|multiple myeloma|chronic lymphocytic leukemia (CLL)|acute myeloid leukemia (AML)|acute lymphoblastic leukemia (ALL)|chronic myeloid leukemia (CML)|true histiocytic lymphoma (THL)|retinoblastoma|ovarian cancer
1647,cycloserine-(D),Launched,bacterial cell wall synthesis inhibitor,GRIN1,infectious disease,tuberculosis|tuberculosis
1648,cyclosporin-A,Launched,calcineurin inhibitor,ABCB11|CAMLG|FPR1|PPIA|PPIF|PPP3CA|PPP3R2|SLC10A1|SLCO1B1|SLCO1B3,rheumatology|dermatology,rheumatoid arthritis|psoriasis
1649,cyclothiazide,Launched,glutamate receptor modulator,CA2|GRIA1|GRIA2|GRIA3|GRIA4|SLC12A3,cardiology,hypertension
1650,cyclovalone,Launched,breast cancer resistance protein inhibitor,ABCG2,gastroenterology,bile stimulation
1661,cypermethrin,Launched,,,infectious disease,flea control
1662,cyproheptadine,Launched,histamine receptor antagonist,ADRA1A|ADRA1B|ADRA1D|CHRM1|CHRM2|CHRM3|HRH1|HTR2A|HTR2C|HTR6|HTR7,allergy|otolaryngology|ophthalmology|dermatology,allergic rhinitis|vasomotor rhinitis|conjunctivitis|urticaria|dermatographism
1663,cyproterone-acetate,Launched,androgen receptor antagonist,ADORA1|AR,oncology,prostate cancer
1664,cyromazine,Launched,,,,
1665,cysteamine,Launched,tissue transglutaminase inhibitor,NPY2R|SST,metabolism,cystinosis
1667,cytarabine,Launched,ribonucleotide reductase inhibitor,POLA1|POLB|POLD1|POLE,hematologic malignancy,acute lymphoblastic leukemia (ALL)|chronic lymphocytic leukemia (CLL)|acute myeloid leukemia (AML)|non-Hodgkin lymphoma (NHL)
1668,cytidine,Launched,,,,
1669,cytisine,Launched,acetylcholine receptor agonist,CHRNA2|CHRNA3|CHRNA4|CHRNA6|CHRNA7|CHRNB2|CHRNB4,neurology/psychiatry,nicotinism
1683,D-alpha-tocopheryl-succinate,Launched,,,,
1684,D-delta-tocopherol,Launched,,,,
1687,D-serine,Launched,glutamate receptor agonist,GLRA1|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|SERPINB3,,
1694,dabigatran,Launched,thrombin inhibitor,F2,neurology/psychiatry|hematology,stroke|systemic embolism|pulmonary embolism (PE)|deep vein thrombosis (DVT)
1695,dabigatran-etexilate,Launched,thrombin inhibitor,F2,neurology/psychiatry|hematology,stroke|systemic embolism|pulmonary embolism (PE)|deep vein thrombosis (DVT)
1696,dabrafenib,Launched,RAF inhibitor,BRAF|LIMK1|NEK11|RAF1|SIK1,oncology,melanoma
1697,dacarbazine,Launched,DNA alkylating agent,PGD|POLA2,oncology|hematologic malignancy,melanoma|Hodgkin's lymphoma
1699,daclatasvir,Launched,HCV inhibitor,,infectious disease,hepatitis C
1700,dacomitinib,Launched,EGFR inhibitor,EGFR|ERBB2|ERBB4,,
1701,dactinomycin,Launched,RNA polymerase inhibitor,POLR2A,oncology,testicular carcinoma|Wilm's tumor|rhabdomyosarcoma|Ewing's sarcoma|gestational trophoblastic disease (GTD)
1705,dalbavancin,Launched,bacterial cell wall synthesis inhibitor,PNLIP,infectious disease,skin infections
1707,dalfampridine,Launched,potassium channel blocker,KCNA1|KCNA10|KCNA2|KCNA3|KCNA4|KCNA5|KCNA6|KCNA7|KCNB1|KCNB2|KCNC1|KCNC2|KCNC3|KCNC4|KCND1|KCND2|KCND3|KCNF1|KCNG1|KCNG2|KCNG3|KCNG4|KCNH1|KCNH2|KCNH3|KCNH4|KCNH5|KCNH6|KCNH7|KCNH8|KCNJ13|KCNJ5|KCNQ1|KCNQ2|KCNQ3|KCNQ4|KCNQ5|KCNS1|KCNS2|KCNS3|KCNV1|KCNV2,neurology/psychiatry,multiple sclerosis
1711,danazol,Launched,estrogen receptor antagonist|progesterone receptor agonist,AR|CCL2|ESR1|GNRHR|GNRHR2|PGR,obstetrics/gynecology|cardiology,endometriosis|angioedema
1714,danofloxacin,Launched,bacterial DNA gyrase inhibitor,,pulmonary,bovine respiratory disease (BRD)
1716,dantrolene,Launched,calcium channel blocker,RYR1|RYR3,neurology/psychiatry|endocrinology,spasms|malignant hyperthermia (MH)
1719,dapagliflozin,Launched,sodium/glucose cotransporter inhibitor,SLC5A1|SLC5A2,endocrinology,diabetes mellitus
1722,dapiprazole,Launched,adrenergic receptor antagonist,ADRA1A|ADRA1B|ADRA1D,ophthalmology,mydriasis
1724,dapoxetine,Launched,selective serotonin reuptake inhibitor (SSRI),HTR1A|HTR1B|HTR2C|SLC6A4,urology,premature ejaculation (PE)
1726,dapsone,Launched,bacterial antifolate,DHFR,dermatology|infectious disease,dermatitis herpetiformis (DH)|leprosy
1728,daptomycin,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,skin infections|endocarditis
1731,darifenacin,Launched,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5,urology,urinary incontinence
1732,darolutamide,Launched,androgen receptor antagonist,AR,oncology,prostate cancer
1733,darunavir,Launched,HIV protease inhibitor,CYP3A4,infectious disease,human immunodeficiency virus (HIV-1)
1735,dasabuvir,Launched,HCV inhibitor,,infectious disease,hepatitis C
1736,dasatinib,Launched,Bcr-Abl kinase inhibitor|ephrin inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|SRC inhibitor|tyrosine kinase inhibitor,ABL1|ABL2|BLK|EPHA2|FGR|FRK|FYN|HCK|KIT|LCK|LYN|PDGFRB|SRC|SRMS|STAT5B|YES1,hematologic malignancy,chronic myeloid leukemia (CML)|acute lymphoblastic leukemia (ALL)
1740,daunorubicin,Launched,RNA synthesis inhibitor|topoisomerase inhibitor,TOP2A|TOP2B,hematologic malignancy,acute myeloid leukemia (AML)|acute lymphoblastic leukemia (ALL)
1754,debrisoquin,Launched,adrenergic neuron blocker,SLC6A2,cardiology,hypertension
1755,decamethonium,Launched,acetylcholine receptor agonist,ACHE|CHRNA2,neurology/psychiatry,muscle relaxant
1758,decitabine,Launched,DNA methyltransferase inhibitor,DNMT1|DNMT3A,hematologic malignancy|hematology,myelodysplastic diseases (MDS)|anemia|chronic myeloid leukemia (CML)
1761,decoquinate,Launched,antiprotozoal agent,,infectious disease,coccidiosis
1763,deferasirox,Launched,chelating agent,CYP3A4,hematology,transfusional hemosiderosis|thalassemia|iron overload
1764,deferasirox-iron-chelate,Launched,,,,
1765,deferiprone,Launched,chelating agent,UGT1A6,hematology,transfusional hemosiderosis|thalassemia|iron overload
1766,deferoxamine-mesylate,Launched,chelating agent,,hematology,acute iron intoxication|iron overload
1767,deflazacort,Launched,glucocorticoid receptor agonist,NR3C1,rheumatology,joint inflammation
1769,degarelix,Launched,gonadotropin releasing factor hormone receptor antagonist,GNRHR,oncology,prostate cancer
1774,dehydroepiandrosterone,Launched,protein synthesis stimulant,ESR1|ESR2|G6PD|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A|GRIN3B|HSD17B1|NR1I2|NR1I3|PPARA|SIGMAR1|SULT2A1|SULT2B1,endocrinology,menopause
1775,dehydroepiandrosterone-sulfate,Launched,androgen receptor agonist|estrogen receptor agonist,AR|ESR1|ESR2,endocrinology,menopause
1777,delamanid,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,tuberculosis
1779,delapril,Launched,angiotensin converting enzyme inhibitor,ACE,cardiology,hypertension
1780,delavirdine,Launched,non-nucleoside reverse transcriptase inhibitor,CYP3A4,infectious disease,human immunodeficiency virus (HIV-1)
1783,delivert,Launched,angiotensin receptor agonist,AGTR1|AGTR2,critical care,sepsis
1788,demecarium,Launched,acetylcholinesterase inhibitor,ACHE|BCHE,ophthalmology,intraocular pressure|glaucoma
1789,demeclocycline,Launched,bacterial 30S ribosomal subunit inhibitor,,endocrinology|infectious disease|ophthalmology|urology,fever|respiratory tract infections|psittacosis|trachoma|conjunctivitis|urethritis|chancroid|cholera|syphilis|listeria|anthrax|actinomycosis|tularemia|brucellosis
1791,denopamine,Launched,adrenergic receptor agonist,,cardiology,angina pectoris
1792,denotivir,Launched,antiviral,,infectious disease,virus herpes simplex (HSV)|skin infections
1794,deoxycholic-acid,Launched,biliverdin reductase A activator|G protein-coupled receptor agonist,FPR1|GPBAR1,endocrinology,submental fat
1798,dequalinium,Launched,PKC inhibitor,KCNN1|KCNN3,infectious disease,first-aid antiseptic
1799,deracoxib,Launched,cyclooxygenase inhibitor,PTGS2,rheumatology,osteoarthritis
1801,deserpidine,Launched,angiotensin converting enzyme inhibitor,ACE|SLC18A2,cardiology,hypertension
1803,desipramine,Launched,tricyclic antidepressant,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD2|HRH1|HTR1A|HTR2A|HTR2C|SLC6A2|SLC6A4|SMPD1,neurology/psychiatry,depression
1804,desisobutyryl-ciclesonide,Launched,cytochrome P450 inhibitor,,allergy,allergic rhinitis
1805,deslanoside,Launched,Na/K-ATPase inhibitor,ATP1A1|ATP1A2|ATP1A3|ATP1A4|ATP1B1|ATP1B2|ATP1B3|FXYD2,cardiology,congestive heart failure|cardiac arrythmia
1806,desloratadine,Launched,histamine receptor antagonist,HRH1,allergy,allergic rhinitis|urticaria
1809,desmopressin-acetate,Launched,vasopressin receptor agonist,AVPR1A|AVPR1B|AVPR2|OXTR,endocrinology|urology,central diabetes insipidus|nocturnal enuresis
1810,desogestrel,Launched,progesterone receptor agonist,ESR1|PGR,endocrinology,contraceptive
1811,desonide,Launched,glucocorticoid receptor agonist,NR3C1|PLA2G1B,gastroenterology,Crohn's disease
1812,desoximetasone,Launched,glucocorticoid receptor agonist,NR3C1|PLA2G1B,dermatology,corticosteroid-responsive dermatoses
1813,desoxycorticosterone-pivalate,Launched,corticosteroid agonist,NR3C2,endocrinology,Addison's disease
1816,desvenlafaxine,Launched,serotonin–norepinephrine reuptake inhibitor (SNRI),SLC6A2|SLC6A3|SLC6A4,neurology/psychiatry,depression
1817,detomidine,Launched,adrenergic receptor agonist,ADRA2A,neurology/psychiatry,sedative
