metric,drug_name,median_min_score
Cor_pearson_indivSig_TB_microarray,meptazinol,-0.22522834716145762
Cor_pearson_indivSig_TB_microarray,resveratrol,-0.22329307754306166
Cor_pearson_indivSig_TB_microarray,irinotecan,-0.22231988256088014
Cor_pearson_indivSig_TB_microarray,quercetin,-0.22223998895883118
Cor_pearson_indivSig_TB_microarray,phenoxybenzamine,-0.214613530899934
Cor_pearson_indivSig_TB_microarray,nilutamide,-0.21080933209385283
Cor_pearson_indivSig_TB_microarray,diltiazem,-0.21072966764630996
Cor_pearson_indivSig_TB_microarray,piperidolate,-0.2065992208199227
Cor_pearson_indivSig_TB_microarray,yohimbine,-0.20583247224060325
Cor_pearson_indivSig_TB_microarray,nadolol,-0.20469467528996793
Cor_pearson_indivSig_TB_microarray,hesperidin,-0.20008936632622942
Cor_pearson_indivSig_TB_microarray,miglitol,-0.19989177871305697
Cor_pearson_indivSig_TB_microarray,cortisone,-0.1995214795213905
Cor_pearson_indivSig_TB_microarray,estradiol,-0.19872214676862027
Cor_pearson_indivSig_TB_microarray,methysergide,-0.19831833109122196
Cor_pearson_indivSig_TB_microarray,piretanide,-0.19753556814179402
Cor_pearson_indivSig_TB_microarray,oxybuprocaine,-0.19712669733767507
Cor_spearman_indivSig_TB_microarray,flunarizine,-0.23334326301724562
Cor_spearman_indivSig_TB_microarray,tamibarotene,-0.21006133252846815
Cor_spearman_indivSig_TB_microarray,valsartan,-0.20256674356501958
Cor_spearman_indivSig_TB_microarray,forskolin,-0.2009069399959436
Cor_spearman_indivSig_TB_microarray,imiquimod,-0.20021967409422328
Cor_spearman_indivSig_TB_microarray,warfarin,-0.19802086929029092
Cor_spearman_indivSig_TB_microarray,primidone,-0.1969678779803902
Cor_spearman_indivSig_TB_microarray,clemastine,-0.19432118544803603
Cor_spearman_indivSig_TB_microarray,phenoxybenzamine,-0.194178382494471
Cor_spearman_indivSig_TB_microarray,mexiletine,-0.19288791487224724
Cor_spearman_indivSig_TB_microarray,masitinib,-0.19124775879750244
Cor_spearman_indivSig_TB_microarray,dexamethasone,-0.18935845184728492
Cor_spearman_indivSig_TB_microarray,chlorpromazine,-0.18729905469327415
Cor_spearman_indivSig_TB_microarray,midostaurin,-0.18643645038882656
Cor_spearman_indivSig_TB_microarray,dosulepin,-0.184734163686473
Cor_spearman_indivSig_TB_microarray,mestranol,-0.18377266974276357
Cor_spearman_indivSig_TB_microarray,carbinoxamine,-0.18185341044402092
Cor_spearman_indivSig_TB_microarray,curcumin,-0.1817111965867083
Cor_spearman_indivSig_TB_microarray,fluoxetine,-0.18101622177284787
Cor_spearman_indivSig_TB_microarray,albendazole,-0.18049704930543825
NCS_indivSig_TB_microarray,panobinostat,-1.3265403010620935
