pert	cell	NCS
sotalol	MCF7	-1.1440016533613535
rilmenidine	VCAP	-1.1439702571744716
propafenone	ASC	-1.1433171771900144
voriconazole	NPC	-1.1403163392436957
ruxolitinib	SKB	-1.140204513532356
menadione	HT29	-1.1387265560883668
donepezil	PHH	-1.1385922412343537
digoxin	PC3	-1.1382014637922473
reserpine	HCC515	-1.1374918943096255
nafcillin	ASC	-1.137247590178602
coumarin	A549	-1.136900266946298
indapamide	HA1E	-1.135800167914259
thiothixene	HCC515	-1.1357690379262178
methylprednisolone	A549	-1.1355859629081029
amlexanox	PC3	-1.1341624078963424
benzylpenicillin	A549	-1.134055889842331
fasudil	A549	-1.1337850301816903
dantrolene	A549	-1.132717243414407
etomidate	PC3	-1.1316308810126208
hyoscyamine	HCC515	-1.1310559910136044
carmofur	PC3	-1.1309912867341974
moxifloxacin	NPC	-1.130819839197716
desoximetasone	VCAP	-1.1307879779436882
imiquimod	HT29	-1.129833439681878
metoprolol	PHH	-1.1294500478414786
itraconazole	A549	-1.129351909270328
profenamine	A375	-1.1284702154603148
belinostat	NEU	-1.12816061990404
escitalopram	MCF7	-1.1281553968865683
resveratrol	HT29	-1.1272964838935955
nisoldipine	MCF7	-1.126413442976003
edaravone	MCF7	-1.126242164621612
pravastatin	A549	-1.1255709290427385
thiostrepton	SKB	-1.1248048738637415
primidone	NPC	-1.1244897093819373
amitriptyline	A375	-1.1243088367624436
niclosamide	HT29	-1.1242819086804696
tacrolimus	PC3	-1.1239231397822935
clebopride	HT29	-1.12362673681386
belinostat	PC3	-1.1225003322841507
atovaquone	HT29	-1.1221262210770626
phenelzine	PC3	-1.1220767220954706
trapidil	HCC515	-1.1212671120163675
meloxicam	MCF7	-1.1199489161419571
hyoscyamine	MCF7	-1.1198420156074138
brinzolamide	VCAP	-1.119442028736529
norgestrel	SKB	-1.1192239895752436
flumazenil	HA1E	-1.1183440567033842
guanfacine	SKB	-1.118043054564935
physostigmine	VCAP	-1.117252245167746
doxercalciferol	A549	-1.1167152843449724
gabexate	PHH	-1.116593555111483
bendroflumethiazide	HCC515	-1.1165471179354192
somatostatin	VCAP	-1.1164290723631145
procarbazine	SKB	-1.1163028055529605
dimercaptosuccinic-acid	SKB	-1.116220035776551
mephentermine	HCC515	-1.115378233473538
amperozide	MCF7	-1.1151629244286456
nelfinavir	PHH	-1.1145639960737526
ramipril	HT29	-1.1142593329050208
tetrabenazine	VCAP	-1.1142086297575524
