pert	cell	pearson
pirfenidone	A549	-0.12373978368951329
etilefrine	HT29	-0.1235730444826027
lamivudine	PC3	-0.1231688975932682
ingenol	VCAP	-0.12313491071936664
thioproperazine	VCAP	-0.12297452005845227
milrinone	HA1E	-0.12294322691453596
argatroban	PC3	-0.12271335331199294
eplerenone	A549	-0.12269615414714528
proxymetacaine	NPC	-0.12252178147527452
risperidone	NPC	-0.12244816990713717
losartan	A549	-0.12237980673088893
lansoprazole	VCAP	-0.12230106022629524
etomidate	ASC	-0.12216439779284652
levetiracetam	VCAP	-0.12214711397629437
gemfibrozil	NPC	-0.122123615170976
topotecan	MCF7	-0.12191805666012484
pizotifen	SKB	-0.12190184978836358
milrinone	A549	-0.1218328971241008
levocetirizine	A549	-0.12170451327344776
chloroquine	NPC	-0.12160495181114564
ipratropium	SKB	-0.12144858240649715
betamethasone	A549	-0.1213963751340586
tamoxifen	CD34	-0.12139023016995096
vemurafenib	SKB	-0.12137570997780343
midodrine	PC3	-0.12129711582485728
fenoldopam	HA1E	-0.1212156087101636
fosinopril	MCF7	-0.12117202709095629
streptozotocin	PC3	-0.12106114947535976
tacrolimus	MCF7	-0.12099714852240608
fluconazole	ASC	-0.12098936649578498
treprostinil	A549	-0.12092396256480774
spiperone	HEPG2	-0.120913743426228
decitabine	NPC	-0.12086966885142009
clofibric-acid	FIBRNPC	-0.12085898167879658
mebendazole	NKDBA	-0.12079645486469157
nabumetone	A375	-0.12079372520311128
vardenafil	HCC515	-0.12068301835744732
febuxostat	HCC515	-0.1205038236206767
triamcinolone	HA1E	-0.12044783788788384
tofacitinib	A549	-0.12037475099402777
paroxetine	HCC515	-0.12029601577604213
dydrogesterone	VCAP	-0.12025904501989942
desoximetasone	ASC	-0.12021870471850107
brimonidine	PC3	-0.11998555118860306
pantoprazole	PC3	-0.11991583211460571
fostamatinib	BT20	-0.11985383397496815
penfluridol	A549	-0.11982660986208042
balsalazide	PC3	-0.11973478685372488
metolazone	PC3	-0.11973073491750354
fostamatinib	SKBR3	-0.11971283804848658
fexofenadine	SKB	-0.1196790973977271
pregnenolone	PHH	-0.11953693592857172
galantamine	VCAP	-0.11949216350954156
tolazamide	MCF7	-0.11944417345712433
vincristine	NEU	-0.11915146398822794
fasudil	HCC515	-0.1191226883821681
ambroxol	VCAP	-0.11911449746879232
mefenamic-acid	HEK293T	-0.11901355959457184
naphazoline	VCAP	-0.11890537500084716
enalapril	ASC	-0.11884589354605958
cimetidine	VCAP	-0.11874446221493068
pyrimethamine	HCC515	-0.11839058213603
mianserin	NPC	-0.11835820279659244
tubocurarine	HCC515	-0.11834677832406436
methylergometrine	PC3	-0.1182607407659521
methysergide	PC3	-0.11821733320789644
varenicline	SKB	-0.11806265159384696
verapamil	A549	-0.11793202256825085
procarbazine	PC3	-0.11788852450044798
estriol	PC3	-0.11786547942022596
fluconazole	A549	-0.11780716149852004
calcipotriol	MCF7	-0.11770142861501973
moxonidine	HCC515	-0.11752768738249555
mephenytoin	A549	-0.11748763492893716
alprenolol	NEU	-0.11724493810727137
escitalopram	MCF7	-0.11720307422831833
hydroquinidine	MCF7	-0.1169970204694054
pinacidil	PHH	-0.11694520302953486
tianeptine	VCAP	-0.116940512833278
levomepromazine	MCF7	-0.11673097548092946
triclabendazole	A549	-0.11672042903386232
carmofur	PC3	-0.11664344819463306
oxcarbazepine	A549	-0.11660801847839795
thalidomide	MCF7	-0.11656427953266182
rizatriptan	ASC	-0.11652855636913947
pregnenolone	PC3	-0.11651726774121132
resorcinol	PHH	-0.11648331475574908
chloroquine	SKB	-0.11644976024574875
naltrexone	SKB	-0.11644476049237236
methimazole	PC3	-0.11640963247034744
