pert	cell	spearman
amlexanox	MCF7	-0.1262815811107528
propafenone	HCC515	-0.1261322870549197
prazosin	PC3	-0.12606967987021547
halcinonide	A549	-0.12587415281644695
trifluoperazine	HT29	-0.1256978895118182
panobinostat	HEPG2	-0.12530201946699623
bezafibrate	FIBRNPC	-0.12528757165514143
primaquine	VCAP	-0.12515946772336203
hydroquinidine	MCF7	-0.12504581160343747
tadalafil	VCAP	-0.12493504504588387
clomifene	VCAP	-0.12486762192389474
noretynodrel	PC3	-0.12471254874331972
desloratadine	MCF7	-0.1243590589466052
oxiconazole	A549	-0.12430030451172894
vinpocetine	HA1E	-0.12429259901207304
metoprolol	VCAP	-0.1242107280782291
metronidazole	PC3	-0.12418375882943344
azacitidine	PC3	-0.12401809058683154
amcinonide	SKB	-0.1239275509658747
celecoxib	HA1E	-0.12375995634835882
topotecan	MCF7	-0.12348737429803128
procarbazine	HCC515	-0.1232407983090424
ozagrel	MCF7	-0.12299422232005354
bosutinib	PHH	-0.1229267991980644
nabumetone	A375	-0.12271489795752707
racecadotril	ASC	-0.1227062292704142
rizatriptan	MCF7	-0.12253381871561338
tamibarotene	VCAP	-0.12247506428073714
voriconazole	NPC	-0.12227857403951164
rilmenidine	PC3	-0.12212350085893658
propafenone	ASC	-0.12204933542474852
celecoxib	HCC515	-0.12164383350535668
amoxicillin	PC3	-0.12161590106910404
dexamethasone	NPC	-0.12137125145502912
sulpiride	A549	-0.1213353515454843
citalopram	VCAP	-0.12123833158596482
ephedrine	NEU	-0.12123544202359386
treprostinil	ASC	-0.12115549746466388
flupirtine	NEU	-0.12100524022137378
metoprolol	PHH	-0.12082801372928804
propentofylline	A375	-0.12063537623789047
benzonatate	A375	-0.12043021730955208
naphazoline	VCAP	-0.12025876994220826
fluphenazine	HCC515	-0.12013548194771384
escitalopram	PC3	-0.12009502807452033
mirtazapine	PC3	-0.12007480113792358
tropisetron	HCC515	-0.11988986914618194
imipramine	PC3	-0.11983978339841858
benzylpenicillin	NPC	-0.11964810909447804
panobinostat	HT29	-0.11939864354311816
tolazamide	MCF7	-0.11937552704415048
bromocriptine	A549	-0.119155977688715
masitinib	PC3	-0.11914243567955944
chloroquine	SKB	-0.11911546643076376
mupirocin	VCAP	-0.11897580424950056
homochlorcyclizine	HT29	-0.1188939333156566
thiethylperazine	ASC	-0.11887466956651682
everolimus	A549	-0.11877257169607612
prednisone	ASC	-0.1185625968304528
estradiol	NEU	-0.1185163638325174
pentoxifylline	A549	-0.1184190818993616
domperidone	SKB	-0.11805403385316324
desoximetasone	HCC515	-0.11789029198547532
ascorbic-acid	HA1E	-0.1176716484327391
clofibric-acid	MCF7	-0.11764564237140045
prednicarbate	A549	-0.11759170387380911
ropinirole	ASC	-0.11757244012466936
lonidamine	PC3	-0.11744626256780397
mosapride	NEU	-0.11743181475594916
milrinone	PC3	-0.11729407894959992
mirtazapine	VCAP	-0.11689628252986396
lonidamine	HA1E	-0.11687990834309515
vemurafenib	SKB	-0.1166227372920794
fluvoxamine	VCAP	-0.11661310541750956
crizotinib	HA1E	-0.11636267667869273
procaterol	NEU	-0.11632607555532716
pheniramine	HCC515	-0.11618545018660696
thalidomide	MCF7	-0.11596102750912882
esomeprazole	MCF7	-0.11592057363593532
pregnenolone	PHH	-0.11543127440778554
estropipate	ASC	-0.11542453209558665
doconexent	A549	-0.1153002809136352
sildenafil	PHH	-0.11513044466581723
ruxolitinib	PHH	-0.11510282748495272
methylergometrine	PC3	-0.11499687686468406
amiodarone	HT29	-0.11495064386674864
neratinib	A375	-0.11492367461795298
calcifediol	PHH	-0.11486690187715694
dopamine	PHH	-0.11480905531057144
pentoxifylline	VCAP	-0.11478401243668976
nalbuphine	PC3	-0.11477149099974893
benzthiazide	HA1E	-0.11464627663034052
lisuride	ASC	-0.11464435025542652
benzbromarone	PC3	-0.11462797606865777
quinine	HCC515	-0.114606785944604
ziprasidone	SKB	-0.11452202544838908
lidoflazine	VCAP	-0.11447386607553972
buphenine	PC3	-0.11443052263997525
indapamide	PC3	-0.1143640627054431
mycophenolate-mofetil	NPC	-0.11416371971438964
methysergide	PC3	-0.11403850534498124
decitabine	SKB	-0.11402887347041137
carvedilol	ASC	-0.1139229228501427
tranylcypromine	FIBRNPC	-0.11360319932499792
pyrvinium-pamoate	HT29	-0.11351549455583688
voriconazole	ASC	-0.11338546424914352
fenbendazole	VCAP	-0.1133074460651275
norethindrone	MCF7	-0.11326699219193404
nifedipine	PC3	-0.11313888826015464
pirfenidone	A549	-0.11313792507269764
guanfacine	MCF7	-0.11298959420432154
hydrocortisone	MCF7	-0.11293565570673024
nalbuphine	HA1E	-0.1128036990251229
tubocurarine	VCAP	-0.11275553965227351
axitinib	MCF7	-0.112717975341451
voriconazole	MCF7	-0.11262839890795114
edrophonium	VCAP	-0.1122604612993818
ticlopidine	MCF7	-0.11214514884674016
iloprost	CD34	-0.11185977531727488
mefenamic-acid	HA1E	-0.1116864015750171
pargyline	MCF7	-0.11160164107880216
nelfinavir	MCF7	-0.11146690219834592
fenoldopam	HA1E	-0.1114417519609422
lidocaine	A549	-0.11135699146472729
edaravone	PC3	-0.1111258264750502
altrenogest	ASC	-0.11111330503810936
mifepristone	MCF7	-0.1110401027913783
menadione	VCAP	-0.1109707532944752
dihydroergotamine	A549	-0.1109678637321042
acitretin	PHH	-0.11094859998296448
papaverine	PC3	-0.11094763679550748
thiostrepton	PC3	-0.11059318381133595
picotamide	ASC	-0.11053442937645971
nicotine	HA1E	-0.11049493869072322
reserpine	HCC515	-0.11045544800498672
cinacalcet	NPC	-0.11012796426961088
trapidil	HCC515	-0.1100094922124014
procarbazine	ASC	-0.10985152946945538
cilnidipine	PHH	-0.10978314316000926
flupentixol	PC3	-0.1097465420366437
carbamazepine	PC3	-0.10950189242256882
rizatriptan	VCAP	-0.1094566226120904
norgestimate	A549	-0.10927939612000465
clofibric-acid	FIBRNPC	-0.10918404056176284
fulvestrant	MCF7	-0.1089519123846288
auranofin	HCC515	-0.10892975907311808
brompheniramine	ASC	-0.10877564908000004
dasatinib	NEU	-0.1086918517712421
lansoprazole	PC3	-0.1085897539008014
sildenafil	NKDBA	-0.10840482190905976
equol	MCF7	-0.10816884098209774
bisoprolol	ASC	-0.10815054042041498
lidocaine	MCF7	-0.10799257767746898
chenodeoxycholic-acid	PC3	-0.10786928968297456
bendroflumethiazide	PC3	-0.10782305668503912
carbinoxamine	PHH	-0.10781342481046928
chlorpromazine	PC3	-0.10770458462782966
methylergometrine	HT29	-0.10759189169536208
dipivefrine	VCAP	-0.10757166475876533
thiostrepton	MCF7	-0.1075331372604858
primaquine	PHH	-0.1072191381495078
formestane	SKB	-0.10721335902476588
domperidone	A549	-0.1070862182804435
calcitriol	CD34	-0.1070824171008236
clofibric-acid	ASC	-0.10706213859401878
warfarin	A375	-0.10684156866636858
amperozide	PHH	-0.10678763016877728
imiquimod	FIBRNPC	-0.10664700480005708
verapamil	A549	-0.10656706024112708
thioproperazine	VCAP	-0.10643997075761472
diphenidol	PC3	-0.10631277875248232
vincristine	A549	-0.10613169951056864
procarbazine	MCF7	-0.1061249571983697
estradiol	PC3	-0.10611147257397188
dilazep	VCAP	-0.1060613868262085
gefitinib	PHH	-0.10592943014460116
talipexole	NEU	-0.1058331113989024
risperidone	PC3	-0.10575124046505845
mifepristone	PHH	-0.10573005034100472
fluconazole	ASC	-0.10571271296677892
carbamazepine	A549	-0.10568189096815532
calcipotriol	MCF7	-0.10562698928310704
proxymetacaine	PC3	-0.10562409972073604
amiloride	ASC	-0.10554319197434908
SN-38	MCF7	-0.1055017749136986
doxylamine	SKB	-0.10543338860425248
guanfacine	ASC	-0.1053601863575214
tofacitinib	VCAP	-0.10535440723277947
meloxicam	A549	-0.10532845189695046
nelfinavir	PHH	-0.10529950554773115
pyrimethamine	HCC515	-0.10526868354910757
procarbazine	SKB	-0.10510691867515427
rifabutin	MCF7	-0.10510205211904868
oxyphenonium	VCAP	-0.1049681690625274
estriol	PC3	-0.10493831025136076
homoharringtonine	MCF7	-0.104892582410497
nimodipine	HCC515	-0.10484488106803294
azasetron	NPC	-0.10471677713625356
imiquimod	HT29	-0.10470329251185576
aminoglutethimide	PC3	-0.10463683257732358
diclofenac	HCC515	-0.10457904132990432
torasemide	A549	-0.10455014570619468
flunarizine	VCAP	-0.10454918251873772
amantadine	HCC515	-0.10450583908317324
azasetron	PHH	-0.10449717039606037
spironolactone	A549	-0.10440855715001748
leflunomide	A549	-0.1044075939625605
rimexolone	VCAP	-0.1044075939625605
NECA	NPC	-0.10415716522374369
ouabain	NEU	-0.10403387722924924
thalidomide	VCAP	-0.1039895706062278
pimozide	HA1E	-0.10397897554420094
clonidine	HA1E	-0.10383931336293772
brinzolamide	ASC	-0.1037853748653464
chloroxine	A549	-0.10371217261861532
indinavir	VCAP	-0.1036746083077928
olmesartan	A549	-0.1036669028081369
icosapent	MCF7	-0.1036418599342552
triamterene	HCC515	-0.1035657681251532
atovaquone	HA1E	-0.10348293400385224
parecoxib	VCAP	-0.10347908125402427
lobeline	PC3	-0.1034395905682878
doxercalciferol	VCAP	-0.10335097732224492
dydrogesterone	VCAP	-0.10327295913822893
gemfibrozil	NPC	-0.10318241951727204
mometasone	MCF7	-0.10286264128155212
itopride	A549	-0.10274994834908452
cilnidipine	SKB	-0.10267486917500064
enalaprilat	PC3	-0.10265748235321372
floxuridine	A549	-0.1025727218569988
phenoxybenzamine	PC3	-0.10255442129531604
cinacalcet	PHH	-0.102478329486214
hydrocortisone	PC3	-0.10234733599206366
triprolidine	VCAP	-0.10223753262196704
doxylamine	PHH	-0.1021941891864026
acetyl-farnesyl-cysteine	PC3	-0.10195339232215564
clopidogrel	VCAP	-0.10195339232215564
idebenone	PC3	-0.10189752744965036
galantamine	VCAP	-0.10179542957920966
bezafibrate	NEU	-0.10162398221186585
primaquine	HCC515	-0.10160182890035512
progesterone	A549	-0.10158641790104332
exemestane	PHH	-0.10143327109538224
thiostrepton	NEU	-0.10128301385209217
ritonavir	PC3	-0.1012415967914417
quetiapine	PHH	-0.10120306929316215
rifabutin	VCAP	-0.10115972585759772
escitalopram	MCF7	-0.101138535733544
prazosin	SKB	-0.10072436512703924
carmofur	MCF7	-0.10069354312841564
paroxetine	HCC515	-0.10059337163288892
triamcinolone	HA1E	-0.100587592508147
dipyridamole	MCF7	-0.10052498532344278
procarbazine	VCAP	-0.10045756220145365
neratinib	BT20	-0.100430592952658
isoxsuprine	A375	-0.10041345300086492
resveratrol	HA1E	-0.1002880412090238
sorafenib	BT20	-0.09999234265972856
brompheniramine	SKB	-0.0998064474805299
nadolol	PC3	-0.09974191392091172
diflunisal	PHH	-0.09972553973414294
paroxetine	PHH	-0.0997149926942196
mifepristone	HCC515	-0.0996899017982344
loperamide	MCF7	-0.09944139943433154
nitrendipine	A549	-0.09941154062316492
axitinib	VCAP	-0.09925454106767592
cetirizine	MCF7	-0.0991938602578857
iloprost	PC3	-0.09909465194981594
capsaicin	VCAP	-0.09889816170859043
piretanide	PC3	-0.09884037046117115
droperidol	A549	-0.0988220698994884
phenoxybenzamine	MCF7	-0.09881821714966044
flumazenil	HA1E	-0.09873153027853156
belinostat	A549	-0.09865543846942952
sirolimus	HCC515	-0.098618837346064
sunitinib	PHH	-0.0985716411606716
panobinostat	A549	-0.0985629724735587
eplerenone	NPC	-0.09852444497527918
phenazopyridine	PC3	-0.09851384991325232
benazepril	VCAP	-0.0985061444135964
altrenogest	HCC515	-0.09848302791462872
doxepin	PC3	-0.09840019379332778
perhexiline	HT29	-0.09829905911034403
rosmarinic-acid	PHH	-0.09829231679814514
loxapine	HCC515	-0.09824126786292478
tacrolimus	A549	-0.09790222587806507
cortisone	HT29	-0.0978945675238076
sulfasalazine	PC3	-0.0977837538208556
biperiden	PC3	-0.09776063732188787
GR-235	A549	-0.09768647188769984
sitagliptin	NEU	-0.09765950263890416
fenoldopam	ASC	-0.09763734932739346
irsogladine	PC3	-0.09760749051622684
hydroflumethiazide	A375	-0.09758437401725913
azacitidine	MCF7	-0.09739077333840458
ethisterone	A549	-0.09722322554297312
toremifene	PHH	-0.09712974953756089
fluconazole	A549	-0.09699779285595356
metyrapone	VCAP	-0.09695926535767406
aspirin	PC3	-0.0969496334831042
quinidine	MCF7	-0.0969159219221096
amlodipine	ASC	-0.09688317354857202
formestane	ASC	-0.09688028398620106
tolazamide	SKB	-0.09670209430665833
betaxolol	MCF7	-0.09668769305897888
alfacalcidol	MCF7	-0.09666934593312072
lidocaine	ASC	-0.0966626036209218
crizotinib	MCF7	-0.09660866512333052
azasetron	A549	-0.0965393156264274
amisulpride	HT29	-0.09648730350375004
dosulepin	PC3	-0.09646996612952428
naltrexone	SKB	-0.0964304754437878
scopolamine	PC3	-0.09642854906887378
tretinoin	CD34	-0.09633800944791694
clonidine	HCC515	-0.09632356163606212
gliquidone	SKB	-0.09617330439277204
oxybenzone	A549	-0.09605579552301952
prednisolone	ASC	-0.09602978946168084
sildenafil	HCC515	-0.09557131223215468
tranilast	VCAP	-0.09554723254572996
ketanserin	ASC	-0.09544995061257422
vemurafenib	NEU	-0.09533918405502063
naloxone	HT29	-0.09523419662220896
terbinafine	MCF7	-0.095230343872381
alprenolol	NEU	-0.09502807450641355
ciprofibrate	HA1E	-0.09501458988201576
perhexiline	A549	-0.09499339975796202
metoclopramide	NPC	-0.094757418831
moxonidine	ASC	-0.09475452926862904
afatinib	PC3	-0.0946871061466399
leflunomide	ASC	-0.09447616809355958
diazoxide	A549	-0.09446075709424775
proguanil	HCC515	-0.09445497796950585
benzylpenicillin	VCAP	-0.0944106713464844
nicardipine	VCAP	-0.09438659166005972
fenbendazole	NPC	-0.09437021747329093
cetirizine	PC3	-0.09433939547466733
acyclovir	VCAP	-0.09424115035405456
neratinib	HT29	-0.09400420623963555
ketotifen	VCAP	-0.0940022798647216
triflupromazine	HEK293T	-0.09396856830372705
amiodarone	PC3	-0.09386261768345835
belinostat	NPC	-0.09380386324858211
bendroflumethiazide	NEU	-0.093734513751679
carbamazepine	HA1E	-0.09368442800391565
loxapine	PC3	-0.0936391581934372
griseofulvin	MCF7	-0.09362182081921142
loxapine	SKB	-0.09347734270066324
celecoxib	PHH	-0.09346771082609336
primaquine	HA1E	-0.09340510364138915
olopatadine	PC3	-0.0933492387688839
propofol	HCC515	-0.093341533269228
betamethasone	A549	-0.0931517853402014
equol	A549	-0.093104589154809
tofacitinib	MCF7	-0.0930814726558413
brompheniramine	HCC515	-0.09307569353109936
exemestane	ASC	-0.09304294515756178
cyproheptadine	MCF7	-0.0929158044132394
gefitinib	MCF10A	-0.09290617253866952
isotretinoin	VCAP	-0.09253245580535828
procainamide	HA1E	-0.09247562774539596
ouabain	MCF7	-0.09245540080879924
bicalutamide	HA1E	-0.09240435187357889
gefitinib	SKBR3	-0.0923311496268478
dienestrol	MCF7	-0.09231959137736397
nemonapride	ASC	-0.09231092269025108
flutamide	MCF7	-0.09217800282118677
carbamazepine	MCF7	-0.09217318688390184
penfluridol	MCF7	-0.09217318688390184
loperamide	PC3	-0.09211732201139654
fluorometholone	PC3	-0.09205856757652028
fenofibrate	PHH	-0.0919776598301333
verapamil	PC3	-0.09187748833460656
masitinib	VCAP	-0.09187074602240763
thiotepa	PC3	-0.09182162346210128
sitagliptin	ASC	-0.09181391796244538
vinpocetine	NPC	-0.0917484212153702
floxuridine	NEU	-0.09173883352163656
