refinebio_accession_code	experiment_accession	refinebio_age	refinebio_cell_line	refinebio_compound	refinebio_disease	refinebio_disease_stage	refinebio_genetic_information	refinebio_organism	refinebio_platform	refinebio_processed	refinebio_processor_id	refinebio_processor_name	refinebio_processor_version	refinebio_race	refinebio_sex	refinebio_source_archive_url	refinebio_source_database	refinebio_specimen_part	refinebio_subject	refinebio_time	refinebio_title	refinebio_treatment	assay	channel_count	characteristic_cell.type	characteristic_infect	characteristic_organism	characteristic_organism.part	characteristic_time	characteristics_ch1_agent	characteristics_ch1_disease.state	characteristics_ch1_tissue	contact_address	contact_city	contact_country	contact_department	contact_email	contact_institute	contact_laboratory	contact_name	contact_phone	contact_state	contact_zip.postal_code	data_processing	data_row_count	description	detected_platform	detection_percentage	extract	extract_protocol_ch1	file	geo_accession	geo_columns	growth_protocol_ch1	hyb_protocol	label_ch1	label_protocol_ch1	labeled.extract	last_update_date	mapped_percentage	molecule_ch1	organism_ch1	platform_id	scan_protocol	series_id	source_name_ch1	status	submission_date	supplementary_file	taxid_ch1	title	treatment_protocol_ch1	type
E.MEXP.3521.H_0h.untreated.M13	E-MEXP-3521	NA	NA	NA	NA	NA	NA	HOMO_SAPIENS	Affymetrix Human Genome U133A Array (hgu133a)	True	99	Affymetrix SCAN	v1.4.7	NA	NA	https://www.ebi.ac.uk/arrayexpress/json/v3/experiments/E-MEXP-3521/samples	ARRAY_EXPRESS	macrophage	NA	0	E_0h untreated M13	NA	H_0h untreated M13	NA	macrophage	NA	Homo sapiens	blood	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E_0h untreated M13	NA	{'url': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.1.zip/050607_M13_0h_HG-U133A.CEL', 'name': '050607_M13_0h_HG-U133A.CEL', 'type': 'data', 'comment': {'name': 'ArrayExpress FTP file', 'value': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.1.zip'}}	NA	NA	NA	NA	NA	NA	{'name': 'L_0h untreated M13', 'label': 'biotin'}	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
E.MEXP.3521.H_0h.untreated.M2	E-MEXP-3521	NA	NA	NA	NA	NA	NA	HOMO_SAPIENS	Affymetrix Human Genome U133A Array (hgu133a)	True	99	Affymetrix SCAN	v1.4.7	NA	NA	https://www.ebi.ac.uk/arrayexpress/json/v3/experiments/E-MEXP-3521/samples	ARRAY_EXPRESS	macrophage	NA	0	E_0h untreated M2	NA	H_0h untreated M2	NA	macrophage	NA	Homo sapiens	blood	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E_0h untreated M2	NA	{'url': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.1.zip/M0_U133A_28_05_03.CEL', 'name': 'M0_U133A_28_05_03.CEL', 'type': 'data', 'comment': {'name': 'ArrayExpress FTP file', 'value': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.1.zip'}}	NA	NA	NA	NA	NA	NA	{'name': 'L_0h untreated M2', 'label': 'biotin'}	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
E.MEXP.3521.H_0h.untreated.M5	E-MEXP-3521	NA	NA	NA	NA	NA	NA	HOMO_SAPIENS	Affymetrix Human Genome U133A Array (hgu133a)	True	99	Affymetrix SCAN	v1.4.7	NA	NA	https://www.ebi.ac.uk/arrayexpress/json/v3/experiments/E-MEXP-3521/samples	ARRAY_EXPRESS	macrophage	NA	0	E_0h untreated M5	NA	H_0h untreated M5	NA	macrophage	NA	Homo sapiens	blood	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E_0h untreated M5	NA	{'url': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.1.zip/051503_M5_0h_HG-U133A.CEL', 'name': '051503_M5_0h_HG-U133A.CEL', 'type': 'data', 'comment': {'name': 'ArrayExpress FTP file', 'value': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.1.zip'}}	NA	NA	NA	NA	NA	NA	{'name': 'L_0h untreated M5', 'label': 'biotin'}	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
E.MEXP.3521.H_0h.untreated.M6	E-MEXP-3521	NA	NA	NA	NA	NA	NA	HOMO_SAPIENS	Affymetrix Human Genome U133A Array (hgu133a)	True	99	Affymetrix SCAN	v1.4.7	NA	NA	https://www.ebi.ac.uk/arrayexpress/json/v3/experiments/E-MEXP-3521/samples	ARRAY_EXPRESS	macrophage	NA	0	E_0h untreated M6	NA	H_0h untreated M6	NA	macrophage	NA	Homo sapiens	blood	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E_0h untreated M6	NA	{'url': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.1.zip/051603_M6_0h_HG-U133A.CEL', 'name': '051603_M6_0h_HG-U133A.CEL', 'type': 'data', 'comment': {'name': 'ArrayExpress FTP file', 'value': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.1.zip'}}	NA	NA	NA	NA	NA	NA	{'name': 'L_0h untreated M6', 'label': 'biotin'}	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
E.MEXP.3521.H_0h.untreated.M7	E-MEXP-3521	NA	NA	NA	NA	NA	NA	HOMO_SAPIENS	Affymetrix Human Genome U133A Array (hgu133a)	True	99	Affymetrix SCAN	v1.4.7	NA	NA	https://www.ebi.ac.uk/arrayexpress/json/v3/experiments/E-MEXP-3521/samples	ARRAY_EXPRESS	macrophage	NA	0	E_0h untreated M7	NA	H_0h untreated M7	NA	macrophage	NA	Homo sapiens	blood	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E_0h untreated M7	NA	{'url': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.1.zip/050903_M7_0h_HG-U1133A.CEL', 'name': '050903_M7_0h_HG-U1133A.CEL', 'type': 'data', 'comment': {'name': 'ArrayExpress FTP file', 'value': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.1.zip'}}	NA	NA	NA	NA	NA	NA	{'name': 'L_0h untreated M7', 'label': 'biotin'}	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
E.MEXP.3521.H_0h.untreated.M8	E-MEXP-3521	NA	NA	NA	NA	NA	NA	HOMO_SAPIENS	Affymetrix Human Genome U133A Array (hgu133a)	True	99	Affymetrix SCAN	v1.4.7	NA	NA	https://www.ebi.ac.uk/arrayexpress/json/v3/experiments/E-MEXP-3521/samples	ARRAY_EXPRESS	macrophage	NA	0	E_0h untreated M8	NA	H_0h untreated M8	NA	macrophage	NA	Homo sapiens	blood	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E_0h untreated M8	NA	{'url': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.1.zip/051703_M8_0h_HG-U133A.CEL', 'name': '051703_M8_0h_HG-U133A.CEL', 'type': 'data', 'comment': {'name': 'ArrayExpress FTP file', 'value': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.1.zip'}}	NA	NA	NA	NA	NA	NA	{'name': 'L_0h untreated M8', 'label': 'biotin'}	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
E.MEXP.3521.H_1_0h.untreated.D1	E-MEXP-3521	NA	NA	NA	NA	NA	NA	HOMO_SAPIENS	Affymetrix Human Genome U133A Array (hgu133a)	True	99	Affymetrix SCAN	v1.4.7	NA	NA	https://www.ebi.ac.uk/arrayexpress/json/v3/experiments/E-MEXP-3521/samples	ARRAY_EXPRESS	dendritic cell	NA	0	E_0h untreated D1	NA	H_1_0h untreated D1	NA	dendritic cell	NA	Homo sapiens	blood	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E_0h untreated D1	NA	{'url': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.1.zip/D0_U133A_19_11_03.CEL', 'name': 'D0_U133A_19_11_03.CEL', 'type': 'data', 'comment': {'name': 'ArrayExpress FTP file', 'value': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.1.zip'}}	NA	NA	NA	NA	NA	NA	{'name': 'L_0h untreated D1', 'label': 'biotin'}	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
E.MEXP.3521.H_1_0h.untreated.M1	E-MEXP-3521	NA	NA	NA	NA	NA	NA	HOMO_SAPIENS	Affymetrix Human Genome U133A Array (hgu133a)	True	99	Affymetrix SCAN	v1.4.7	NA	NA	https://www.ebi.ac.uk/arrayexpress/json/v3/experiments/E-MEXP-3521/samples	ARRAY_EXPRESS	macrophage	NA	0	E_0h untreated M1	NA	H_1_0h untreated M1	NA	macrophage	NA	Homo sapiens	blood	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E_0h untreated M1	NA	{'url': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.1.zip/M0_U133A_07_11_03.CEL', 'name': 'M0_U133A_07_11_03.CEL', 'type': 'data', 'comment': {'name': 'ArrayExpress FTP file', 'value': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.1.zip'}}	NA	NA	NA	NA	NA	NA	{'name': 'L_0h untreated M1', 'label': 'biotin'}	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
E.MEXP.3521.H_1_18h.treated.D1	E-MEXP-3521	NA	NA	NA	NA	NA	NA	HOMO_SAPIENS	Affymetrix Human Genome U133A Array (hgu133a)	True	99	Affymetrix SCAN	v1.4.7	NA	NA	https://www.ebi.ac.uk/arrayexpress/json/v3/experiments/E-MEXP-3521/samples	ARRAY_EXPRESS	dendritic cell	NA	18	E_18h treated D1	NA	H_1_18h treated D1	NA	dendritic cell	NA	Homo sapiens	blood	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E_18h treated D1	NA	{'url': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.1.zip/D18_U133A_19_11_03.CEL', 'name': 'D18_U133A_19_11_03.CEL', 'type': 'data', 'comment': {'name': 'ArrayExpress FTP file', 'value': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.1.zip'}}	NA	NA	NA	NA	NA	NA	{'name': 'L_18h treated D1', 'label': 'biotin'}	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
E.MEXP.3521.H_1_18h.treated.M1	E-MEXP-3521	NA	NA	NA	NA	NA	NA	HOMO_SAPIENS	Affymetrix Human Genome U133A Array (hgu133a)	True	99	Affymetrix SCAN	v1.4.7	NA	NA	https://www.ebi.ac.uk/arrayexpress/json/v3/experiments/E-MEXP-3521/samples	ARRAY_EXPRESS	macrophage	NA	18	E_18h treated M1	NA	H_1_18h treated M1	NA	macrophage	NA	Homo sapiens	blood	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E_18h treated M1	NA	{'url': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.1.zip/M18_U133A_07_11_03.CEL', 'name': 'M18_U133A_07_11_03.CEL', 'type': 'data', 'comment': {'name': 'ArrayExpress FTP file', 'value': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.1.zip'}}	NA	NA	NA	NA	NA	NA	{'name': 'L_18h treated M1', 'label': 'biotin'}	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
E.MEXP.3521.H_1_48h.treated.M1	E-MEXP-3521	NA	NA	NA	NA	NA	NA	HOMO_SAPIENS	Affymetrix Human Genome U133A Array (hgu133a)	True	99	Affymetrix SCAN	v1.4.7	NA	NA	https://www.ebi.ac.uk/arrayexpress/json/v3/experiments/E-MEXP-3521/samples	ARRAY_EXPRESS	macrophage	NA	48	E_48 treated M1	NA	H_1_48h treated M1	NA	macrophage	NA	Homo sapiens	blood	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E_48 treated M1	NA	{'url': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.2.zip/M48_U133A_07_11_03.CEL', 'name': 'M48_U133A_07_11_03.CEL', 'type': 'data', 'comment': {'name': 'ArrayExpress FTP file', 'value': 'ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3521/E-MEXP-3521.raw.2.zip'}}	NA	NA	NA	NA	NA	NA	{'name': 'L_48h treated M1', 'label': 'biotin'}	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
