names	GSE110564_MTB_control	GSE112482_MTBilc1_control	GSE112482_MTBilc2_control	GSE112482_MTBilc3neg_control	GSE112482_MTBilc3pos_control	GSE112482_MTBnk_control	GSE112482_MTBsusp_control	GSE112483_MTBam_control	GSE112483_MTBendo_control	GSE112483_MTBgd_control	GSE112483_MTBmait_control	GSE112483_MTBnk_control	GSE112483_MTBnkt_control	GSE129270_MTB120h_control	GSE129270_MTB24h_control	GSE129270_MTB72h_control	GSE148171_MTB_control	GSE157657_PTB_control	GSE193777_MTB_control	GSE198557_MTB_control	GSE67427_MTBgc18h_control	GSE67427_MTBgc48h_control	GSE67427_MTBgc4h_control	GSE67427_MTBrv18h_control	GSE67427_MTBrv48h_control	GSE67427_MTBrv4h_control	GSE84076_MTB_control
GSE112483_MTBmait_control	0.11151161460121295	0.18207656097344346	0.17802865827181938	0.16522861059591967	0.19685722548925094	0.1797752808988764	0.12013575984551465	0.15068797159343097	0.13709677419354838	0.13584331370343414	1	0.10314509646302251	0.13482629539633545	0.15119749024408907	0.09428151144617082	0.12647575985933182	0.11014682604661317	0.10669794109981756	0.11596833926367003	0.10593707536322776	0.09939316824899677	0.09881078990621676	0.09532892900344282	0.12513242350595127	0.09856163722367024	0.1236549222160733	0.1478463329452852
GSE112483_MTBnk_control	0.7864570853500743	0.5638644918444166	0.5771084337349398	0.6210478771454381	0.5201406328478152	0.5716223003515821	0.83351506740682	0.6776817999196465	0.6581810921433563	0.758058037955618	0.10314509646302251	1	0.7604229304469834	0.6444711057788443	0.829344341486979	0.7610096934507701	0.8418133590547384	0.8528895842222538	0.5989122063919907	0.8518940472799772	0.8431856626891602	0.8447586144194926	0.8445702063187915	0.7735737219066436	0.84352444504970725	0.7812238055322716	0.6807617333933124
GSE112483_MTBnkt_control	0.748980686695279	0.7287681963574646	0.7417274622199062	0.7847267088771159	0.6708455762324519	0.7387952436952829	0.8518136496475847	0.8398334934357989	0.7616960869028515	0.9217126931846973	0.13482629539633545	0.7604229304469834	1	0.7726615993466927	0.6751528878822197	0.7938191881918819	0.7665384007168836	0.7577398589966282	0.6386496727523252	0.7483959670027498	0.7042368018362662	0.7024182076813655	0.6848843612334802	0.8031641549743057	0.7002129169623846	0.8030042426327256	0.8090358057864151
GSE129270_MTB120h_control	0.6978473581213307	0.733609780510474	0.7257553348827382	0.7676669219522384	0.6994615048755639	0.7609794856977752	0.7281971733884868	0.7851896772454686	0.7031138732439955	0.7806006082108464	0.15119749024408907	0.6444711057788443	0.7726615993466927	1	0.5971315620115841	0.8171921213265371	0.681884174866914	0.6719156012888473	0.6128379621114586	0.6597724922440538	0.626923826222482	0.6218208092485549	0.6013560581433149	0.7646987218502739	0.6213134471974981	0.7604555863565144	0.8221812973194189
GSE129270_MTB24h_control	0.7603707369747142	0.5114245157745319	0.5204314836822379	0.561525446979743	0.47230882083256925	0.5186050774447805	0.7363762349680362	0.6059584548104956	0.5875775272760198	0.6748443959838263	0.09428151144617082	0.829344341486979	0.6751528878822197	0.5971315620115841	1	0.7301185988783672	0.7984907016440571	0.834483685908928	0.5565271427937325	0.8168074699866608	0.8505969101123596	0.8558743766949524	0.8662120754391265	0.7225111780271922	0.854995849534711	0.7319498289623717	0.6206030150753769
GSE129270_MTB72h_control	0.8054937299820857	0.661015911872705	0.6627420040055836	0.7130224106602059	0.6174893695692365	0.677554284308298	0.7903138234335976	0.746315664368909	0.6940882984278006	0.7981321422356286	0.12647575985933182	0.7610096934507701	0.7938191881918819	0.8171921213265371	0.7301185988783672	1	0.797149468812454	0.7977850697292863	0.6374137834352044	0.7787322726579576	0.7474844735448462	0.7442037973475814	0.72401863554592	0.8358569865852956	0.7419784823383795	0.8349431331085329	0.7868436934218467
GSE148171_MTB_control	0.7852315394242804	0.5939354699471242	0.5954382395459656	0.642558886509636	0.5441168544170754	0.6004854368932039	0.7994302863828272	0.6777326225787723	0.65811427671966	0.7635970007392544	0.11014682604661317	0.8418133590547384	0.7665384007168836	0.681884174866914	0.7984907016440571	0.797149468812454	1	0.9040963610489937	0.6486331385642737	0.9412344909930955	0.8183441405882905	0.8185764294049008	0.8048005807886021	0.8011241267006356	0.8165851385977172	0.8090170380078637	0.7273217851168312
GSE157657_PTB_control	0.7945407236486818	0.5796439507966991	0.5849514563106796	0.632509564677903	0.5330046704722367	0.5880091438071487	0.7983834977934249	0.6726891186405978	0.6488228130708342	0.7547845665745574	0.10669794109981756	0.8528895842222538	0.7577398589966282	0.6719156012888473	0.834483685908928	0.7977850697292863	0.9040963610489937	1	0.6463494958706997	0.898215171046108	0.8415275129075771	0.842114993529303	0.8313594812446525	0.7975168608215818	0.8413738977886525	0.8073211824169092	0.7154327424400417
GSE193777_MTB_control	0.5961408436053467	0.5507100031555696	0.5456016933325033	0.5781978885342499	0.510398060729778	0.5609478672985782	0.6380582942729379	0.6040794353391554	0.5690213869086196	0.6363322396822656	0.11596833926367003	0.5989122063919907	0.6386496727523252	0.6128379621114586	0.5565271427937325	0.6374137834352044	0.6486331385642737	0.6463494958706997	1	0.6279058091077974	0.5736748786860769	0.5726116123062688	0.5583863168263634	0.6371809906740381	0.5716001478196601	0.6386130374479889	0.6662352868675664
GSE198557_MTB_control	0.7850083178393189	0.573998237520087	0.5790016501650165	0.6243877287960815	0.5266266058847907	0.5807889689492509	0.7906010388325501	0.6624184339314845	0.6441356929161807	0.7454350708966643	0.10593707536322776	0.8518940472799772	0.7483959670027498	0.6597724922440538	0.8168074699866608	0.7787322726579576	0.9412344909930955	0.898215171046108	0.6279058091077974	1	0.8371141688359985	0.8387484401719277	0.8309655887791458	0.7845887973975806	0.8373327180433779	0.7935323383084577	0.7011762267474999
GSE67427_MTBgc18h_control	0.7888557496567722	0.5372815533980583	0.5484309065334433	0.5907393939393939	0.49926921952645426	0.5484514998052201	0.7665818729979272	0.6413706320782112	0.616796893725133	0.705063594912407	0.09939316824899677	0.8431856626891602	0.7042368018362662	0.626923826222482	0.8505969101123596	0.7474844735448462	0.8183441405882905	0.8415275129075771	0.5736748786860769	0.8371141688359985	1	0.9202261893634919	0.9169220915869893	0.7770728612561613	0.9161657113565403	0.7868012876792508	0.6452981153901769
GSE67427_MTBgc48h_control	0.7871031373285741	0.534134037953399	0.5462842868809147	0.588187274909964	0.4957112567463377	0.5439137134052389	0.7668304093567252	0.6387304022630292	0.6157904743796939	0.7028261490151299	0.09881078990621676	0.8447586144194926	0.7024182076813655	0.6218208092485549	0.8558743766949524	0.7442037973475814	0.8185764294049008	0.842114993529303	0.5726116123062688	0.8387484401719277	0.9202261893634919	1	0.9621684504420661	0.7708202578091053	0.9464747660034806	0.7806196313097191	0.643024311028323
GSE67427_MTBgc4h_control	0.7733972165183665	0.5167909583584233	0.5291446575850246	0.5699328237201761	0.4789432140038074	0.5262522631261316	0.7538300677365095	0.620150013890175	0.6007174392935982	0.6842129480513505	0.09532892900344282	0.8445702063187915	0.6848843612334802	0.6013560581433149	0.8662120754391265	0.72401863554592	0.8048005807886021	0.8313594812446525	0.5583863168263634	0.8309655887791458	0.9169220915869893	0.9621684504420661	1	0.7446254071661238	0.9367971726258778	0.7548161935784086	0.6230180678466076
GSE67427_MTBrv18h_control	0.8030360326292475	0.66207317073170735	0.6666060936458901	0.7148119074935089	0.6193108531416989	0.6755781230882173	0.811716397481522	0.764487769870223	0.7034454709197606	0.8046050342187682	0.12513242350595127	0.7735737219066436	0.8031641549743057	0.7646987218502739	0.7225111780271922	0.8358569865852956	0.8011241267006356	0.7975168608215818	0.6371809906740381	0.7845887973975806	0.7770728612561613	0.7708202578091053	0.7446254071661238	1	0.7687674665124795	0.9643379663496708	0.7782364201962192
GSE67427_MTBrv48h_control	0.7836533957845433	0.5327770584568168	0.5453498968775481	0.5874172820562003	0.4948518090839107	0.5428324199596193	0.7632843480289246	0.6356985751171464	0.6133820182094082	0.7001281503630927	0.09856163722367024	0.84352444504970725	0.7002129169623846	0.6213134471974981	0.854995849534711	0.7419784823383795	0.8165851385977172	0.8413738977886525	0.5716001478196601	0.8373327180433779	0.9161657113565403	0.9464747660034806	0.9367971726258778	0.7687674665124795	1	0.7791481981113895	0.6423392482350696
GSE67427_MTBrv4h_control	0.8073488272003443	0.6560390549662488	0.6610565404887399	0.7096600752733139	0.6140255009107468	0.6693675172330391	0.8152588555858311	0.7610498874274203	0.7038938563599654	0.8049539170506912	0.1236549222160733	0.7812238055322716	0.8030042426327256	0.7604555863565144	0.7319498289623717	0.8349431331085329	0.8090170380078637	0.8073211824169092	0.6386130374479889	0.7935323383084577	0.7868012876792508	0.7806196313097191	0.7548161935784086	0.9643379663496708	0.7791481981113895	1	0.773513385453684
GSE84076_MTB_control	0.6963233689722889	0.7453186137506987	0.7252341560128529	0.7677314564158094	0.6861523382805936	0.7603757711721817	0.7667431192660551	0.7809249689278472	0.7103548611550383	0.8107378335949764	0.1478463329452852	0.6807617333933124	0.8090358057864151	0.8221812973194189	0.6206030150753769	0.7868436934218467	0.7273217851168312	0.7154327424400417	0.6662352868675664	0.7011762267474999	0.6452981153901769	0.643024311028323	0.6230180678466076	0.7782364201962192	0.6423392482350696	0.773513385453684	1
