drug_name	search_type	studies_found	pmid	literature_evidence
dasatinib	Direct (HDT)	1	['40631209']	"[1] Elimination of senescent cells with senolytic host-directed therapy reduces tuberculosis progression in mice.
    Authors: Shee S, Martinez-Martinez YB, Koleske B, Yabaji S, Kobzik L, Kramnik I, Bishai W
    PMID: 40631209 | DOI: 2025.03.28.645957"
rosuvastatin	No Results	0	[]	No evidence found
raloxifene	Direct (TB)	1	['38170746']	"[1] Polyphosphate kinase-1 regulates bacterial and host metabolic pathways involved in pathogenesis of Mycobacterium tuberculosis.
    Authors: Chugh S, Tiwari P, Suri C, Gupta SK, Singh P, Bouzeyen R, Kidwai S, Srivastava M, Rameshwaram NR, Kumar Y, Asthana S, Singh R
    PMID: 38170746 | DOI: 10.1073/pnas.2309664121"
atorvastatin	Direct (HDT)	2	['40677706', '31605489']	"[1] Immunomodulatory effects of atorvastatin on peripheral blood mononuclear cells infected with Mycobacterium tuberculosis.
    Authors: Sabeel S, Motaung B, Ozturk M, Mafu TS, Wilkinson RJ, Thienemann F, Guler R
    PMID: 40677706 | DOI: 10.3389/fimmu.2025.1597534

[2] Adjunctive Host-Directed Therapy With Statins Improves Tuberculosis-Related Outcomes in Mice.
    Authors: Dutta NK, Bruiners N, Zimmerman MD, Tan S, Dartois V, Gennaro ML, Karakousis PC
    PMID: 31605489 | DOI: 10.1093/infdis/jiz517"
brompheniramine	No Results	0	[]	No evidence found
tivozanib	No Results	0	[]	No evidence found
diclofenac	Direct (TB)	14	['40264668', '40114595', '36097681', '35864917', '19399540', '17644321', '17139836', '16412646', '16259721', '15882435', '15462188', '9925533', '9293712', '3117715']	"[1] Anti-inflammatory drugs as potential antimicrobial agents: a review.
    Authors: Okpala OE, Rondevaldova J, Kokoska L
    PMID: 40264668 | DOI: 10.3389/fphar.2025.1557333

[2] Synergistic anti-inflammatory and anti-tb effects of Au-Pt-Cu nanofluids: experimental and computational insights.
    Authors: Dubey A, Kumar M, Alanazi AM, Tufail A, Bagul AD
    PMID: 40114595 | DOI: 10.1080/17568919.2025.2478818

[3] Designing coordination polymers as multi-drug-self-delivery systems for tuberculosis and cancer therapy: in vitro viability and in vivo toxicity assessment.
    Authors: Biswas P, Datta HK, Dastidar P
    PMID: 36097681 | DOI: 10.1039/d2bm00752e

[4] Seropositive Neuromyelitis Optica in a Case of Undiagnosed Ankylosing Spondylitis: A Neuro-Rheumatological Conundrum.
    Authors: Ghosh Md R, Roy D, Leon-Ruiz M, Das S, Dubey S, Benito-Leon J
    PMID: 35864917 | DOI: 10.5339/qmj.2022.29

[5] The anti-inflammatory non-antibiotic helper compound diclofenac: an antibacterial drug target.
    Authors: Mazumdar K, Dastidar SG, Park JH, Dutta NK
    PMID: 19399540 | DOI: 10.1007/s10096-009-0739-z

[6] Activity of diclofenac used alone and in combination with streptomycin against Mycobacterium tuberculosis in mice.
    Authors: Dutta NK, Mazumdar K, Dastidar SG, Park JH
    PMID: 17644321 | DOI: 10.1016/j.ijantimicag.2007.04.016

[7] [Efficiency of anti-inflammatory therapy for experimental tuberculosis in genetically tuberculosis-sensitive mice].
    Authors: Kondrat'eva TK, Rubakova EI, Evstifeev VV, Sosunov VV, Petrovskaia SN, Kondrat'eva AV, Apt AS
    PMID: 17139836 | DOI: 

[8] Synthesis, in vitro and in vivo antimycobacterial activities of diclofenac acid hydrazones and amides.
    Authors: Sriram D, Yogeeswari P, Devakaram RV
    PMID: 16412646 | DOI: 10.1016/j.bmc.2005.12.042

[9] The modulation of intra-articular inflammation, cartilage matrix and bone loss in mono-articular arthritis induced by heat-killed Mycobacterium tuberculosis.
    Authors: Seed MP, Gardner CR
    PMID: 16259721 | DOI: 10.1163/156856005774382607

[10] Treatment of experimental arthritis with M2000, a novel designed non-steroidal anti-inflammatory drug.
    Authors: Mirshafiey A, Cuzzocrea S, Rehm B, Mazzon E, Saadat F, Sotoude M
    PMID: 15882435 | DOI: 10.1111/j.1365-3083.2005.01594.x

[11] In vitro and in vivo antimycobacterial activity of antiinflammatory drug, diclofenac sodium.
    Authors: Dutta NK, Kumar KA, Mazumdar K, Dastidar SG
    PMID: 15462188 | DOI: 

[12] Therapeutic effects of benzoxazinorifamycin KRM-1648 administered alone or in combination with a half-sized secretory leukocyte protease inhibitor or the nonsteroidal anti-inflammatory drug diclofenac sodium against Mycobacterium avium complex infection in mice.
    Authors: Sano C, Shimizu T, Sato K, Kawauchi H, Kawahara S, Tomioka H
    PMID: 9925533 | DOI: 10.1128/AAC.43.2.360

[13] [In vivo activities of benzoxazinorifamycin KRM-1648, clarithromycin, and levofloxacin, or combination of KRM-1648 with diclofenac sodium against Mycobacterium avium infection induced in mice].
    Authors: Akaki T, Sato K, Shimizu T, Tomioka H, Kawahara S
    PMID: 9293712 | DOI: 

[14] The ex vivo measurement of malondialdehyde and chemiluminescence as possible indices for anti-inflammatory drug evaluation.
    Authors: Dowling EJ, Symons AM, Jasani MK
    PMID: 3117715 | DOI: "
naltrexone	No Results	0	[]	No evidence found
sirolimus	Direct (TB)	4	['41854047', '38008448', '21440756', '19298241']	"[1] Sirolimus Therapy in Generalized Lymphatic Anomaly With Tuberculosis: A Case Report.
    Authors: Singhal KK, Mandal P, Singh V, Singh S, Abbey P, Yadav V, Yadav PS
    PMID: 41854047 | DOI: 10.1002/ppul.71571

[2] Lymphangioleiomyomatosis Showing the Development of Mycobacterium abscessus subsp. massiliense Infection during Sirolimus Therapy.
    Authors: Yanagisawa A, Takimoto T, Kurahara Y, Tsuyuguchi K, Yoshida S, Hirose M, Inoue Y, Arai T
    PMID: 38008448 | DOI: 10.2169/internalmedicine.2847-23

[3] Diagnostic utility of flexible bronchoscopy in recipients of solid organ transplants.
    Authors: Kupeli E, Akcay S, Ulubay G, Ozyurek BA, Ozdemirel TS, Haberal M
    PMID: 21440756 | DOI: 10.1016/j.transproceed.2011.01.015

[4] Lung cavitation due to Mycobacterium xenopi in a renal transplant recipient.
    Authors: Martin-Penagos L, Rodrigo E, Ruiz JC, Aguero J, Fernandez-Mazarrasa C, Martinez L, Pinera C, Arias M
    PMID: 19298241 | DOI: 10.1111/j.1399-3062.2009.00376.x"
ketotifen	No Results	0	[]	No evidence found
tamoxifen	Direct (HDT)	4	['40483737', '39335008', '36475748', '32269154']	"[1] Host-Directed Therapeutic for the treatment of Mycobacterium tuberculosis.
    Authors: Mahajan P, Gor HR, Jadhav S, Joshi M, Nema V
    PMID: 40483737 | DOI: S0944-5013(25)00212-5

[2] Innovative Strategies in Drug Repurposing to Tackle Intracellular Bacterial Pathogens.
    Authors: Lorente-Torres B, Llano-Verdeja J, Castanera P, Ferrero HA, Fernandez-Martinez S, Javadimarand F, Mateos LM, Letek M, Mourenza A
    PMID: 39335008 | DOI: 10.3390/antibiotics13090834

[3] Repurposing Tamoxifen as Potential Host-Directed Therapeutic for Tuberculosis.
    Authors: Boland R, Heemskerk MT, Forn-Cuni G, Korbee CJ, Walburg KV, Esselink JJ, Carvalho Dos Santos C, de Waal AM, van der Hoeven DCM, van der Sar E, de Ries AS, Xie J, Spaink HP, van der Vaart M, Haks MC, Meijer AH, Ottenhoff THM
    PMID: 36475748 | DOI: 10.1128/mbio.03024-22

[4] Bazedoxifene Suppresses Intracellular Mycobacterium tuberculosis Growth by Enhancing Autophagy.
    Authors: Ouyang Q, Zhang K, Lin D, Feng CG, Cai Y, Chen X
    PMID: 32269154 | DOI: 10.1128/mSphere.00124-20"
