Source,Target,Interaction
dopamine,HMOX1,drug-gene
triclosan,HMOX1,drug-gene
curcumin,HMOX1,drug-gene
probucol,HES1,drug-gene
papaverine,HSPA8,drug-gene
sertraline,BIRC5,drug-gene
dexamethasone,IGFBP3,drug-gene
trapidil,IGHMBP2,drug-gene
panobinostat,INSIG1,drug-gene
itraconazole,INSIG1,drug-gene
tamoxifen,INSIG1,drug-gene
raloxifene,INSIG1,drug-gene
toremifene,INSIG1,drug-gene
mitotane,INSIG1,drug-gene
chlorprothixene,INSIG1,drug-gene
sertraline,INSIG1,drug-gene
amiodarone,INSIG1,drug-gene
tamoxifen,ITGAE,drug-gene
triclosan,ITGAE,drug-gene
panobinostat,ITGB5,drug-gene
chenodeoxycholic-acid,KIF5C,drug-gene
papaverine,KIT,drug-gene
rosuvastatin,RHOA,drug-gene
fluvastatin,RHOA,drug-gene
nicergoline,LAMA3,drug-gene
quercetin,LAMA3,drug-gene
naftopidil,LGALS8,drug-gene
carbamazepine,LYN,drug-gene
fostamatinib,FOXO4,drug-gene
dexamethasone,MUC1,drug-gene
benzonatate,NFATC3,drug-gene
vemurafenib,PNP,drug-gene
rilmenidine,NVL,drug-gene
ketotifen,OXA1L,drug-gene
dasatinib,SERPINE1,drug-gene
toremifene,GOLT1B,drug-gene
gemfibrozil,GMNN,drug-gene
nabumetone,GMNN,drug-gene
vemurafenib,PCK2,drug-gene
fluvastatin,PCNA,drug-gene
axitinib,PCNA,drug-gene
NECA,SCAND1,drug-gene
zolmitriptan,ATP6V1D,drug-gene
mometasone,ATP6V1D,drug-gene
methoxsalen,ATP6V1D,drug-gene
quercetin,ATP6V1D,drug-gene
ephedrine,UFM1,drug-gene
nabumetone,PLK1,drug-gene
nicergoline,CYCS,drug-gene
papaverine,CYCS,drug-gene
naltrexone,CYCS,drug-gene
gemfibrozil,CYCS,drug-gene
probucol,POLR2I,drug-gene
NECA,KCTD5,drug-gene
methylergometrine,KCTD5,drug-gene
triclosan,DDIT4,drug-gene
nelfinavir,DDIT4,drug-gene
mometasone,DDIT4,drug-gene
axitinib,HERC6,drug-gene
icosapent,HERC6,drug-gene
nabumetone,PPP2R5E,drug-gene
zolmitriptan,KDM3A,drug-gene
clarithromycin,PECR,drug-gene
ephedrine,EAPP,drug-gene
chenodeoxycholic-acid,ZNF395,drug-gene
methylergometrine,TM9SF3,drug-gene
rilmenidine,PSMB8,drug-gene
diclofenac,CIAPIN1,drug-gene
nitrendipine,MCOLN1,drug-gene
tubocurarine,MCOLN1,drug-gene
clarithromycin,THAP11,drug-gene
temsirolimus,ENOPH1,drug-gene
ketotifen,RAC2,drug-gene
forskolin,RGS2,drug-gene
trapidil,RPA2,drug-gene
estradiol,S100A4,drug-gene
clonidine,SATB1,drug-gene
rilmenidine,SATB1,drug-gene
curcumin,ABHD4,drug-gene
labetalol,RBKS,drug-gene
naftopidil,RBKS,drug-gene
clarithromycin,SLC1A4,drug-gene
nelfinavir,SLC1A4,drug-gene
ethinyl-estradiol,INTS3,drug-gene
naftopidil,BNIP3,drug-gene
bendroflumethiazide,SPAG4,drug-gene
lisuride,SRC,drug-gene
albendazole,AURKA,drug-gene
nitrendipine,STK10,drug-gene
ephedrine,SUV39H1,drug-gene
dopamine,SUV39H1,drug-gene
NECA,TCEA2,drug-gene
oxybenzone,TGFBR2,drug-gene
naltrexone,TGFBR2,drug-gene
ketotifen,TIAM1,drug-gene
estradiol,TLR4,drug-gene
zolmitriptan,TLR4,drug-gene
fluvastatin,TPM1,drug-gene
rosuvastatin,TPM1,drug-gene
axitinib,UGDH,drug-gene
methoxsalen,CXCR4,drug-gene
simvastatin,CCDC86,drug-gene
lovastatin,CCDC86,drug-gene
atorvastatin,CCDC86,drug-gene
brompheniramine,CCDC86,drug-gene
brompheniramine,TRAPPC6A,drug-gene
tofacitinib,MBOAT7,drug-gene
icosapent,MBOAT7,drug-gene
icosapent,NPEPL1,drug-gene
nelfinavir,NUP85,drug-gene
methylergometrine,DHDDS,drug-gene
rilmenidine,FBXO11,drug-gene
granisetron,FBXO11,drug-gene
fostamatinib,FOSL1,drug-gene
curcumin,CDC45,drug-gene
NECA,CASP2,drug-gene
ethinyl-estradiol,CASP3,drug-gene
icosapent,DYRK3,drug-gene
dasatinib,TUBB6,drug-gene
forskolin,TUBB6,drug-gene
labetalol,TUBB6,drug-gene
dasatinib,CAT,drug-gene
curcumin,AKR7A2,drug-gene
chlorphenamine,INPP4B,drug-gene
mometasone,IER3,drug-gene
dexamethasone,IER3,drug-gene
resveratrol,TIMELESS,drug-gene
labetalol,MAP7,drug-gene
gemfibrozil,MAP7,drug-gene
clonidine,DNAJA3,drug-gene
chenodeoxycholic-acid,DNAJA3,drug-gene
oxybenzone,SMC3,drug-gene
carbamazepine,PRPF4,drug-gene
nicergoline,PIGB,drug-gene
clarithromycin,BAG3,drug-gene
lapatinib,CD44,drug-gene
lisuride,IKBKE,drug-gene
nabumetone,USP6NL,drug-gene
chenodeoxycholic-acid,USP6NL,drug-gene
panobinostat,KEAP1,drug-gene
albendazole,CDK1,drug-gene
bendroflumethiazide,KLHL21,drug-gene
sertraline,CDC20,drug-gene
resveratrol,CDC20,drug-gene
vemurafenib,CDC20,drug-gene
toremifene,CDC20,drug-gene
raloxifene,CDC20,drug-gene
triclosan,CDC25A,drug-gene
atorvastatin,CDC25A,drug-gene
lovastatin,CDC25A,drug-gene
simvastatin,CDC25A,drug-gene
quercetin,MVP,drug-gene
rosuvastatin,SCAP,drug-gene
rosuvastatin,FOXA3,drug-gene
rosuvastatin,COQ2,drug-gene
rosuvastatin,HNF1A,drug-gene
rosuvastatin,USP24,drug-gene
rosuvastatin,LPA,drug-gene
toremifene,PLIN1,drug-gene
toremifene,CYP1B1,drug-gene
toremifene,CD80,drug-gene
clarithromycin,ITGAM,drug-gene
clarithromycin,F2RL1,drug-gene
naftopidil,CACNA1H,drug-gene
dopamine,ADRA2A,drug-gene
dopamine,GFER,drug-gene
quercetin,GABPA,drug-gene
quercetin,APOB,drug-gene
quercetin,HSF1,drug-gene
quercetin,PON1,drug-gene
quercetin,CD34,drug-gene
quercetin,MBP,drug-gene
quercetin,CDC25C,drug-gene
quercetin,PKN1,drug-gene
quercetin,PKN3,drug-gene
curcumin,CAMK2A,drug-gene
curcumin,HSD17B3,drug-gene
curcumin,IAPP,drug-gene
curcumin,SMAD2,drug-gene
curcumin,THBD,drug-gene
curcumin,DFFB,drug-gene
curcumin,DNMT3B,drug-gene
labetalol,GJA1,drug-gene
lapatinib,HLA-DQA1,drug-gene
lapatinib,EEF2K,drug-gene
lapatinib,NF2,drug-gene
fluvastatin,SREBF1,drug-gene
fluvastatin,SLC15A1,drug-gene
fluvastatin,LIPC,drug-gene
itraconazole,HMGB1,drug-gene
itraconazole,AVPR2,drug-gene
dexamethasone,KRT19,drug-gene
dexamethasone,S100A10,drug-gene
dexamethasone,SDS,drug-gene
dexamethasone,UBR1,drug-gene
dexamethasone,TSC22D3,drug-gene
dexamethasone,CHKA,drug-gene
dexamethasone,FABP1,drug-gene
dexamethasone,ACTC1,drug-gene
dexamethasone,MT1F,drug-gene
dexamethasone,TEAD1,drug-gene
dexamethasone,CRISPLD2,drug-gene
papaverine,PLAU,drug-gene
papaverine,XDH,drug-gene
papaverine,CREBBP,drug-gene
lovastatin,FDFT1,drug-gene
panobinostat,SIRT4,drug-gene
panobinostat,SIRT6,drug-gene
panobinostat,SIRT7,drug-gene
panobinostat,SMARCB1,drug-gene
panobinostat,ACTL6A,drug-gene
granisetron,NOS1AP,drug-gene
tamoxifen,PIP,drug-gene
tamoxifen,TFF3,drug-gene
tamoxifen,PLD1,drug-gene
tamoxifen,PLD2,drug-gene
tamoxifen,ZNF423,drug-gene
tamoxifen,FMO1,drug-gene
tamoxifen,RRAS2,drug-gene
bendroflumethiazide,SLC12A3,drug-gene
oxybenzone,HTT,drug-gene
gemfibrozil,LEP,drug-gene
albendazole,CYP2J2,drug-gene
trapidil,PDGFRB,drug-gene
carbamazepine,HSPA1A,drug-gene
carbamazepine,PRRC2A,drug-gene
carbamazepine,BAG6,drug-gene
carbamazepine,LTA,drug-gene
carbamazepine,HSPA1L,drug-gene
temsirolimus,FBXW7,drug-gene
temsirolimus,PTPRD,drug-gene
temsirolimus,FKBP1A,drug-gene
methoxsalen,CYP2A6,drug-gene
brompheniramine,HRH1,drug-gene
nicergoline,ADRA1A,drug-gene
mitotane,CYP11A1,drug-gene
mometasone,CD44,drug-gene
mometasone,CCL11,drug-gene
axitinib,FLT1,drug-gene
axitinib,PDGFB,drug-gene
simvastatin,HMGCR,drug-gene
simvastatin,ICMT,drug-gene
simvastatin,SCAP,drug-gene
simvastatin,PON1,drug-gene
nabumetone,PTGS2,drug-gene
nabumetone,CYP2J2,drug-gene
fostamatinib,SYK,drug-gene
chlorprothixene,HTR2B,drug-gene
naltrexone,DBH,drug-gene
