pert	cell	type	trend	WTCS	WTCS_Pval	WTCS_FDR	NCS	Tau	TauRefSize	NCSct	N_upset	N_downset	t_gn_sym	MOAss	PCIDss	clinical_phase
acetylcholine	VCAP	trt_cp	down	-0.3494845295542925	2.9440244984616004e-5	7.447736972988072e-5	-0.821191718222227	-48.0084884100555	6126	-1.023098747028349	50	7	ACHE; CHRM1; CHRM4; CHRM5; CHRNA2; CHRNA7	Acetylcholine receptor agonist	93565	Launched
acetylcholine	PC3	trt_cp	down	-0.43686675274024256	2.450089863464717e-5	7.305905140448846e-5	-0.9341578967090213	-54.11957168352171	6724	-1.023098747028349	50	7	ACHE; CHRM1; CHRM4; CHRM5; CHRNA2; CHRNA7	Acetylcholine receptor agonist	93565	Launched
acetylcholine	MCF7	trt_cp	down	-0.5370333164419243	2.014905163026934e-5	7.305905140448846e-5	-1.1957486329423381	-84.73760231102551	6231	-1.023098747028349	50	7	ACHE; CHRM1; CHRM4; CHRM5; CHRNA2; CHRNA7	Acetylcholine receptor agonist	93565	Launched
acitretin	ASC	trt_cp	down	-0.47768532488480875	2.271664136285226e-5	7.305905140448846e-5	-1.075664401588183	-74.92537313432835	2345	-0.02470224038192018	50	7	CRABP1; RARA; RARB; RARG; RBP1; RXRA; RXRB; RXRG; STAT3	Retinoid receptor agonist	5284513	Launched
acitretin	NPC	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	3328	-0.02470224038192018	50	7	CRABP1; RARA; RARB; RARG; RBP1; RXRA; RXRB; RXRG; STAT3	Retinoid receptor agonist	5284513	Launched
acitretin	PC3	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	6724	-0.02470224038192018	50	7	CRABP1; RARA; RARB; RARG; RBP1; RXRA; RXRB; RXRG; STAT3	Retinoid receptor agonist	5284513	Launched
acitretin	A549	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	4920	-0.02470224038192018	50	7	CRABP1; RARA; RARB; RARG; RBP1; RXRA; RXRB; RXRG; STAT3	Retinoid receptor agonist	5284513	Launched
acitretin	VCAP	trt_cp	up	0.3386272968963583	3.437959133458484e-5	8.359515869694079e-5	0.9158935497595394	35.56970290564806	6126	-0.02470224038192018	50	7	CRABP1; RARA; RARB; RARG; RBP1; RXRA; RXRB; RXRG; STAT3	Retinoid receptor agonist	5284513	Launched
acitretin	NEU	trt_cp	down	-0.526989596869266	2.0584236330707125e-5	7.305905140448846e-5	-1.2635663174365777	-75.31313131313132	2475	-0.02470224038192018	50	7	CRABP1; RARA; RARB; RARG; RBP1; RXRA; RXRB; RXRG; STAT3	Retinoid receptor agonist	5284513	Launched
acitretin	FIBRNPC	trt_cp	down	-0.38714436397150176	2.6676822136836084e-5	7.305905140448846e-5	-0.823408012730678	-47.403685092127304	597	-0.02470224038192018	50	7	CRABP1; RARA; RARB; RARG; RBP1; RXRA; RXRB; RXRG; STAT3	Retinoid receptor agonist	5284513	Launched
