Unnamed: 0	GSM4455458	GSM4455459	GSM4455460	GSM4455461	GSM4455462	GSM4455463	GSM4455464	GSM4455465	GSM4455466
STARD3NL	1317	1182	1905	1430	1281	1006	769	397	990
CD9	1061	698	422	422	264	674	425	275	506
HHATL	0	0	1	1	3	1	0	0	0
NCAPD2	1144	915	534	1388	823	2326	1966	1220	1731
IFFO1	612	1226	557	2357	1533	1972	1280	1379	1891
GIPR	18	341	73	479	193	420	300	289	157
PHF7	70	149	108	197	186	256	304	144	189
SEMA3G	4	75	9	18	5	53	9	51	81
NISCH	1604	2995	1232	4759	3372	4120	2970	2220	2965
STAB1	1312	4906	2509	6915	5307	1291	739	1950	5456
FUZ	70	97	76	139	263	296	156	239	170
SLC6A13	2	0	10	3	9	11	11	14	7
IDS	7532	13006	9389	11679	9893	10082	11128	3336	7650
PRSS3	0	5	7	8	5	2	7	2	2
ZNF200	1207	425	3238	410	1054	391	614	242	309
CD4	396	5526	893	10405	5211	8874	3135	3989	10409
LRRC23	72	48	44	66	82	203	235	152	101
BTK	3601	2009	1308	2285	1704	2202	1055	1527	3125
HFE	39	106	117	163	145	195	139	262	275
SCMH1	107	414	169	477	326	600	557	280	377
FYN	956	11114	3849	18128	6324	12676	8913	4682	8130
HIVEP2	1243	5822	11069	5339	2804	5318	4095	1459	2961
FMO1	0	1	5	4	2	9	7	7	3
ELOA	506	2069	510	1662	1975	1593	1908	737	1252
LYPLA2	1804	1447	1476	2181	1226	1685	1977	1590	1425
CLCN6	355	1326	1471	2278	1793	1368	1187	521	1532
MRC2	4	46	11	40	65	80	101	57	76
NME1-NME2	18	31	33	17	13	23	9	18	5
SLC6A7	0	0	0	0	0	1	2	0	1
TSPAN9	21	142	257	203	46	412	27	184	209
BTBD7	246	423	297	338	530	666	711	416	460
APBA3	295	571	341	754	716	991	1523	775	668
MKS1	40	110	72	171	193	377	428	229	233
ABHD5	4834	753	2284	1007	2784	727	503	541	904
ANOS1	103	19	72	19	4	49	41	3	29
AKAP8L	1905	2779	1192	3328	2980	3509	2747	2707	2627
MBTD1	739	1139	750	1655	1275	1944	1227	622	1335
UTP18	1075	741	888	1111	1518	1007	1214	665	917
RNF216	1165	2781	1351	4180	2187	4048	4492	2310	2613
TTC19	137	1079	365	1224	1560	1464	1422	1272	1440
PTBP1	3115	9113	4046	9996	7503	8987	7992	4713	7723
DPF1	15	17	16	16	21	31	25	54	23
SYT7	0	1	1	2	2	2	8	1	1
LARS2	131	571	132	560	393	539	572	293	411
PIK3C2A	689	1855	2154	2532	2648	1359	1347	714	1125
PLAUR	3992	5275	9024	4631	16681	5194	4938	1597	9098
ANLN	325	191	116	94	28	44	117	51	27
WIZ	316	1065	282	1083	850	1512	1290	692	1233
RABGAP1	598	1485	1272	1853	1077	1447	1356	560	1265
DCN	1	11	9	6	19	10	20	18	17
QPCTL	34	236	122	344	329	322	440	524	241
PPP5C	138	581	289	928	621	1628	1203	858	1179
CEP68	707	990	413	1469	648	1458	924	629	799
MAP4K3	78	690	279	396	677	442	460	178	408
ZBTB32	15	502	32	90	59	162	203	214	87
TYROBP	27015	9969	14709	9200	13856	5662	3325	5158	10070
LDAF1	58	128	109	140	192	219	196	227	207
GABRA3	0	0	0	0	0	0	1	0	0
BRCA1	116	247	141	228	289	377	543	546	278
ERCC1	301	1157	436	1404	1340	1907	1666	1220	1595
CD22	189	1061	133	446	1092	2470	1624	1188	857
SEMA3B	36	34	83	54	121	19	32	18	26
MBTPS2	101	297	130	313	159	298	348	174	226
PRICKLE3	244	165	119	279	197	262	223	164	274
LTF	25853	15761	21913	616	140	377	903	40	175
EXTL3	1297	1070	1253	1531	1150	1218	941	758	965
NR1H4	1	4	2	1	9	3	5	3	2
ELOVL5	7722	7336	6808	6025	6394	4492	4104	1690	3911
ALOX5	7068	1020	3819	2529	2370	608	434	468	1071
KDM5D	13	2578	449	8	12	5015	2780	247	2864
CALCOCO1	2972	2087	1932	3759	2312	4682	2744	1630	2897
UBR7	514	1069	574	1289	476	1180	1499	568	874
MAP4K5	211	1516	792	1651	1283	1500	1079	487	982
EHD3	88	348	254	410	166	1082	238	344	523
PSMC4	646	966	638	846	1245	783	1130	570	659
MAN2B2	2481	2710	1931	2912	2354	3080	2244	1161	2739
SLC7A14	13	21	31	51	66	73	70	120	63
CLDN11	8	20	17	6	47	24	22	39	12
SLC25A39	351	1460	1610	1561	3466	2003	2820	2091	1442
MVP	11626	7003	5577	5752	6684	6024	6397	5246	8625
NUB1	2167	3263	5669	3827	4037	3540	8526	1652	4194
PGM3	218	733	445	783	824	866	1145	679	547
RWDD2A	21	138	28	123	82	184	316	158	103
CLK1	18376	6543	6835	7652	27403	9730	4800	3775	6789
POLR3B	63	158	79	178	222	289	210	107	186
ANGEL1	68	865	129	630	339	1157	1064	413	724
RNF14	573	676	622	911	496	820	1112	580	560
DNASE1L1	2757	1224	987	1368	1310	808	760	407	1083
DDX11	65	837	136	623	269	2636	1163	1711	902
HEBP1	174	411	264	557	583	380	563	307	670
GPRC5A	6	27	19	29	100	66	135	188	44
MAMLD1	3	131	15	56	41	101	160	32	50
CD6	115	7114	1487	9453	2967	8172	6327	5251	4997
TACC3	3700	2241	1645	3476	2248	3186	2971	2093	2779
UFL1	987	1886	729	2109	1175	1839	2009	710	1077
POLA2	61	358	243	385	189	478	937	434	328
ZC3H3	1452	843	1410	932	761	1171	1030	546	1075
CAPN1	8088	3138	2654	3898	3478	4938	3136	2866	4770
ACP3	2303	926	637	732	694	253	64	115	476
MDH1	925	1634	671	1533	1154	1726	2198	1270	1609
SLC30A9	1084	1547	922	1351	943	1473	1599	702	1277
MTMR11	93	774	315	1064	1516	402	133	281	1330
COX15	1075	636	383	647	482	1090	1351	571	894
CCDC88C	587	6098	1115	7482	4643	9811	4165	3191	6168
YAF2	564	1064	836	1235	1700	1115	997	1018	860
ZMYND11	277	1584	565	2032	1188	2844	2245	784	1384
WAS	11885	5854	7831	5886	7181	6867	3849	3489	7300
DPEP1	0	0	0	1	0	0	0	3	4
BID	3800	5912	8189	2832	6588	1824	1645	1029	2880
MATR3	6985	14573	8264	15370	15320	10968	9464	5014	8802
NPC1L1	0	5	1	1	5	0	1	1	0
XYLT2	96	397	127	705	393	1051	903	788	698
RGPD5	17	351	65	198	969	334	759	334	175
STMN4	0	2	2	4	0	2	3	0	1
NUDCD3	291	839	267	1175	916	2247	1923	1093	1529
ISL1	0	0	0	0	0	0	0	0	0
CHDH	113	92	22	45	27	88	163	116	124
IL20RA	0	0	0	1	0	3	1	0	1
CLCA1	0	0	0	0	0	0	1	1	0
CLCA4	0	0	0	0	2	0	3	0	0
GLT8D1	305	621	176	555	412	916	1325	571	622
ATP2C1	1317	1930	1105	1465	1582	1928	1985	740	1675
IGF1	1	55	5	4	2	16	10	122	0
SLC38A5	65	376	233	374	280	522	408	592	353
RALBP1	3661	1740	2077	2620	2452	3228	3094	2602	2758
RUFY3	127	1693	638	1098	1290	1413	1337	886	1708
CNTN1	0	4	0	0	2	5	1	14	4
SLC11A1	24025	6315	9847	9732	12818	5274	1359	3779	13513
WWTR1	6	16	13	24	24	55	136	43	37
AGPS	856	1651	1097	2047	1283	1516	1198	748	1774
ZNF285CP	1	8	6	6	12	18	28	30	7
STEEP1	311	788	555	866	577	499	841	629	700
ATP1A2	5	11	6	9	20	28	19	66	10
TTC27	54	404	78	317	302	538	573	305	343
ZNF582	10	48	42	76	58	100	189	37	41
VSIG2	11	251	203	313	129	650	16	338	393
PHLDB1	32	183	78	136	198	184	184	276	142
MARCO	263	586	299	677	483	66	39	266	675
CYP24A1	0	3	0	10	7	7	3	4	8
PRDM11	21	303	109	454	240	430	398	129	250
SYT13	2	1	7	4	6	23	14	31	8
SNAI2	0	0	0	0	0	1	0	1	0
CD74	7890	154242	56624	90021	103493	106714	85264	45488	143178
HGF	6241	67	270	266	107	67	11	50	239
ZRANB1	1773	1803	1870	2053	3082	1275	1527	373	821
NCDN	76	439	83	431	379	591	856	383	477
ADGRA2	22	35	34	232	236	75	12	28	213
CCT8L1P	1	0	1	0	1	1	0	2	1
ZFP64	54	244	70	394	219	384	366	223	300
MNAT1	62	270	155	275	243	305	330	195	197
SAMD4A	19	177	213	105	330	151	274	204	1067
RUNX3	1401	24739	5037	24875	12788	19541	15356	9461	11728
MRE11	200	794	393	1283	891	1553	1214	836	1030
PLEKHB1	10	257	44	237	221	789	702	481	384
SERPINB1	75854	8383	25201	8332	8284	4749	4375	2734	6832
CYP3A43	3	8	6	5	16	14	15	13	14
SLC7A9	5	11	3	12	19	30	20	51	16
SPAST	1399	1219	710	1432	1183	1170	1058	693	1138
NRXN3	2	9	6	7	12	9	22	27	20
OSBPL5	167	875	572	2289	1321	2343	344	573	1584
AQR	926	2387	896	2764	1770	2259	1834	1010	1830
CPS1	34	19	28	18	31	33	32	53	26
C8B	0	1	0	2	0	0	0	0	0
FHL1	8	314	336	588	248	1041	265	324	694
RTF2	6728	2865	4710	2446	3534	2127	2267	1352	2254
GABRA1	0	3	0	3	2	0	4	11	3
NLRP2	21	96	6	240	55	50	43	150	49
SLC45A4	1043	716	1692	741	1897	528	712	205	601
RNF10	35196	5330	13259	5601	9349	4429	3964	2567	4038
ZNF839	618	296	181	374	542	702	722	406	401
ZDHHC6	1155	1938	904	1722	1484	2138	2400	853	1672
GRAMD1B	167	735	252	604	692	527	391	237	802
RNH1	1088	2278	874	2178	2451	1932	1922	1247	3126
NDUFS1	637	946	495	1091	434	922	845	604	736
RB1CC1	5785	3972	6519	5316	6569	2564	2977	2118	2297
ERP44	5462	4308	5277	3668	5244	2377	3095	1497	2927
