Unnamed: 0	GSM1565955	GSM1565956	GSM1565957	GSM1565958	GSM1565959	GSM1565960	GSM1565961	GSM1565962	GSM1565963	GSM1565964	GSM1565965	GSM1565966
CYBA	14850	35417	11467	46740	13633	19511	17636	19922	17550	27886	24507	42165
THOC3	628	994	417	956	789	1269	510	1024	475	1202	909	1458
HEBP2	1258	2145	954	4206	974	1678	1424	1899	1678	1900	943	884
MPHOSPH9	525	815	715	1047	1216	2034	1177	2574	1339	1811	1222	876
PLEKHA5	12977	6032	32193	5710	17234	8668	19787	8916	54803	5021	34965	3975
PRSS8	11	72	16	43	47	27	8	17	27	10	22	48
SIKE1	1478	1140	1235	1608	1974	1948	2387	2842	2072	2235	2080	1116
RRP12	916	1908	466	2262	980	1404	1178	1211	1050	1692	1235	2623
FNIP2	9147	5872	11822	4672	16631	12423	18561	19939	22100	10273	18068	4589
MSMO1	10781	3217	8748	3331	12843	4309	13234	3275	6577	3053	8623	2982
TTC17	4125	3193	3635	5582	4171	5332	6202	7404	5469	6649	6134	3591
ALX4	0	1	1	1	1	1	0	2	2	0	0	3
FSTL4	20	3	4	3	18	6	71	102	15	2	6	10
FOXN3	7797	7255	8500	9291	13634	12422	9407	17699	32813	17356	11154	7273
METTL24	0	2	4	0	4	3	13	13	1	7	5	6
AKR7A2	1353	3622	939	4207	1744	2886	1200	3085	1416	2961	1385	3067
MRTO4	1757	4333	985	2719	1846	1934	1518	1990	1388	2068	1926	2695
NNAT	30	22	40	28	46	79	37	109	35	43	53	47
USE1	802	1064	614	1407	507	529	997	602	753	783	1411	1281
MCF2L2	316	136	308	302	448	182	264	206	279	150	279	245
NRIP2	32	96	65	125	46	120	85	169	79	170	80	162
LAMA3	15	2	0	0	1	3	29	1	9	3	17	1
AP5M1	3458	3094	2701	3447	4889	6075	4175	7215	5392	5715	4046	2142
ANAPC4	2147	1976	1836	3471	2108	2357	3073	3172	2035	2747	2677	2347
KCNQ1	3218	8002	3074	7987	4229	12370	3588	14006	5130	9841	4882	7729
TRAPPC3	4112	5123	2796	6084	3988	3753	3994	3728	4533	5020	4684	4579
THRAP3	11740	7579	12121	11181	13108	11276	18486	13897	18265	13633	18151	8874
PHPT1	2254	6746	1641	5045	2510	3479	2554	3603	1851	4005	3330	6485
ENTPD2	6	11	0	0	0	2	10	0	18	1	13	0
LY75	103998	11237	135151	4489	102520	21720	229188	17674	220337	3493	182222	1922
ARID4B	6372	2058	5865	3377	5721	3908	11633	5470	12399	5381	12269	2428
OPN3	4634	4233	3770	3932	3519	4787	1933	3314	3924	3626	2839	3167
SDCCAG8	769	1206	505	1036	701	1776	356	1025	730	1844	980	729
PTPRN	18	28	2	0	9	1	1	1	50	3	2	0
HHAT	51	95	20	147	78	187	20	132	43	167	26	77
KIF1B	4576	3465	4853	3450	5936	5535	8797	9352	16147	6281	11698	3485
FOXC1	20	3	36	5	24	30	30	27	100	22	47	5
TBC1D22A	4070	9437	3155	7189	4045	5834	3041	5366	4804	7198	4305	6870
SYNE2	75	40	772	308	122	57	2001	593	1282	447	3086	458
PLEKHH1	64	429	72	228	390	1088	102	819	51	312	96	289
ATP9A	80	133	24	17	260	259	77	92	187	36	193	101
SPO11	0	0	0	0	0	0	0	0	0	0	0	0
CBLN4	0	0	0	0	1	0	0	0	0	0	0	0
CHRDL2	0	2	0	6	1	1	0	1	1	3	2	7
FAM168A	2133	2155	2572	2646	2163	2877	3542	4627	3977	4909	3528	2838
RELT	6639	5672	7152	6527	6272	5393	8228	6477	12251	9191	10303	7431
GALC	1237	1245	1557	2466	1262	2132	1549	3341	4088	4071	2833	1629
NOP58	2431	3734	3461	4808	2986	3515	5722	3867	5284	4279	7512	3519
SZRD1	11603	9765	8745	10736	9600	9336	16673	10123	14944	13182	16794	9275
KCNH2	74	18	51	62	74	75	115	62	212	114	91	68
CUL1	11534	7128	8951	6315	8111	7233	29253	7895	20258	7660	26618	4847
FAM114A2	567	700	598	1536	933	1266	974	1515	1425	2184	1143	944
CYFIP2	741	1941	975	1185	769	1877	1619	1653	4964	1631	3605	1274
TAB2	17022	5281	11605	4842	14612	6618	25569	7383	23727	8364	21312	3267
GINM1	3845	2651	2609	3536	2905	2565	4028	3018	5805	4004	3672	1866
EIF2AK2	12884	1270	2611	2981	8907	3970	23892	5375	6313	5390	13428	2116
USP36	3158	2824	3250	3222	3460	3349	4699	4498	5491	3957	5201	3402
KMT2C	3644	2406	6619	4847	7032	6004	9795	14134	17624	10625	10722	5049
MCOLN3	486	180	61	24	517	166	140	70	108	97	106	64
CCDC85A	7	32	0	6	78	155	4	73	31	91	32	9
PUM2	5140	5169	7076	8828	8525	10849	9485	15648	14559	14611	11171	5476
MRPL43	1299	2353	1070	3445	1184	1667	1205	1797	1838	2755	1415	2473
ITIH4	793	383	284	658	277	204	1189	280	149	186	531	429
ITIH1	302	20	64	12	118	10	163	5	123	7	83	5
HPF1	92	260	81	924	145	354	100	477	216	869	194	533
ZFR	6663	3221	6329	4885	8309	6448	11393	8883	14499	8305	10798	2784
ZNF280C	277	111	362	236	407	404	677	592	583	301	488	126
NPFFR2	1	0	0	1	0	0	1	0	0	1	1	0
PHF21B	0	0	0	0	1	0	0	0	3	0	0	0
TRAF1	133247	6593	114475	1689	55974	4480	207504	3434	136867	2765	209285	2363
RC3H2	5782	2336	5590	3930	7246	4660	10708	6928	14671	5425	10072	2563
KIFC1	0	0	0	0	1	1	1	0	0	0	0	0
IL17RB	685	221	299	859	493	340	989	706	15634	5125	1829	802
TRAF3IP2	557	438	211	191	221	246	593	272	1616	186	1946	150
GYG2	3	10	2	4	4	3	0	7	3	7	3	5
DCBLD2	529	143	522	206	581	280	629	333	355	621	457	142
SERPINB3	0	0	0	0	0	0	0	0	51	0	26	0
SOAT1	28224	23668	25131	46852	49003	45494	25370	41103	47093	27594	38193	28548
PKP2	14	85	99	478	148	501	49	241	217	396	79	254
MSH4	10	6	4	1	13	5	6	10	0	11	3	2
F7	2	4	5	6	0	3	0	4	2	5	3	8
GDI2	34864	37639	33304	42945	41948	49160	37843	49409	38492	45334	38239	35293
PRDM1	4176	1393	8408	6946	6617	3638	11016	5829	24746	10453	15995	3804
ATG5	2904	2961	2058	3103	2877	2943	3379	2762	3546	3596	3510	2057
TMCC3	8463	493	13186	415	5752	389	11870	236	15364	2127	11031	273
PITHD1	2246	2493	1952	3689	2203	2187	3104	2419	3799	4074	3860	2864
MTA3	983	982	396	492	631	721	591	733	409	593	344	436
USP13	242	344	172	546	407	657	343	837	575	663	384	454
ATP11B	3494	3244	3644	3551	6366	6950	5871	10033	10392	6387	7167	2420
LAMC2	22	6	8	9	4	8	37	10	17	5	56	9
CDK14	217	55	263	84	226	140	244	192	661	309	619	65
SEC61A1	13322	23318	10938	26042	18839	22772	20483	23140	21153	28985	24828	23335
PPP1R12A	7017	4503	7865	6879	10269	9424	10884	13252	14799	10309	11384	4413
