Unnamed: 0	GSM4263940	GSM4263941	GSM4263942	GSM4263943	GSM4263944	GSM4263945
CD22	785	977	493	461	458	292
SEMA3B	11	4	6	6	6	11
MBTPS2	486	409	479	515	368	494
PRICKLE3	107	111	136	128	87	153
LTF	1	0	0	3	1	0
EXTL3	590	656	642	459	409	654
NR1H4	0	0	0	0	0	0
ELOVL5	2047	2657	2484	3002	2749	3557
ALOX5	1815	1201	1860	1047	364	1162
KDM5D	939	912	838	911	570	941
CALCOCO1	1894	1424	1246	2398	1270	1926
UBR7	1464	1237	1156	1165	733	785
MAP4K5	478	380	401	470	338	384
EHD3	351	168	253	251	63	172
PSMC4	462	455	541	619	364	704
MAN2B2	2009	1875	1669	2025	1422	1863
SLC7A14	2	12	4	7	1	10
CLDN11	3	2	2	3	2	6
SLC25A39	1607	1784	1757	1823	1029	1536
MVP	4121	4675	5069	7621	5924	8464
NUB1	717	651	718	2420	2793	1890
PGM3	539	525	588	630	442	765
RWDD2A	165	148	142	171	136	170
CLK1	837	756	783	796	617	975
POLR3B	155	134	179	182	90	141
ANGEL1	2064	1567	1221	2234	1193	1544
RNF14	786	638	663	809	506	671
DNASE1L1	1294	1018	1328	1538	852	1324
DDX11	368	293	560	344	68	307
HEBP1	599	595	579	764	532	550
GPRC5A	8	13	14	8	7	25
MAMLD1	62	70	56	93	127	626
CD6	38	75	30	21	32	27
TACC3	810	893	1739	486	246	641
UFL1	716	683	704	797	526	775
POLA2	324	292	429	290	233	208
ZC3H3	332	323	279	432	250	393
CAPN1	2247	2434	2592	2800	2012	3112
ACP3	86	35	161	164	34	426
MDH1	5748	5868	5236	4964	3235	4112
SLC30A9	1026	1024	955	1032	762	1056
MTMR11	34	20	46	16	11	56
COX15	772	728	821	844	484	804
CCDC88C	425	505	161	214	259	80
YAF2	178	155	116	187	118	152
ZMYND11	676	724	721	541	354	621
WAS	443	548	858	512	407	898
DPEP1	0	0	0	0	0	0
BID	517	513	790	1301	788	1839
MATR3	1572	1864	2211	1609	1395	2000
NPC1L1	0	1	0	0	0	0
XYLT2	399	352	418	375	195	399
RGPD5	79	104	106	308	152	129
STMN4	1	0	0	0	0	3
NUDCD3	1104	966	1024	1123	684	929
ISL1	0	0	0	0	0	0
CHDH	11	22	27	5	12	50
IL20RA	0	0	0	0	0	0
CLCA1	0	0	0	0	0	0
CLCA4	4	0	0	1	2	0
GLT8D1	308	288	328	275	167	290
ATP2C1	1594	1988	2348	2222	2287	3611
IGF1	0	1	1	0	1	2
SLC38A5	1	9	10	7	19	8
RALBP1	1567	1477	1398	1461	1107	1493
RUFY3	565	511	442	696	529	791
CNTN1	0	0	0	0	0	0
SLC11A1	4076	5431	4138	3737	4756	9569
WWTR1	257	279	234	319	264	262
AGPS	2189	2676	1958	1923	1627	1572
ZNF285CP	0	0	4	0	2	2
STEEP1	257	272	239	297	227	273
ATP1A2	0	1	1	1	1	0
TTC27	180	150	209	242	123	163
ZNF582	35	41	46	36	32	45
VSIG2	8	8	24	0	0	6
PHLDB1	233	199	506	254	224	685
MARCO	1910	1388	5371	916	1076	8649
CYP24A1	0	0	0	0	0	0
PRDM11	40	45	54	72	33	54
SYT13	1	2	0	1	1	1
SNAI2	0	1	1	0	0	0
CD74	18801	39987	49000	21555	31620	38379
HGF	12	10	36	1	2	7
ZRANB1	372	341	312	329	212	406
NCDN	355	379	421	522	302	450
ADGRA2	7	21	55	5	25	82
CCT8L1P	0	0	0	0	0	0
ZFP64	154	154	172	150	100	148
MNAT1	100	100	85	78	61	78
SAMD4A	379	245	204	386	315	186
RUNX3	324	313	282	608	600	602
MRE11	302	382	362	264	239	284
PLEKHB1	7	5	16	3	4	13
SERPINB1	1317	1042	1365	1649	1314	1859
CYP3A43	2	0	2	1	1	1
SLC7A9	0	4	2	1	1	2
SPAST	365	432	414	464	386	450
NRXN3	15	17	0	16	11	2
OSBPL5	223	72	110	199	69	100
AQR	789	841	937	846	587	802
CPS1	4	2	17	1	0	3
C8B	0	0	0	0	0	0
FHL1	932	584	557	278	128	216
RTF2	1532	1265	1336	1584	1066	1648
GABRA1	0	3	1	0	0	0
NLRP2	60	165	58	38	333	101
SLC45A4	400	323	265	307	254	219
RNF10	1650	1526	1704	1921	1257	2055
ZNF839	181	133	132	149	53	125
ZDHHC6	433	483	502	435	367	489
GRAMD1B	98	170	174	67	82	202
RNH1	2233	2858	2968	2635	2202	2739
NDUFS1	1522	1362	1215	1526	888	1201
RB1CC1	576	510	482	595	425	704
