pert	n_reversed_cells	min_score_cell	all_reversed_cells
quetiapine	5	HCC515	HA1E, PHH, HCC515, MCF7, A549
sertraline	5	A549	HCC515, A549, PC3, ASC, VCAP
simvastatin	5	HA1E	FIBRNPC, HCC515, PC3, HA1E, A549
thalidomide	5	ASC	SKB, ASC, FIBRNPC, PHH, VCAP
thiethylperazine	5	ASC	SKB, PC3, HA1E, A549, ASC
toremifene	5	VCAP	PC3, VCAP, HCC515, SKB, MCF7
trimipramine	5	MCF7	MCF7, HCC515, A549, VCAP, PC3
vinblastine	5	VCAP	NPC, VCAP, MCF7, PHH, HA1E
zuclopenthixol	5	A549	SKB, A549, ASC, NPC, PHH
GR-235	4	NEU	MCF7, NEU, PC3, NPC
acetyl-farnesyl-cysteine	4	SKB	SKB, MCF7, FIBRNPC, A549
afatinib	4	A549	ASC, A549, PC3, MCF7
albendazole	4	ASC	SKB, ASC, MCF7, HA1E
alimemazine	4	HA1E	MCF7, PC3, A549, HA1E
amcinonide	4	A549	MCF7, PHH, A549, PC3
amodiaquine	4	NPC	NPC, VCAP, PC3, MCF7
amsacrine	4	PC3	PC3, NPC, ASC, HCC515
anagrelide	4	PC3	NPC, PC3, A549, VCAP
atorvastatin	4	HA1E	MCF7, HA1E, A375, NPC
betamethasone	4	ASC	A549, ASC, VCAP, PC3
betaxolol	4	PHH	MCF7, PHH, SKB, HCC515
bifemelane	4	MCF7	VCAP, MCF7, PC3, NPC
bisoprolol	4	PHH	PC3, PHH, SKB, HA1E
bucladesine	4	PHH	NPC, PHH, A549, VCAP
budesonide	4	VCAP	A549, A375, VCAP, NEU
buphenine	4	A549	PHH, A549, MCF7, HCC515
cabergoline	4	PC3	PC3, NPC, A549, VCAP
caffeine	4	A549	A549, FIBRNPC, NEU, NPC
calcipotriol	4	PC3	HA1E, VCAP, PC3, MCF7
carbenoxolone	4	VCAP	VCAP, MCF7, HCC515, NPC
carbinoxamine	4	A549	HA1E, MCF7, A549, VCAP
carteolol	4	A549	PC3, A549, PHH, VCAP
carvedilol	4	MCF7	MCF7, VCAP, PC3, ASC
cholic-acid	4	NEU	NEU, FIBRNPC, NPC, PC3
cilnidipine	4	PC3	HA1E, PC3, ASC, PHH
citalopram	4	A375	VCAP, PC3, A375, A549
cladribine	4	PC3	A549, MCF7, VCAP, PC3
clemastine	4	HA1E	PHH, PC3, HA1E, A549
clomifene	4	HT29	ASC, HT29, A549, PHH
clomipramine	4	A549	A549, MCF7, PC3, PHH
dactinomycin	4	VCAP	A549, PC3, VCAP, HA1E
diethylcarbamazine	4	VCAP	MCF7, VCAP, HCC515, PHH
diflunisal	4	PC3	HCC515, PC3, SKB, VCAP
dimercaptosuccinic-acid	4	ASC	ASC, PHH, NPC, SKB
docetaxel	4	SKB	NEU, NPC, SKB, MCF7
donepezil	4	VCAP	HCC515, ASC, A549, VCAP
estradiol	4	HT29	HCC515, VCAP, HT29, ASC
ethinyl-estradiol	4	HT29	VCAP, HT29, HA1E, MCF7
fluphenazine	4	A375	SKB, A375, A549, HT29
flupirtine	4	MCF7	SKB, VCAP, MCF7, A549
flutamide	4	PC3	ASC, NPC, PC3, HA1E
halcinonide	4	A549	A549, VCAP, SKB, NEU
homatropine	4	VCAP	A549, VCAP, HT29, MCF7
imatinib	4	PC3	PC3, MCF7, FIBRNPC, VCAP
ingenol	4	A375	A549, HT29, PC3, A375
isoxsuprine	4	MCF7	A549, MCF7, A375, HT29
isradipine	4	NPC	MCF7, PC3, NPC, A375
ketorolac	4	MCF7	NPC, MCF7, A549, VCAP
ketotifen	4	HCC515	HCC515, NPC, PC3, MCF7
lapatinib	4	SKB	SKB, PC3, MCF7, NPC
lonidamine	4	VCAP	NPC, VCAP, NEU, PC3
menadione	4	PHH	ASC, NPC, PC3, PHH
midostaurin	4	A549	HCC515, A549, PHH, NPC
mitotane	4	PHH	A549, ASC, PHH, VCAP
nabumetone	4	A375	A549, A375, VCAP, MCF7
naloxone	4	A549	ASC, NPC, PHH, A549
naphazoline	4	PC3	HA1E, SKB, PC3, PHH
nicardipine	4	A375	VCAP, HCC515, A375, MCF7
nitrendipine	4	FIBRNPC	FIBRNPC, HT29, PHH, A549
penfluridol	4	PC3	ASC, PC3, MCF7, VCAP
physostigmine	4	MCF7	PHH, MCF7, HA1E, VCAP
piretanide	4	MCF7	HCC515, VCAP, MCF7, SKB
pizotifen	4	PHH	VCAP, HCC515, PHH, MCF7
prednisolone	4	PHH	HCC515, PHH, A549, NPC
propofol	4	PC3	PC3, A549, SKB, MCF7
proxymetacaine	4	MCF7	MCF7, VCAP, HCC515, NEU
riluzole	4	NEU	HCC515, NEU, PC3, ASC
risperidone	4	A549	A549, HCC515, MCF7, ASC
rivaroxaban	4	NEU	NPC, A549, PC3, NEU
rutin	4	ASC	ASC, HCC515, HA1E, A549
sildenafil	4	PHH	PC3, PHH, VCAP, HCC515
sitagliptin	4	ASC	NEU, ASC, A549, PC3
spiperone	4	A549	A549, FIBRNPC, ASC, HA1E
sulpiride	4	HA1E	HCC515, A549, SKB, HA1E
teniposide	4	PC3	ASC, PC3, VCAP, HCC515
thioproperazine	4	PHH	VCAP, HCC515, ASC, PHH
thiostrepton	4	A549	A549, PC3, VCAP, ASC
thiothixene	4	HCC515	HCC515, SKB, PC3, ASC
ticlopidine	4	PC3	PC3, SKB, ASC, PHH
timolol	4	PC3	PC3, SKB, PHH, HCC515
tocainide	4	HA1E	A549, A375, HA1E, PC3
tranilast	4	PHH	A549, PC3, NPC, PHH
tranylcypromine	4	A375	NPC, A375, A549, MCF7
trazodone	4	NEU	PC3, ASC, NEU, NPC
tubocurarine	4	PC3	PC3, A549, SKB, NPC
valproic-acid	4	PC3	HCC515, PC3, VCAP, A549
valsartan	4	A549	SKB, ASC, A549, PHH
venlafaxine	4	PC3	PC3, ASC, SKB, PHH
verapamil	4	MCF7	MCF7, NPC, VCAP, HT29
NECA	3	HA1E	SKB, HA1E, MCF7
acamprosate	3	MCF7	NPC, MCF7, A549
aminoglutethimide	3	A549	A549, NPC, VCAP
amitriptyline	3	MCF7	VCAP, A549, MCF7
anastrozole	3	A549	VCAP, A549, MCF7
atomoxetine	3	HCC515	A549, HCC515, VCAP
axitinib	3	NPC	A549, NPC, NEU
azasetron	3	PHH	HCC515, SKB, PHH
azathioprine	3	VCAP	MCF7, HT29, VCAP
bendroflumethiazide	3	HCC515	HCC515, NPC, VCAP
benzonatate	3	A549	A549, VCAP, NPC
benzthiazide	3	VCAP	NPC, PHH, VCAP
bezafibrate	3	FIBRNPC	FIBRNPC, A549, HCC515
bosutinib	3	A549	A549, FIBRNPC, VCAP
bromocriptine	3	PC3	A375, PC3, MCF7
bupropion	3	A549	A549, PHH, NPC
butoconazole	3	MCF7	MCF7, VCAP, HA1E
calcifediol	3	SKB	PC3, SKB, ASC
calcitriol	3	VCAP	FIBRNPC, VCAP, A549
capecitabine	3	NPC	PC3, NPC, ASC
capsaicin	3	NPC	NPC, MCF7, FIBRNPC
carbetocin	3	NEU	NEU, PC3, NPC
celecoxib	3	NEU	NEU, FIBRNPC, ASC
chenodeoxycholic-acid	3	NEU	SKB, NEU, VCAP
chloroquine	3	HCC515	HCC515, A549, A375
chlorprothixene	3	HCC515	A549, HCC515, HA1E
cilastatin	3	HA1E	HA1E, MCF7, PC3
cilostazol	3	PHH	PHH, PC3, A549
cinacalcet	3	NEU	NEU, PC3, A549
clofarabine	3	HA1E	HA1E, MCF7, HCC515
clofibric-acid	3	A549	A549, NEU, MCF7
clonidine	3	PC3	PC3, ASC, PHH
coumarin	3	NPC	NPC, HA1E, MCF7
cytarabine	3	PC3	A549, MCF7, PC3
danazol	3	VCAP	MCF7, VCAP, SKB
dantrolene	3	PHH	A549, PC3, PHH
dasatinib	3	A549	PC3, A549, NPC
daunorubicin	3	VCAP	VCAP, A549, HA1E
desoximetasone	3	HCC515	VCAP, MCF7, HCC515
dihydroergocristine	3	VCAP	MCF7, VCAP, HCC515
dihydroergotamine	3	SKB	SKB, ASC, VCAP
dipivefrine	3	A375	HA1E, VCAP, A375
dobutamine	3	SKB	SKB, NPC, PHH
doconexent	3	A549	A549, NEU, HCC515
domperidone	3	VCAP	VCAP, ASC, PHH
doxapram	3	MCF7	MCF7, VCAP, PC3
doxycycline	3	PC3	PC3, VCAP, MCF7
droperidol	3	VCAP	VCAP, HCC515, ASC
dydrogesterone	3	SKB	SKB, HCC515, NPC
econazole	3	HCC515	MCF7, HCC515, HA1E
escitalopram	3	HA1E	PC3, HA1E, PHH
estradiol-cypionate	3	PC3	VCAP, PC3, A549
estrone	3	HCC515	HCC515, HT29, FIBRNPC
etacrynic-acid	3	MCF7	MCF7, PC3, A549
flecainide	3	PHH	ASC, PHH, A549
fluconazole	3	SKB	PHH, PC3, SKB
flunarizine	3	PC3	NEU, PC3, PHH
fluoxetine	3	PC3	PC3, HT29, NPC
fluvoxamine	3	HCC515	HCC515, VCAP, NEU
formoterol	3	HCC515	HCC515, A549, NEU
forskolin	3	SKB	A549, SKB, FIBRNPC
glimepiride	3	SKB	VCAP, SKB, NPC
guanfacine	3	MCF7	PHH, A549, MCF7
hesperidin	3	MCF7	MCF7, A549, PHH
homochlorcyclizine	3	A549	MCF7, HT29, A549
hydrocortisone	3	HCC515	A549, HCC515, SKB
hydroquinidine	3	HCC515	HCC515, PHH, MCF7
icosapent	3	PC3	PC3, A549, VCAP
imipramine	3	VCAP	HA1E, VCAP, A549
ketanserin	3	NEU	ASC, NEU, MCF7
ketoprofen	3	A549	A549, VCAP, MCF7
lamivudine	3	PC3	PC3, A549, VCAP
leflunomide	3	PC3	PC3, A549, HCC515
lenalidomide	3	MCF7	MCF7, VCAP, NEU
levomepromazine	3	MCF7	SKB, HCC515, MCF7
lisuride	3	VCAP	VCAP, A549, HCC515
lypressin	3	SKB	A549, SKB, NPC
masitinib	3	ASC	ASC, SKB, NPC
mebendazole	3	SKB	PC3, SKB, A549
mebeverine	3	VCAP	VCAP, HA1E, A549
medrysone	3	VCAP	PHH, VCAP, PC3
mefenamic-acid	3	PHH	PHH, VCAP, A375
mefloquine	3	PC3	MCF7, VCAP, PC3
mepacrine	3	PC3	PC3, HA1E, HCC515
mepyramine	3	HCC515	VCAP, HCC515, MCF7
methantheline	3	SKB	PHH, MCF7, SKB
methylergometrine	3	A375	VCAP, MCF7, A375
methysergide	3	NPC	NPC, SKB, PC3
metoprolol	3	MCF7	PC3, MCF7, NPC
metyrapone	3	HT29	HT29, PC3, MCF7
midodrine	3	SKB	SKB, PC3, VCAP
milrinone	3	HA1E	HA1E, MCF7, PHH
mosapride	3	A549	VCAP, A549, PHH
moxonidine	3	HCC515	VCAP, HCC515, NEU
mycophenolate-mofetil	3	A549	A549, NPC, PHH
naftopidil	3	PC3	A549, PC3, VCAP
nateglinide	3	NPC	NPC, PHH, A549
nemonapride	3	NPC	FIBRNPC, SKB, NPC
neratinib	3	PC3	PC3, A549, A375
nimesulide	3	HCC515	NEU, HCC515, MCF7
noretynodrel	3	MCF7	VCAP, A549, MCF7
norgestrel	3	VCAP	VCAP, ASC, NPC
nortriptyline	3	VCAP	MCF7, VCAP, HCC515
ozagrel	3	A549	ASC, A549, VCAP
palbociclib	3	ASC	ASC, PC3, SKB
palmitoylethanolamide	3	ASC	ASC, HCC515, NPC
pentoxifylline	3	PC3	PC3, PHH, A549
phenoxybenzamine	3	HA1E	HA1E, NPC, HCC515
pioglitazone	3	A549	NEU, A549, PHH
piribedil	3	VCAP	HA1E, A549, VCAP
pitavastatin	3	VCAP	A549, VCAP, PC3
prazosin	3	HCC515	MCF7, HCC515, HA1E
prednisone	3	PHH	PHH, HA1E, HCC515
pregnenolone	3	ASC	SKB, ASC, NPC
probucol	3	VCAP	ASC, NPC, VCAP
pyrvinium-pamoate	3	VCAP	A549, VCAP, HA1E
racecadotril	3	A549	A549, ASC, PHH
raltitrexed	3	NEU	PC3, NEU, SKB
reboxetine	3	HCC515	HCC515, PC3, SKB
resveratrol	3	PC3	A549, PC3, A375
retinol	3	A549	PC3, SKB, A549
rilmenidine	3	MCF7	FIBRNPC, MCF7, VCAP
ropinirole	3	MCF7	MCF7, HCC515, ASC
ruxolitinib	3	A549	SKB, A549, NEU
sulindac	3	NPC	MCF7, NEU, NPC
sunitinib	3	PC3	VCAP, PC3, MCF7
talniflumate	3	NPC	HCC515, PHH, NPC
tamibarotene	3	PC3	NPC, NEU, PC3
temozolomide	3	A549	A549, MCF7, HT29
tetrabenazine	3	FIBRNPC	FIBRNPC, VCAP, A549
thiotepa	3	PC3	PC3, VCAP, HA1E
tivozanib	3	A375	A375, VCAP, PC3
topotecan	3	NEU	A549, VCAP, NEU
trapidil	3	PC3	HA1E, PC3, NPC
triamcinolone	3	A375	A375, HT29, HA1E
triclosan	3	MCF7	MCF7, A549, HA1E
trifluoperazine	3	HCC515	HA1E, A549, HCC515
tripelennamine	3	HCC515	ASC, HCC515, NPC
vecuronium	3	VCAP	PHH, VCAP, SKB
vinburnine	3	MCF7	MCF7, VCAP, PC3
vinpocetine	3	A549	PC3, HA1E, A549
zolmitriptan	3	HCC515	A549, HCC515, PC3
17-hydroxyprogesterone-caproate	2	PC3	PC3, MCF7
acarbose	2	MCF7	VCAP, MCF7
acepromazine	2	PC3	A549, PC3
acitretin	2	ASC	ASC, NEU
alfacalcidol	2	MCF7	MCF7, PC3
alprenolol	2	HCC515	VCAP, HCC515
amantadine	2	A549	A549, PHH
ambroxol	2	PC3	PC3, SKB
amiloride	2	VCAP	VCAP, A375
amoxicillin	2	PC3	MCF7, PC3
amperozide	2	PC3	PC3, A549
aripiprazole	2	PC3	PC3, A549
ascorbic-acid	2	MCF7	VCAP, MCF7
atovaquone	2	A549	A549, MCF7
azaperone	2	HCC515	ASC, HCC515
benzbromarone	2	MCF7	HA1E, MCF7
benzydamine	2	PHH	MCF7, PHH
benzylpenicillin	2	SKB	SKB, HCC515
bepridil	2	A549	ASC, A549
bicalutamide	2	HCC515	HCC515, PHH
brimonidine	2	NEU	PC3, NEU
brinzolamide	2	HCC515	HCC515, SKB
buflomedil	2	VCAP	VCAP, A549
cefdinir	2	MCF7	VCAP, MCF7
cetirizine	2	PC3	PC3, HCC515
cimetidine	2	HCC515	HCC515, VCAP
ciprofibrate	2	VCAP	PC3, VCAP
clebopride	2	VCAP	A549, VCAP
clopidogrel	2	VCAP	VCAP, A549
cortisone	2	NEU	NEU, VCAP
cromoglicic-acid	2	PC3	PC3, VCAP
cyclopentolate	2	NPC	PC3, NPC
dapsone	2	VCAP	VCAP, PC3
decitabine	2	NPC	NPC, VCAP
deoxycholic-acid	2	A549	NPC, A549
dexamethasone	2	A375	VCAP, A375
dextromethorphan	2	HA1E	HA1E, NEU
diazoxide	2	HA1E	HA1E, VCAP
diclofenac	2	A549	A549, NPC
diclofenamide	2	PHH	HCC515, PHH
digitoxin	2	NPC	PHH, NPC
diltiazem	2	PC3	PC3, NPC
dipyridamole	2	HCC515	VCAP, HCC515
disopyramide	2	NPC	HCC515, NPC
doxepin	2	A549	A549, VCAP
duloxetine	2	HCC515	A549, HCC515
edaravone	2	MCF7	MCF7, PC3
ephedrine	2	FIBRNPC	FIBRNPC, HT29
eplerenone	2	HCC515	PC3, HCC515
equol	2	MCF7	MCF7, HA1E
estriol	2	HT29	HT29, A549
ethisterone	2	MCF7	MCF7, VCAP
etilefrine	2	A549	A549, VCAP
etodolac	2	A549	A549, VCAP
etomidate	2	PC3	PC3, PHH
eugenol	2	HT29	HT29, HA1E
exemestane	2	VCAP	PHH, VCAP
ezetimibe	2	HA1E	VCAP, HA1E
famotidine	2	PC3	PC3, MCF7
fasudil	2	HCC515	HCC515, A549
febuxostat	2	HA1E	SKB, HA1E
felbamate	2	MCF7	PHH, MCF7
fenoldopam	2	NPC	NPC, A549
fexofenadine	2	PHH	A549, PHH
floxuridine	2	VCAP	A549, VCAP
flumazenil	2	MCF7	MCF7, VCAP
fluocinonide	2	PC3	MCF7, PC3
fluspirilene	2	A549	ASC, A549
fosinopril	2	PC3	VCAP, PC3
gabexate	2	PHH	PHH, PC3
ganciclovir	2	PC3	PC3, MCF7
gemfibrozil	2	PC3	PC3, HT29
gliquidone	2	NEU	MCF7, NEU
griseofulvin	2	MCF7	MCF7, VCAP
haloperidol	2	VCAP	VCAP, A375
hexylcaine	2	HCC515	VCAP, HCC515
hydralazine	2	A549	VCAP, A549
hyoscyamine	2	PHH	PHH, MCF7
ibuprofen	2	HA1E	HA1E, MCF7
idarubicin	2	A549	PC3, A549
idebenone	2	PC3	PC3, VCAP
iloperidone	2	ASC	ASC, A549
imiquimod	2	A375	A375, PC3
irsogladine	2	HCC515	HCC515, MCF7
itraconazole	2	PC3	A549, PC3
lamotrigine	2	NPC	SKB, NPC
lansoprazole	2	NPC	NPC, VCAP
levetiracetam	2	MCF7	MCF7, A549
levocabastine	2	ASC	NEU, ASC
lidoflazine	2	A549	A549, HA1E
lofepramine	2	A549	A549, MCF7
lofexidine	2	PC3	PC3, VCAP
lomerizine	2	A549	PC3, A549
losartan	2	NPC	NPC, PC3
medroxyprogesterone	2	VCAP	VCAP, PC3
meloxicam	2	HCC515	HCC515, VCAP
memantine	2	A549	A549, PC3
mepivacaine	2	PC3	PC3, MCF7
metformin	2	FIBRNPC	FIBRNPC, A375
methocarbamol	2	SKB	ASC, SKB
methotrexate	2	PC3	HA1E, PC3
methoxsalen	2	VCAP	A549, VCAP
metixene	2	A549	MCF7, A549
metolazone	2	HA1E	HA1E, PHH
milnacipran	2	A549	A549, MCF7
mitoxantrone	2	HT29	A549, HT29
moexipril	2	ASC	ASC, HCC515
molindone	2	VCAP	HA1E, VCAP
montelukast	2	A549	A549, VCAP
mycophenolic-acid	2	MCF7	MCF7, PC3
nadolol	2	A549	A549, PHH
nafcillin	2	HCC515	HA1E, HCC515
naftifine	2	PC3	PC3, NPC
nalbuphine	2	A375	ASC, A375
naproxen	2	NPC	SKB, NPC
nelfinavir	2	A549	NEU, A549
norepinephrine	2	VCAP	MCF7, VCAP
noscapine	2	MCF7	MCF7, VCAP
olanzapine	2	PC3	PC3, MCF7
olopatadine	2	PC3	PC3, VCAP
orlistat	2	MCF7	VCAP, MCF7
orphenadrine	2	PHH	A549, PHH
ouabain	2	VCAP	VCAP, NPC
oxcarbazepine	2	VCAP	VCAP, MCF7
oxibendazole	2	VCAP	VCAP, HA1E
oxybenzone	2	PHH	PHH, HA1E
oxybutynin	2	PC3	MCF7, PC3
palonosetron	2	PC3	PC3, MCF7
parachlorophenol	2	PHH	PC3, PHH
parecoxib	2	MCF7	MCF7, VCAP
pazopanib	2	ASC	NPC, ASC
perindopril	2	VCAP	PHH, VCAP
pindolol	2	VCAP	VCAP, HA1E
pipamperone	2	PHH	PHH, PC3
pirenzepine	2	HCC515	HCC515, PHH
primidone	2	HA1E	HA1E, VCAP
probenecid	2	ASC	ASC, VCAP
prochlorperazine	2	NPC	NPC, PC3
profenamine	2	A549	PC3, A549
progesterone	2	PC3	HCC515, PC3
proguanil	2	MCF7	MCF7, PHH
protriptyline	2	SKB	SKB, ASC
pyrazinamide	2	MCF7	MCF7, VCAP
quinine	2	HT29	HT29, HA1E
rabeprazole	2	PC3	A549, PC3
raloxifene	2	A375	A375, MCF7
ranitidine	2	PC3	PC3, PHH
ranolazine	2	PHH	PHH, PC3
reserpine	2	MCF7	ASC, MCF7
riboflavin	2	VCAP	VCAP, ASC
rifabutin	2	PC3	PC3, NEU
rimexolone	2	HA1E	HA1E, NEU
ropivacaine	2	VCAP	A549, VCAP
salmeterol	2	PC3	ASC, PC3
saquinavir	2	ASC	ASC, MCF7
somatostatin	2	PC3	A549, PC3
sorafenib	2	A375	A375, NEU
sotalol	2	MCF7	MCF7, HT29
spironolactone	2	VCAP	VCAP, HA1E
stiripentol	2	MCF7	MCF7, VCAP
sumatriptan	2	MCF7	A549, MCF7
tacrine	2	VCAP	MCF7, VCAP
temsirolimus	2	A375	A375, HCC515
terconazole	2	PC3	SKB, PC3
terguride	2	PHH	PHH, NPC
thiocolchicoside	2	ASC	ASC, VCAP
tianeptine	2	A549	HT29, A549
tibolone	2	VCAP	MCF7, VCAP
tofacitinib	2	ASC	NEU, ASC
tolazamide	2	PC3	VCAP, PC3
treprostinil	2	A549	A549, VCAP
triclabendazole	2	VCAP	A549, VCAP
tropicamide	2	PC3	VCAP, PC3
vindesine	2	A549	VCAP, A549
voriconazole	2	NPC	SKB, NPC
xylazine	2	HCC515	A549, HCC515
yohimbine	2	HA1E	HCC515, HA1E
ziprasidone	2	ASC	A549, ASC
zonisamide	2	A375	NPC, A375
abiraterone	1	VCAP	VCAP
alfuzosin	1	ASC	ASC
amisulpride	1	VCAP	VCAP
amlexanox	1	MCF7	MCF7
artemether	1	PC3	PC3
aspirin	1	VCAP	VCAP
atracurium	1	PC3	PC3
auranofin	1	A549	A549
azacitidine	1	VCAP	VCAP
azelastine	1	A549	A549
balsalazide	1	VCAP	VCAP
benazepril	1	A549	A549
benidipine	1	A549	A549
betahistine	1	NPC	NPC
bethanechol	1	PC3	PC3
candesartan	1	MCF7	MCF7
carbidopa	1	A549	A549
carmofur	1	A549	A549
cefazolin	1	VCAP	VCAP
cefotaxime	1	VCAP	VCAP
chloramphenicol	1	VCAP	VCAP
clotrimazole	1	PC3	PC3
clozapine	1	PC3	PC3
cyproheptadine	1	MCF7	MCF7
desipramine	1	PC3	PC3
desloratadine	1	A549	A549
dicycloverine	1	NPC	NPC
digoxin	1	PHH	PHH
dilazep	1	A549	A549
diphenhydramine	1	VCAP	VCAP
diphenidol	1	ASC	ASC
dolasetron	1	PC3	PC3
