GO_term	median_diff	p_value	statistic	p_adj	auroc
liver morphogenesis	NA	NA	NA	NA	NA
liver regeneration	NA	NA	NA	NA	NA
long-chain fatty acid import across plasma membrane	NA	NA	NA	NA	NA
long-chain fatty acid import into cell	NA	NA	NA	NA	NA
long-chain fatty acid transport	NA	NA	NA	NA	NA
loop of Henle development	NA	NA	NA	NA	NA
lung development	0	0.0019343622805212423	116	0.11818953533984791	0.6304347826086957
lung morphogenesis	NA	NA	NA	NA	NA
lymphocyte apoptotic process	-1.6893770033769482	0.01740134686547751	36	0.2715825492407569	0.1956521739130435
lymphocyte chemotaxis	NA	NA	NA	NA	NA
lymphocyte costimulation	NA	NA	NA	NA	NA
lymphocyte homeostasis	NA	NA	NA	NA	NA
lymphocyte migration	NA	NA	NA	NA	NA
lysosomal lumen acidification	NA	NA	NA	NA	NA
lysosomal membrane organization	NA	NA	NA	NA	NA
lysosomal transport	NA	NA	NA	NA	NA
lysosome localization	NA	NA	NA	NA	NA
lysosome organization	NA	NA	NA	NA	NA
lytic vacuole organization	NA	NA	NA	NA	NA
mRNA destabilization	NA	NA	NA	NA	NA
mRNA export from nucleus	NA	NA	NA	NA	NA
mRNA methylation	NA	NA	NA	NA	NA
mRNA stabilization	NA	NA	NA	NA	NA
mRNA transcription	NA	NA	NA	NA	NA
mRNA transcription by RNA polymerase II	NA	NA	NA	NA	NA
mRNA transport	NA	NA	NA	NA	NA
macromolecule deacylation	NA	NA	NA	NA	NA
macrophage activation	0.21754838970889667	0.3894678342209136	106	0.8017867405900627	0.5760869565217391
macrophage activation involved in immune response	NA	NA	NA	NA	NA
macrophage chemotaxis	NA	NA	NA	NA	NA
macrophage colony-stimulating factor signaling pathway	NA	NA	NA	NA	NA
macrophage cytokine production	NA	NA	NA	NA	NA
macrophage derived foam cell differentiation	NA	NA	NA	NA	NA
macrophage differentiation	NA	NA	NA	NA	NA
macrophage inflammatory protein-1 alpha production	NA	NA	NA	NA	NA
macrophage migration	NA	NA	NA	NA	NA
maintenance of blood-brain barrier	NA	NA	NA	NA	NA
maintenance of centrosome location	NA	NA	NA	NA	NA
maintenance of protein location	NA	NA	NA	NA	NA
male gonad development	NA	NA	NA	NA	NA
male sex differentiation	NA	NA	NA	NA	NA
mammalian oogenesis stage	NA	NA	NA	NA	NA
mammary gland alveolus development	NA	NA	NA	NA	NA
mammary gland development	0	0.1718282363326186	108	0.62571222592143	0.5869565217391305
mammary gland epithelial cell proliferation	NA	NA	NA	NA	NA
mammary gland epithelium development	NA	NA	NA	NA	NA
mammary gland lobule development	NA	NA	NA	NA	NA
manganese ion transmembrane transport	NA	NA	NA	NA	NA
manganese ion transport	NA	NA	NA	NA	NA
mast cell activation	0	0.6066427252124077	94	0.8540523159096338	0.5108695652173914
mast cell activation involved in immune response	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
mast cell cytokine production	NA	NA	NA	NA	NA
mast cell degranulation	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
mast cell mediated immunity	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
maternal placenta development	0	0.6065601737819364	94	0.8540523159096338	0.5108695652173914
maternal process involved in female pregnancy	NA	NA	NA	NA	NA
maternal process involved in parturition	NA	NA	NA	NA	NA
matrix metallopeptidase secretion	NA	NA	NA	NA	NA
maturation of 5.8S rRNA	NA	NA	NA	NA	NA
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	NA	NA	NA	NA	NA
maturation of SSU-rRNA	NA	NA	NA	NA	NA
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	NA	NA	NA	NA	NA
mature B cell differentiation	0	0.44364170372079337	78	0.8044098407491623	0.42391304347826086
mature B cell differentiation involved in immune response	NA	NA	NA	NA	NA
megakaryocyte development	NA	NA	NA	NA	NA
meiosis I	NA	NA	NA	NA	NA
meiosis I cell cycle process	NA	NA	NA	NA	NA
meiosis II	NA	NA	NA	NA	NA
meiosis II cell cycle process	NA	NA	NA	NA	NA
meiotic cell cycle process	NA	NA	NA	NA	NA
meiotic chromosome condensation	NA	NA	NA	NA	NA
meiotic chromosome segregation	NA	NA	NA	NA	NA
meiotic nuclear division	NA	NA	NA	NA	NA
meiotic spindle assembly	NA	NA	NA	NA	NA
meiotic spindle organization	NA	NA	NA	NA	NA
melanin metabolic process	NA	NA	NA	NA	NA
melanosome organization	NA	NA	NA	NA	NA
membrane assembly	NA	NA	NA	NA	NA
membrane biogenesis	NA	NA	NA	NA	NA
membrane depolarization	NA	NA	NA	NA	NA
membrane docking	NA	NA	NA	NA	NA
membrane fission	NA	NA	NA	NA	NA
membrane fusion	NA	NA	NA	NA	NA
membrane invagination	NA	NA	NA	NA	NA
membrane lipid catabolic process	NA	NA	NA	NA	NA
membrane protein ectodomain proteolysis	NA	NA	NA	NA	NA
membrane protein intracellular domain proteolysis	NA	NA	NA	NA	NA
membrane protein proteolysis	NA	NA	NA	NA	NA
membrane repolarization	NA	NA	NA	NA	NA
membrane repolarization during cardiac muscle cell action potential	NA	NA	NA	NA	NA
membrane to membrane docking	NA	NA	NA	NA	NA
memory	NA	NA	NA	NA	NA
memory T cell differentiation	NA	NA	NA	NA	NA
mesenchymal cell apoptotic process	NA	NA	NA	NA	NA
mesenchymal cell migration	NA	NA	NA	NA	NA
mesenchymal cell proliferation	NA	NA	NA	NA	NA
mesoderm development	NA	NA	NA	NA	NA
mesonephric epithelium development	0	0.7046514611141652	84	0.8822582843048257	0.45652173913043476
mesonephric tubule development	0	0.7046514611141652	84	0.8822582843048257	0.45652173913043476
mesonephric tubule morphogenesis	NA	NA	NA	NA	NA
mesonephros development	0	0.7046514611141652	84	0.8822582843048257	0.45652173913043476
metanephric distal tubule development	NA	NA	NA	NA	NA
metanephric loop of Henle development	NA	NA	NA	NA	NA
metanephric mesenchyme development	NA	NA	NA	NA	NA
metanephros development	NA	NA	NA	NA	NA
metaphase plate congression	NA	NA	NA	NA	NA
metaphase/anaphase transition of cell cycle	NA	NA	NA	NA	NA
metaphase/anaphase transition of mitotic cell cycle	NA	NA	NA	NA	NA
metencephalon development	NA	NA	NA	NA	NA
methylguanosine-cap decapping	NA	NA	NA	NA	NA
miRNA catabolic process	NA	NA	NA	NA	NA
miRNA metabolic process	NA	NA	NA	NA	NA
miRNA transcription	NA	NA	NA	NA	NA
microglia differentiation	NA	NA	NA	NA	NA
microglial cell activation	1.124702641597733	0.05273668326380714	121.5	0.3929526033437337	0.6603260869565217
microglial cell migration	NA	NA	NA	NA	NA
microglial cell proliferation	NA	NA	NA	NA	NA
microtubule cytoskeleton organization involved in mitosis	NA	NA	NA	NA	NA
microtubule organizing center organization	NA	NA	NA	NA	NA
microtubule polymerization or depolymerization	NA	NA	NA	NA	NA
microvillus assembly	NA	NA	NA	NA	NA
microvillus organization	NA	NA	NA	NA	NA
midbody abscission	NA	NA	NA	NA	NA
midbrain development	NA	NA	NA	NA	NA
midbrain dopaminergic neuron differentiation	NA	NA	NA	NA	NA
mitochondrial depolarization	NA	NA	NA	NA	NA
mitochondrial translation	NA	NA	NA	NA	NA
mitochondrial transport	NA	NA	NA	NA	NA
mitochondrion disassembly	NA	NA	NA	NA	NA
mitochondrion localization	NA	NA	NA	NA	NA
mitochondrion transport along microtubule	NA	NA	NA	NA	NA
mitotic DNA damage checkpoint signaling	NA	NA	NA	NA	NA
mitotic DNA integrity checkpoint signaling	NA	NA	NA	NA	NA
mitotic DNA replication	NA	NA	NA	NA	NA
mitotic DNA replication initiation	NA	NA	NA	NA	NA
mitotic G1 DNA damage checkpoint signaling	NA	NA	NA	NA	NA
mitotic G1/S transition checkpoint signaling	NA	NA	NA	NA	NA
mitotic G2 DNA damage checkpoint signaling	NA	NA	NA	NA	NA
mitotic G2/M transition checkpoint	NA	NA	NA	NA	NA
mitotic cell cycle checkpoint signaling	NA	NA	NA	NA	NA
mitotic centrosome separation	NA	NA	NA	NA	NA
mitotic chromosome condensation	NA	NA	NA	NA	NA
mitotic cytokinesis	NA	NA	NA	NA	NA
mitotic cytokinetic process	NA	NA	NA	NA	NA
mitotic metaphase plate congression	NA	NA	NA	NA	NA
mitotic sister chromatid segregation	NA	NA	NA	NA	NA
mitotic sister chromatid separation	0	0.7046514611141652	84	0.8822582843048257	0.45652173913043476
mitotic spindle assembly	NA	NA	NA	NA	NA
mitotic spindle assembly checkpoint signaling	NA	NA	NA	NA	NA
mitotic spindle checkpoint signaling	NA	NA	NA	NA	NA
mitotic spindle elongation	NA	NA	NA	NA	NA
mitotic spindle midzone assembly	NA	NA	NA	NA	NA
mitotic spindle organization	NA	NA	NA	NA	NA
modulation by host of symbiont process	NA	NA	NA	NA	NA
modulation by host of viral genome replication	NA	NA	NA	NA	NA
modulation by host of viral process	NA	NA	NA	NA	NA
modulation by symbiont of entry into host	NA	NA	NA	NA	NA
modulation of microtubule cytoskeleton involved in cerebral cortex radial glia guided migration	NA	NA	NA	NA	NA
monocarboxylic acid transport	0	0.03378113542110888	101.5	0.2715825492407569	0.5516304347826086
monocyte activation	NA	NA	NA	NA	NA
monocyte aggregation	NA	NA	NA	NA	NA
monocyte chemotactic protein-1 production	NA	NA	NA	NA	NA
monocyte chemotaxis	0	0.10535990869887824	57	0.6148322475406707	0.30978260869565216
monocyte differentiation	0	0.12207878896873062	109	0.62571222592143	0.592391304347826
mononuclear cell migration	-0.5003929634587537	0.012820656935867725	33	0.2715825492407569	0.1793478260869565
monoubiquitinated protein deubiquitination	NA	NA	NA	NA	NA
morphogenesis of a branching epithelium	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
morphogenesis of a branching structure	0	0.6065601737819364	94	0.8540523159096338	0.5108695652173914
morphogenesis of an endothelium	NA	NA	NA	NA	NA
morphogenesis of an epithelial bud	NA	NA	NA	NA	NA
morphogenesis of an epithelial sheet	NA	NA	NA	NA	NA
motor neuron axon guidance	NA	NA	NA	NA	NA
movement in host	0	NA	87	NA	0.47282608695652173
mucopolysaccharide metabolic process	NA	NA	NA	NA	NA
mucosal immune response	NA	NA	NA	NA	NA
multicellular organism aging	NA	NA	NA	NA	NA
multicellular organismal movement	NA	NA	NA	NA	NA
multicellular organismal-level iron ion homeostasis	NA	NA	NA	NA	NA
multivesicular body assembly	NA	NA	NA	NA	NA
multivesicular body organization	NA	NA	NA	NA	NA
multivesicular body sorting pathway	NA	NA	NA	NA	NA
multivesicular body-lysosome fusion	NA	NA	NA	NA	NA
muscle cell apoptotic process	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
muscle cell development	NA	NA	NA	NA	NA
muscle cell migration	0	0.9203754407381626	89	0.9662360726649782	0.483695652173913
muscle cell proliferation	0	0.527848364737902	75	0.8540523159096338	0.4076086956521739
muscle hypertrophy	NA	NA	NA	NA	NA
muscle organ morphogenesis	NA	NA	NA	NA	NA
muscle tissue morphogenesis	NA	NA	NA	NA	NA
musculoskeletal movement	NA	NA	NA	NA	NA
myelination	NA	NA	NA	NA	NA
myeloid cell activation involved in immune response	0	0.8817567625944944	84	0.9655078529484519	0.45652173913043476
myeloid cell apoptotic process	NA	NA	NA	NA	NA
myeloid cell development	NA	NA	NA	NA	NA
myeloid cell homeostasis	0	0.28572618598162874	64.5	0.7828641239227586	0.35054347826086957
myeloid dendritic cell activation	0	0.8350418828181263	83	0.9430879674711187	0.45108695652173914
myeloid dendritic cell cytokine production	NA	NA	NA	NA	NA
myeloid dendritic cell differentiation	0	0.973419190311063	88	1	0.4782608695652174
myeloid leukocyte cytokine production	NA	NA	NA	NA	NA
myeloid leukocyte mediated immunity	0	1	86.5	1	0.4701086956521739
myoblast differentiation	NA	NA	NA	NA	NA
myoblast fusion	NA	NA	NA	NA	NA
myofibril assembly	NA	NA	NA	NA	NA
myotube differentiation	NA	NA	NA	NA	NA
natural killer cell activation	NA	NA	NA	NA	NA
natural killer cell chemotaxis	NA	NA	NA	NA	NA
natural killer cell differentiation	NA	NA	NA	NA	NA
natural killer cell mediated cytotoxicity	NA	NA	NA	NA	NA
natural killer cell mediated cytotoxicity directed against tumor cell target	NA	NA	NA	NA	NA
natural killer cell mediated immune response to tumor cell	NA	NA	NA	NA	NA
natural killer cell mediated immunity	NA	NA	NA	NA	NA
natural killer cell proliferation	NA	NA	NA	NA	NA
ncRNA catabolic process	NA	NA	NA	NA	NA
necroptotic process	0	0.1728667197399158	59.5	0.62571222592143	0.3233695652173913
necroptotic signaling pathway	NA	NA	NA	NA	NA
necrotic cell death	0	NA	87	NA	0.47282608695652173
negative chemotaxis	NA	NA	NA	NA	NA
negative regulation by host of viral genome replication	NA	NA	NA	NA	NA
negative regulation by host of viral process	NA	NA	NA	NA	NA
negative regulation by host of viral transcription	NA	NA	NA	NA	NA
negative regulation of B cell activation	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
negative regulation of B cell apoptotic process	NA	NA	NA	NA	NA
negative regulation of B cell differentiation	0	NA	87	NA	0.47282608695652173
negative regulation of B cell mediated immunity	NA	NA	NA	NA	NA
negative regulation of B cell proliferation	NA	NA	NA	NA	NA
negative regulation of BMP signaling pathway	NA	NA	NA	NA	NA
negative regulation of CD4-positive, alpha-beta T cell activation	NA	NA	NA	NA	NA
negative regulation of CD4-positive, alpha-beta T cell differentiation	0	0.9203754407381626	89	0.9662360726649782	0.483695652173913
negative regulation of CD8-positive, alpha-beta T cell activation	NA	NA	NA	NA	NA
negative regulation of DNA binding	0	0.7215038962583056	92	0.8893027267469643	0.5
negative regulation of DNA damage response, signal transduction by p53 class mediator	NA	NA	NA	NA	NA
negative regulation of DNA metabolic process	NA	NA	NA	NA	NA
negative regulation of DNA recombination	NA	NA	NA	NA	NA
negative regulation of DNA replication	NA	NA	NA	NA	NA
negative regulation of DNA-binding transcription factor activity	NA	NA	NA	NA	NA
negative regulation of DNA-templated DNA replication	NA	NA	NA	NA	NA
negative regulation of ERBB signaling pathway	NA	NA	NA	NA	NA
negative regulation of ERK1 and ERK2 cascade	0	0.7736163763569865	91.5	0.8893027267469643	0.49728260869565216
negative regulation of G protein-coupled receptor signaling pathway	NA	NA	NA	NA	NA
negative regulation of G1/S transition of mitotic cell cycle	NA	NA	NA	NA	NA
negative regulation of G2/M transition of mitotic cell cycle	NA	NA	NA	NA	NA
negative regulation of I-kappaB kinase/NF-kappaB signaling	NA	NA	NA	NA	NA
negative regulation of MAP kinase activity	NA	NA	NA	NA	NA
negative regulation of MAPK cascade	0	0.7757488276460852	81.5	0.8893027267469643	0.4429347826086957
negative regulation of NF-kappaB transcription factor activity	NA	NA	NA	NA	NA
negative regulation of NIK/NF-kappaB signaling	NA	NA	NA	NA	NA
negative regulation of PERK-mediated unfolded protein response	NA	NA	NA	NA	NA
negative regulation of RNA catabolic process	NA	NA	NA	NA	NA
negative regulation of RNA splicing	NA	NA	NA	NA	NA
negative regulation of T cell activation	0	0.41928739772275514	70.5	0.8030865204031454	0.38315217391304346
negative regulation of T cell apoptotic process	NA	NA	NA	NA	NA
negative regulation of T cell cytokine production	NA	NA	NA	NA	NA
negative regulation of T cell differentiation	0	0.12207878896873062	109	0.62571222592143	0.592391304347826
negative regulation of T cell mediated cytotoxicity	NA	NA	NA	NA	NA
negative regulation of T cell mediated immunity	NA	NA	NA	NA	NA
negative regulation of T cell proliferation	NA	NA	NA	NA	NA
negative regulation of T cell receptor signaling pathway	NA	NA	NA	NA	NA
negative regulation of T-helper 1 type immune response	NA	NA	NA	NA	NA
negative regulation of T-helper cell differentiation	NA	NA	NA	NA	NA
negative regulation of actin filament depolymerization	NA	NA	NA	NA	NA
negative regulation of actin filament polymerization	NA	NA	NA	NA	NA
negative regulation of action potential	NA	NA	NA	NA	NA
negative regulation of activated T cell proliferation	NA	NA	NA	NA	NA
negative regulation of acute inflammatory response	NA	NA	NA	NA	NA
negative regulation of adaptive immune response	0	0.19377565305472041	107	0.62571222592143	0.5815217391304348
negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	0	0.44181550349401794	101	0.8044098407491623	0.5489130434782609
negative regulation of alcohol biosynthetic process	NA	NA	NA	NA	NA
negative regulation of alpha-beta T cell activation	0	0.19903717060244072	66	0.62571222592143	0.358695652173913
negative regulation of alpha-beta T cell differentiation	0	0.6066427252124077	94	0.8540523159096338	0.5108695652173914
negative regulation of amide metabolic process	NA	NA	NA	NA	NA
negative regulation of amyloid-beta clearance	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
negative regulation of angiogenesis	NA	NA	NA	NA	NA
negative regulation of anoikis	NA	NA	NA	NA	NA
negative regulation of antigen processing and presentation	NA	NA	NA	NA	NA
negative regulation of antigen receptor-mediated signaling pathway	NA	NA	NA	NA	NA
negative regulation of autophagosome assembly	NA	NA	NA	NA	NA
negative regulation of autophagosome maturation	NA	NA	NA	NA	NA
negative regulation of autophagy	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
negative regulation of axon extension	0	0.0019256174404440323	116	0.11818953533984791	0.6304347826086957
negative regulation of axon extension involved in axon guidance	NA	NA	NA	NA	NA
negative regulation of axonogenesis	0	0.0019256174404440323	116	0.11818953533984791	0.6304347826086957
negative regulation of binding	NA	NA	NA	NA	NA
negative regulation of blood coagulation	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
negative regulation of blood vessel endothelial cell migration	NA	NA	NA	NA	NA
negative regulation of blood vessel morphogenesis	NA	NA	NA	NA	NA
negative regulation of bone remodeling	NA	NA	NA	NA	NA
negative regulation of bone resorption	NA	NA	NA	NA	NA
negative regulation of calcium ion transmembrane transport	NA	NA	NA	NA	NA
negative regulation of calcium ion transmembrane transporter activity	NA	NA	NA	NA	NA
negative regulation of calcium ion transport	NA	NA	NA	NA	NA
negative regulation of carbohydrate metabolic process	NA	NA	NA	NA	NA
negative regulation of cardiac muscle cell apoptotic process	NA	NA	NA	NA	NA
negative regulation of cardiac muscle contraction	NA	NA	NA	NA	NA
negative regulation of cardiac muscle hypertrophy	NA	NA	NA	NA	NA
negative regulation of cardiac muscle tissue growth	NA	NA	NA	NA	NA
negative regulation of cartilage development	NA	NA	NA	NA	NA
negative regulation of cation channel activity	NA	NA	NA	NA	NA
negative regulation of cation transmembrane transport	NA	NA	NA	NA	NA
negative regulation of cell cycle G1/S phase transition	NA	NA	NA	NA	NA
negative regulation of cell cycle G2/M phase transition	NA	NA	NA	NA	NA
negative regulation of cell division	NA	NA	NA	NA	NA
negative regulation of cell growth	NA	NA	NA	NA	NA
negative regulation of cell junction assembly	NA	NA	NA	NA	NA
negative regulation of cell killing	NA	NA	NA	NA	NA
negative regulation of cell projection organization	NA	NA	NA	NA	NA
negative regulation of cell-cell adhesion	-0.16009571824631025	0.8690962347990003	83	0.9655078529484519	0.45108695652173914
negative regulation of cell-matrix adhesion	NA	NA	NA	NA	NA
negative regulation of cell-substrate adhesion	0	0.03378113542110888	101.5	0.2715825492407569	0.5516304347826086
negative regulation of cellular macromolecule biosynthetic process	NA	NA	NA	NA	NA
negative regulation of cellular response to growth factor stimulus	0	NA	87	NA	0.47282608695652173
negative regulation of cellular response to hypoxia	NA	NA	NA	NA	NA
negative regulation of cellular response to insulin stimulus	0	0.5496594221414087	81	0.8540523159096338	0.44021739130434784
negative regulation of chemokine (C-C motif) ligand 5 production	NA	NA	NA	NA	NA
negative regulation of chemokine production	NA	NA	NA	NA	NA
negative regulation of chemotaxis	0	NA	87	NA	0.47282608695652173
negative regulation of chondrocyte differentiation	NA	NA	NA	NA	NA
negative regulation of chromosome organization	NA	NA	NA	NA	NA
negative regulation of chromosome segregation	NA	NA	NA	NA	NA
negative regulation of chromosome separation	NA	NA	NA	NA	NA
negative regulation of coagulation	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
negative regulation of cold-induced thermogenesis	NA	NA	NA	NA	NA
negative regulation of collateral sprouting	NA	NA	NA	NA	NA
negative regulation of complement activation	NA	NA	NA	NA	NA
negative regulation of cysteine-type endopeptidase activity	0	NA	87	NA	0.47282608695652173
negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	0	NA	87	NA	0.47282608695652173
negative regulation of cytokine production involved in immune response	NA	NA	NA	NA	NA
negative regulation of cytokine-mediated signaling pathway	NA	NA	NA	NA	NA
negative regulation of cytoplasmic translation	NA	NA	NA	NA	NA
negative regulation of defense response to virus	NA	NA	NA	NA	NA
negative regulation of dendritic cell apoptotic process	NA	NA	NA	NA	NA
negative regulation of dephosphorylation	NA	NA	NA	NA	NA
negative regulation of developmental growth	0	0.0019256174404440323	116	0.11818953533984791	0.6304347826086957
negative regulation of double-strand break repair via homologous recombination	NA	NA	NA	NA	NA
negative regulation of endocytosis	NA	NA	NA	NA	NA
negative regulation of endopeptidase activity	0	0.7757488276460852	81.5	0.8893027267469643	0.4429347826086957
negative regulation of endoplasmic reticulum stress-induced eIF2 alpha phosphorylation	NA	NA	NA	NA	NA
negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway	NA	NA	NA	NA	NA
negative regulation of endoplasmic reticulum unfolded protein response	NA	NA	NA	NA	NA
negative regulation of endothelial cell apoptotic process	NA	NA	NA	NA	NA
negative regulation of endothelial cell differentiation	NA	NA	NA	NA	NA
negative regulation of endothelial cell migration	NA	NA	NA	NA	NA
negative regulation of endothelial cell proliferation	NA	NA	NA	NA	NA
negative regulation of epidermal growth factor receptor signaling pathway	NA	NA	NA	NA	NA
negative regulation of epithelial cell apoptotic process	NA	NA	NA	NA	NA
negative regulation of epithelial cell differentiation	NA	NA	NA	NA	NA
negative regulation of epithelial cell migration	NA	NA	NA	NA	NA
negative regulation of epithelial cell proliferation	NA	NA	NA	NA	NA
negative regulation of establishment of protein localization	NA	NA	NA	NA	NA
negative regulation of exocytosis	NA	NA	NA	NA	NA
negative regulation of extrinsic apoptotic signaling pathway	NA	NA	NA	NA	NA
negative regulation of extrinsic apoptotic signaling pathway in absence of ligand	0	0.9203754407381626	89	0.9662360726649782	0.483695652173913
negative regulation of extrinsic apoptotic signaling pathway via death domain receptors	NA	NA	NA	NA	NA
negative regulation of fat cell differentiation	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
negative regulation of fatty acid transport	NA	NA	NA	NA	NA
negative regulation of glucose transmembrane transport	NA	NA	NA	NA	NA
negative regulation of granulocyte differentiation	NA	NA	NA	NA	NA
negative regulation of guanyl-nucleotide exchange factor activity	NA	NA	NA	NA	NA
negative regulation of heart growth	NA	NA	NA	NA	NA
negative regulation of hematopoietic stem cell differentiation	NA	NA	NA	NA	NA
negative regulation of hemopoiesis	0	0.49264156205839843	100	0.8540523159096338	0.5434782608695652
negative regulation of hemostasis	NA	NA	NA	NA	NA
negative regulation of hepatocyte apoptotic process	NA	NA	NA	NA	NA
negative regulation of hormone biosynthetic process	NA	NA	NA	NA	NA
negative regulation of hormone metabolic process	NA	NA	NA	NA	NA
negative regulation of humoral immune response	NA	NA	NA	NA	NA
negative regulation of hydrogen peroxide-induced cell death	NA	NA	NA	NA	NA
negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway	NA	NA	NA	NA	NA
negative regulation of immune effector process	0	0.2729930111979417	105	0.7616380358079561	0.5706521739130435
negative regulation of immune response	-0.4462216652301568	0.69828888831753	78	0.8822582843048257	0.42391304347826086
negative regulation of immune response to tumor cell	NA	NA	NA	NA	NA
negative regulation of immunoglobulin mediated immune response	NA	NA	NA	NA	NA
negative regulation of immunoglobulin production	NA	NA	NA	NA	NA
negative regulation of inclusion body assembly	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
negative regulation of inflammatory response	0	0.4489423170138533	71.5	0.8044098407491623	0.38858695652173914
negative regulation of inflammatory response to antigenic stimulus	NA	NA	NA	NA	NA
negative regulation of innate immune response	NA	NA	NA	NA	NA
negative regulation of insulin receptor signaling pathway	0	0.5496594221414087	81	0.8540523159096338	0.44021739130434784
negative regulation of interferon-beta production	NA	NA	NA	NA	NA
negative regulation of interleukin-1 beta production	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
negative regulation of interleukin-1 production	NA	NA	NA	NA	NA
negative regulation of interleukin-1-mediated signaling pathway	NA	NA	NA	NA	NA
negative regulation of interleukin-10 production	NA	NA	NA	NA	NA
negative regulation of interleukin-12 production	NA	NA	NA	NA	NA
negative regulation of interleukin-2 production	0	0.7046514611141652	84	0.8822582843048257	0.45652173913043476
negative regulation of interleukin-6 production	0	0.6066427252124077	94	0.8540523159096338	0.5108695652173914
negative regulation of intrinsic apoptotic signaling pathway	NA	NA	NA	NA	NA
negative regulation of intrinsic apoptotic signaling pathway in response to osmotic stress	NA	NA	NA	NA	NA
negative regulation of ion transmembrane transporter activity	NA	NA	NA	NA	NA
negative regulation of leukocyte activation	0.7850476834690022	0.06985152871675657	126	0.5080867148325984	0.6847826086956522
negative regulation of leukocyte apoptotic process	NA	NA	NA	NA	NA
negative regulation of leukocyte cell-cell adhesion	0	0.5586628579141428	75.5	0.8540523159096338	0.41032608695652173
negative regulation of leukocyte chemotaxis	NA	NA	NA	NA	NA
negative regulation of leukocyte degranulation	NA	NA	NA	NA	NA
negative regulation of leukocyte differentiation	0	0.6602929531736783	96	0.8822582843048257	0.5217391304347826
negative regulation of leukocyte mediated cytotoxicity	NA	NA	NA	NA	NA
negative regulation of leukocyte mediated immunity	0	0.12207878896873062	109	0.62571222592143	0.592391304347826
negative regulation of leukocyte migration	NA	NA	NA	NA	NA
negative regulation of leukocyte proliferation	0	0.44364170372079337	78	0.8044098407491623	0.42391304347826086
negative regulation of lipid biosynthetic process	NA	NA	NA	NA	NA
negative regulation of lipid localization	0	NA	87	NA	0.47282608695652173
negative regulation of lipid storage	NA	NA	NA	NA	NA
negative regulation of lipid transport	NA	NA	NA	NA	NA
negative regulation of lipopolysaccharide-mediated signaling pathway	NA	NA	NA	NA	NA
negative regulation of lymphocyte activation	0	0.9806433309479909	88	1	0.4782608695652174
negative regulation of lymphocyte apoptotic process	NA	NA	NA	NA	NA
negative regulation of lymphocyte differentiation	0	0.19377565305472041	107	0.62571222592143	0.5815217391304348
negative regulation of lymphocyte mediated immunity	0	0.47091203452702723	95.5	0.8244333899599245	0.5190217391304348
negative regulation of lymphocyte proliferation	NA	NA	NA	NA	NA
negative regulation of mRNA catabolic process	NA	NA	NA	NA	NA
negative regulation of mRNA metabolic process	NA	NA	NA	NA	NA
negative regulation of mRNA processing	NA	NA	NA	NA	NA
negative regulation of mRNA splicing, via spliceosome	NA	NA	NA	NA	NA
negative regulation of macroautophagy	NA	NA	NA	NA	NA
negative regulation of macrophage activation	0	0.7046514611141652	84	0.8822582843048257	0.45652173913043476
negative regulation of macrophage apoptotic process	NA	NA	NA	NA	NA
negative regulation of macrophage derived foam cell differentiation	NA	NA	NA	NA	NA
negative regulation of membrane depolarization	NA	NA	NA	NA	NA
negative regulation of mesenchymal cell apoptotic process	NA	NA	NA	NA	NA
negative regulation of metallopeptidase activity	NA	NA	NA	NA	NA
negative regulation of metaphase/anaphase transition of cell cycle	NA	NA	NA	NA	NA
negative regulation of microglial cell activation	0	0.7046514611141652	84	0.8822582843048257	0.45652173913043476
negative regulation of mitochondrial depolarization	NA	NA	NA	NA	NA
negative regulation of mitotic cell cycle phase transition	NA	NA	NA	NA	NA
negative regulation of mitotic metaphase/anaphase transition	NA	NA	NA	NA	NA
negative regulation of mitotic nuclear division	NA	NA	NA	NA	NA
negative regulation of mitotic sister chromatid segregation	NA	NA	NA	NA	NA
negative regulation of mitotic sister chromatid separation	NA	NA	NA	NA	NA
negative regulation of monoatomic ion transmembrane transport	NA	NA	NA	NA	NA
negative regulation of monoatomic ion transport	NA	NA	NA	NA	NA
negative regulation of monocyte chemotaxis	NA	NA	NA	NA	NA
