GO_term	median_diff	p_value	statistic	p_adj	auroc
pyrimidine deoxyribonucleoside monophosphate catabolic process	NA	NA	NA	NA	NA
pyrimidine nucleoside catabolic process	NA	NA	NA	NA	NA
pyrimidine nucleoside metabolic process	NA	NA	NA	NA	NA
pyrimidine nucleoside monophosphate catabolic process	NA	NA	NA	NA	NA
pyrimidine nucleotide metabolic process	NA	NA	NA	NA	NA
pyrimidine ribonucleoside catabolic process	NA	NA	NA	NA	NA
pyrimidine ribonucleoside metabolic process	NA	NA	NA	NA	NA
pyrimidine ribonucleoside monophosphate catabolic process	NA	NA	NA	NA	NA
pyrimidine ribonucleotide catabolic process	NA	NA	NA	NA	NA
pyrimidine-containing compound catabolic process	NA	NA	NA	NA	NA
pyrimidine-containing compound metabolic process	NA	NA	NA	NA	NA
pyroptosis	NA	NA	NA	NA	NA
pyruvate metabolic process	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
reactive nitrogen species metabolic process	0	1	86.5	1	0.4701086956521739
receptor catabolic process	NA	NA	NA	NA	NA
receptor clustering	NA	NA	NA	NA	NA
receptor internalization	NA	NA	NA	NA	NA
receptor metabolic process	NA	NA	NA	NA	NA
receptor signaling pathway via JAK-STAT	0	0.6800021162474943	78	0.8822582843048257	0.42391304347826086
receptor signaling pathway via STAT	0	0.6800021162474943	78	0.8822582843048257	0.42391304347826086
recombinational repair	NA	NA	NA	NA	NA
regeneration	2.9162411821809373	0.0023778692526585233	136	0.132079828488578	0.7391304347826086
regulation by virus of viral protein levels in host cell	NA	NA	NA	NA	NA
regulation of ATP metabolic process	NA	NA	NA	NA	NA
regulation of B cell activation	-0.2950268152306698	0.9062978894351923	84	0.9662360726649782	0.45652173913043476
regulation of B cell apoptotic process	NA	NA	NA	NA	NA
regulation of B cell differentiation	0	0.7736163763569865	91.5	0.8893027267469643	0.49728260869565216
regulation of B cell mediated immunity	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
regulation of B cell proliferation	0	1	86.5	1	0.4701086956521739
regulation of BMP signaling pathway	0	0.7046514611141652	84	0.8822582843048257	0.45652173913043476
regulation of CD4-positive, alpha-beta T cell activation	-0.6910282264240613	0.14436833240268301	55.5	0.62571222592143	0.3016304347826087
regulation of CD4-positive, alpha-beta T cell differentiation	-0.9348324592254176	0.09753609631912948	50.5	0.614376854133898	0.27445652173913043
regulation of CD4-positive, alpha-beta T cell proliferation	NA	NA	NA	NA	NA
regulation of CD8-positive, alpha-beta T cell activation	NA	NA	NA	NA	NA
regulation of CD8-positive, alpha-beta T cell differentiation	NA	NA	NA	NA	NA
