GO_term	median_diff	p_value	statistic	p_adj	auroc	norm_auroc
tertiary alcohol biosynthetic process	0	0.4968405469472406	82.5	0.6675117208586581	0.4483695652173913	-0.1032608695652174
tertiary alcohol metabolic process	-0.7391944493962994	0.028120440823348993	32.5	0.12280795617228177	0.1766304347826087	-0.6467391304347826
tertiary branching involved in mammary gland duct morphogenesis	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
testosterone biosynthetic process	0	0.09155755583805007	51	0.2704510945794456	0.27717391304347827	-0.44565217391304346
testosterone secretion	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
tetracycline transmembrane transport	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
tetrahydrobiopterin biosynthetic process	0	0.2357045307057349	56	0.48088949599714764	0.30434782608695654	-0.3913043478260869
tetrahydrobiopterin metabolic process	0	0.4965049260065355	63	0.6675117208586581	0.3423913043478261	-0.3152173913043478
tetrahydrofolate biosynthetic process	0	0.0747945660027545	51.5	0.237360784424583	0.2798913043478261	-0.4402173913043478
tetrahydrofolate interconversion	0	0.7857093519266737	69.5	0.8457625471470889	0.37771739130434784	-0.24456521739130432
tetrahydrofolate metabolic process	-1.0702463775205346	0.20759467601846038	50	0.4463238578713695	0.2717391304347826	-0.4565217391304348
tetrahydrofolylpolyglutamate biosynthetic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
tetrahydrofolylpolyglutamate metabolic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
tetrapyrrole biosynthetic process	-0.742070746742727	0.052348581905265576	35	0.1861253737334223	0.19021739130434784	-0.6195652173913043
tetrapyrrole catabolic process	0	0.1003794246613899	105	0.28751230101949593	0.5706521739130435	0.14130434782608692
tetrapyrrole metabolic process	-0.5036561439963814	0.027637218872497905	29	0.12126865725605175	0.15760869565217392	-0.6847826086956521
tetraterpenoid biosynthetic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
tetraterpenoid catabolic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
tetraterpenoid metabolic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
tetraterpenoid transport	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
thalamus development	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
thelarche	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
thermoception	0	0.4968405469472406	82.5	0.6675117208586581	0.4483695652173913	-0.1032608695652174
thermosensory behavior	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
thermotaxis	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
thiamine diphosphate biosynthetic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
thiamine diphosphate metabolic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
thiamine metabolic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
thiamine pyrophosphate transmembrane transport	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
thiamine transmembrane transport	0	0.35258127119855937	87.5	0.5754497374776003	0.47554347826086957	-0.048913043478260865
thiamine transport	0	0.21139933958819795	95	0.4463238578713695	0.5163043478260869	0.032608695652173836
thiamine-containing compound biosynthetic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
thiamine-containing compound metabolic process	0	0.6468165607126348	66.5	0.7755931912391157	0.36141304347826086	-0.27717391304347827
thick ascending limb development	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
thigmotaxis	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
thiocyanate metabolic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
thioester biosynthetic process	-0.20962122006874978	0.12476274294324498	43	0.3307514859200401	0.23369565217391305	-0.5326086956521738
thioester metabolic process	-0.2621843571726546	0.1576603056375415	45	0.3827855214781977	0.24456521739130435	-0.5108695652173914
thioester transport	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
thiosulfate transport	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
third ventricle development	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
thorax and anterior abdomen determination	0	0.2980037467828746	90	0.532154488082965	0.4891304347826087	-0.021739130434782594
threonine catabolic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
threonine metabolic process	0	0.5980538285610386	80	0.7303157329543453	0.43478260869565216	-0.13043478260869568
threonine transport	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
threonyl-tRNA aminoacylation	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
thrombin-activated receptor signaling pathway	0	0.35258127119855937	87.5	0.5754497374776003	0.47554347826086957	-0.048913043478260865
thrombocyte differentiation	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
thrombopoietin-mediated signaling pathway	0	0.5980538285610386	80	0.7303157329543453	0.43478260869565216	-0.13043478260869568
thromboxane A2 signaling pathway	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
thymic T cell selection	-2.3156217925830656	2.3547685571195066e-5	3	0.0029924083889783398	0.016304347826086956	-0.967391304347826
thymidine biosynthetic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
thymidine catabolic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
thymidine metabolic process	-1.483478842779612	0.11240473035690185	46	0.3147238935242539	0.25	-0.5
thymine catabolic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
thymine metabolic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
thymine transport	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
thymocyte apoptotic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
thymocyte migration	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
thymus development	0	0.2512841724508518	92.5	0.48826005003568473	0.5027173913043478	0.005434782608695565
thymus epithelium morphogenesis	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
thyroid gland development	0	0.4175619207933478	85	0.6236209799554546	0.46195652173913043	-0.07608695652173914
thyroid gland epithelial cell proliferation	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
thyroid hormone catabolic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
thyroid hormone generation	0	0.9730904232589366	76	0.9864575055749386	0.41304347826086957	-0.17391304347826086
thyroid hormone mediated signaling pathway	0	0.743971478075057	77.5	0.8115761413071498	0.421195652173913	-0.15760869565217395
thyroid hormone metabolic process	-1.050129546481706	0.0022096564699509596	15	0.03066352249957093	0.08152173913043478	-0.8369565217391304
thyroid hormone transport	-1.050129546481706	0.0059804617664120496	26.5	0.05187434039912308	0.14402173913043478	-0.7119565217391304
thyroid-stimulating hormone secretion	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
thyroid-stimulating hormone signaling pathway	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
thyroid-stimulating hormone-secreting cell differentiation	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
tight junction assembly	-0.9353531340963628	0.0375733529238565	33.5	0.1487791865698275	0.18206521739130435	-0.6358695652173914
tight junction disassembly	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
tight junction organization	-0.9353531340963628	0.0375733529238565	33.5	0.1487791865698275	0.18206521739130435	-0.6358695652173914
tissue development	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
tissue homeostasis	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
tissue migration	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
tissue morphogenesis	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
tissue regeneration	0	0.21134022473964897	95	0.4463238578713695	0.5163043478260869	0.032608695652173836
tissue remodeling	-0.42196134936813723	0.03401612834033798	31	0.14072683457825136	0.16847826086956522	-0.6630434782608696
tolerance induction	0	0.25142019513054276	92.5	0.48826005003568473	0.5027173913043478	0.005434782608695565
tolerance induction dependent upon immune response	0	0.743971478075057	77.5	0.8115761413071498	0.421195652173913	-0.15760869565217395
tolerance induction to lipopolysaccharide	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
