Description	GSE100897_MTB_control_24h_THP-1	GSE100897_MTB_control_6h_THP-1	GSE110564_MTB_control_blood_lymphatic_endothelial_cell	GSE112482_MTB_control_lung_ILC1	GSE112482_MTB_control_lung_ILC2	GSE112482_MTB_control_lung_ILC3neg	GSE112482_MTB_control_lung_ILC3pos	GSE112482_MTB_control_lung_NK	GSE112482_MTB_control_lung_susp	GSE132283_MTB_control_blood_macrophage	GSE141656_MTB_control_blood_blood	GSE143627_MTB_control_PBMC_macrophage	GSE143731_MTB_control_blood_monocyte_derived_macrophages	GSE148171_MTB_control_blood_PBMC	GSE148731_MTB_control_blood_monocytes	GSE164287_MTB_control_blood_monocyte_derived_macrophages	GSE165708_MTB_control_BAL_bronchoalveolar_lavage	GSE174566_MTB_control_blood_PBMC	GSE183912_MTB_control_blood_marcophages	GSE193777_MTB_control_blood	GSE198557_MTB_control_blood_PBMC	GSE211974_MTB_control_48h_blood_THP-1	GSE211974_MTB_control_blood_THP-1	GSE236156_MTB_control_BALF_alveolar_macrophage	GSE236156_MTB_control_blood_monocyte_derived_macrophage	GSE256184_MTB_control_HEPG2_HepG2	GSE64179_MTB_control_blood_dendritic_cells	GSE64182_MTB_control_blood_dendritic_cells	GSE84076_MTB_control_blood	up_aggregated_RNAseq_0.8	up_aggregated_RNAseq_DE	up_aggregated_RNAseq
alpha-beta T cell activation involved in immune response	0.007900334244910361	0.007900334244910361	NA	0.010652463382157125	0.010652463382157125	0.010652463382157125	0.010652463382157125	0.010652463382157125	0.010652463382157125	0.006851785070320952	0.008095378274948484	0.00808834966557785	0.0074592784289846245	NA	0.007689893283113622	0.008528454023879672	0.008658008658008658	0.007773756869052406	0.00793507664562669	NA	0.006872852233676976	NA	NA	0.008385424607409667	0.008385424607409667	NA	0.008791515489813006	NA	NA	NA	0.022686567164179106	NA
alpha-beta T cell differentiation	0.011698571862655728	0.011698571862655728	0.01094627682557972	0.01775410563692854	0.01775410563692854	0.01775410563692854	0.01775410563692854	0.01775410563692854	0.01775410563692854	0.010578194494530593	0.012216661760376803	0.011976979312490279	NA	0.010223400227186671	0.011927181418706842	0.011784772832997364	0.012654012654012654	0.011526605012732878	0.011541929666366095	NA	0.010641835716661123	NA	NA	0.012501905778319866	0.012501905778319866	NA	0.012280212112754674	NA	NA	0.030927835051546393	0.03044776119402985	0.041237113402061855
alpha-beta T cell differentiation involved in immune response	0.007900334244910361	0.007900334244910361	NA	0.010652463382157125	0.010652463382157125	0.010652463382157125	0.010652463382157125	0.010652463382157125	0.010652463382157125	0.006851785070320952	0.008095378274948484	0.00808834966557785	0.0074592784289846245	NA	0.007689893283113622	0.008528454023879672	0.008658008658008658	0.007773756869052406	0.00793507664562669	NA	0.006872852233676976	NA	NA	0.008385424607409667	0.008385424607409667	NA	0.008791515489813006	NA	NA	NA	0.022686567164179106	NA
alpha-beta T cell lineage commitment	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0031253756461113113	NA	0.0035775392751594337	NA	NA	0.003452605147520402	NA	0.0034965034965034965	0.0034847875619890096	0.003787195671776375	NA	NA	NA	NA	NA	NA	NA	0.003628244487859336	NA	NA	0.015463917525773196	0.006567164179104477	0.030927835051546393
alpha-beta T cell proliferation	NA	NA	0.0048970185798646116	NA	NA	NA	NA	NA	NA	NA	0.004415660877244628	NA	NA	NA	NA	NA	0.004495504495504496	NA	NA	0.004306907002711757	0.0039906883937479215	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.010746268656716417	NA
alpha-linolenic acid metabolic process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001276120593396076	9.976720984369804e-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
alternative mRNA splicing, via spliceosome	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.006971991825940618	0.008536944362672947	NA	0.00730704825696453	0.0065631705162186044	0.0073760200878844944	0.007753140021708792	0.008158508158508158	NA	NA	NA	NA	NA	NA	0.007623113279463333	0.007623113279463333	NA	0.006837845380965671	NA	NA	NA	NA	NA
amide biosynthetic process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.012598847339498728	NA	0.013718296379007816	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
amino acid activation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00487136550464302	NA	NA	NA	NA	0.0048250904704463205	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0046835443037974685	NA	NA	NA	NA
amino acid import across plasma membrane	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.007761194029850746	NA
amino sugar metabolic process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004080351537978657	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.005970149253731343	NA
aminoglycan biosynthetic process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.006434400502197113	NA	0.006993006993006993	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.011940298507462687	NA
aminoglycan catabolic process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0033498165576646994	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aminoglycan metabolic process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.009894961181306134	0.009894961181306134	NA	NA	NA	NA	NA	NA	NA	0.0191044776119403	NA
AMP catabolic process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001791044776119403	NA
amyloid fibril formation	NA	NA	NA	0.007989347536617843	0.007989347536617843	0.007989347536617843	0.007989347536617843	0.007989347536617843	0.007989347536617843	NA	NA	NA	NA	0.003786444528587656	0.00423728813559322	NA	NA	NA	NA	0.003987876854362737	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
amyloid precursor protein catabolic process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.005048592704783542	NA	NA	NA	NA	NA	0.005742542670282342	0.0048775080368030155	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
amyloid precursor protein metabolic process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.007018663263678417	0.005875180135239995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
amyloid-beta clearance	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.003786444528587656	NA	NA	NA	NA	NA	0.004625937151060775	0.0033255736614566014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
amyloid-beta clearance by transcytosis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0011166055192215665	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
amyloid-beta formation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.003786444528587656	NA	NA	NA	NA	NA	0.0041473919285372465	0.0036581310276022614	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
amyloid-beta metabolic process	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004323245759893582	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
angiogenesis involved in wound healing	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.015463917525773196	0.005373134328358209	NA
animal organ regeneration	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.005861010326542004	NA	NA	NA	NA	NA
anoikis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.003103868750692828	NA	NA	NA	NA	NA	NA	NA	NA	0.015463917525773196	NA	0.030927835051546393
