pert	n_reversed_cells	min_score_cell	all_reversed_cells
benzonatate	3	HEK293T	HEK293T, A549, MCF7
benzylpenicillin	3	SKB	PC3, SKB, NPC
bepridil	3	A549	VCAP, A549, MCF7
betaxolol	3	HCC515	PHH, HCC515, SKB
bezafibrate	3	FIBRNPC	FIBRNPC, A549, PHH
bifemelane	3	MCF7	PC3, NPC, MCF7
bisoprolol	3	HA1E	PHH, HCC515, HA1E
bromocriptine	3	PC3	A375, PC3, HT29
budesonide	3	NEU	VCAP, NEU, MCF7
calcipotriol	3	PC3	MCF7, VCAP, PC3
calcitriol	3	U937	A549, FIBRNPC, U937
capecitabine	3	ASC	NPC, SKB, ASC
carteolol	3	A549	A549, PC3, VCAP
carvedilol	3	NPC	MCF7, VCAP, NPC
cefdinir	3	A549	VCAP, MCF7, A549
chloramphenicol	3	VCAP	VCAP, MCF7, PC3
chlorprothixene	3	HA1E	A549, HCC515, HA1E
cilastatin	3	HA1E	HA1E, MCF7, PC3
cladribine	3	VCAP	VCAP, MCF7, A549
clofarabine	3	HCC515	MCF7, HCC515, ASC
clopidogrel	3	PC3	VCAP, PC3, MCF7
clozapine	3	PC3	PC3, NPC, A549
coumarin	3	HA1E	NPC, HA1E, MCF7
cyclopentolate	3	NPC	VCAP, HA1E, NPC
cytarabine	3	VCAP	PC3, MCF7, VCAP
dactinomycin	3	A549	PC3, A549, SKB
dantrolene	3	PC3	PHH, PC3, A549
dexamethasone	3	VCAP	MCF7, A375, VCAP
diclofenac	3	PC3	A549, PC3, NPC
diclofenamide	3	HA1E	NPC, HA1E, PC3
diethylcarbamazine	3	HCC515	HCC515, PHH, VCAP
dihydroergocristine	3	VCAP	VCAP, A549, PC3
diltiazem	3	HCC515	HCC515, VCAP, PC3
dimercaptosuccinic-acid	3	NPC	ASC, PHH, NPC
doconexent	3	NEU	A549, HCC515, NEU
doxapram	3	PC3	VCAP, PC3, MCF7
doxercalciferol	3	ASC	A549, NPC, ASC
doxorubicin	3	A549	HEPG2, PC3, A549
doxylamine	3	HCC515	PHH, HCC515, SKB
dydrogesterone	3	PC3	VCAP, PC3, NPC
econazole	3	HCC515	HCC515, HA1E, MCF7
ethinyl-estradiol	3	A549	A549, VCAP, HT29
ethotoin	3	A375	PC3, A375, HT29
eugenol	3	MCF7	HT29, MCF7, A549
fasudil	3	HCC515	HCC515, HA1E, VCAP
felbamate	3	MCF7	MCF7, VCAP, PHH
fenofibrate	3	HA1E	A549, HA1E, MCF7
fenoldopam	3	A549	NPC, A549, MCF7
fludarabine	3	A549	PHH, A549, SKB
fludroxycortide	3	A549	HCC515, A549, ASC
fluorometholone	3	PC3	PC3, VCAP, A549
flupirtine	3	VCAP	MCF7, ASC, VCAP
fluspirilene	3	A549	A549, HA1E, NPC
flutamide	3	PC3	NPC, NEU, PC3
formestane	3	MCF7	VCAP, SKB, MCF7
gefitinib	3	MCF10A	MCF10A, NEU, HS578T
gemfibrozil	3	A375	PC3, VCAP, A375
granisetron	3	PC3	MCF7, A549, PC3
guanfacine	3	MCF7	HCC515, A549, MCF7
hesperidin	3	MCF7	A549, MCF7, ASC
hexylresorcinol	3	HA1E	MCF7, A375, HA1E
homochlorcyclizine	3	HT29	HT29, A549, VCAP
ibudilast	3	VCAP	NPC, VCAP, PC3
ibuprofen	3	HA1E	A549, MCF7, HA1E
icosapent	3	PC3	A549, PC3, NPC
iloperidone	3	ASC	ASC, PC3, NPC
imiquimod	3	HT29	A375, HT29, PC3
ketoprofen	3	PHH	VCAP, MCF7, PHH
ketorolac	3	MCF7	VCAP, MCF7, A549
leflunomide	3	PC3	A549, PC3, HCC515
levomepromazine	3	MCF7	PC3, MCF7, NPC
lidoflazine	3	HA1E	A549, HCC515, HA1E
lomerizine	3	A549	PC3, A549, VCAP
lypressin	3	SKB	SKB, ASC, NPC
maraviroc	3	PC3	MCF7, PC3, A375
masitinib	3	SKBR3	MDAMB231, SKBR3, SKB
mefenamic-acid	3	PHH	NPC, PHH, A375
meloxicam	3	NPC	HCC515, VCAP, NPC
meptazinol	3	A549	PHH, A549, VCAP
mesalazine	3	MCF7	MCF7, VCAP, A549
methotrexate	3	PC3	HA1E, PC3, A549
methoxsalen	3	VCAP	PC3, VCAP, A549
methylene-blue	3	HCC515	HCC515, HT29, NKDBA
methylprednisolone	3	PC3	A549, VCAP, PC3
methysergide	3	PC3	PC3, VCAP, SKB
metoprolol	3	MCF7	MCF7, PC3, SKB
metyrapone	3	PC3	HA1E, PC3, HT29
mifepristone	3	NPC	PC3, NPC, MCF7
mosapride	3	PHH	VCAP, A549, PHH
mycophenolic-acid	3	PC3	A549, MCF7, PC3
naftopidil	3	VCAP	PC3, MCF7, VCAP
nalbuphine	3	PC3	ASC, SKB, PC3
nateglinide	3	SKB	NPC, MCF7, SKB
