pert	n_reversed_cells	min_score_cell	all_reversed_cells
warfarin	10	HA1E	HA1E, MCF7, VCAP, ASC, PC3, NEU, A375, PHH, A549, NPC
afatinib	9	NEU	MCF7, NEU, MCF10A, A549, PC3, MDAMB231, BT20, VCAP, HS578T
amlodipine	9	SKB	MCF7, VCAP, PHH, HA1E, PC3, HCC515, SKB, ASC, A549
brompheniramine	9	PHH	VCAP, MCF7, NPC, HCC515, A549, PC3, PHH, HA1E, SKB
chenodeoxycholic-acid	9	NPC	NEU, FIBRNPC, SKB, PC3, NPC, A549, PHH, VCAP, ASC
chloroquine	9	SKB	HCC515, SKB, VCAP, MCF7, HT29, ASC, NPC, A375, A549
chlorphenamine	9	ASC	VCAP, A549, HA1E, ASC, MCF7, PC3, HCC515, NPC, PHH
clomipramine	9	A549	VCAP, HA1E, MCF7, PHH, PC3, A549, ASC, NPC, SKB
clonidine	9	PC3	NPC, ASC, FIBRNPC, PC3, NEU, VCAP, PHH, HT29, HA1E
curcumin	9	FIBRNPC	A549, U266, PC3, HEPG2, FIBRNPC, A375, NPC, NEU, JURKAT
dienestrol	9	A375	MCF7, A375, HCC515, A549, NPC, SKB, PC3, HEPG2, VCAP
doconexent	9	FIBRNPC	NPC, SKB, HCC515, MCF7, A549, FIBRNPC, ASC, HA1E, NEU
erlotinib	9	MCF10A	HS578T, PHH, MCF10A, ASC, PC3, NPC, SKB, VCAP, NEU
estrone	9	PC3	ASC, PC3, HCC515, NEU, VCAP, HT29, PHH, SKB, HA1E
felodipine	9	PC3	VCAP, NPC, PC3, PHH, HA1E, A549, MCF7, SKB, HCC515
fluspirilene	9	HCC515	SKB, HA1E, MCF7, ASC, HCC515, VCAP, A549, PHH, NPC
fluvastatin	9	PHH	NEU, MCF7, FIBRNPC, HA1E, A549, ASC, PC3, PHH, NPC
gefitinib	9	MCF10A	PC3, MCF7, ASC, SKB, NEU, MCF10A, HS578T, PHH, NPC
medrysone	9	PC3	HCC515, A549, PC3, SKB, VCAP, PHH, HA1E, MCF7, NPC
minoxidil	9	FIBRNPC	NEU, FIBRNPC, PHH, MCF7, SKB, A375, VCAP, HT29, HCC515
mitotane	9	PC3	MCF7, ASC, SKB, A549, PHH, HCC515, PC3, VCAP, HA1E
moxonidine	9	VCAP	VCAP, NPC, HCC515, MCF7, ASC, A549, NEU, SKB, PC3
nalbuphine	9	ASC	NPC, ASC, HT29, PC3, MCF7, A375, VCAP, HCC515, SKB
naloxone	9	PC3	SKB, HCC515, A375, ASC, PC3, NPC, PHH, VCAP, A549
niclosamide	9	VCAP	HA1E, HCC515, NPC, VCAP, A375, HT29, PHH, PC3, MCF7
pazopanib	9	MCF7	VCAP, SKB, MCF7, ASC, A549, NPC, PHH, MDAMB231, BT20
pimozide	9	NEU	FIBRNPC, ASC, PC3, A549, HA1E, NEU, NPC, MCF7, SKB
pizotifen	9	PHH	ASC, VCAP, SKB, NPC, PC3, PHH, HCC515, MCF7, A549
pravastatin	9	MCF7	NPC, FIBRNPC, PHH, MCF7, VCAP, HCC515, A549, SKB, HA1E
quinidine	9	A549	ASC, FIBRNPC, HA1E, A549, HCC515, MCF7, NEU, NPC, PHH
rizatriptan	9	ASC	PHH, HA1E, ASC, MCF7, PC3, SKB, HCC515, NPC, VCAP
ruxolitinib	9	A549	A549, MCF7, BT20, SKB, MCF10A, PHH, HS578T, SKBR3, NPC
sorafenib	9	HS578T	FIBRNPC, MCF7, A549, ASC, HS578T, NEU, MCF10A, SKB, VCAP
thalidomide	9	FIBRNPC	SKB, MCF7, HT29, FIBRNPC, NPC, ASC, A375, PC3, VCAP
tolazamide	9	SKB	VCAP, SKB, MCF7, A549, HCC515, PC3, HA1E, A375, ASC
trazodone	9	ASC	SKB, A549, NEU, ASC, PC3, NPC, VCAP, HA1E, HCC515
triamcinolone	9	HT29	HT29, MCF7, PHH, A375, A549, SKB, NPC, PC3, HA1E
verapamil	9	MCF7	HT29, NPC, MCF7, SKB, PHH, VCAP, NEU, ASC, HCC515
acetyl-farnesyl-cysteine	8	A549	FIBRNPC, ASC, A549, PHH, SKB, MCF7, PC3, VCAP
amantadine	8	VCAP	SKB, VCAP, NPC, A549, MCF7, HCC515, PHH, PC3
amcinonide	8	A549	ASC, HCC515, A549, PHH, MCF7, PC3, VCAP, HA1E
amoxapine	8	HCC515	PHH, A549, MCF7, HA1E, HCC515, PC3, VCAP, SKB
benazepril	8	HA1E	PC3, HCC515, MCF7, SKB, HA1E, A549, VCAP, PHH
betaxolol	8	NPC	PHH, NPC, MCF7, A549, SKB, PC3, ASC, HCC515
bezafibrate	8	FIBRNPC	FIBRNPC, PHH, NPC, MCF7, ASC, A549, HCC515, VCAP
biperiden	8	A549	SKB, VCAP, ASC, HCC515, A549, MCF7, PHH, PC3
bromocriptine	8	PC3	HT29, PC3, MCF7, HA1E, VCAP, NPC, A375, HCC515
buphenine	8	A549	VCAP, PHH, PC3, MCF7, A549, HA1E, SKB, NPC
bupropion	8	A549	A549, SKB, HCC515, ASC, NPC, PHH, VCAP, HA1E
cabergoline	8	A549	PC3, HCC515, MCF7, A549, NPC, HA1E, PHH, VCAP
calcifediol	8	HA1E	A549, MCF7, HA1E, NPC, ASC, PC3, SKB, VCAP
carbamazepine	8	SKB	ASC, A549, PHH, NPC, SKB, FIBRNPC, HCC515, MCF7
carbenoxolone	8	HCC515	ASC, HCC515, MCF7, VCAP, A549, NPC, PC3, SKB
carbinoxamine	8	ASC	ASC, HA1E, PHH, A549, NPC, VCAP, SKB, MCF7
chlorpromazine	8	SKB	FIBRNPC, NEU, A375, ASC, A549, SKB, VCAP, HCC515
cilnidipine	8	PC3	PC3, A549, VCAP, ASC, MCF7, HA1E, NPC, PHH
clofibric-acid	8	A549	HCC515, FIBRNPC, MCF7, PC3, SKB, NPC, NEU, A549
dasatinib	8	A549	SKB, A549, HS578T, NPC, ASC, PC3, MDAMB231, MCF10A
dihydroergocristine	8	HCC515	VCAP, MCF7, A375, HCC515, HT29, PC3, ASC, A549
donepezil	8	A549	SKB, NPC, PHH, A549, ASC, VCAP, HCC515, PC3
doxepin	8	VCAP	A549, PC3, NPC, MCF7, HA1E, VCAP, HCC515, PHH
ephedrine	8	FIBRNPC	NEU, FIBRNPC, MCF7, A549, VCAP, HT29, PC3, NPC
fipronil	8	PC3	HCC515, PC3, ASC, SKB, PHH, MCF7, VCAP, HA1E
flupentixol	8	A549	NPC, A549, ASC, MCF7, PC3, HCC515, HA1E, VCAP
fluphenazine	8	A375	A549, PC3, A375, SKB, MCF7, HA1E, HT29, NPC
flupirtine	8	ASC	NEU, VCAP, ASC, SKB, MCF7, PC3, A549, NPC
fulvestrant	8	SKB	HCC515, NPC, PC3, A375, A549, VCAP, HEPG2, SKB
guanfacine	8	A549	PC3, PHH, NPC, A549, MCF7, VCAP, SKB, ASC
ipratropium	8	HT29	A375, ASC, HT29, PC3, A549, VCAP, PHH, HA1E
isoxsuprine	8	A549	VCAP, HA1E, A549, HT29, MCF7, A375, NPC, HCC515
ketotifen	8	ASC	PC3, NPC, ASC, HCC515, MCF7, SKB, VCAP, PHH
labetalol	8	A549	MCF7, NPC, HCC515, HA1E, PC3, A549, VCAP, PHH
levomepromazine	8	HCC515	HCC515, PC3, VCAP, SKB, ASC, A549, MCF7, NPC
masitinib	8	SKB	VCAP, SKB, HS578T, NPC, A549, BT20, MDAMB231, ASC
metergoline	8	PHH	MCF7, A549, HA1E, PHH, HT29, A375, HCC515, VCAP
midodrine	8	ASC	ASC, MCF7, SKB, NPC, HA1E, VCAP, PHH, PC3
naltrexone	8	A375	A375, MCF7, PC3, HT29, ASC, A549, VCAP, HA1E
nimodipine	8	NEU	MCF7, ASC, NEU, HA1E, NPC, PHH, FIBRNPC, A375
norgestimate	8	SKB	HCC515, SKB, VCAP, PC3, MCF7, ASC, HA1E, PHH
nortriptyline	8	VCAP	ASC, NPC, VCAP, HCC515, PC3, MCF7, SKB, A549
noscapine	8	MCF7	PHH, PC3, A375, MCF7, HCC515, VCAP, ASC, NPC
palmitoylethanolamide	8	MCF7	PHH, HCC515, ASC, PC3, MCF7, NPC, HA1E, SKB
podophyllotoxin	8	HUH7	ASC, PHH, HCC515, SKB, HEPG2, HUH7, PC3, MCF7
procainamide	8	HA1E	PC3, PHH, ASC, HA1E, VCAP, A549, NPC, MCF7
quercetin	8	A549	HA1E, A549, ASC, VCAP, HCC515, PHH, PC3, NPC
reboxetine	8	HCC515	PHH, FIBRNPC, HCC515, MCF7, PC3, VCAP, A549, SKB
rosuvastatin	8	MCF7	A549, MCF7, HCC515, PHH, PC3, HA1E, ASC, VCAP
sulpiride	8	A549	MCF7, HCC515, HA1E, ASC, PC3, VCAP, SKB, A549
thiethylperazine	8	PC3	HCC515, ASC, SKB, NPC, PC3, HA1E, VCAP, NEU
trifluoperazine	8	A549	HT29, PC3, HCC515, NEU, FIBRNPC, A549, NPC, HA1E
trimipramine	8	HA1E	HCC515, ASC, MCF7, A549, NPC, HA1E, VCAP, PC3
valproic-acid	8	PC3	NPC, HCC515, VCAP, A549, MCF7, PC3, HA1E, A375
vinblastine	8	VCAP	ASC, PHH, VCAP, PC3, NPC, A549, HEPG2, MCF7
zuclopenthixol	8	PC3	SKB, VCAP, HA1E, ASC, PC3, A549, NPC, MCF7
GR-235	7	PHH	MCF7, NPC, PHH, PC3, NEU, A549, VCAP
acitretin	7	NEU	PHH, NEU, SKB, ASC, MCF7, VCAP, A549
albendazole	7	PHH	VCAP, PHH, NPC, HCC515, SKB, ASC, PC3
ambroxol	7	PC3	MCF7, PC3, HCC515, A549, PHH, SKB, VCAP
amitriptyline	7	SKB	NPC, ASC, SKB, A375, A549, MCF7, VCAP
aprepitant	7	PC3	NEU, NPC, PC3, PHH, MCF7, ASC, SKB
azaperone	7	HCC515	NPC, A549, ASC, HCC515, PHH, PC3, SKB
bendroflumethiazide	7	HCC515	ASC, HCC515, A549, SKB, MCF7, VCAP, NPC
betamethasone	7	HA1E	ASC, A549, HA1E, VCAP, PHH, PC3, MCF7
bicalutamide	7	ASC	MCF7, ASC, NPC, HCC515, VCAP, PHH, SKB
bosutinib	7	PC3	FIBRNPC, PC3, A549, ASC, VCAP, NPC, NEU
brimonidine	7	A549	VCAP, NEU, PC3, A549, SKB, HA1E, ASC
budesonide	7	A375	HCC515, VCAP, A549, A375, MCF7, NEU, PC3
cinacalcet	7	NEU	A549, MCF7, NPC, PC3, NEU, VCAP, SKB
ciprofibrate	7	ASC	MCF7, SKB, ASC, NPC, VCAP, PC3, PHH
citalopram	7	A375	A375, VCAP, HT29, HA1E, MCF7, PC3, A549
coumarin	7	NPC	HA1E, PHH, HCC515, NPC, MCF7, A549, VCAP
desoximetasone	7	MCF7	PC3, HCC515, VCAP, A549, MCF7, ASC, HA1E
dexamethasone	7	SKB	HCC515, SKB, ASC, VCAP, PC3, NPC, PHH
dextromethorphan	7	PC3	ASC, A549, PC3, MCF7, HA1E, NEU, VCAP
diflunisal	7	PC3	MCF7, ASC, PC3, HCC515, VCAP, SKB, NPC
digitoxin	7	PHH	ASC, PHH, NPC, A549, MCF7, SKB, HCC515
dihydroergotamine	7	A375	SKB, VCAP, A375, NPC, ASC, PHH, A549
doxorubicin	7	PC3	PC3, HA1E, ASC, HT29, VCAP, HCC515, A549
estradiol-cypionate	7	A549	MCF7, HA1E, VCAP, HCC515, A549, PC3, ASC
ethisterone	7	HCC515	PC3, HA1E, VCAP, PHH, ASC, MCF7, HCC515
fenbendazole	7	ASC	VCAP, SKB, ASC, HCC515, MCF7, A549, PC3
fluoxetine	7	HT29	HA1E, PC3, MCF7, HT29, A549, NPC, VCAP
fluvoxamine	7	PC3	HCC515, VCAP, HA1E, PC3, NPC, A549, NEU
formoterol	7	A549	ASC, SKB, A549, PC3, MCF7, HCC515, NEU
gabexate	7	MCF7	SKB, PHH, ASC, MCF7, VCAP, HA1E, A549
gemfibrozil	7	A549	NPC, PC3, A549, HT29, NEU, FIBRNPC, VCAP
gliquidone	7	A549	A549, MCF7, NPC, NEU, ASC, HCC515, VCAP
halcinonide	7	VCAP	ASC, MCF7, A549, SKB, VCAP, NEU, PC3
hydrocortisone	7	MCF7	PHH, ASC, MCF7, HCC515, VCAP, PC3, HA1E
icosapent	7	PC3	NEU, FIBRNPC, A375, A549, MCF7, PC3, VCAP
ketanserin	7	NPC	MCF7, NPC, SKB, HCC515, NEU, A549, HA1E
ketorolac	7	A549	PHH, ASC, MCF7, A549, NPC, HA1E, VCAP
lovastatin	7	ASC	NPC, HA1E, PC3, FIBRNPC, ASC, VCAP, HCC515
lypressin	7	SKB	PHH, A549, PC3, SKB, ASC, NEU, NPC
maprotiline	7	PC3	PC3, HT29, PHH, ASC, HCC515, VCAP, NPC
mebeverine	7	PC3	SKB, PC3, MCF7, A549, VCAP, NEU, HCC515
mefenamic-acid	7	PHH	HEK293T, A375, MCF7, PHH, SKB, HCC515, VCAP
megestrol	7	PC3	HA1E, HT29, PC3, A375, MCF7, A549, VCAP
menadione	7	HT29	NPC, HT29, ASC, SKB, PC3, HCC515, PHH
mifepristone	7	NPC	SKB, A549, NPC, PC3, MCF7, PHH, HCC515
mirtazapine	7	NEU	SKB, VCAP, HCC515, A549, NEU, ASC, NPC
mosapride	7	VCAP	ASC, A549, VCAP, PC3, PHH, SKB, NPC
mycophenolate-mofetil	7	A549	A549, PC3, NPC, HCC515, VCAP, HA1E, SKB
nafcillin	7	PC3	MCF7, SKB, NEU, PC3, HA1E, A549, VCAP
naphazoline	7	MCF7	SKB, MCF7, PC3, ASC, HA1E, HCC515, PHH
naproxen	7	HCC515	NPC, SKB, HCC515, VCAP, ASC, HA1E, MCF7
nicergoline	7	ASC	SKB, ASC, A549, MCF7, VCAP, HA1E, HCC515
nimesulide	7	HA1E	HCC515, NEU, HA1E, MCF7, SKB, NPC, VCAP
oxybuprocaine	7	HCC515	VCAP, NPC, A549, HA1E, ASC, PC3, HCC515
pantoprazole	7	NPC	PC3, MCF7, HA1E, ASC, NPC, A549, PHH
papaverine	7	VCAP	PHH, HCC515, ASC, VCAP, PC3, A549, MCF7
parachlorophenol	7	A549	PHH, PC3, VCAP, MCF7, A549, HCC515, NPC
pentoxifylline	7	PC3	VCAP, HCC515, PHH, A549, PC3, ASC, HA1E
perhexiline	7	PC3	A375, A549, MCF7, HA1E, HCC515, PC3, VCAP
physostigmine	7	PHH	SKB, A549, PC3, PHH, MCF7, HA1E, ASC
prednisone	7	PC3	HCC515, HA1E, PHH, PC3, MCF7, A549, NPC
procaterol	7	NEU	VCAP, ASC, HA1E, A549, NEU, HCC515, MCF7
prochlorperazine	7	HCC515	ASC, A549, NPC, VCAP, HCC515, PC3, MCF7
profenamine	7	HA1E	HA1E, A549, HT29, PC3, MCF7, A375, VCAP
progesterone	7	HT29	HCC515, HT29, PC3, VCAP, NPC, MCF7, HA1E
propafenone	7	ASC	HCC515, PC3, NPC, ASC, VCAP, MCF7, A549
propentofylline	7	A375	VCAP, A549, HT29, A375, MCF7, PC3, HA1E
protriptyline	7	SKB	SKB, HCC515, ASC, HA1E, MCF7, NPC, A549
pyrimethamine	7	VCAP	PC3, HCC515, MCF7, A549, NPC, VCAP, HA1E
quetiapine	7	PHH	MCF7, SKB, A549, PHH, HCC515, VCAP, HA1E
raloxifene	7	A375	NPC, SKB, HEPG2, HT29, A375, ASC, MCF7
reserpine	7	PC3	ASC, SKB, MCF7, NPC, PC3, HCC515, PHH
resveratrol	7	PC3	A549, PC3, MCF7, VCAP, A375, PHH, HCC515
rifabutin	7	A549	MCF7, NEU, PC3, SKB, A549, VCAP, PHH
rilmenidine	7	MCF7	MCF7, NPC, VCAP, FIBRNPC, HT29, A375, A549
rimexolone	7	PC3	ASC, A549, HA1E, MCF7, SKB, PC3, VCAP
rivaroxaban	7	NEU	ASC, NEU, SKB, NPC, VCAP, A549, PC3
ropinirole	7	MCF7	HA1E, HCC515, ASC, MCF7, A549, SKB, PC3
rutin	7	MCF7	VCAP, ASC, PHH, MCF7, PC3, HCC515, HA1E
sitagliptin	7	A549	NPC, MCF7, A549, ASC, VCAP, NEU, PC3
sunitinib	7	PC3	MCF7, VCAP, PC3, PHH, A549, ASC, NEU
tadalafil	7	A549	NPC, SKB, HA1E, A549, PHH, PC3, VCAP
temozolomide	7	MCF7	NPC, PC3, HT29, MCF7, A375, A549, HCC515
thiotepa	7	VCAP	PHH, NPC, MCF7, PC3, SKB, A549, VCAP
thiothixene	7	SKB	HCC515, VCAP, A549, PC3, SKB, HA1E, PHH
timolol	7	PC3	HA1E, SKB, ASC, A549, PC3, PHH, MCF7
tocainide	7	HT29	HT29, A375, MCF7, PC3, HA1E, A549, VCAP
tranylcypromine	7	PC3	A549, NEU, NPC, A375, PC3, HT29, VCAP
tretinoin	7	A549	FIBRNPC, NPC, A549, NEU, U937, HL60, NKDBA
vincristine	7	HCC515	ASC, HCC515, MCF7, PHH, NPC, VCAP, PC3
ziprasidone	7	PC3	A549, VCAP, NPC, PC3, SKB, MCF7, ASC
zonisamide	7	A549	MCF7, A549, NEU, NPC, HT29, FIBRNPC, A375
acarbose	6	MCF7	A549, PC3, VCAP, MCF7, NPC, ASC
alimemazine	6	HA1E	MCF7, PC3, HA1E, A375, A549, HT29
alprenolol	6	MCF7	A549, MCF7, HCC515, NPC, VCAP, PC3
altrenogest	6	MCF7	HCC515, MCF7, VCAP, ASC, HA1E, PC3
aminoglutethimide	6	A549	PC3, PHH, A549, HA1E, NPC, VCAP
amodiaquine	6	HCC515	VCAP, HCC515, ASC, NPC, HA1E, SKB
benzonatate	6	PC3	PC3, VCAP, A549, NPC, NEU, ASC
bifemelane	6	MCF7	HCC515, MCF7, NPC, VCAP, PC3, HA1E
bumetanide	6	HCC515	ASC, HCC515, NPC, PHH, A549, PC3
caffeine	6	A549	A549, NEU, FIBRNPC, NPC, PC3, ASC
calcitriol	6	CD34	PHH, VCAP, FIBRNPC, CD34, MCF7, U937
carvedilol	6	VCAP	ASC, MCF7, PC3, A549, PHH, VCAP
celecoxib	6	NEU	ASC, NEU, FIBRNPC, PC3, VCAP, NPC
cetirizine	6	MCF7	ASC, SKB, MCF7, PC3, VCAP, A549
cholic-acid	6	FIBRNPC	MCF7, NEU, ASC, FIBRNPC, VCAP, A549
cilastatin	6	VCAP	HCC515, NEU, VCAP, A549, HA1E, ASC
clemastine	6	VCAP	PC3, HA1E, NPC, PHH, A549, VCAP
clofarabine	6	ASC	NPC, HA1E, MCF7, ASC, A549, PC3
cortisone	6	A375	NEU, NPC, A375, MCF7, PC3, VCAP
deoxycholic-acid	6	NEU	VCAP, MCF7, PHH, FIBRNPC, PC3, NEU
diazoxide	6	NPC	HCC515, HA1E, NPC, VCAP, ASC, PHH
diclofenac	6	A549	A549, NPC, SKB, VCAP, HA1E, FIBRNPC
dicycloverine	6	HCC515	NPC, HA1E, A549, HCC515, VCAP, PHH
diethylcarbamazine	6	HCC515	NPC, MCF7, PHH, VCAP, PC3, HCC515
diphenidol	6	ASC	SKB, ASC, A549, HA1E, PC3, VCAP
docetaxel	6	NEU	ASC, SKB, NEU, NPC, MCF7, VCAP
domperidone	6	VCAP	VCAP, HA1E, PHH, ASC, A549, HCC515
dosulepin	6	PC3	PHH, ASC, A549, PC3, HA1E, NPC
doxylamine	6	HCC515	PHH, HCC515, A549, VCAP, PC3, MCF7
droperidol	6	VCAP	VCAP, HCC515, NPC, PC3, A549, NEU
duloxetine	6	PC3	A549, PC3, HCC515, HA1E, SKB, VCAP
enalapril	6	VCAP	PC3, VCAP, HCC515, PHH, A549, HA1E
escitalopram	6	VCAP	NPC, HCC515, PC3, HA1E, VCAP, SKB
estradiol-valerate	6	A549	NPC, HA1E, VCAP, A549, PC3, MCF7
estriol	6	PHH	NPC, PHH, HT29, HEPG2, ASC, HCC515
etomidate	6	PC3	PHH, NPC, PC3, SKB, MCF7, VCAP
fexofenadine	6	A549	NPC, A549, MCF7, PHH, VCAP, HCC515
flecainide	6	ASC	ASC, NPC, HCC515, A549, PHH, SKB
fluconazole	6	HCC515	SKB, PHH, NPC, HCC515, PC3, VCAP
fluorometholone	6	PC3	MCF7, VCAP, A549, HA1E, PC3, A375
flutamide	6	NPC	ASC, NPC, NEU, VCAP, PC3, HA1E
forskolin	6	NKDBA	HA1E, MCF7, NPC, NKDBA, PC3, VCAP
hesperidin	6	A549	HCC515, ASC, A549, MCF7, PHH, HA1E
hexylresorcinol	6	HT29	HT29, A549, MCF7, A375, HA1E, VCAP
homatropine	6	VCAP	A549, VCAP, MCF7, A375, PC3, HT29
hydroquinidine	6	ASC	VCAP, HCC515, ASC, PHH, NPC, MCF7
itraconazole	6	VCAP	A549, HCC515, HA1E, MCF7, HT29, VCAP
ivermectin	6	VCAP	VCAP, PC3, ASC, MCF7, A549, HCC515
leflunomide	6	MCF7	PC3, MCF7, HCC515, ASC, A549, PHH
levocabastine	6	ASC	VCAP, NPC, ASC, NEU, MCF7, A549
losartan	6	A549	PHH, SKB, NPC, ASC, A549, HA1E
mebendazole	6	A549	SKB, A549, NPC, VCAP, PHH, PC3
meloxicam	6	MCF7	PC3, HCC515, MCF7, SKB, A549, VCAP
mephentermine	6	NPC	MCF7, NPC, VCAP, A549, HCC515, PHH
methysergide	6	VCAP	VCAP, PC3, ASC, NPC, A549, SKB
metoclopramide	6	PC3	NPC, SKB, ASC, PC3, VCAP, PHH
mitoxantrone	6	PC3	HEPG2, A375, PC3, HT29, MCF7, A549
moexipril	6	ASC	ASC, PHH, NPC, VCAP, HCC515, MCF7
mometasone	6	PC3	VCAP, A549, PC3, HA1E, SKB, MCF7
mycophenolic-acid	6	MCF7	SKB, A549, PC3, MCF7, HUH7, VCAP
nadolol	6	A549	MCF7, A549, ASC, HCC515, NPC, PHH
nemonapride	6	MCF7	SKB, FIBRNPC, MCF7, A549, HA1E, PC3
nicardipine	6	HCC515	PC3, MCF7, A375, VCAP, HCC515, A549
nilutamide	6	PHH	NPC, ASC, PHH, VCAP, HCC515, PC3
noretynodrel	6	A549	PC3, HEK293T, HCC515, MCF7, A549, VCAP
oxybenzone	6	PHH	MCF7, SKB, PHH, PC3, A549, NPC
ozagrel	6	ASC	NPC, HT29, A549, ASC, VCAP, MCF7
paroxetine	6	MCF7	PHH, MCF7, NPC, PC3, HCC515, A549
phenazopyridine	6	HCC515	ASC, HCC515, PHH, MCF7, HA1E, PC3
phenoxybenzamine	6	HA1E	MCF7, HA1E, A549, PHH, SKB, HCC515
phentolamine	6	A549	VCAP, A549, PC3, NPC, HA1E, HCC515
pindolol	6	VCAP	ASC, MCF7, HCC515, HA1E, PC3, VCAP
pioglitazone	6	PHH	FIBRNPC, A549, ASC, PHH, NEU, MCF7
pirenzepine	6	HCC515	NPC, HA1E, PHH, HCC515, A549, SKB
piroxicam	6	VCAP	HCC515, NPC, VCAP, PC3, ASC, SKB
prednicarbate	6	ASC	ASC, VCAP, PHH, A549, PC3, SKB
prednisolone	6	PC3	A549, MCF7, PHH, PC3, HCC515, NPC
probenecid	6	ASC	ASC, PC3, VCAP, MCF7, SKB, A549
probucol	6	NPC	PHH, ASC, HCC515, A549, NPC, VCAP
propofol	6	PC3	ASC, MCF7, SKB, PC3, NPC, A549
proxymetacaine	6	MCF7	MCF7, VCAP, NPC, A549, HCC515, NEU
racecadotril	6	A549	HCC515, A549, MCF7, ASC, SKB, PHH
ranitidine	6	ASC	ASC, SKB, PC3, MCF7, VCAP, HCC515
retinol	6	VCAP	ASC, PC3, A549, VCAP, SKB, FIBRNPC
riboflavin	6	MCF7	HCC515, SKB, MCF7, VCAP, ASC, HA1E
risperidone	6	ASC	HA1E, HCC515, NPC, A549, ASC, VCAP
sertraline	6	ASC	ASC, HCC515, PC3, A549, VCAP, NPC
sulindac	6	MCF7	MCF7, FIBRNPC, NEU, A375, PC3, NPC
talipexole	6	ASC	NPC, ASC, SKB, A549, VCAP, HCC515
tamibarotene	6	NEU	PHH, NPC, PC3, NEU, ASC, A549
tetrabenazine	6	FIBRNPC	A375, VCAP, FIBRNPC, MCF7, A549, HT29
thiocolchicoside	6	VCAP	PC3, SKB, ASC, VCAP, A549, NPC
thioproperazine	6	PC3	PHH, HCC515, ASC, A549, PC3, VCAP
trapidil	6	A549	NPC, A549, HA1E, VCAP, PC3, NEU
tripelennamine	6	ASC	ASC, HCC515, NPC, VCAP, A549, PHH
tropicamide	6	MCF7	HA1E, MCF7, A375, PC3, HT29, VCAP
tropisetron	6	SKB	ASC, SKB, A549, VCAP, NPC, MCF7
vardenafil	6	VCAP	PC3, ASC, VCAP, PHH, HA1E, HCC515
