pert	n_reversed_cells	min_score_cell	all_reversed_cells
doconexent	7	VCAP	VCAP, A549, MCF7, FIBRNPC, PHH, NEU, HCC515
estropipate	7	HCC515	HCC515, VCAP, A549, A375, PHH, PC3, MCF7
fasudil	7	A549	ASC, HCC515, A549, HA1E, PC3, VCAP, NPC
felodipine	7	SKB	PC3, VCAP, ASC, SKB, HCC515, MCF7, PHH
flupentixol	7	HA1E	HCC515, NPC, A549, NEU, PC3, HA1E, VCAP
flutamide	7	A549	SKB, NEU, HCC515, NPC, A549, PC3, HA1E
fostamatinib	7	A375	MCF7, HA1E, HT29, A375, HCC515, VCAP, A549
isradipine	7	PC3	MCF7, NPC, PC3, NEU, VCAP, HT29, A375
ivermectin	7	PC3	VCAP, PHH, PC3, HCC515, HA1E, MCF7, A549
lapatinib	7	SKB	A549, NEU, SKB, PHH, MCF7, PC3, NPC
lovastatin	7	HA1E	NPC, HA1E, ASC, PC3, FIBRNPC, HCC515, SKB
menadione	7	SKB	NPC, HA1E, MCF7, ASC, PHH, PC3, SKB
metergoline	7	HA1E	A549, HT29, HA1E, MCF7, A375, PC3, SKB
midostaurin	7	ASC	PC3, SKB, HA1E, ASC, MCF7, HCC515, NPC
mifepristone	7	FIBRNPC	HA1E, NPC, MCF7, PC3, A549, FIBRNPC, PHH
mycophenolate-mofetil	7	MCF7	HA1E, A549, VCAP, PC3, MCF7, ASC, PHH
naloxone	7	HA1E	HCC515, MCF7, HA1E, NPC, A549, PC3, A375
niclosamide	7	PHH	HCC515, HA1E, VCAP, HT29, PHH, MCF7, PC3
nizatidine	7	VCAP	HA1E, A549, NPC, VCAP, PC3, SKB, MCF7
nortriptyline	7	HA1E	NPC, ASC, HA1E, A549, HCC515, MCF7, PC3
oxibendazole	7	VCAP	ASC, VCAP, HCC515, PHH, SKB, MCF7, HA1E
ozagrel	7	HT29	NPC, HT29, A549, MCF7, PHH, VCAP, HA1E
penfluridol	7	HCC515	ASC, NPC, PC3, MCF7, HA1E, HCC515, VCAP
pyrimethamine	7	VCAP	ASC, MCF7, A549, PC3, VCAP, HCC515, HA1E
quinidine	7	HCC515	MCF7, HCC515, NEU, VCAP, FIBRNPC, HA1E, PHH
reboxetine	7	NEU	FIBRNPC, NEU, PHH, ASC, MCF7, SKB, PC3
resveratrol	7	FIBRNPC	A549, HT29, MCF7, FIBRNPC, A375, PC3, PHH
rosuvastatin	7	HA1E	MCF7, NPC, ASC, HCC515, PC3, HA1E, PHH
rutin	7	HA1E	VCAP, PC3, HCC515, ASC, PHH, HA1E, A549
saquinavir	7	ASC	HCC515, PHH, A549, ASC, NPC, MCF7, PC3
sertraline	7	VCAP	ASC, HA1E, PC3, A549, PHH, HCC515, VCAP
thioproperazine	7	VCAP	VCAP, HCC515, PHH, SKB, PC3, HA1E, MCF7
tianeptine	7	PC3	MCF7, HT29, A549, PC3, VCAP, HA1E, A375
tivozanib	7	A375	HA1E, HT29, PC3, VCAP, MCF7, A375, A549
tranilast	7	VCAP	A549, MCF7, HA1E, PHH, VCAP, ASC, NPC
triamcinolone	7	A375	SKB, A375, PHH, HA1E, A549, NPC, MCF7
triclosan	7	HA1E	MCF7, PHH, PC3, NPC, VCAP, SKB, HA1E
zuclopenthixol	7	NPC	SKB, VCAP, PHH, A549, HA1E, PC3, NPC
acamprosate	6	A549	ASC, MCF7, SKB, PHH, NPC, A549
albendazole	6	VCAP	HA1E, VCAP, MCF7, HCC515, PC3, ASC
alimemazine	6	MCF7	MCF7, HA1E, A375, HT29, A549, PC3
amantadine	6	HA1E	HA1E, A549, ASC, PC3, PHH, MCF7
aminoglutethimide	6	A549	PHH, HCC515, SKB, VCAP, A549, PC3
amodiaquine	6	MCF7	ASC, VCAP, HCC515, NEU, MCF7, A549
amoxapine	6	PHH	PHH, MCF7, HCC515, VCAP, SKB, ASC
amsacrine	6	MCF7	HA1E, MCF7, PC3, A549, ASC, HCC515
aniracetam	6	PHH	NPC, A549, FIBRNPC, MCF7, PHH, PC3
azaperone	6	PHH	ASC, MCF7, HA1E, PHH, SKB, HCC515
belinostat	6	SKB	A549, SKB, MCF7, ASC, PC3, NEU
benzbromarone	6	MCF7	HA1E, MCF7, HT29, PC3, A549, A375
bepridil	6	NEU	HCC515, NEU, PC3, NPC, SKB, VCAP
biperiden	6	ASC	ASC, VCAP, HA1E, HCC515, PC3, MCF7
brompheniramine	6	PC3	VCAP, PC3, PHH, MCF7, ASC, HA1E
budesonide	6	NEU	MCF7, A549, PC3, HT29, ASC, NEU
calcifediol	6	A549	A549, FIBRNPC, SKB, PC3, ASC, MCF7
calcipotriol	6	A549	VCAP, A375, A549, PC3, MCF7, HA1E
carbenoxolone	6	MCF7	HA1E, VCAP, HCC515, MCF7, PHH, NPC
cilnidipine	6	A549	PC3, MCF7, A549, HA1E, ASC, PHH
clofibrate	6	MCF7	MCF7, PC3, HA1E, NPC, VCAP, ASC
clomifene	6	MCF7	MCF7, SKB, A549, NPC, PHH, HA1E
clomipramine	6	MCF7	PC3, A549, HA1E, PHH, MCF7, HCC515
coumarin	6	MCF7	PHH, A549, MCF7, PC3, HCC515, HA1E
curcumin	6	HCC515	HCC515, PC3, NPC, MCF7, HT29, A549
deoxycholic-acid	6	ASC	ASC, SKB, MCF7, NPC, A549, PHH
diazoxide	6	NPC	NPC, SKB, MCF7, HA1E, VCAP, ASC
dilazep	6	PC3	MCF7, VCAP, PC3, HA1E, HT29, A549
dipyridamole	6	MCF7	PC3, VCAP, NPC, HCC515, MCF7, A549
docetaxel	6	SKB	VCAP, NEU, MCF7, SKB, NPC, ASC
doxercalciferol	6	A549	A549, NPC, SKB, ASC, PC3, PHH
dydrogesterone	6	PHH	A549, PHH, SKB, VCAP, HCC515, NPC
enalapril	6	MCF7	MCF7, HCC515, VCAP, PHH, HA1E, A549
ephedrine	6	A549	FIBRNPC, A549, VCAP, NEU, PC3, NPC
estradiol-valerate	6	MCF7	HA1E, HCC515, SKB, VCAP, ASC, MCF7
etodolac	6	MCF7	PC3, MCF7, PHH, A549, ASC, VCAP
ezetimibe	6	VCAP	VCAP, ASC, HCC515, PC3, MCF7, HA1E
fluoxetine	6	FIBRNPC	FIBRNPC, MCF7, PC3, A375, HT29, NPC
fluspirilene	6	HA1E	SKB, PC3, A549, PHH, HA1E, NEU
formoterol	6	VCAP	HCC515, VCAP, A549, NEU, ASC, HA1E
halcinonide	6	A549	PC3, A549, MCF7, ASC, HCC515, NEU
hexylcaine	6	A549	HA1E, PC3, A549, HCC515, SKB, VCAP
hyoscyamine	6	A549	PC3, A549, ASC, MCF7, PHH, VCAP
ibudilast	6	VCAP	VCAP, PHH, A549, NPC, HCC515, ASC
isotretinoin	6	VCAP	ASC, FIBRNPC, VCAP, PHH, PC3, A549
isoxsuprine	6	A375	A375, SKB, A549, PHH, HT29, HCC515
labetalol	6	NPC	MCF7, HA1E, HCC515, A549, NPC, PHH
lisuride	6	MCF7	MCF7, HCC515, A549, VCAP, NPC, NEU
loxapine	6	HA1E	PC3, A549, HCC515, HA1E, VCAP, MCF7
maprotiline	6	HA1E	A549, HA1E, NPC, A375, HCC515, VCAP
mebeverine	6	HA1E	HA1E, PC3, VCAP, ASC, A549, HCC515
medrysone	6	A549	MCF7, SKB, HA1E, VCAP, PC3, A549
mefenamic-acid	6	NPC	A549, A375, NPC, PHH, MCF7, VCAP
meptazinol	6	A549	NPC, A549, ASC, PC3, VCAP, HCC515
mepyramine	6	HCC515	HCC515, PHH, A549, HA1E, MCF7, SKB
metolazone	6	PC3	PC3, MCF7, SKB, HA1E, PHH, ASC
milrinone	6	HA1E	VCAP, MCF7, HCC515, HA1E, PHH, A549
mometasone	6	A549	PC3, A549, ASC, PHH, HCC515, MCF7
nafcillin	6	MCF7	MCF7, SKB, NPC, A549, ASC, HCC515
naltrexone	6	PC3	HT29, A549, PC3, VCAP, NPC, HCC515
nemonapride	6	FIBRNPC	MCF7, FIBRNPC, HCC515, NEU, NPC, PC3
nicardipine	6	HCC515	A549, A375, MCF7, PC3, HCC515, HT29
nilotinib	6	HT29	HA1E, VCAP, HT29, NEU, A375, HCC515
nimodipine	6	A375	ASC, NEU, A375, PC3, VCAP, PHH
norgestimate	6	MCF7	PC3, HCC515, MCF7, VCAP, ASC, PHH
noscapine	6	VCAP	A375, VCAP, PHH, HCC515, PC3, MCF7
oxymetazoline	6	PC3	HCC515, HA1E, PC3, A549, VCAP, MCF7
paroxetine	6	HCC515	PC3, NPC, HA1E, HCC515, MCF7, PHH
pirfenidone	6	NEU	VCAP, MCF7, ASC, A549, NEU, HCC515
podophyllotoxin	6	NPC	PC3, NPC, MCF7, ASC, A549, VCAP
prednicarbate	6	PC3	VCAP, NPC, A549, PC3, HCC515, ASC
prednisolone	6	PHH	PC3, HCC515, PHH, MCF7, A549, NPC
pregnenolone	6	FIBRNPC	PC3, NEU, SKB, ASC, FIBRNPC, NPC
probucol	6	ASC	MCF7, ASC, SKB, PHH, NPC, VCAP
ranolazine	6	VCAP	ASC, VCAP, HA1E, MCF7, A549, PC3
reserpine	6	MCF7	ASC, MCF7, HCC515, PC3, HA1E, SKB
rimexolone	6	HCC515	ASC, HA1E, HCC515, NEU, VCAP, MCF7
rosmarinic-acid	6	MCF7	PHH, A549, MCF7, NPC, HCC515, PC3
scopolamine	6	ASC	VCAP, ASC, PC3, MCF7, NEU, A549
sunitinib	6	MCF7	NPC, PC3, MCF7, VCAP, ASC, SKB
thiethylperazine	6	ASC	MCF7, HCC515, ASC, PC3, SKB, A549
thiocolchicoside	6	MCF7	VCAP, ASC, SKB, MCF7, A549, HCC515
thiotepa	6	PC3	PHH, MCF7, PC3, VCAP, HA1E, A549
ticlopidine	6	PHH	PC3, MCF7, SKB, PHH, VCAP, HCC515
trazodone	6	HCC515	A549, PC3, MCF7, HCC515, NEU, NPC
tretinoin	6	HCC515	PHH, HCC515, A549, NPC, VCAP, NEU
valproic-acid	6	HT29	HCC515, HT29, PC3, NEU, A549, MCF7
valsartan	6	HCC515	HCC515, SKB, MCF7, A549, PHH, PC3
vinblastine	6	HA1E	VCAP, ASC, HA1E, MCF7, HCC515, PHH
vincristine	6	HCC515	HCC515, HA1E, PHH, ASC, A549, PC3
yohimbine	6	NPC	NPC, PHH, SKB, HA1E, MCF7, HCC515
zolmitriptan	6	A549	A549, PHH, HCC515, VCAP, MCF7, PC3
GR-235	5	NEU	MCF7, PHH, NEU, PC3, NPC
NECA	5	VCAP	SKB, VCAP, PHH, MCF7, HA1E
afatinib	5	A549	A549, ASC, SKB, VCAP, PC3
amperozide	5	MCF7	MCF7, PC3, HA1E, VCAP, A549
betamethasone	5	A549	ASC, A549, SKB, PC3, PHH
betaxolol	5	PHH	PHH, A549, MCF7, HCC515, SKB
bifemelane	5	PC3	VCAP, MCF7, SKB, NPC, PC3
butoconazole	5	HA1E	HA1E, PHH, VCAP, MCF7, ASC
carbetocin	5	PC3	NPC, MCF7, PC3, NEU, SKB
carbinoxamine	5	PC3	PHH, PC3, VCAP, HA1E, A549
celecoxib	5	MCF7	ASC, PHH, NEU, MCF7, FIBRNPC
chloroquine	5	MCF7	SKB, A549, MCF7, HCC515, A375
cilostazol	5	PHH	PHH, PC3, A549, MCF7, VCAP
cimetidine	5	HCC515	NPC, MCF7, HCC515, PC3, PHH
cinacalcet	5	A549	VCAP, A549, PHH, NEU, ASC
clofibric-acid	5	A549	HCC515, PC3, A549, NEU, MCF7
clonidine	5	HT29	SKB, HT29, MCF7, PC3, NPC
clopidogrel	5	PC3	NEU, VCAP, PC3, A549, MCF7
danazol	5	VCAP	MCF7, PHH, PC3, VCAP, SKB
dantrolene	5	MCF7	NPC, ASC, PHH, PC3, MCF7
dasatinib	5	ASC	A549, ASC, PC3, SKB, NEU
desipramine	5	A549	A549, PHH, HA1E, ASC, PC3
desoximetasone	5	PC3	PC3, A549, VCAP, MCF7, HCC515
diclofenac	5	PC3	PC3, PHH, A549, VCAP, NPC
dicycloverine	5	SKB	MCF7, SKB, A549, PHH, ASC
diethylcarbamazine	5	MCF7	PHH, MCF7, VCAP, SKB, HCC515
diflunisal	5	PC3	PC3, HA1E, SKB, PHH, MCF7
diltiazem	5	A549	PC3, HCC515, MCF7, VCAP, A549
dipivefrine	5	PC3	PC3, HA1E, VCAP, A375, A549
disopyramide	5	PHH	PC3, VCAP, HCC515, PHH, MCF7
dobutamine	5	MCF7	ASC, PHH, MCF7, HCC515, VCAP
erlotinib	5	ASC	NPC, ASC, SKB, A549, VCAP
erythromycin	5	PHH	PC3, A549, MCF7, PHH, SKB
estradiol-cypionate	5	ASC	PC3, A549, VCAP, PHH, ASC
estrone	5	HCC515	HCC515, ASC, FIBRNPC, A375, HT29
etacrynic-acid	5	MCF7	A549, VCAP, MCF7, HA1E, A375
etomidate	5	MCF7	A549, MCF7, PC3, ASC, VCAP
fenbendazole	5	VCAP	HA1E, VCAP, A549, MCF7, ASC
fexofenadine	5	PC3	PC3, PHH, A549, NPC, ASC
flupirtine	5	NEU	NEU, PHH, MCF7, SKB, A549
glipizide	5	VCAP	VCAP, HCC515, NPC, PC3, PHH
homatropine	5	A549	A549, A375, VCAP, MCF7, HT29
hydrocortisone	5	VCAP	VCAP, HCC515, PHH, A549, SKB
ibuprofen	5	PC3	A549, MCF7, VCAP, PC3, HA1E
icosapent	5	A549	FIBRNPC, NEU, A549, PC3, VCAP
imatinib	5	PC3	NEU, PC3, NPC, FIBRNPC, VCAP
ipratropium	5	PC3	MCF7, PC3, A375, HCC515, A549
itraconazole	5	HA1E	A549, PC3, HA1E, A375, VCAP
ketoprofen	5	MCF7	HA1E, SKB, VCAP, A549, MCF7
ketorolac	5	VCAP	VCAP, NPC, MCF7, PC3, HCC515
ketotifen	5	MCF7	VCAP, A549, PC3, HCC515, MCF7
lansoprazole	5	NEU	MCF7, FIBRNPC, NPC, NEU, VCAP
levocabastine	5	NEU	NPC, NEU, A549, SKB, ASC
lidocaine	5	MCF7	A549, ASC, MCF7, VCAP, PC3
mebendazole	5	PC3	PC3, MCF7, VCAP, SKB, A549
medetomidine	5	MCF7	VCAP, PC3, HT29, MCF7, HA1E
meloxicam	5	MCF7	HA1E, HCC515, MCF7, ASC, VCAP
metformin	5	FIBRNPC	NEU, PC3, FIBRNPC, A375, VCAP
methotrexate	5	A549	PC3, A549, MCF7, HA1E, VCAP
mexiletine	5	A549	MCF7, VCAP, HCC515, A549, PHH
mitotane	5	PHH	PHH, MCF7, PC3, VCAP, HA1E
mitoxantrone	5	PC3	A375, PHH, A549, PC3, HT29
mycophenolic-acid	5	MCF7	A549, PC3, MCF7, NPC, VCAP
nalbuphine	5	ASC	HT29, ASC, A549, SKB, MCF7
naphazoline	5	HA1E	NPC, HA1E, MCF7, VCAP, PHH
naproxen	5	PC3	NPC, HA1E, SKB, PC3, HCC515
nateglinide	5	MCF7	MCF7, NPC, HCC515, PHH, A549
neratinib	5	HCC515	MCF7, A549, HCC515, PC3, VCAP
nicergoline	5	MCF7	VCAP, MCF7, NPC, PC3, ASC
nifedipine	5	MCF7	A375, HT29, A549, MCF7, VCAP
oxybenzone	5	HA1E	HA1E, VCAP, PHH, A549, PC3
paclitaxel	5	MCF7	A549, MCF7, SKB, NPC, HA1E
palbociclib	5	NPC	ASC, PC3, NPC, VCAP, MCF7
papaverine	5	PC3	PHH, MCF7, PC3, A549, NPC
perhexiline	5	MCF7	A549, MCF7, HA1E, HCC515, VCAP
perindopril	5	NPC	VCAP, NPC, PHH, PC3, HCC515
pheniramine	5	SKB	PHH, HA1E, A549, SKB, NPC
physostigmine	5	HA1E	ASC, A549, VCAP, HA1E, PHH
pindolol	5	PHH	ASC, A549, VCAP, PHH, HA1E
pioglitazone	5	PC3	SKB, FIBRNPC, A549, PC3, MCF7
pirenzepine	5	MCF7	PC3, ASC, PHH, MCF7, HCC515
piribedil	5	VCAP	MCF7, A549, HT29, HA1E, VCAP
piroxicam	5	HCC515	HCC515, HA1E, A549, MCF7, PC3
pravastatin	5	NEU	NEU, HCC515, SKB, PHH, FIBRNPC
prazosin	5	HCC515	VCAP, HCC515, A549, PHH, HA1E
primidone	5	PHH	MCF7, SKB, A549, VCAP, PHH
procaterol	5	VCAP	ASC, PC3, VCAP, NEU, MCF7
proguanil	5	HA1E	HA1E, NPC, MCF7, ASC, PHH
propafenone	5	PHH	ASC, PC3, PHH, HCC515, HA1E
racecadotril	5	HCC515	A549, PC3, ASC, PHH, HCC515
raltitrexed	5	NEU	NEU, MCF7, A549, VCAP, SKB
ramipril	5	A549	A549, MCF7, HT29, VCAP, PC3
ranitidine	5	MCF7	ASC, PC3, SKB, PHH, MCF7
retinol	5	MCF7	NEU, A549, MCF7, NPC, PHH
risperidone	5	FIBRNPC	FIBRNPC, HCC515, A549, MCF7, ASC
rivaroxaban	5	PC3	PC3, VCAP, NPC, A549, NEU
rizatriptan	5	A549	HCC515, MCF7, PC3, NPC, A549
ruxolitinib	5	VCAP	A549, VCAP, ASC, PC3, SKB
salmeterol	5	PC3	SKB, PHH, PC3, HA1E, HCC515
somatostatin	5	NEU	PHH, MCF7, NEU, PC3, VCAP
spiperone	5	MCF7	ASC, A549, PHH, MCF7, HCC515
tacrolimus	5	NEU	MCF7, A549, NPC, NEU, HA1E
talniflumate	5	NPC	PHH, NPC, ASC, A549, HCC515
tamibarotene	5	NPC	NPC, PC3, MCF7, PHH, VCAP
teniposide	5	MCF7	A549, NPC, MCF7, VCAP, HCC515
timolol	5	HCC515	MCF7, A549, VCAP, PHH, HCC515
tocainide	5	PC3	A549, A375, HA1E, PC3, MCF7
tolazamide	5	PC3	PHH, A375, HT29, HCC515, PC3
treprostinil	5	NPC	SKB, NEU, A549, ASC, NPC
trifluoperazine	5	PC3	PC3, A549, HCC515, NEU, HA1E
tripelennamine	5	HCC515	HA1E, HCC515, PC3, A549, NPC
tubocurarine	5	PHH	PHH, SKB, NPC, A549, MCF7
varenicline	5	PC3	A549, ASC, PC3, PHH, NEU
alfuzosin	4	HCC515	VCAP, ASC, HCC515, MCF7
ambroxol	4	PC3	HCC515, SKB, PC3, VCAP
amisulpride	4	A375	MCF7, A549, A375, PC3
amitriptyline	4	MCF7	HA1E, HCC515, VCAP, MCF7
aprepitant	4	NEU	NPC, A549, NEU, ASC
atovaquone	4	HT29	A549, HT29, MCF7, PC3
auranofin	4	PC3	A549, PC3, HCC515, MCF7
azathioprine	4	VCAP	A549, MCF7, HT29, VCAP
benzthiazide	4	MCF7	NPC, MCF7, ASC, VCAP
benzydamine	4	VCAP	VCAP, PC3, PHH, MCF7
benzylpenicillin	4	PC3	MCF7, PHH, HCC515, PC3
betahistine	4	PC3	PC3, NPC, VCAP, HCC515
bezafibrate	4	MCF7	VCAP, MCF7, PHH, NPC
bicalutamide	4	MCF7	MCF7, ASC, HCC515, PHH
bisoprolol	4	PC3	PC3, HA1E, PHH, ASC
bromocriptine	4	PC3	HT29, PC3, NEU, MCF7
buphenine	4	PHH	PHH, VCAP, A549, MCF7
bupropion	4	PHH	SKB, PHH, NPC, A549
capecitabine	4	A549	NPC, ASC, SKB, A549
carbamazepine	4	PC3	PHH, PC3, ASC, NEU
carvedilol	4	ASC	MCF7, PC3, A549, ASC
chloroxine	4	NPC	A549, MCF7, VCAP, NPC
cholic-acid	4	A549	A549, NEU, MCF7, PC3
cilastatin	4	MCF7	PC3, VCAP, MCF7, HA1E
cortisone	4	HT29	NEU, FIBRNPC, HT29, PC3
cytarabine	4	MCF7	A549, MCF7, PC3, VCAP
dihydroergocristine	4	A375	MCF7, A549, A375, HCC515
dimercaptosuccinic-acid	4	ASC	ASC, PHH, NPC, SKB
diphenidol	4	A549	SKB, MCF7, A549, VCAP
donepezil	4	PHH	MCF7, PHH, HCC515, VCAP
doxylamine	4	HCC515	PC3, PHH, HCC515, VCAP
econazole	4	ASC	MCF7, ASC, SKB, HCC515
equol	4	A549	PC3, HA1E, HT29, A549
escitalopram	4	MCF7	MCF7, PHH, HA1E, PC3
estriol	4	A375	A375, A549, NPC, HT29
etilefrine	4	VCAP	MCF7, PC3, A549, VCAP
exemestane	4	VCAP	PC3, VCAP, PHH, SKB
febuxostat	4	HA1E	A549, HA1E, PHH, MCF7
fluconazole	4	MCF7	SKB, VCAP, MCF7, PHH
fludroxycortide	4	A549	VCAP, A549, HCC515, ASC
flunarizine	4	VCAP	VCAP, NPC, PHH, PC3
fluphenazine	4	PC3	A549, PC3, HA1E, HT29
gemfibrozil	4	VCAP	HT29, PC3, A549, VCAP
hesperidin	4	SKB	MCF7, SKB, PHH, NPC
homochlorcyclizine	4	MCF7	MCF7, A549, A375, VCAP
homoharringtonine	4	PHH	SKB, PHH, ASC, HA1E
hydroquinidine	4	MCF7	ASC, PHH, MCF7, SKB
ifenprodil	4	PC3	A549, PC3, VCAP, MCF7
imiquimod	4	A375	A375, VCAP, HT29, PC3
ingenol	4	VCAP	A549, A375, HCC515, VCAP
irbesartan	4	HCC515	PC3, HCC515, A549, MCF7
ketanserin	4	NEU	PC3, ASC, MCF7, NEU
leflunomide	4	MCF7	PHH, NPC, MCF7, PC3
lenalidomide	4	NEU	A549, ASC, MCF7, NEU
liothyronine	4	HT29	A549, A375, HT29, VCAP
masitinib	4	NPC	SKB, PC3, ASC, NPC
meclofenamic-acid	4	ASC	ASC, NPC, MCF7, HCC515
megestrol	4	VCAP	HT29, HA1E, PC3, VCAP
mephentermine	4	PHH	PC3, PHH, A549, HA1E
methantheline	4	SKB	A549, MCF7, NPC, SKB
metoprolol	4	SKB	VCAP, A549, PC3, SKB
metyrapone	4	A549	VCAP, A549, MCF7, PC3
moexipril	4	A549	A549, PC3, MCF7, NPC
moxonidine	4	NEU	VCAP, HCC515, MCF7, NEU
nabumetone	4	A549	A549, PC3, A375, MCF7
nadolol	4	A549	PC3, PHH, A549, MCF7
nelfinavir	4	NPC	NPC, VCAP, A549, SKB
nimesulide	4	HCC515	NEU, HCC515, A549, NPC
nisoldipine	4	A549	A549, VCAP, MCF7, PC3
