Description	GSE139871_GPL10558_MTB_control_blood_monocyte	GSE16250_GPL570_MTB_control_blood_pmbc	GSE34151_GPL10558_MTB_control_blood_dcs	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode	GSE83456_GPL10558_EPTB_control_blood	GSE83456_GPL10558_PTB_control_blood	GSE100897_MTB_control_24h_THP-1	GSE100897_MTB_control_6h_THP-1	GSE110564_MTB_control_blood_lymphatic_endothelial_cell	GSE112482_MTB_control_lung_ILC1	GSE112482_MTB_control_lung_ILC2	GSE112482_MTB_control_lung_ILC3neg	GSE112482_MTB_control_lung_ILC3pos	GSE112482_MTB_control_lung_NK	GSE112482_MTB_control_lung_susp	GSE132283_MTB_control_blood_macrophage	GSE141656_MTB_control_blood_blood	GSE143627_MTB_control_PBMC_macrophage	GSE143731_MTB_control_blood_monocyte_derived_macrophages	GSE148171_MTB_control_blood_PBMC	GSE148731_MTB_control_blood_monocytes	GSE164287_MTB_control_blood_monocyte_derived_macrophages	GSE165708_MTB_control_BAL_bronchoalveolar_lavage	GSE174566_MTB_control_blood_PBMC	GSE183912_MTB_control_blood_marcophages	GSE193777_MTB_control_blood	GSE198557_MTB_control_blood_PBMC	GSE211974_MTB_control_48h_blood_THP-1	GSE211974_MTB_control_blood_THP-1	GSE236156_MTB_control_BALF_alveolar_macrophage	GSE236156_MTB_control_blood_monocyte_derived_macrophage	GSE256184_MTB_control_HEPG2_HepG2	GSE64179_MTB_control_blood_dendritic_cells	GSE64182_MTB_control_blood_dendritic_cells	GSE84076_MTB_control_blood	up_aggregated_microarray	up_aggregated_RNAseq	up_aggregated_RNAseq_blood	up_aggregated_RNAseq_lung	up_aggregated_RNAseq_mixed
2'-deoxyribonucleotide biosynthetic process	0	1.9798841183544384	0.6095495137213726	0.6083759684522907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5930744461388179	0	0	0	2.2370488509519824	0	0.7040784910612794	1.0503945246396895	0	0	0	0	1.2685158883657606	0.8610334969760423	0.857055220898611	1.3846419043089468	0.9566994494930784	0	0.8539170464629063	0	0.804909865078838
2'-deoxyribonucleotide metabolic process	0	1.0056702262665629	0.3185850755068813	0.41872656031448	0.25572570507330433	0.25572570507330433	0	0	0.24548695897193276	0	0	0	0	0	0	0.25824092712986435	0.3052186009544337	0.29261060389483323	0	0.7620249338543357	0.5323998498908452	0	0.6676517477505689	1.762971967575503	0	1.0617873409150222	0.9131201540680008	0.35319247133247844	0.35319247133247844	0.5396082522560129	0.5396082522560129	1.1696839354234712	0.46840291215347474	0.7365035439754093	1.046130844993555	0.3618721638626988	0	0.8539170464629063	0	1.0114270196110853
2-oxobutyrate biosynthetic process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-oxobutyrate catabolic process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-oxobutyrate metabolic process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-oxoglutarate metabolic process	0	0	0.3185850755068813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7103164257994704	0	0.7040784910612794	0.5920462774088285	0.938011105572638	0.938011105572638	0	0	1.2685158883657606	0.8610334969760423	0.857055220898611	0	0.9566994494930784	0	0	0	0
3'-UTR-mediated mRNA destabilization	0	0.8806482459862264	0.35687807615882916	0	0.7882951167400768	0.7882951167400768	1.565897302340848	1.565897302340848	1.4841083299098592	0	0	0	0	0	0	0.7948895609867035	0.913654690907908	0.882584973944718	0	0.9235297593941032	1.3900278431159516	0.5089464614636852	2.2823874013862153	1.0796879840308564	2.373298509599303	1.3100849662554117	1.144532942284151	2.006367108668202	2.006367108668202	1.7752908315695335	1.7752908315695335	1.508256325897784	1.2696323652844763	0.5196184536176172	0	1.384987162494418	1.8558397037071868	1.5144398183074337	1.4057006717125096	0.8859755395940059
3'-UTR-mediated mRNA stabilization	1.7289399229642402	0	0.40537921220803264	0.404549500034721	0.4799398143905119	0.4799398143905119	1.4265242601249324	1.4265242601249324	0.461636653225844	4.088598392802702	4.088598392802702	4.088598392802702	4.088598392802702	4.088598392802702	4.088598392802702	1.6538772346403985	0	1.309520518789136	0	1.4525645812576826	1.7155465256742108	0	1.1294840299885192	1.1881072633713925	1.8309812381192985	1.8011454151902264	1.450832009426257	0.6489000317251656	0.6489000317251656	2.3988034586347555	2.3988034586347555	0.6540101260651413	1.3855839067611817	0.8320281995638206	1.6118209917432915	1.770877701416634	1.9837337116826856	0.584312835676921	0	0.9837676833776414
3'-phospho-5'-adenylyl sulfate transmembrane transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3'-phosphoadenosine 5'-phosphosulfate biosynthetic process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
