Description	GSE139871_GPL10558_MTB_control_blood_monocyte	GSE16250_GPL570_MTB_control_blood_pmbc	GSE34151_GPL10558_MTB_control_blood_dcs	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode	GSE83456_GPL10558_EPTB_control_blood	GSE83456_GPL10558_PTB_control_blood	up_aggregated_microarray_0.8	up_aggregated_microarray_DE	up_aggregated_microarray
germ cell proliferation	NA	NA	0.00173053152039555	NA	NA	NA	NA	NA	NA
gland morphogenesis	0.015302404663589992	0.01353461738677772	0.013102595797280594	0.012795750845002415	0.013748657357679914	0.013748657357679914	NA	0.014450867052023121	NA
glandular epithelial cell development	0.004615010930289046	0.0039042165538781884	0.004449938195302843	0.004104297440849831	NA	NA	0.035897435897435895	0.007514450867052023	0.041666666666666664
glandular epithelial cell differentiation	0.008987126548457614	0.009109838625715773	0.008158220024721878	0.008932882665379043	NA	NA	0.041025641025641026	0.010982658959537572	0.041666666666666664
glial cell activation	NA	0.005465903175429464	0.005933250927070457	0.007001448575567359	0.006229860365198711	0.006229860365198711	NA	0.009248554913294798	NA
glial cell apoptotic process	NA	NA	NA	0.0024142926122646064	NA	NA	0.015384615384615385	NA	NA
glial cell development	0.013359242166626184	0.014055179593961478	0.014338689740420272	0.013761467889908258	0.013533834586466165	0.013533834586466165	NA	NA	NA
glial cell fate specification	0.0014573718727228565	NA	NA	NA	NA	NA	NA	NA	NA
glial cell proliferation	0.006315278115132378	0.005986465382613222	0.006674907292954265	0.006277160791887977	0.006015037593984963	0.006015037593984963	0.02564102564102564	NA	NA
glial cell-derived neurotrophic factor receptor signaling pathway	NA	NA	NA	NA	0.0021482277121374865	0.0021482277121374865	NA	NA	NA
glomerular basement membrane development	NA	NA	0.001977750309023486	NA	NA	NA	NA	NA	NA
glomerular capillary formation	NA	0.0013014055179593961	NA	NA	NA	NA	NA	NA	NA
glomerular epithelial cell differentiation	0.002914743745445713	NA	0.0032138442521631645	NA	NA	NA	NA	NA	NA
glomerular epithelium development	0.003157639057566189	NA	0.0034610630407911	NA	NA	NA	NA	NA	NA
glomerular filtration	NA	NA	0.003708281829419036	NA	NA	NA	NA	NA	NA
glomerular mesangial cell development	NA	0.0013014055179593961	0.0012360939431396785	NA	NA	NA	NA	NA	NA
glomerular mesangial cell differentiation	NA	0.0013014055179593961	0.0014833127317676143	NA	NA	NA	NA	NA	NA
glomerular mesangial cell proliferation	NA	NA	NA	0.0021728633510381457	NA	NA	NA	NA	NA
glomerular mesangium development	NA	0.002342529932326913	0.002472187886279357	0.0031385803959439883	NA	NA	NA	NA	NA
glomerulus development	0.0075297546757347586	0.007808433107756377	0.00865265760197775	0.008208594881699663	0.007089151450053705	0.007089151450053705	NA	NA	NA
glomerulus morphogenesis	NA	0.0015616866215512754	NA	NA	NA	NA	NA	NA	NA
glomerulus vasculature development	NA	0.004424778761061947	0.004449938195302843	0.0045871559633027525	0.0034371643394199786	0.0034371643394199786	NA	NA	NA
glomerulus vasculature morphogenesis	NA	0.0013014055179593961	NA	NA	NA	NA	NA	NA	NA
glucagon secretion	NA	NA	NA	NA	0.0012889366272824919	0.0012889366272824919	NA	NA	NA
glucan biosynthetic process	NA	0.0052056220718375845	NA	NA	NA	NA	NA	0.007514450867052023	NA
glucan catabolic process	NA	NA	NA	NA	NA	NA	0.015384615384615385	NA	NA
glucan metabolic process	0.008258440612096187	0.009109838625715773	NA	0.008932882665379043	NA	NA	NA	0.010982658959537572	0.041666666666666664
glucocorticoid biosynthetic process	NA	0.0028630921395106715	0.0022249690976514215	NA	0.002363050483351235	0.002363050483351235	NA	NA	NA
glucocorticoid metabolic process	NA	0.004164497657470068	0.0032138442521631645	NA	0.0030075187969924814	0.0030075187969924814	NA	NA	NA
gluconeogenesis	NA	0.008328995314940135	0.008405438813349814	NA	NA	NA	NA	NA	NA
glucose 6-phosphate metabolic process	NA	NA	NA	0.003380009657170449	NA	NA	NA	NA	NA
glucose catabolic process	NA	NA	NA	NA	NA	NA	0.015384615384615385	NA	NA
glucose catabolic process to pyruvate	NA	0.0026028110359187923	NA	NA	NA	NA	NA	NA	NA
glucose metabolic process	0.016516881224192374	0.018219677251431546	0.018541409147095178	0.016900048285852245	0.017185821697099892	0.017185821697099892	0.046153846153846156	0.02023121387283237	NA
glutamate receptor signaling pathway	NA	0.006246746486205101	0.007416563658838072	NA	0.006659505907626208	0.006659505907626208	NA	NA	NA
glutamate secretion	NA	NA	0.003708281829419036	NA	0.0034371643394199786	0.0034371643394199786	NA	NA	NA
glutathione metabolic process	NA	0.005465903175429464	NA	NA	NA	NA	NA	NA	NA
glycine metabolic process	NA	0.0018219677251431546	NA	NA	NA	NA	NA	NA	NA
glycogen biosynthetic process	NA	0.0052056220718375845	NA	NA	NA	NA	NA	0.007514450867052023	NA
glycogen catabolic process	NA	NA	NA	NA	NA	NA	0.015384615384615385	NA	NA
glycogen metabolic process	0.007772649987855235	0.009109838625715773	NA	0.008691453404152583	NA	NA	NA	0.010982658959537572	0.041666666666666664
glycolipid catabolic process	NA	NA	0.002719406674907293	NA	NA	NA	NA	NA	NA
glycolytic process	NA	0.01015096304008329	0.009394313967861558	NA	0.009237379162191191	0.009237379162191191	NA	NA	NA
glycolytic process through fructose-6-phosphate	NA	0.00338365434669443	0.0029666254635352285	NA	NA	NA	NA	NA	NA
glycolytic process through glucose-6-phosphate	NA	0.0028630921395106715	NA	NA	NA	NA	NA	NA	NA
glycosaminoglycan metabolic process	NA	0.00989068193649141	0.010135970333745364	NA	NA	NA	NA	NA	NA
glycosphingolipid biosynthetic process	NA	NA	NA	NA	0.003866809881847476	0.003866809881847476	NA	NA	NA
glycosphingolipid metabolic process	NA	NA	0.006427688504326329	NA	0.006659505907626208	0.006659505907626208	NA	NA	NA
GMP biosynthetic process	0.002428953121204761	NA	NA	0.0024142926122646064	NA	NA	NA	NA	NA
GMP metabolic process	0.0043721156181685695	0.00338365434669443	NA	0.0036214389183969096	NA	NA	NA	NA	NA
Golgi inheritance	0.0021860578090842847	NA	NA	NA	NA	NA	NA	NA	NA
gonadotropin secretion	NA	0.002342529932326913	NA	NA	NA	NA	NA	NA	NA
granulocyte activation	0.006315278115132378	0.007808433107756377	NA	NA	0.005800214822771214	0.005800214822771214	NA	NA	NA
granulocyte chemotaxis	0.012630556230264756	0.014836022904737116	0.01161928306551298	NA	NA	NA	NA	NA	NA
granulocyte migration	0.01481661403934904	0.017699115044247787	0.012855377008652658	0.012795750845002415	0.012674543501611171	0.012674543501611171	NA	0.017919075144508672	NA
granzyme-mediated programmed cell death signaling pathway	NA	0.002082248828735034	NA	NA	NA	NA	NA	NA	NA
growth hormone receptor signaling pathway	NA	NA	NA	NA	0.0034371643394199786	0.0034371643394199786	NA	NA	NA
growth hormone receptor signaling pathway via JAK-STAT	NA	NA	0.00173053152039555	NA	0.0017185821697099893	0.0017185821697099893	NA	NA	NA
growth plate cartilage development	NA	NA	0.002719406674907293	NA	0.002363050483351235	0.002363050483351235	NA	NA	NA
hair cycle	0.009715812484819043	0.009630400832899531	0.009641532756489494	0.010622887493964268	NA	NA	NA	NA	NA
hair cycle process	0.008987126548457614	0.008589276418532014	NA	0.008450024142926123	NA	NA	NA	NA	NA
hair follicle development	0.008987126548457614	0.008328995314940135	NA	0.008208594881699663	NA	NA	NA	NA	NA
hair follicle morphogenesis	NA	0.003643935450286309	NA	0.003380009657170449	NA	NA	NA	NA	NA
heart field specification	0.002671848433325237	NA	NA	0.0028971511347175277	NA	NA	NA	NA	NA
heart formation	0.004129220306048093	NA	NA	0.0043457267020762915	NA	NA	NA	NA	NA
heart growth	0.008501335924216662	NA	0.008899876390605686	0.008691453404152583	0.008378088077336197	0.008378088077336197	NA	0.010404624277456647	NA
heart induction	NA	NA	NA	0.0014485755673587638	NA	NA	NA	NA	NA
heart trabecula morphogenesis	0.0038863249939276173	NA	0.003955500618046972	0.0036214389183969096	NA	NA	NA	NA	NA
heart valve development	0.009230021860578091	NA	0.008405438813349814	0.008932882665379043	0.008378088077336197	0.008378088077336197	NA	NA	NA
heart valve morphogenesis	0.00801554529997571	NA	0.006427688504326329	0.00748430709802028	0.00644468313641246	0.00644468313641246	NA	NA	NA
hematopoietic or lymphoid organ development	0.010687393733300948	0.009370119729307652	0.011866501854140914	0.01158860453887011	0.010955961331901182	0.010955961331901182	NA	NA	NA
hematopoietic progenitor cell differentiation	NA	NA	NA	NA	0.011385606874328678	0.011385606874328678	0.035897435897435895	NA	NA
hematopoietic stem cell differentiation	NA	NA	NA	NA	0.004081632653061225	0.004081632653061225	NA	NA	NA
hematopoietic stem cell homeostasis	NA	NA	NA	NA	NA	NA	0.015384615384615385	NA	NA
hematopoietic stem cell proliferation	0.004129220306048093	NA	0.004202719406674907	NA	NA	NA	NA	NA	NA
heme A biosynthetic process	0.0017002671848433326	NA	NA	NA	NA	NA	NA	NA	NA
heme a metabolic process	0.0017002671848433326	NA	NA	NA	NA	NA	NA	NA	NA
heme B biosynthetic process	0.0014573718727228565	NA	NA	NA	0.0012889366272824919	0.0012889366272824919	NA	NA	NA
heme B metabolic process	0.0014573718727228565	NA	NA	NA	0.0012889366272824919	0.0012889366272824919	NA	NA	NA
heme catabolic process	NA	NA	NA	NA	0.0015037593984962407	0.0015037593984962407	NA	NA	NA
heme O biosynthetic process	0.0017002671848433326	NA	NA	NA	NA	NA	NA	NA	NA
heme O metabolic process	0.0017002671848433326	NA	NA	NA	NA	NA	NA	NA	NA
hemoglobin biosynthetic process	0.0021860578090842847	0.002082248828735034	NA	NA	NA	NA	NA	NA	NA
hemoglobin metabolic process	0.002671848433325237	0.0028630921395106715	NA	NA	NA	NA	NA	NA	NA
heparan sulfate proteoglycan catabolic process	NA	0.0015616866215512754	NA	NA	NA	NA	NA	NA	NA
hepaticobiliary system development	0.01481661403934904	0.015096304008328995	0.013102595797280594	0.014244326412361178	0.013533834586466165	0.013533834586466165	0.035897435897435895	NA	NA
hepatocyte apoptotic process	0.003157639057566189	NA	NA	NA	0.0025778732545649837	0.0025778732545649837	NA	NA	NA
hepatocyte growth factor receptor signaling pathway	NA	NA	0.001977750309023486	NA	NA	NA	NA	0.003468208092485549	NA
hepoxilin biosynthetic process	NA	NA	NA	NA	0.0012889366272824919	0.0012889366272824919	NA	NA	NA
hepoxilin metabolic process	NA	NA	NA	NA	0.0012889366272824919	0.0012889366272824919	NA	NA	NA
heterotypic cell-cell adhesion	NA	0.00676730869338886	0.007169344870210136	0.007001448575567359	0.006659505907626208	0.006659505907626208	NA	0.010404624277456647	NA
hexose biosynthetic process	NA	0.008589276418532014	0.008899876390605686	NA	NA	NA	NA	NA	NA
hexose catabolic process	NA	0.005465903175429464	NA	NA	NA	NA	0.02564102564102564	NA	NA
hexose transmembrane transport	NA	NA	NA	0.009898599710284886	NA	NA	NA	NA	NA
high-density lipoprotein particle remodeling	NA	0.002342529932326913	NA	NA	0.002363050483351235	0.002363050483351235	NA	NA	NA
hindbrain development	0.013359242166626184	0.018219677251431546	0.016316440049443756	0.016900048285852245	0.014822771213748658	0.014822771213748658	NA	0.017341040462427744	NA
hindbrain morphogenesis	NA	0.004945340968245705	0.004944375772558714	NA	NA	NA	NA	NA	NA
hindlimb morphogenesis	NA	0.004424778761061947	0.004449938195302843	0.00386286817962337	NA	NA	NA	0.005780346820809248	NA
hippocampus development	0.008987126548457614	0.01015096304008329	0.008899876390605686	NA	0.00816326530612245	0.00816326530612245	NA	NA	NA
homocysteine metabolic process	0.0021860578090842847	NA	NA	NA	0.0021482277121374865	0.0021482277121374865	NA	NA	NA
homotypic cell-cell adhesion	0.008987126548457614	0.011192087454450807	0.009394313967861558	0.01158860453887011	NA	NA	NA	NA	NA
hormone biosynthetic process	0.007772649987855235	0.007287870900572618	0.006674907292954265	0.006518590053114438	0.00644468313641246	0.00644468313641246	NA	NA	NA
hormone catabolic process	0.0019431624969638087	NA	NA	NA	NA	NA	NA	NA	NA
humoral immune response mediated by circulating immunoglobulin	NA	0.005986465382613222	0.006180469715698393	0.006760019314340898	NA	NA	NA	NA	NA
hyaluronan biosynthetic process	NA	NA	0.001977750309023486	NA	NA	NA	NA	NA	NA
hyaluronan metabolic process	0.004129220306048093	0.0039042165538781884	0.004449938195302843	NA	0.003866809881847476	0.003866809881847476	NA	NA	NA
hydrogen peroxide biosynthetic process	NA	NA	0.0022249690976514215	NA	NA	NA	NA	NA	NA
hydrogen peroxide metabolic process	NA	NA	0.006674907292954265	NA	NA	NA	NA	NA	NA
hydrogen peroxide-mediated programmed cell death	NA	NA	NA	0.001931434089811685	NA	NA	NA	NA	NA
hyperosmotic response	NA	NA	NA	NA	0.00322234156820623	0.00322234156820623	NA	NA	NA
hypersensitivity	0.002671848433325237	0.0026028110359187923	NA	NA	0.0027926960257787323	0.0027926960257787323	NA	0.003468208092485549	NA
I-kappaB phosphorylation	NA	NA	0.0022249690976514215	NA	NA	NA	NA	NA	NA
icosanoid biosynthetic process	0.006315278115132378	NA	0.005438813349814586	0.005552873008208595	NA	NA	NA	NA	NA
icosanoid metabolic process	0.01238766091814428	0.011712649661634565	0.012360939431396786	0.01134717527764365	0.010096670247046188	0.010096670247046188	NA	NA	NA
icosanoid secretion	0.004857906242409522	NA	NA	0.0045871559633027525	NA	NA	NA	NA	NA
icosanoid transport	0.006072382803011902	0.005986465382613222	0.006427688504326329	0.006035731530661516	NA	NA	NA	NA	NA
immature T cell proliferation	0.0021860578090842847	NA	NA	NA	NA	NA	NA	NA	NA
immature T cell proliferation in thymus	0.0021860578090842847	NA	NA	NA	NA	NA	NA	NA	NA
immune response to tumor cell	NA	0.004945340968245705	NA	NA	0.003866809881847476	0.003866809881847476	NA	NA	NA
immune response-inhibiting cell surface receptor signaling pathway	NA	NA	NA	NA	0.0015037593984962407	0.0015037593984962407	NA	NA	NA
immune response-inhibiting signal transduction	0.0017002671848433326	NA	NA	NA	0.0017185821697099893	0.0017185821697099893	NA	NA	NA
immune response-regulating cell surface receptor signaling pathway involved in phagocytosis	NA	NA	0.002719406674907293	NA	NA	NA	NA	NA	NA
immune system development	NA	NA	NA	NA	NA	NA	NA	0.02023121387283237	NA
immunoglobulin mediated immune response	0.015788195287830945	0.01691827173347215	0.01508034610630408	0.016175760502172863	NA	NA	NA	0.017341040462427744	NA
immunoglobulin production	NA	NA	0.0103831891223733	0.010622887493964268	NA	NA	NA	0.014450867052023121	NA
immunological memory formation process	NA	0.002082248828735034	NA	NA	NA	NA	NA	NA	NA
immunological memory process	NA	0.0028630921395106715	NA	0.002655721873491067	NA	NA	NA	NA	NA
immunological synapse formation	NA	NA	0.002472187886279357	NA	NA	NA	NA	NA	NA
IMP biosynthetic process	0.0021860578090842847	NA	NA	NA	NA	NA	NA	NA	NA
IMP metabolic process	0.002914743745445713	NA	NA	0.0024142926122646064	NA	NA	NA	NA	NA
import across plasma membrane	0.017731357784794753	NA	0.019777503090234856	0.018107194591984548	NA	NA	NA	NA	NA
import into nucleus	0.0162739859120719	0.014055179593961478	NA	NA	NA	NA	NA	NA	NA
inclusion body assembly	NA	NA	NA	NA	0.0030075187969924814	0.0030075187969924814	NA	NA	NA
induction of bacterial agglutination	NA	NA	NA	NA	0.0010741138560687433	0.0010741138560687433	NA	NA	NA
induction of positive chemotaxis	NA	0.002342529932326913	NA	NA	NA	NA	NA	NA	NA
inflammatory response to antigenic stimulus	0.008501335924216662	0.008328995314940135	0.007911001236093944	0.0079671656204732	0.007733619763694952	0.007733619763694952	NA	0.010982658959537572	NA
inflammatory response to wounding	NA	NA	NA	NA	NA	NA	NA	0.005780346820809248	NA
inhibition of cysteine-type endopeptidase activity	NA	NA	NA	NA	NA	NA	0.010256410256410256	NA	NA
innate immune response activating cell surface receptor signaling pathway	NA	NA	NA	NA	0.008378088077336197	0.008378088077336197	NA	NA	NA
inner ear development	0.01554529997571047	0.015616866215512754	0.018294190358467244	0.017624336069531628	0.015252416756176154	0.015252416756176154	0.041025641025641026	NA	NA
inner ear morphogenesis	NA	NA	0.009394313967861558	NA	0.009022556390977444	0.009022556390977444	NA	NA	NA
inorganic anion transport	NA	0.015356585111920874	NA	0.014485755673587638	0.013963480128893663	0.013963480128893663	NA	NA	NA
inorganic cation import across plasma membrane	0.0111731843575419	NA	0.01211372064276885	0.011830033800096573	NA	NA	NA	NA	NA
inorganic ion import across plasma membrane	0.0111731843575419	NA	0.01211372064276885	0.011830033800096573	NA	NA	NA	NA	NA
insemination	NA	NA	0.0022249690976514215	NA	NA	NA	NA	NA	NA
insulin receptor signaling pathway	0.011658974981782852	0.013794898490369599	NA	0.012795750845002415	0.012459720730397422	0.012459720730397422	0.03076923076923077	0.015028901734104046	NA
insulin secretion	NA	NA	NA	NA	NA	NA	0.05128205128205128	NA	NA
insulin-like growth factor receptor signaling pathway	0.00558659217877095	NA	0.00519159456118665	NA	0.00644468313641246	0.00644468313641246	NA	NA	NA
integrated stress response signaling	NA	NA	NA	NA	NA	NA	0.020512820512820513	NA	NA
integrin-mediated signaling pathway	0.01238766091814428	0.011452368558042686	0.01211372064276885	0.01158860453887011	0.011600429645542427	0.011600429645542427	NA	0.01676300578034682	NA
interferon-mediated signaling pathway	NA	NA	NA	0.009657170449058426	NA	NA	NA	NA	NA
interleukin-1 beta production	0.008501335924216662	NA	0.009394313967861558	NA	0.0079484425349087	0.0079484425349087	NA	NA	NA
interleukin-1 production	0.010930289045421423	0.010411244143675169	0.010877626699629172	NA	0.00945220193340494	0.00945220193340494	NA	NA	NA
interleukin-1-mediated signaling pathway	0.004615010930289046	NA	NA	NA	0.003651987110633727	0.003651987110633727	NA	NA	NA
interleukin-10 production	NA	NA	NA	0.006277160791887977	0.005800214822771214	0.005800214822771214	NA	0.010404624277456647	NA
interleukin-11-mediated signaling pathway	NA	0.0013014055179593961	NA	0.0014485755673587638	NA	NA	NA	NA	NA
interleukin-12 production	0.006315278115132378	0.00676730869338886	NA	0.00748430709802028	0.007089151450053705	0.007089151450053705	NA	0.010404624277456647	NA
interleukin-13 production	NA	0.0028630921395106715	NA	NA	NA	NA	NA	NA	NA
interleukin-15-mediated signaling pathway	0.0019431624969638087	0.0018219677251431546	NA	NA	NA	NA	NA	NA	NA
interleukin-17 production	NA	NA	NA	NA	0.00472610096670247	0.00472610096670247	NA	NA	NA
interleukin-2 production	NA	NA	NA	NA	0.006659505907626208	0.006659505907626208	NA	0.009826589595375723	NA
interleukin-2-mediated signaling pathway	NA	0.0018219677251431546	0.00173053152039555	NA	NA	NA	NA	NA	NA
interleukin-4 production	NA	0.0052056220718375845	NA	NA	NA	NA	NA	NA	NA
interleukin-4-mediated signaling pathway	NA	NA	0.0022249690976514215	NA	NA	NA	NA	NA	NA
interleukin-6 production	NA	0.013014055179593961	0.012855377008652658	0.0147271849348141	NA	NA	NA	0.01907514450867052	NA
interleukin-6-mediated signaling pathway	NA	NA	0.0034610630407911	0.003380009657170449	NA	NA	NA	0.004046242774566474	NA
interleukin-8 production	0.008744231236337139	0.008328995314940135	0.008158220024721878	NA	0.007518796992481203	0.007518796992481203	NA	0.010982658959537572	NA
interleukin-9-mediated signaling pathway	NA	0.0015616866215512754	NA	0.0014485755673587638	NA	NA	NA	NA	NA
intermediate filament cytoskeleton organization	0.008501335924216662	0.008068714211348256	0.007911001236093944	0.009657170449058426	0.00816326530612245	0.00816326530612245	NA	NA	NA
intermediate filament organization	0.006558173427252854	0.007027589796980739	0.006427688504326329	0.0079671656204732	0.006015037593984963	0.006015037593984963	NA	NA	NA
intermediate filament-based process	0.008501335924216662	0.008068714211348256	0.007911001236093944	0.009657170449058426	0.00816326530612245	0.00816326530612245	NA	NA	NA
internal protein amino acid acetylation	NA	0.0018219677251431546	NA	NA	NA	NA	NA	NA	NA
intestinal absorption	NA	0.004685059864653826	NA	NA	NA	NA	NA	NA	NA
intestinal epithelial cell development	0.0021860578090842847	NA	NA	NA	NA	NA	NA	NA	NA
intestinal epithelial cell differentiation	0.003157639057566189	NA	NA	NA	NA	NA	NA	NA	NA
intestinal epithelial cell maturation	NA	NA	NA	NA	NA	NA	0.010256410256410256	NA	NA
intracellular copper ion homeostasis	NA	NA	NA	NA	0.0025778732545649837	0.0025778732545649837	NA	NA	NA
intracellular glucose homeostasis	0.01481661403934904	0.013014055179593961	NA	0.013278609367455336	0.013319011815252416	0.013319011815252416	0.041025641025641026	NA	0.0625
intracellular phosphate ion homeostasis	NA	NA	NA	0.0016900048285852245	NA	NA	NA	0.002890173410404624	NA
intracellular potassium ion homeostasis	NA	0.002342529932326913	NA	0.0024142926122646064	NA	NA	NA	NA	NA
intracellular protein transmembrane transport	NA	NA	0.004449938195302843	NA	NA	NA	NA	NA	NA
intracellular sodium ion homeostasis	NA	NA	NA	0.0036214389183969096	NA	NA	NA	NA	NA
intrinsic apoptotic signaling pathway by p53 class mediator	NA	NA	0.00865265760197775	NA	NA	NA	NA	NA	NA
intrinsic apoptotic signaling pathway in response to DNA damage	0.009715812484819043	NA	0.009888751545117428	0.009898599710284886	NA	NA	NA	NA	NA
intrinsic apoptotic signaling pathway in response to hypoxia	NA	NA	NA	NA	NA	NA	0.015384615384615385	NA	NA
intrinsic apoptotic signaling pathway in response to oxidative stress	NA	NA	NA	0.005794302269435055	NA	NA	0.03076923076923077	NA	NA
ionotropic glutamate receptor signaling pathway	NA	NA	0.003955500618046972	NA	NA	NA	NA	NA	NA
IRE1-mediated unfolded protein response	NA	NA	0.002719406674907293	NA	NA	NA	NA	NA	NA
IRES-dependent viral translational initiation	NA	NA	NA	0.001931434089811685	0.0017185821697099893	0.0017185821697099893	NA	0.005202312138728324	NA
ISG15-protein conjugation	0.0012144765606023804	NA	NA	NA	NA	NA	NA	NA	NA
isoprenoid metabolic process	NA	0.010411244143675169	NA	0.011830033800096573	NA	NA	NA	NA	NA
JNK cascade	NA	0.015877147319104633	0.0173053152039555	0.0159343312409464	0.016756176154672394	0.016756176154672394	NA	0.017919075144508672	NA
keratan sulfate biosynthetic process	NA	NA	0.0022249690976514215	NA	NA	NA	NA	NA	NA
keratan sulfate metabolic process	NA	NA	NA	0.0024142926122646064	0.002363050483351235	0.002363050483351235	NA	NA	NA
keratinization	NA	NA	NA	0.005794302269435055	0.004940923737916219	0.004940923737916219	NA	0.007514450867052023	NA
keratinocyte differentiation	0.014573718727228565	0.014315460697553357	0.012360939431396786	0.01521004345726702	0.011815252416756176	0.011815252416756176	NA	0.016184971098265895	NA
keratinocyte proliferation	NA	0.005465903175429464	NA	NA	NA	NA	NA	NA	NA
kidney epithelium development	0.015788195287830945	0.015877147319104633	0.0173053152039555	0.014244326412361178	0.013963480128893663	0.013963480128893663	NA	0.016184971098265895	NA
kidney morphogenesis	0.008987126548457614	0.009370119729307652	0.009394313967861558	0.008932882665379043	NA	NA	NA	NA	NA
kidney vasculature development	NA	0.004424778761061947	0.004944375772558714	0.004828585224529213	0.003651987110633727	0.003651987110633727	NA	NA	NA
killing of cells of another organism	0.009958707796939519	0.013014055179593961	NA	0.010381458232737808	0.012030075187969926	0.012030075187969926	NA	NA	NA
L-amino acid biosynthetic process	NA	NA	NA	NA	0.005585392051557465	0.005585392051557465	NA	NA	NA
L-amino acid catabolic process	NA	0.00676730869338886	NA	NA	NA	NA	NA	NA	NA
L-amino acid metabolic process	NA	0.015096304008328995	NA	NA	NA	NA	NA	NA	NA
L-ascorbic acid metabolic process	0.0021860578090842847	NA	NA	NA	NA	NA	NA	NA	NA
L-fucose catabolic process	NA	NA	NA	NA	0.0015037593984962407	0.0015037593984962407	NA	NA	NA
L-fucose metabolic process	NA	NA	NA	NA	0.0015037593984962407	0.0015037593984962407	NA	NA	NA
labyrinthine layer morphogenesis	NA	0.0028630921395106715	0.0032138442521631645	NA	NA	NA	NA	NA	NA
lactation	NA	0.004945340968245705	0.004697156983930779	NA	0.0053705692803437165	0.0053705692803437165	NA	NA	NA
lactone metabolic process	0.002671848433325237	NA	0.002472187886279357	NA	NA	NA	NA	NA	NA
lamellipodium assembly	NA	NA	NA	NA	0.00644468313641246	0.00644468313641246	NA	NA	NA
lamellipodium morphogenesis	NA	NA	NA	0.0024142926122646064	NA	NA	NA	NA	NA
lamellipodium organization	NA	NA	NA	0.0079671656204732	0.008592910848549946	0.008592910848549946	NA	NA	NA
lateral sprouting from an epithelium	0.0019431624969638087	0.002342529932326913	NA	0.0021728633510381457	NA	NA	NA	0.002890173410404624	NA
learning	0.014330823415108088	0.013014055179593961	0.01557478368355995	0.01545147271849348	0.013963480128893663	0.013963480128893663	NA	NA	NA
lens development in camera-type eye	NA	0.009370119729307652	0.007911001236093944	NA	NA	NA	NA	NA	NA
lens fiber cell differentiation	NA	0.004164497657470068	NA	NA	NA	NA	NA	NA	NA
leukocyte activation involved in inflammatory response	NA	NA	0.005438813349814586	0.006035731530661516	0.005585392051557465	0.005585392051557465	NA	0.009248554913294798	NA
leukocyte adhesion to vascular endothelial cell	0.006558173427252854	0.005465903175429464	NA	0.005311443746982134	0.005800214822771214	0.005800214822771214	NA	NA	NA
leukocyte aggregation	0.0019431624969638087	NA	NA	0.001931434089811685	NA	NA	NA	NA	NA
leukocyte apoptotic process	0.011416079669662375	0.011192087454450807	0.012608158220024722	0.012795750845002415	NA	NA	0.03076923076923077	0.013294797687861272	NA
leukocyte degranulation	0.00801554529997571	0.008849557522123894	0.007416563658838072	NA	0.00816326530612245	0.00816326530612245	NA	NA	NA
leukocyte homeostasis	0.009958707796939519	0.010411244143675169	0.011372064276885044	0.010864316755190728	0.010526315789473684	0.010526315789473684	NA	0.012716763005780347	NA
leukocyte mediated cytotoxicity	0.014330823415108088	0.015616866215512754	NA	0.014244326412361178	0.0163265306122449	0.0163265306122449	NA	NA	NA
leukocyte tethering or rolling	0.004129220306048093	NA	NA	NA	0.004296455424274973	0.004296455424274973	NA	NA	NA
leukotriene biosynthetic process	0.002428953121204761	0.0026028110359187923	NA	NA	NA	NA	NA	NA	NA
leukotriene metabolic process	0.0036434296818071412	NA	0.003955500618046972	NA	NA	NA	NA	NA	NA
ligand-gated ion channel signaling pathway	NA	0.004945340968245705	0.00519159456118665	NA	NA	NA	NA	NA	NA
limb development	0.015788195287830945	0.01665799062988027	0.01508034610630408	NA	NA	NA	NA	NA	NA
limb morphogenesis	0.01360213747874666	0.014055179593961478	0.012855377008652658	NA	NA	NA	NA	NA	NA
limbic system development	0.012630556230264756	0.012753774076002082	0.010877626699629172	0.01134717527764365	0.01117078410311493	0.01117078410311493	NA	NA	NA
lipid export from cell	0.005343696866650474	0.005726184279021343	NA	NA	NA	NA	NA	NA	NA
lipid modification	0.017245567160553803	NA	0.01508034610630408	0.016900048285852245	0.0158968850698174	0.0158968850698174	NA	NA	NA
lipid oxidation	0.010687393733300948	NA	NA	0.010381458232737808	0.010526315789473684	0.010526315789473684	NA	NA	NA
lipid storage	NA	0.009370119729307652	NA	NA	NA	NA	NA	NA	NA
lipophagy	0.0014573718727228565	NA	NA	NA	NA	NA	NA	NA	NA
lipopolysaccharide-mediated signaling pathway	0.006315278115132378	NA	0.005438813349814586	0.006035731530661516	0.005585392051557465	0.005585392051557465	NA	NA	NA
lipoprotein localization	0.002914743745445713	NA	NA	NA	NA	NA	NA	NA	NA
lipoprotein transport	0.002914743745445713	NA	NA	NA	NA	NA	NA	NA	NA
liver development	0.01481661403934904	0.015096304008328995	0.013102595797280594	0.014244326412361178	0.013533834586466165	0.013533834586466165	0.035897435897435895	NA	NA
liver morphogenesis	NA	0.00338365434669443	NA	NA	0.0030075187969924814	0.0030075187969924814	NA	NA	NA
liver regeneration	0.0036434296818071412	NA	NA	NA	NA	NA	NA	NA	NA
long-chain fatty acid biosynthetic process	NA	NA	NA	NA	0.00322234156820623	0.00322234156820623	NA	NA	NA
