GeneID	Symbol	Ensembl	log2FoldChange	AveExpr	t	P.Value	adj.P.Val	infected	control
813	CALU	ENSG00000128595	1.1036889425937564	1.0452577104978842	14.00005394385487	1.6051746489634055e-33	9.76765850220285e-33	1.5949715081604103	0.4912825655666539
387	RHOA	ENSG00000067560	1.103121121545593	1.9502567300548987	15.561286429273457	5.677136968684732e-39	4.135500636671206e-38	2.4996877133729734	1.3965665918273804
7466	WFS1	ENSG00000109501	1.0705438479646077	6.593749421221515	5.912461738693631	1.062772517201889e-8	2.7093994918791986e-8	7.126954658238637	6.05641081027403
211	ALAS1	ENSG00000023330	1.065868772866243	6.648879448187964	9.144645619586775	1.8406478201722925e-17	6.511444905233667e-17	7.179756172897403	6.11388740003116
8569	MKNK1	ENSG00000079277	1.0633050998534803	1.77330644480765	13.927684890153616	2.8633334974159263e-33	1.7310364135597422e-32	2.3029062821864095	1.2396011823329292
6500	SKP1	ENSG00000113558	1.0366406797598535	0.8192582816144787	21.51569370318008	1.5715876995480953e-59	2.5427167393036637e-58	1.335577384660892	0.2989367049010384
466	ATF1	ENSG00000123268	1.029290412720512	1.3862362273376434	12.63302449702945	8.25967818904465e-29	4.305903415693851e-28	1.8988943865690961	0.8696039738485842
11157	LSM 6.00	ENSG00000164167	0.9891840144855801	2.932135481980052	16.833102008901736	1.9957823616556227e-43	1.737779583287027e-42	3.424817867573257	2.4356338530876767
10813	UTP14A	ENSG00000156697	0.9089974668553849	4.23493691047497	9.198639223000164	1.2614355463229966e-17	4.4889140134273557e-17	4.687680822538077	3.778683355682692
10523	CHERP	ENSG00000085872	0.8931808284044784	6.708065427657463	9.209566966972188	1.1684086721206434e-17	4.164247932270468e-17	7.152931554546184	6.259750726141705
8914	TIMELESS	ENSG00000111602	0.8290112855636194	2.0097253108896824	14.037689518683724	1.1877961390023621e-33	7.258754182792212e-33	2.4226305457843047	1.5936192602206853
9448	MAP4K4	ENSG00000071054	0.8178051122840273	3.3651143552238656	13.28876508322213	4.6516545432378625e-31	2.60700204880289e-30	3.772438137017841	2.9546330247338135
10513	APPBP2	ENSG00000062725	0.8148047271716645	1.9093452013637389	18.887758768848062	1.41410753850497e-50	1.6068618056728236e-49	2.3151745828507835	1.500369855679119
10953	TOMM34	ENSG00000025772	0.748036880022962	2.4372220578001027	14.843936507666227	1.8373700204193956e-36	1.237561908681035e-35	2.809796411170615	2.061759531147653
5347	PLK1	ENSG00000166851	0.7409274056493538	2.481911169914512	14.351328851234564	9.622022842185541e-35	6.084129409395551e-34	2.8509445109522242	2.1100171053028705
