ENSEMBL	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	EntrezID	Symbol
ENSG00000108588	9710.107464771505	-0.2777621664975152	0.252749043640195	-1.0989642631167698	0.27178365405058597	0.4064975377368102	57003	CCDC47
ENSG00000134324	4445.0874576442375	-0.2778909053305436	0.25268474624156423	-1.099753386240745	0.27143958715602373	0.4061306393479916	23175	LPIN1
ENSG00000136514	816.4412270904339	-0.2779867305426619	0.365669652261285	-0.760212746186631	0.4471274272270748	0.5851191800265629	64108	RTP4
ENSG00000263745	2.2756503556911745	-0.27808667511915935	0.7975092078276026	-0.34869399925382843	0.7273190497587736	0.8186237676191945	105371956	LOC105371956
ENSG00000048991	1894.7470570441112	-0.27809701952578914	0.20797558989411505	-1.3371618259016573	0.18116981962873488	0.2993694166568045	23518	R3HDM1
ENSG00000144026	1457.2016028777623	-0.27830234163627177	0.19621919564926008	-1.4183237308430034	0.15609627141317475	0.2672068406305449	84874	ZNF514
ENSG00000141378	1264.152265811228	-0.2783760505666765	0.22233943582392687	-1.2520318293293038	0.21055826605337344	0.3351167294459741	51651	PTRH2
ENSG00000140600	5.605023272801012	-0.27840897454423325	0.5775577141274527	-0.4820452878286641	0.6297737749925612	0.7442424505084753	6457	SH3GL3
ENSG00000106348	15077.499748931243	-0.2784193752645386	0.1904220313867423	-1.4621174516255209	0.14370902722708487	0.25022062929935024	3614	IMPDH1
ENSG00000088038	1838.7406545062706	-0.2789119968489571	0.2030840503914278	-1.373382086438483	0.1696335957199929	0.2845370048127196	4849	CNOT3
ENSG00000285204	3.1383470730538288	-0.2791956473376053	0.5932053899913207	-0.470655951628643	0.6378864447645357	0.7509165142232898	130453475	SMN-AS1
ENSG00000155026	10.3266088684421	-0.27927800946442083	0.4666187435367386	-0.5985143403105329	0.5494967932798864	0.6766312734463042	222967	RSPH10B
ENSG00000115541	4183.941793218779	-0.2794294950699553	0.2168191370301543	-1.2887676747421672	0.19747886713046361	0.3193105823719603	3336	HSPE1
ENSG00000108592	4863.969804658292	-0.27976343044919716	0.2264708228787298	-1.2353177636441246	0.2167122651671502	0.3423221491794562	117246	FTSJ3
