drug_name	drug_gene	type
methylprednisolone	TSC22D3	LINCS
tolazamide	TSC22D3	LINCS
fluvastatin	TSC22D3	LINCS
halcinonide	TSC22D3	LINCS
ketorolac	TSC22D3	LINCS
xylazine	TSC22D3	LINCS
atorvastatin	TSC22D3	LINCS
procaterol	DUSP3	LINCS
tubocurarine	DUSP3	LINCS
forskolin	DUSP4	LINCS
ingenol	DUSP4	LINCS
granisetron	E2F2	LINCS
coumarin	E2F2	LINCS
ubenimex	E2F2	LINCS
dasatinib	ECH1	LINCS
deoxycholic-acid	EGR1	LINCS
carbinoxamine	EGR1	LINCS
betaxolol	EGR1	LINCS
cortisone	EIF5	LINCS
benzonatate	EIF5	LINCS
ketanserin	EIF5	LINCS
metoprolol	EIF5	LINCS
trapidil	EIF5	LINCS
mosapride	EIF5	LINCS
tacrolimus	EIF5	LINCS
mycophenolic-acid	EIF5	LINCS
xylazine	EIF5	LINCS
dilazep	EIF5	LINCS
fasudil	EIF5	LINCS
hyoscyamine	EIF5	LINCS
diethylcarbamazine	EPHB2	LINCS
itraconazole	NR2F6	LINCS
felbamate	ERBB2	LINCS
fostamatinib	ERBB3	LINCS
deoxycholic-acid	ETFB	LINCS
quinidine	ALAS1	LINCS
quinine	ALAS1	LINCS
piroxicam	ETV1	LINCS
betaxolol	EXT1	LINCS
sorafenib	FDFT1	LINCS
nitrendipine	COG2	LINCS
chloroquine	COG2	LINCS
ipratropium	COG2	LINCS
warfarin	COG2	LINCS
granisetron	PUF60	LINCS
mestranol	PUF60	LINCS
probucol	PUF60	LINCS
carbetocin	PUF60	LINCS
deoxycholic-acid	PUF60	LINCS
hexylresorcinol	RPIA	LINCS
vorinostat	ALDOC	LINCS
salmeterol	ALDOC	LINCS
thiothixene	ALDOC	LINCS
methylprednisolone	FBXO21	LINCS
tolazoline	RBM34	LINCS
dopamine	RBM34	LINCS
amcinonide	RBM34	LINCS
isradipine	RBM34	LINCS
hexylresorcinol	RBM34	LINCS
celecoxib	RBM34	LINCS
bumetanide	RBM34	LINCS
anastrozole	RBM34	LINCS
tubocurarine	GPATCH8	LINCS
lonidamine	GPATCH8	LINCS
amantadine	GPATCH8	LINCS
fasudil	GPATCH8	LINCS
diclofenac	MAST2	LINCS
metoprolol	JMJD6	LINCS
brompheniramine	JMJD6	LINCS
nitrendipine	JMJD6	LINCS
dantrolene	RRS1	LINCS
dydrogesterone	RRS1	LINCS
tolazoline	RRS1	LINCS
fasudil	RRS1	LINCS
minoxidil	RRP12	LINCS
lapatinib	WASHC4	LINCS
vecuronium	WASHC4	LINCS
tolazamide	WASHC4	LINCS
meloxicam	USP22	LINCS
piroxicam	USP22	LINCS
tianeptine	WDR7	LINCS
hexylresorcinol	WDR7	LINCS
quercetin	SIRT3	LINCS
temsirolimus	TMEM50A	LINCS
bifemelane	LSM 5.00	LINCS
raloxifene	LSM 5.00	LINCS
protriptyline	LSM 5.00	LINCS
dantrolene	LSM 5.00	LINCS
panobinostat	PLA2G15	LINCS
chloroquine	SLC37A4	LINCS
acetyl-farnesyl-cysteine	EML3	LINCS
tretinoin	SPDEF	LINCS
fasudil	MPC2	LINCS
domperidone	C2CD2	LINCS
ibuprofen	C2CD2	LINCS
dienestrol	C2CD2	LINCS
warfarin	C2CD2	LINCS
chlorphenamine	TIPARP	LINCS
methoxsalen	TIPARP	LINCS
resveratrol	TIPARP	LINCS
celecoxib	RNF167	LINCS
tolazamide	RNF167	LINCS
moexipril	RNF167	LINCS
lonidamine	RNF167	LINCS
iloperidone	ZNF451	LINCS
phenoxybenzamine	TES	LINCS
methantheline	TES	LINCS
stiripentol	TES	LINCS
naltrexone	PHGDH	LINCS
chloroxine	PHGDH	LINCS
vemurafenib	PHGDH	LINCS
ezetimibe	PHGDH	LINCS
trifluoperazine	MYCBP	LINCS
pimozide	MYCBP	LINCS
piroxicam	TIMM9	LINCS
rifabutin	TIMM9	LINCS
ephedrine	TIMM9	LINCS
alprenolol	TIMM9	LINCS
mepacrine	TIMM9	LINCS
fluorometholone	TNFRSF21	LINCS
lisuride	TNFRSF21	LINCS
vinburnine	SESN1	LINCS
chlorphenamine	SESN1	LINCS
danazol	TMEM97	LINCS
estradiol	GLRX	LINCS
mitotane	GNA11	LINCS
meloxicam	GNA15	LINCS
chlorprothixene	GNAS	LINCS
nicergoline	GNAS	LINCS
aniracetam	GNAS	LINCS
tubocurarine	GNAS	LINCS
ciprofibrate	GNAS	LINCS
clonidine	GNAS	LINCS
nizatidine	GNAS	LINCS
yohimbine	GNAS	LINCS
deferiprone	GNAS	LINCS
estradiol	GNAS	LINCS
thalidomide	GNAS	LINCS
betaxolol	GRB7	LINCS
talniflumate	GRB7	LINCS
aniracetam	GRB7	LINCS
tacrolimus	GRB10	LINCS
disopyramide	GRN	LINCS
itraconazole	CHMP4A	LINCS
maraviroc	CHMP4A	LINCS
mitotane	CHMP4A	LINCS
diethylcarbamazine	CHMP4A	LINCS
mycophenolic-acid	GTPBP8	LINCS
formestane	GTPBP8	LINCS
thiocolchicoside	CXCL2	LINCS
olaparib	GTF2A2	LINCS
hexylcaine	PACSIN3	LINCS
domperidone	HOOK2	LINCS
disopyramide	UBQLN2	LINCS
formestane	ACAA1	LINCS
probucol	ERO1A	LINCS
lapatinib	HLA-DMA	LINCS
diltiazem	HLA-DMA	LINCS
naltrexone	HLA-DMA	LINCS
flutamide	HLA-DMA	LINCS
ciprofibrate	HLA-DMA	LINCS
vecuronium	HLA-DMA	LINCS
atorvastatin	HMGCR	LINCS
simvastatin	HMGCR	LINCS
bendroflumethiazide	HMGCS1	LINCS
pizotifen	HMGCS1	LINCS
sorafenib	HMGCS1	LINCS
chlorpromazine	HMGCS1	LINCS
sertraline	HMGCS1	LINCS
cilastatin	HMGCS1	LINCS
benzonatate	HMGCS1	LINCS
raloxifene	HMGCS1	LINCS
tacrolimus	HMGCS1	LINCS
amiodarone	HMGCS1	LINCS
fulvestrant	HMGCS1	LINCS
clomifene	HMGCS1	LINCS
methylergometrine	HMGCS1	LINCS
cimetidine	HMGCS1	LINCS
pimozide	HMGCS1	LINCS
perphenazine	HMGCS1	LINCS
dydrogesterone	HMGCS1	LINCS
promazine	HMGCS1	LINCS
chlorprothixene	HMGCS1	LINCS
itraconazole	HMGCS1	LINCS
trifluoperazine	HMGCS1	LINCS
bifemelane	HMGCS1	LINCS
toremifene	HMGCS1	LINCS
tamoxifen	HMGCS1	LINCS
dilazep	HMGCS1	LINCS
curcumin	HMOX1	LINCS
fenoldopam	HMOX1	LINCS
triclosan	HMOX1	LINCS
urapidil	HMOX1	LINCS
quinine	HMOX1	LINCS
danazol	HMOX1	LINCS
dopamine	HMOX1	LINCS
quinidine	HMOX1	LINCS
procaterol	HOXA5	LINCS
tretinoin	HOXA5	LINCS
dantrolene	APBB2	LINCS
probucol	HES1	LINCS
perindopril	HSPA4	LINCS
papaverine	HSPA8	LINCS
dantrolene	HSPA8	LINCS
deferiprone	HSPA8	LINCS
perphenazine	BIRC5	LINCS
thiothixene	BIRC5	LINCS
amsacrine	BIRC5	LINCS
pimozide	BIRC5	LINCS
sertraline	BIRC5	LINCS
thiothixene	HSPD1	LINCS
fluorometholone	IGFBP3	LINCS
tretinoin	IGFBP3	LINCS
fludroxycortide	IGFBP3	LINCS
flunisolide	IGFBP3	LINCS
dilazep	IGFBP3	LINCS
dexamethasone	IGFBP3	LINCS
methylprednisolone	IGFBP3	LINCS
trapidil	IGHMBP2	LINCS
thiocolchicoside	APP	LINCS
raltitrexed	FAS	LINCS
ranitidine	FAS	LINCS
clomipramine	INSIG1	LINCS
amiodarone	INSIG1	LINCS
raloxifene	INSIG1	LINCS
pimozide	INSIG1	LINCS
tamoxifen	INSIG1	LINCS
chlorprothixene	INSIG1	LINCS
promazine	INSIG1	LINCS
mitotane	INSIG1	LINCS
pizotifen	INSIG1	LINCS
sertraline	INSIG1	LINCS
thiothixene	INSIG1	LINCS
trifluoperazine	INSIG1	LINCS
chlorpromazine	INSIG1	LINCS
itraconazole	INSIG1	LINCS
perphenazine	INSIG1	LINCS
clomifene	INSIG1	LINCS
salmeterol	INSIG1	LINCS
panobinostat	INSIG1	LINCS
toremifene	INSIG1	LINCS
dilazep	INSIG1	LINCS
bifemelane	INSIG1	LINCS
triclosan	ITGAE	LINCS
formestane	ITGAE	LINCS
tamoxifen	ITGAE	LINCS
ramipril	ITGAE	LINCS
panobinostat	ITGB5	LINCS
celecoxib	STIMATE	LINCS
mestranol	KIF5C	LINCS
chenodeoxycholic-acid	KIF5C	LINCS
thalidomide	KIF5C	LINCS
bezafibrate	KIF5C	LINCS
rifabutin	KIT	LINCS
piperidolate	KIT	LINCS
phenazopyridine	KIT	LINCS
ketanserin	KIT	LINCS
papaverine	KIT	LINCS
fluvastatin	RHOA	LINCS
rosuvastatin	RHOA	LINCS
treprostinil	DIPK1A	LINCS
acetyl-farnesyl-cysteine	DIPK1A	LINCS
hesperidin	ACAT2	LINCS
acetyl-farnesyl-cysteine	ACAT2	LINCS
chloroxine	ACAT2	LINCS
nicergoline	LAMA3	LINCS
quercetin	LAMA3	LINCS
naftopidil	LGALS8	LINCS
carbamazepine	LYN	LINCS
disopyramide	LYN	LINCS
talniflumate	MAN2B1	LINCS
fostamatinib	FOXO4	LINCS
vorinostat	FOXO4	LINCS
ingenol	MMP1	LINCS
dexamethasone	MUC1	LINCS
flunisolide	MUC1	LINCS
ipratropium	MUC1	LINCS
pioglitazone	MYBL2	LINCS
lamotrigine	NFATC3	LINCS
benzonatate	NFATC3	LINCS
hyoscyamine	NFATC3	LINCS
flutamide	NFATC3	LINCS
meloxicam	NFATC3	LINCS
felodipine	NFKB2	LINCS
deoxycholic-acid	NFKB2	LINCS
varenicline	NFKB2	LINCS
fludroxycortide	NFKBIA	LINCS
fluorometholone	NFKBIA	LINCS
hesperidin	NFKBIB	LINCS
acitretin	ATP1B1	LINCS
vemurafenib	PNP	LINCS
rilmenidine	NVL	LINCS
timolol	NVL	LINCS
pioglitazone	NVL	LINCS
verapamil	NVL	LINCS
felodipine	NVL	LINCS
valsartan	NVL	LINCS
norepinephrine	ALDH7A1	LINCS
ketotifen	OXA1L	LINCS
bepridil	OXA1L	LINCS
minoxidil	OXA1L	LINCS
dasatinib	SERPINE1	LINCS
levocabastine	PAK1	LINCS
urapidil	PAK1	LINCS
terguride	PAK1	LINCS
lonidamine	COPS7A	LINCS
vorinostat	PCBD1	LINCS
fenoldopam	PCCB	LINCS
pizotifen	PCCB	LINCS
carbinoxamine	MTERF3	LINCS
atovaquone	MTERF3	LINCS
coumarin	GOLT1B	LINCS
toremifene	GOLT1B	LINCS
bezafibrate	GOLT1B	LINCS
clopidogrel	GOLT1B	LINCS
gemfibrozil	GMNN	LINCS
nabumetone	GMNN	LINCS
vemurafenib	PCK2	LINCS
levomepromazine	NOSIP	LINCS
fulvestrant	PCNA	LINCS
chlorpromazine	PCNA	LINCS
calcitriol	PCNA	LINCS
clomifene	PCNA	LINCS
danazol	PCNA	LINCS
fluvastatin	PCNA	LINCS
axitinib	PCNA	LINCS
bifemelane	NUSAP1	LINCS
NECA	SCAND1	LINCS
urapidil	SCAND1	LINCS
ipratropium	ATP6V1D	LINCS
mometasone	ATP6V1D	LINCS
stiripentol	ATP6V1D	LINCS
chloroquine	ATP6V1D	LINCS
quinine	ATP6V1D	LINCS
treprostinil	ATP6V1D	LINCS
zolmitriptan	ATP6V1D	LINCS
haloperidol	ATP6V1D	LINCS
dydrogesterone	ATP6V1D	LINCS
cimetidine	ATP6V1D	LINCS
palonosetron	ATP6V1D	LINCS
carbetocin	ATP6V1D	LINCS
quercetin	ATP6V1D	LINCS
methoxsalen	ATP6V1D	LINCS
tianeptine	ATP6V1D	LINCS
yohimbine	ATP6V1D	LINCS
prednisolone	PRKAG2	LINCS
ranitidine	HACD3	LINCS
ephedrine	UFM1	LINCS
ezetimibe	PGAM1	LINCS
levomepromazine	PHKB	LINCS
bezafibrate	PIN1	LINCS
nabumetone	PLK1	LINCS
irinotecan	PLK1	LINCS
hesperidin	PLS1	LINCS
felodipine	PMM2	LINCS
cilastatin	PMM2	LINCS
naltrexone	CYCS	LINCS
gemfibrozil	CYCS	LINCS
ubenimex	CYCS	LINCS
papaverine	CYCS	LINCS
nicergoline	CYCS	LINCS
medetomidine	CYCS	LINCS
piperidolate	POLE2	LINCS
salmeterol	POLR2I	LINCS
hexylcaine	POLR2I	LINCS
carbinoxamine	POLR2I	LINCS
fenoldopam	POLR2I	LINCS
phenazopyridine	POLR2I	LINCS
probucol	POLR2I	LINCS
maraviroc	POLR2I	LINCS
alprenolol	KCTD5	LINCS
nalbuphine	KCTD5	LINCS
cilastatin	KCTD5	LINCS
methylergometrine	KCTD5	LINCS
NECA	KCTD5	LINCS
ipratropium	DHX29	LINCS
calcitriol	DDIT4	LINCS
nelfinavir	DDIT4	LINCS
tacrolimus	DDIT4	LINCS
triclosan	DDIT4	LINCS
fulvestrant	DDIT4	LINCS
mometasone	DDIT4	LINCS
danazol	DDIT4	LINCS
xylazine	SLC35F2	LINCS
yohimbine	HERC6	LINCS
icosapent	HERC6	LINCS
minoxidil	HERC6	LINCS
axitinib	HERC6	LINCS
medetomidine	PPP2R3C	LINCS
benzthiazide	FKBP14	LINCS
norepinephrine	CDCA4	LINCS
dienestrol	ADI1	LINCS
nabumetone	PPP2R5E	LINCS
scopolamine	PPP2R5E	LINCS
propentofylline	PPP2R5E	LINCS
ozagrel	PPP2R5E	LINCS
thiocolchicoside	PPP2R5E	LINCS
quinidine	PPP2R5E	LINCS
tofacitinib	CARMIL1	LINCS
bepridil	ANKRD10	LINCS
phenazopyridine	STAP2	LINCS
mitotane	MINDY1	LINCS
lapatinib	MINDY1	LINCS
mosapride	MINDY1	LINCS
propentofylline	KDM3A	LINCS
zolmitriptan	KDM3A	LINCS
amisulpride	KDM3A	LINCS
thalidomide	KDM3A	LINCS
ramipril	KDM3A	LINCS
clarithromycin	PECR	LINCS
ephedrine	EAPP	LINCS
carbinoxamine	EAPP	LINCS
chenodeoxycholic-acid	ZNF395	LINCS
prednisolone	NPDC1	LINCS
bepridil	NPDC1	LINCS
lamotrigine	TM9SF3	LINCS
methylergometrine	TM9SF3	LINCS
talniflumate	TM9SF3	LINCS
escitalopram	PAK6	LINCS
rilmenidine	PSMB8	LINCS
nalbuphine	PSMB8	LINCS
ramipril	COQ8A	LINCS
cilastatin	COQ8A	LINCS
diclofenac	CIAPIN1	LINCS
formestane	PSMD10	LINCS
perindopril	PSMD10	LINCS
ropinirole	MCOLN1	LINCS
tubocurarine	MCOLN1	LINCS
amcinonide	MCOLN1	LINCS
acetyl-farnesyl-cysteine	MCOLN1	LINCS
mepacrine	MCOLN1	LINCS
isradipine	MCOLN1	LINCS
fenoldopam	MCOLN1	LINCS
nitrendipine	MCOLN1	LINCS
verapamil	MCOLN1	LINCS
palonosetron	MCOLN1	LINCS
clarithromycin	THAP11	LINCS
pyrimethamine	PTGS2	LINCS
ketanserin	PTGS2	LINCS
hexylcaine	PTGS2	LINCS
ziprasidone	PTK2	LINCS
ranitidine	TRIB3	LINCS
ropinirole	TRIB3	LINCS
thiocolchicoside	PTPN6	LINCS
perindopril	PTPRK	LINCS
clopidogrel	BAX	LINCS
levocabastine	PXN	LINCS
tolazamide	SQOR	LINCS
ibuprofen	ENOPH1	LINCS
temsirolimus	ENOPH1	LINCS
amantadine	ENOPH1	LINCS
amcinonide	ENOPH1	LINCS
cortisone	ENOPH1	LINCS
phenoxybenzamine	RAC2	LINCS
ketotifen	RAC2	LINCS
hydrocortisone	RAP1GAP	LINCS
methantheline	KDM5A	LINCS
irinotecan	RELB	LINCS
forskolin	RGS2	LINCS
medetomidine	RGS2	LINCS
amisulpride	RGS2	LINCS
trapidil	RPA2	LINCS
mycophenolic-acid	MRPL12	LINCS
methantheline	RTN2	LINCS
acitretin	RTN2	LINCS
estradiol	S100A4	LINCS
timolol	SATB1	LINCS
clonidine	SATB1	LINCS
rilmenidine	SATB1	LINCS
verapamil	SATB1	LINCS
curcumin	ABHD4	LINCS
labetalol	RBKS	LINCS
naftopidil	RBKS	LINCS
primidone	ZDHHC6	LINCS
felbamate	NT5DC2	LINCS
benzthiazide	NT5DC2	LINCS
scopolamine	SLC1A4	LINCS
ezetimibe	SLC1A4	LINCS
oxyphenonium	SLC1A4	LINCS
azaperone	SLC1A4	LINCS
nelfinavir	SLC1A4	LINCS
mestranol	SLC1A4	LINCS
clarithromycin	SLC1A4	LINCS
ethinyl-estradiol	INTS3	LINCS
rimexolone	SMARCD2	LINCS
rifabutin	SNAP25	LINCS
diltiazem	SNAP25	LINCS
phenazopyridine	BNIP3	LINCS
naftopidil	BNIP3	LINCS
oxyphenonium	BNIP3	LINCS
nalbuphine	SPAG4	LINCS
bendroflumethiazide	SPAG4	LINCS
cimetidine	SPAG4	LINCS
piroxicam	SPP1	LINCS
ziprasidone	BPHL	LINCS
lisuride	SRC	LINCS
maraviroc	SRC	LINCS
albendazole	AURKA	LINCS
nitrendipine	STK10	LINCS
pioglitazone	STK10	LINCS
terguride	SUPV3L1	LINCS
ephedrine	SUV39H1	LINCS
dopamine	SUV39H1	LINCS
NECA	TCEA2	LINCS
acitretin	TCEA2	LINCS
deferiprone	BTK	LINCS
naltrexone	TGFBR2	LINCS
felbamate	TGFBR2	LINCS
bezafibrate	TGFBR2	LINCS
clomipramine	TGFBR2	LINCS
ketorolac	TGFBR2	LINCS
cortisone	TGFBR2	LINCS
lamotrigine	TGFBR2	LINCS
quinidine	TGFBR2	LINCS
propentofylline	TGFBR2	LINCS
oxybenzone	TGFBR2	LINCS
chloroquine	TGFBR2	LINCS
minoxidil	TGFBR2	LINCS
ketotifen	TIAM1	LINCS
celecoxib	TIAM1	LINCS
atovaquone	TIAM1	LINCS
procaterol	TIAM1	LINCS
mepacrine	TIMP2	LINCS
tolbutamide	TLE1	LINCS
mosapride	TLE1	LINCS
flutamide	TLE1	LINCS
dienestrol	TLE1	LINCS
ziprasidone	TLR4	LINCS
nizatidine	TLR4	LINCS
estradiol	TLR4	LINCS
zolmitriptan	TLR4	LINCS
cabergoline	TLR4	LINCS
coumarin	TLR4	LINCS
clopidogrel	TSPAN6	LINCS
docetaxel	TOP2A	LINCS
ingenol	TOP2A	LINCS
fluvastatin	TPM1	LINCS
rosuvastatin	TPM1	LINCS
lamotrigine	UGDH	LINCS
axitinib	UGDH	LINCS
benzthiazide	UGDH	LINCS
atovaquone	WFS1	LINCS
calcitriol	ZFP36	LINCS
methoxsalen	CXCR4	LINCS
meloxicam	IFRD2	LINCS
bumetanide	IFRD2	LINCS
methylprednisolone	USP7	LINCS
moexipril	USP7	LINCS
simvastatin	CCDC86	LINCS
brompheniramine	CCDC86	LINCS
atorvastatin	CCDC86	LINCS
lovastatin	CCDC86	LINCS
tianeptine	CCDC86	LINCS
olaparib	CCDC86	LINCS
brompheniramine	TRAPPC6A	LINCS
ropinirole	CHAC1	LINCS
atovaquone	CHAC1	LINCS
tofacitinib	MBOAT7	LINCS
escitalopram	MBOAT7	LINCS
icosapent	MBOAT7	LINCS
amisulpride	MBOAT7	LINCS
tianeptine	TCTN1	LINCS
temsirolimus	TCTN1	LINCS
dydrogesterone	CHMP6	LINCS
warfarin	NPEPL1	LINCS
icosapent	NPEPL1	LINCS
mestranol	NPEPL1	LINCS
escitalopram	NUP85	LINCS
nelfinavir	NUP85	LINCS
methylergometrine	DHDDS	LINCS
granisetron	FBXO11	LINCS
lonidamine	FBXO11	LINCS
rilmenidine	FBXO11	LINCS
norepinephrine	FBXO11	LINCS
aniracetam	FBXO11	LINCS
terguride	FBXO11	LINCS
moexipril	FBXO11	LINCS
clomipramine	PDHX	LINCS
fostamatinib	FOSL1	LINCS
levocabastine	NRIP1	LINCS
ubenimex	NRIP1	LINCS
nalbuphine	NRIP1	LINCS
moexipril	CAST	LINCS
domperidone	CAST	LINCS
fulvestrant	CDC45	LINCS
vinburnine	CDC45	LINCS
curcumin	CDC45	LINCS
haloperidol	CDC45	LINCS
xylazine	CDC45	LINCS
ciprofibrate	FZD7	LINCS
anastrozole	FZD7	LINCS
NECA	CASP2	LINCS
amisulpride	CASP2	LINCS
deferiprone	CASP2	LINCS
warfarin	CASP2	LINCS
haloperidol	CASP2	LINCS
valsartan	CASP2	LINCS
treprostinil	CASP2	LINCS
ethinyl-estradiol	CASP3	LINCS
metoprolol	DYRK3	LINCS
icosapent	DYRK3	LINCS
forskolin	TUBB6	LINCS
ezetimibe	TUBB6	LINCS
dasatinib	TUBB6	LINCS
tolbutamide	TUBB6	LINCS
labetalol	TUBB6	LINCS
dasatinib	CAT	LINCS
tolazoline	HAT1	LINCS
domperidone	H2BC12	LINCS
phenoxybenzamine	MICALL1	LINCS
curcumin	AKR7A2	LINCS
ramipril	PEX11A	LINCS
bepridil	PEX11A	LINCS
perindopril	CREG1	LINCS
chlorphenamine	INPP4B	LINCS
mosapride	INPP4B	LINCS
maraviroc	ST3GAL5	LINCS
diclofenac	ST3GAL5	LINCS
levocabastine	ST3GAL5	LINCS
betaxolol	ST3GAL5	LINCS
gemfibrozil	ST3GAL5	LINCS
felbamate	ST3GAL5	LINCS
benzonatate	ST3GAL5	LINCS
halcinonide	IER3	LINCS
mometasone	IER3	LINCS
fludroxycortide	IER3	LINCS
flunisolide	IER3	LINCS
ketorolac	IER3	LINCS
hydrocortisone	IER3	LINCS
dexamethasone	IER3	LINCS
prednisolone	SQSTM1	LINCS
hexylcaine	SQSTM1	LINCS
iloperidone	CCNA2	LINCS
mepacrine	CCNA2	LINCS
cabergoline	CCNB1	LINCS
resveratrol	TIMELESS	LINCS
pyrimethamine	TIMELESS	LINCS
methantheline	CCNF	LINCS
timolol	MAP7	LINCS
labetalol	MAP7	LINCS
gemfibrozil	MAP7	LINCS
azaperone	MAP7	LINCS
procaterol	MAP7	LINCS
bumetanide	MAP7	LINCS
benzthiazide	MAP7	LINCS
scopolamine	DNAJA3	LINCS
clonidine	DNAJA3	LINCS
pioglitazone	DNAJA3	LINCS
piperidolate	DNAJA3	LINCS
chenodeoxycholic-acid	DNAJA3	LINCS
lofexidine	DNAJA3	LINCS
vecuronium	DNAJA3	LINCS
ozagrel	DNAJA3	LINCS
valsartan	DNAJA3	LINCS
timolol	DNAJA3	LINCS
oxybenzone	SMC3	LINCS
carbamazepine	PRPF4	LINCS
diltiazem	PRPF4	LINCS
salmeterol	PRPF4	LINCS
phenoxybenzamine	PRPF4	LINCS
terguride	PRPF4	LINCS
protriptyline	SYNGR3	LINCS
ziprasidone	VAPB	LINCS
azaperone	ITGB1BP1	LINCS
rifabutin	ITGB1BP1	LINCS
nicergoline	PIGB	LINCS
ozagrel	TBPL1	LINCS
clarithromycin	BAG3	LINCS
tretinoin	BAG3	LINCS
lofexidine	CD44	LINCS
lapatinib	CD44	LINCS
ozagrel	FEZ2	LINCS
lofexidine	FEZ2	LINCS
lisuride	IKBKE	LINCS
aniracetam	CD58	LINCS
