GeneID	GSE16250_GPL570_MTB_control_blood_pmbc_dn.tsv	GSE34151_GPL10558_MTB_control_blood_dcs_dn.tsv	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode_dn.tsv	GSE83456_GPL10558_EPTB_control_blood_dn.tsv	GSE83456_GPL10558_PTB_control_blood_dn.tsv	GSE139871_GPL10558_MTB_control_blood_monocyte_dn.tsv
4836	0	0	0	0	0	0
4846	0	0	0	0	0	0
4850	-2.2070819289993	0	0	0	-3.830512937483316	0
4851	0	0	0	0	0	0
4860	0	-0.4742263904719177	0	-5.542929757228055	0	0
4864	0	-0.4376472991461191	0	0	0	0
4891	0	0	0	0	0	0
4893	0	0	0	0	0	0
4925	0	0	0	0	0	0
4927	0	0	0	0	0	0
4931	0	0	0	0	0	0
4998	0	-1.4797169550755136	0	0	0	0
501	0	-0.21811837846400173	0	0	0	0
5018	0	0	0	0	0	0
5019	0	0	0	0	0	0
5048	0	0	0	0	0	0
5050	0	0	0	0	0	0
5054	0	0	-1.3189733524132654	0	0	0
5058	0	0	0	0	0	0
50810	0	0	0	0	0	0
50813	0	0	0	0	0	0
50814	0	0	0	0	0	0
50865	0	0	0	0	0	0
5092	0	-0.25201452074224373	-1.6345557279073253	0	0	0
5096	0	0	0	0	0	0
51001	0	0	0	0	0	0
51005	0	0	0	0	0	0
51015	0	0	0	0	0	0
51021	0	0	0	0	0	0
51024	0	0	0	0	0	0
51026	0	0	0	0	0	0
51031	0	0	0	0	0	0
51053	0	0	0	0	0	0
51056	0	0	0	0	0	0
5106	0	0	0	-2.4566826429442115	0	0
51070	0	0	0	0	0	0
51071	0	0	0	0	0	0
5108	0	0	0	0	0	0
51097	0	0	0	0	0	0
5110	0	0	0	0	0	0
5111	0	0	0	0	0	0
51116	0	0	0	0	0	0
51160	0	0	0	0	0	0
51170	0	0	0	0	0	0
51203	0	0	0	0	0	0
51282	0	0	0	0	0	0
51293	0	0	0	0	0	0
51335	0	0	0	0	0	0
51375	0	0	0	0	0	0
51382	0	0	0	0	0	0
51385	0	0	0	0	0	0
51422	0	0	0	0	0	0
51465	0	0	0	0	0	0
51466	0	0	0	0	0	0
51495	0	0	0	0	0	0
5154	0	-0.679841038338914	0	-6.415072444602693	-8.773346719975832	0
51569	0	0	0	0	0	0
51599	0	0	0	0	0	0
51635	0	0	0	0	0	0
51719	0	0	0	0	0	0
51742	0	0	0	0	0	0
5211	0	0	0	0	0	0
5223	0	0	0	0	0	0
5236	0	0	0	0	0	0
5255	0	0	0	0	0	0
5257	0	-0.1286153519750639	0	0	-1.2446071019111278	0
5261	0	-0.04636208354598378	0	0	0	0
5287	0	0	0	0	0	0
5289	0	0	0	0	0	0
5290	0	-1.1649481173911078	0	0	0	0
5300	0	-0.12343594706322314	0	0	0	0
5321	0	0	0	-1.0519699384248071	0	0
533	0	-0.24222366494092015	0	0	0	0
5331	0	-5.511943029694471	0	0	0	0
53343	0	0	0	0	0	0
5347	0	-4.656043338488448	0	0	0	0
5355	0	0	-0.42814222962166415	0	0	0
5357	0	-1.364634267416739	0	0	-5.237981159356457	0
5359	0	0	0	0	0	0
5366	0	0	0	0	0	0
5373	0	-7.962610035458086	0	0	0	0
54205	0	0	0	0	0	0
5423	0	0	0	0	0	0
5427	0	0	0	0	0	0
5438	0	0	0	0	0	0
54386	0	0	0	0	0	0
5440	0	-0.10837030472452848	0	0	0	0
54438	0	0	0	0	0	0
54442	0	0	0	0	0	0
54499	0	0	0	0	0	0
54505	0	0	0	0	0	0
54512	0	0	0	0	0	0
54541	0	0	0	0	0	0
54623	0	0	0	0	0	0
5467	0	-0.3294026304224299	0	0	0	0
5468	0	0	0	0	0	0
54681	0	0	0	0	0	0
54733	0	0	0	0	0	0
5480	0	0	0	0	0	0
54807	0	0	0	0	0	0
54850	0	0	0	0	0	0
54881	0	0	0	0	0	0
54915	0	0	0	0	0	0
54957	0	0	0	0	0	0
5498	0	0	0	0	0	0
55008	0	0	0	0	0	0
55011	0	0	0	0	0	0
55012	0	0	0	0	0	0
55033	0	0	0	0	0	0
55038	0	0	0	0	0	0
55111	0	0	0	0	0	0
55127	0	0	0	0	0	0
55129	0	0	0	0	0	0
55148	0	0	0	0	0	0
55179	0	0	0	0	0	0
5525	0	-1.0741644887283552	0	0	0	0
55256	0	0	0	0	0	0
5529	0	0	0	0	0	0
55324	0	0	0	0	0	0
5547	0	-0.09186288524241928	-0.6631664611318396	0	0	0
55556	0	0	0	0	0	0
55604	0	0	0	0	0	0
55608	0	0	0	0	0	0
55620	0	0	0	0	0	0
5566	0	0	0	0	0	0
55699	0	0	0	0	0	0
55746	0	0	0	0	0	0
55748	0	0	0	0	0	0
55793	0	0	0	0	0	0
5580	0	-0.09355940034295872	0	0	0	0
55818	0	0	0	0	0	0
55825	0	0	0	0	0	0
5583	0	0	0	0	0	0
55837	0	0	0	0	0	0
55847	0	0	0	0	0	0
5588	0	-0.12997147623181182	0	0	0	0
55893	0	0	0	0	0	0
55958	0	0	0	0	0	0
5601	0	0	0	0	0	0
5603	0	0	0	0	0	0
5607	0	0	0	0	0	0
5613	0	-5.249216501755708	0	0	-3.50307888072038	0
5627	0	0	0	0	0	0
5641	0	0	0	0	0	0
5654	0	-1.419653365832171	0	0	0	0
56654	0	0	0	0	0	0
56889	0	0	0	0	0	0
56924	0	0	0	0	0	0
56940	0	0	0	0	0	0
5696	0	0	0	0	0	0
5699	0	0	-1.8188564597085235	0	0	0
56997	0	0	0	0	0	0
57019	0	0	0	0	0	0
57048	0	0	0	0	0	0
5708	0	0	0	0	0	0
5710	0	-0.3398004946753724	0	0	0	0
57147	0	0	0	0	0	0
57149	0	0	0	0	0	0
5715	0	-0.3736891942547025	0	0	0	0
5716	0	0	0	0	-3.4431630640814728	0
57178	0	0	0	0	0	0
57192	0	0	0	0	0	0
572	0	0	0	0	0	0
5720	0	0	-3.812646055824485	0	0	0
5721	0	0	0	0	0	0
57215	0	0	0	0	0	0
57406	0	0	0	0	0	0
5743	0	0	0	0	0	0
5747	0	0	0	0	0	0
5770	0	0	0	0	-1.7627318926344484	0
57761	0	0	0	0	0	0
5777	0	-0.30045879309249623	0	0	0	0
57804	0	0	0	0	0	0
5782	0	-0.4934793297436783	0	0	0	0
5788	0	0	0	0	0	0
5792	0	0	0	0	0	0
5796	0	0	0	0	0	0
581	0	0	-0.6655149895110661	0	0	0
5827	0	-0.0771345337236091	0	0	0	0
5829	0	-0.904120860981589	-0.875457132762997	0	0	0
5831	0	0	0	0	0	0
5836	0	0	-1.426068342502504	0	0	0
58472	0	0	0	0	0	0
58478	0	0	0	0	0	0
58497	0	0	0	0	0	0
58533	0	0	0	0	0	0
5867	0	0	0	0	0	-1.0319393867945332
5873	0	0	-0.830074953948098	0	-5.102711668250507	0
5880	0	0	0	0	0	0
5883	0	0	0	0	0	0
5889	0	-0.2707531105813886	0	0	0	0
5891	0	-0.2707531105813886	0	0	0	0
5898	0	0	0	0	0	0
5899	0	0	-7.561801347211819	0	0	0
5900	0	-0.15375053424714308	0	0	0	0
5909	0	-0.6722867069996616	0	0	0	0
5921	0	0	0	0	0	0
5925	0	-1.147090754974169	0	0	0	0
5927	0	-0.1544360655600463	-0.3959885409336077	0	0	0
595	0	0	0	0	0	0
596	0	-4.098495192262187	0	0	0	0
5971	0	-0.2737499337159044	0	0	0	0
5982	0	0	0	0	0	0
5985	0	0	0	0	0	0
5986	0	0	0	0	0	0
5993	0	0	0	0	-2.566837179792523	0
5997	0	0	-0.6132767112239494	-1.387377859201938	-1.4179449341319654	0
6009	0	0	0	0	0	0
60493	0	0	0	0	0	0
6050	0	0	0	0	0	0
60528	0	0	0	0	0	0
6117	0	0	0	0	0	0
6118	0	0	0	0	0	0
6119	0	0	0	0	0	0
6182	0	-0.06776713645735984	0	0	0	0
6184	0	0	0	0	0	0
6193	0	0	0	0	0	0
6194	0	0	0	0	0	0
6195	0	-0.14307609737654137	-0.4483050155932315	-1.9221498226515763	0	0
622	0	0	0	-2.7965470870658744	-3.402259200311997	0
6251	0	0	-1.25271979563009	0	0	0
6253	0	0	0	0	0	0
6275	0	0	0	0	0	0
6284	0	0	-46.99853508353258	0	0	0
6304	0	-0.5874836295126213	0	0	0	0
6342	-3.374068777894461	0	0	0	0	0
6347	0	-0.31954263759234147	0	0	0	0
637	0	0	0	0	0	0
63874	0	0	0	0	0	0
6390	0	0	0	-13.22311859992349	0	0
63933	0	0	0	0	0	0
64080	0	0	0	0	0	0
642	0	0	0	0	0	0
644	0	0	0	0	0	0
64422	0	0	0	0	0	0
64428	0	0	0	0	0	0
64429	0	0	0	0	0	0
6443	0	0	0	0	0	0
6461	0	0	0	0	0	0
6464	0	0	0	0	0	0
64746	0	0	0	0	0	0
64781	0	0	0	0	0	0
64943	0	0	0	0	0	0
6499	0	0	0	0	0	0
6500	0	0	0	0	0	0
65057	0	0	0	0	0	0
6509	0	0	-1.1339462977237755	0	0	0
65123	0	0	0	0	0	0
652	0	-0.9573971591402072	0	0	-2.9967667025670752	0
6597	0	0	0	0	0	0
6599	0	-0.478393649086172	0	0	0	0
66008	0	0	0	0	0	0
6603	0	-0.4074379979668414	0	0	0	0
6616	0	0	0	0	0	0
6622	0	0	0	0	0	0
664	0	-5.551162259736046	0	0	0	0
665	0	-0.14223819939965443	0	0	0	0
6657	0	0	-0.4563530587664522	0	0	0
6659	0	0	-2.5882486914802447	0	0	0
6676	0	-2.8472005663315327	0	0	0	0
6696	0	0	-0.6020734917870016	0	0	0
6697	0	-0.25297302837147884	0	0	0	0
670	0	-1.710319305624036	0	0	0	-1.0176976066552577
6709	0	0	0	0	0	0
6714	0	0	0	0	0	0
672	0	0	-1.0826309368416476	0	0	0
6772	0	0	0	-1.7667965019118808	0	0
6774	0	0	0	0	0	0
6777	0	0	0	0	0	0
6790	0	0	0	0	-2.135814560035275	0
6793	0	0	0	0	-1.4287780191001973	0
6804	0	-3.621364246274666	0	0	0	0
6810	0	0	0	0	0	0
6812	0	0	0	0	0	0
6813	0	0	0	0	0	0
