study_id	platform_id	tb_status	time_point	tissue_cell_type	sample_origin	tissue_category	series_id	SIGNATURE_NAME	EXPRMAT_PATH	signature	up_genes_num	dn_genes_num	technology	number	signature_ID	n	dataset_ID	dataset_signature_ID
GSE256184	NA	MTB	NA	HEPG2_HepG2	cell line	other	GSE256184	GSE256184_MTB_control_HEPG2_HepG2	data/RNAseq_data_forDE/expression_matrices/GSE256184.tsv	1	258	59	RNAseq	11	s11	16	d8	s11_d8
GSE110564	NA	MTB	NA	blood_lymphatic_endothelial_cell	primary	circulating	GSE110564	GSE110564_MTB_control_blood_lymphatic_endothelial_cell	data/RNAseq_data_forDE/expression_matrices/GSE110564.tsv	1	70	21	RNAseq	12	s12	6	d9	s12_d9
GSE132283	NA	MTB	NA	blood_macrophage	primary	circulating	GSE132283	GSE132283_MTB_control_blood_macrophage	data/RNAseq_data_forDE/expression_matrices/GSE132283.tsv	1	165	31	RNAseq	13	s13	18	d10	s13_d10
GSE141656	NA	MTB	NA	blood_monocyte_derived_macrophages	primary	circulating	GSE141656	GSE141656_MTB_control_blood_blood	data/RNAseq_data_forDE/expression_matrices/GSE141656.tsv	1	62	22	RNAseq	14	s14	12	d11	s14_d11
GSE143627	NA	MTB	NA	PBMC_macrophage	primary	circulating	GSE143627	GSE143627_MTB_control_PBMC_macrophage	data/RNAseq_data_forDE/expression_matrices/GSE143627.tsv	1	97	81	RNAseq	15	s15	6	d12	s15_d12
GSE143731	NA	MTB	NA	blood_monocyte_derived_macrophages	primary	circulating	GSE143731	GSE143731_MTB_control_blood_monocyte_derived_macrophages	data/RNAseq_data_forDE/expression_matrices/GSE143731.tsv	1	3	5	RNAseq	16	s16	8	d13	s16_d13
GSE148171	NA	MTB	NA	blood_PBMC	primary	circulating	GSE148171	GSE148171_MTB_control_blood_PBMC	data/RNAseq_data_forDE/expression_matrices/GSE148171.tsv	1	211	28	RNAseq	17	s17	9	d14	s17_d14
GSE148731	NA	MTB	NA	blood_monocytes	primary	circulating	GSE148731	GSE148731_MTB_control_blood_monocytes	data/RNAseq_data_forDE/expression_matrices/GSE148731.tsv	1	206	89	RNAseq	18	s18	24	d15	s18_d15
GSE164287	NA	MTB	NA	blood_monocyte_derived_macrophages	primary	circulating	GSE164287	GSE164287_MTB_control_blood_monocyte_derived_macrophages	data/RNAseq_data_forDE/expression_matrices/GSE164287.tsv	1	79	91	RNAseq	19	s19	8	d16	s19_d16
GSE174566	NA	MTB	NA	blood_PBMC	primary	circulating	GSE174566	GSE174566_MTB_control_blood_PBMC	data/RNAseq_data_forDE/expression_matrices/GSE174566.tsv	1	225	79	RNAseq	20	s20	36	d17	s20_d17
GSE183912	NA	MTB	NA	blood_marcophages	primary	circulating	GSE183912	GSE183912_MTB_control_blood_marcophages	data/RNAseq_data_forDE/expression_matrices/GSE183912.tsv	1	24	2	RNAseq	21	s21	8	d18	s21_d18
GSE193777	NA	MTB	NA	blood_whole_blood	primary	circulating	GSE193777	GSE193777_MTB_control_blood	data/RNAseq_data_forDE/expression_matrices/GSE193777.tsv	1	226	101	RNAseq	22	s22	50	d19	s22_d19
GSE198557	NA	MTB	NA	blood_PBMC	primary	circulating	GSE198557	GSE198557_MTB_control_blood_PBMC	data/RNAseq_data_forDE/expression_matrices/GSE198557.tsv	1	252	28	RNAseq	23	s23	12	d20	s23_d20
GSE236156	NA	MTB	NA	blood_monocyte_derived_macrophage	primary	circulating	GSE236156	GSE236156_MTB_control_blood_monocyte_derived_macrophage	data/RNAseq_data_forDE/expression_matrices/GSE236156.tsv	1	98	83	RNAseq	24	s24	17	d21	s24_d21
GSE64179	NA	MTB	NA	blood_dendritic_cells	primary	circulating	GSE64179	GSE64179_MTB_control_blood_dendritic_cells	data/RNAseq_data_forDE/expression_matrices/GSE64179.tsv	1	268	258	RNAseq	25	s25	12	d22	s25_d22
GSE64182	NA	MTB	NA	blood_dendritic_cells	primary	circulating	GSE64182	GSE64182_MTB_control_blood_dendritic_cells	data/RNAseq_data_forDE/expression_matrices/GSE64182.tsv	1	256	67	RNAseq	26	s26	6	d23	s26_d23
GSE84076	NA	MTB	NA	blood_whole_blood	primary	circulating	GSE84076	GSE84076_MTB_control_blood	data/RNAseq_data_forDE/expression_matrices/GSE84076.tsv	1	17	6	RNAseq	27	s27	10	d24	s27_d24
GSE112482	NA	MTB	NA	lung_ILC1	primary	lung	GSE112482	GSE112482_MTB_control_lung_ILC1	data/RNAseq_data_forDE/expression_matrices/GSE112482.tsv	1	1	2	RNAseq	28	s28	16	d25	s28_d25
GSE112482	NA	MTB	NA	lung_ILC2	primary	lung	GSE112482	GSE112482_MTB_control_lung_ILC2	data/RNAseq_data_forDE/expression_matrices/GSE112482.tsv	1	1	2	RNAseq	29	s29	16	d25	s29_d25
GSE112482	NA	MTB	NA	lung_ILC3neg	primary	lung	GSE112482	GSE112482_MTB_control_lung_ILC3neg	data/RNAseq_data_forDE/expression_matrices/GSE112482.tsv	1	1	2	RNAseq	30	s30	16	d25	s30_d25
GSE112482	NA	MTB	NA	lung_ILC3pos	primary	lung	GSE112482	GSE112482_MTB_control_lung_ILC3pos	data/RNAseq_data_forDE/expression_matrices/GSE112482.tsv	1	1	2	RNAseq	31	s31	16	d25	s31_d25
GSE112482	NA	MTB	NA	lung_NK	primary	lung	GSE112482	GSE112482_MTB_control_lung_NK	data/RNAseq_data_forDE/expression_matrices/GSE112482.tsv	1	1	2	RNAseq	32	s32	16	d25	s32_d25
GSE112482	NA	MTB	NA	lung_susp	primary	lung	GSE112482	GSE112482_MTB_control_lung_susp	data/RNAseq_data_forDE/expression_matrices/GSE112482.tsv	1	1	2	RNAseq	33	s33	16	d25	s33_d25
GSE165708	NA	MTB	NA	BAL_bronchoalveolar_lavage	primary	lung	GSE165708	GSE165708_MTB_control_BAL_bronchoalveolar_lavage	data/RNAseq_data_forDE/expression_matrices/GSE165708.tsv	1	23	1	RNAseq	34	s34	32	d26	s34_d26
GSE236156	NA	MTB	NA	BALF_alveolar_macrophage	primary	lung	GSE236156	GSE236156_MTB_control_BALF_alveolar_macrophage	data/RNAseq_data_forDE/expression_matrices/GSE236156.tsv	1	98	83	RNAseq	35	s35	18	d21	s35_d21
NA	NA	NA	NA	NA	NA	NA	NA	aggregated_microarray	NA	1	98	98	microarray	36	aggregated_microarray	NA	d27	aggregated_microarray_d27
NA	NA	NA	NA	NA	NA	NA	NA	aggregated_RNAseq	NA	1	98	98	RNAseq	37	aggregated_RNAseq	NA	d27	aggregated_RNAseq_d27
